Date,Open,High,Low,Close,Volume
28/05/2002,0.155,0.19,0.155,0.18,74688
29/05/2002,0.185,0.185,0.16,0.16,55000
30/05/2002,0.16,0.16,0.16,0.16,20000
31/05/2002,0.16,0.185,0.16,0.185,145000
03/06/2002,0.19,0.19,0.19,0.19,70500
04/06/2002,0.19,0.19,0.185,0.185,31000
05/06/2002,0.185,0.185,0.185,0.185,0
06/06/2002,0.17,0.18,0.17,0.18,70000
07/06/2002,0.18,0.18,0.18,0.18,0
11/06/2002,0.17,0.17,0.165,0.165,30000
12/06/2002,0.165,0.165,0.165,0.165,0
13/06/2002,0.16,0.16,0.15,0.15,116325
14/06/2002,0.15,0.155,0.15,0.155,15700
17/06/2002,0.155,0.155,0.155,0.155,0
18/06/2002,0.155,0.155,0.155,0.155,5000
19/06/2002,0.155,0.155,0.155,0.155,0
20/06/2002,0.155,0.155,0.155,0.155,0
21/06/2002,0.155,0.155,0.155,0.155,3226
24/06/2002,0.155,0.155,0.155,0.155,6858
25/06/2002,0.155,0.155,0.155,0.155,0
26/06/2002,0.155,0.155,0.155,0.155,0
27/06/2002,0.155,0.155,0.155,0.155,0
28/06/2002,0.155,0.155,0.155,0.155,0
01/07/2002,0.15,0.15,0.15,0.15,30000
02/07/2002,0.13,0.13,0.13,0.13,24000
03/07/2002,0.13,0.13,0.13,0.13,0
04/07/2002,0.13,0.13,0.13,0.13,0
05/07/2002,0.13,0.13,0.13,0.13,0
08/07/2002,0.145,0.15,0.145,0.15,30000
09/07/2002,0.15,0.15,0.15,0.15,0
10/07/2002,0.135,0.135,0.13,0.13,20000
11/07/2002,0.15,0.155,0.15,0.155,131703
12/07/2002,0.2,0.24,0.2,0.2,107500
15/07/2002,0.21,0.21,0.21,0.21,39900
16/07/2002,0.21,0.215,0.21,0.215,5000
17/07/2002,0.2,0.2,0.2,0.2,1800
18/07/2002,0.175,0.18,0.175,0.18,33200
19/07/2002,0.18,0.18,0.18,0.18,0
22/07/2002,0.18,0.18,0.18,0.18,0
23/07/2002,0.18,0.18,0.18,0.18,0
24/07/2002,0.18,0.18,0.18,0.18,0
25/07/2002,0.18,0.18,0.18,0.18,0
26/07/2002,0.165,0.165,0.165,0.165,20000
29/07/2002,0.175,0.175,0.165,0.165,10000
30/07/2002,0.165,0.165,0.165,0.165,0
31/07/2002,0.165,0.165,0.165,0.165,0
01/08/2002,0.165,0.165,0.145,0.145,26000
02/08/2002,0.145,0.145,0.145,0.145,0
05/08/2002,0.145,0.145,0.145,0.145,0
06/08/2002,0.145,0.145,0.145,0.145,0
07/08/2002,0.145,0.145,0.145,0.145,0
08/08/2002,0.145,0.145,0.145,0.145,0
09/08/2002,0.145,0.145,0.145,0.145,0
12/08/2002,0.15,0.15,0.15,0.15,4000
13/08/2002,0.16,0.16,0.13,0.13,35000
