Date,Open,High,Low,Close,Volume
23/09/2005,0.65,0.7,0.62,0.62,21000
26/09/2005,0.625,0.625,0.62,0.625,48850
27/09/2005,0.625,0.625,0.615,0.615,20000
28/09/2005,0.625,0.625,0.625,0.625,4770
29/09/2005,0.625,0.625,0.625,0.625,5000
30/09/2005,0.625,0.625,0.625,0.625,9695
03/10/2005,0.625,0.625,0.625,0.625,15000
04/10/2005,0.615,0.62,0.6,0.62,98685
05/10/2005,0.62,0.625,0.62,0.625,5000
06/10/2005,0.625,0.625,0.625,0.625,0
07/10/2005,0.605,0.605,0.595,0.595,135240
10/10/2005,0.585,0.595,0.58,0.595,40000
11/10/2005,0.595,0.595,0.595,0.595,0
12/10/2005,0.6,0.6,0.6,0.6,1000
13/10/2005,0.6,0.6,0.6,0.6,0
14/10/2005,0.6,0.6,0.6,0.6,0
17/10/2005,0.59,0.59,0.59,0.59,5000
18/10/2005,0.585,0.59,0.585,0.59,20000
19/10/2005,0.585,0.59,0.585,0.585,85500
20/10/2005,0.585,0.585,0.58,0.585,85500
21/10/2005,0.585,0.585,0.585,0.585,0
24/10/2005,0.6,0.6,0.585,0.585,20000
25/10/2005,0.585,0.585,0.58,0.58,22000
26/10/2005,0.6,0.6,0.58,0.58,20500
27/10/2005,0.58,0.58,0.58,0.58,19894
28/10/2005,0.57,0.58,0.57,0.58,65866
31/10/2005,0.58,0.58,0.58,0.58,0
01/11/2005,0.58,0.58,0.58,0.58,0
02/11/2005,0.585,0.59,0.585,0.59,22244
03/11/2005,0.59,0.59,0.58,0.58,21890
04/11/2005,0.58,0.58,0.58,0.58,58110
07/11/2005,0.58,0.58,0.58,0.58,10000
08/11/2005,0.59,0.59,0.59,0.59,69000
09/11/2005,0.59,0.59,0.59,0.59,0
10/11/2005,0.59,0.59,0.58,0.58,45000
11/11/2005,0.58,0.58,0.58,0.58,20000
14/11/2005,0.58,0.58,0.58,0.58,30000
15/11/2005,0.59,0.59,0.59,0.59,20000
16/11/2005,0.59,0.59,0.59,0.59,0
17/11/2005,0.58,0.58,0.58,0.58,23000
18/11/2005,0.58,0.58,0.58,0.58,0
21/11/2005,0.58,0.58,0.58,0.58,0
22/11/2005,0.58,0.58,0.58,0.58,0
23/11/2005,0.58,0.58,0.58,0.58,0
24/11/2005,0.58,0.58,0.58,0.58,0
25/11/2005,1,1,1,1,25000
28/11/2005,1,1,0.99,0.99,45000
29/11/2005,0.99,0.99,0.99,0.99,0
30/11/2005,1,1,0.99,0.99,50000
01/12/2005,0.99,0.99,0.99,0.99,0
02/12/2005,1,1,1,1,23000
05/12/2005,1,1,1,1,5000
06/12/2005,1,1,0.99,0.99,45000
07/12/2005,0.99,0.99,0.99,0.99,0
08/12/2005,0.975,0.975,0.97,0.97,12500
09/12/2005,0.97,0.97,0.97,0.97,60000
12/12/2005,0.97,0.97,0.97,0.97,0
13/12/2005,0.99,1,0.99,1,30000
14/12/2005,0.98,0.99,0.98,0.99,25000
15/12/2005,0.99,0.99,0.99,0.99,0
16/12/2005,0.99,0.99,0.99,0.99,0
19/12/2005,0.99,0.99,0.99,0.99,15000
20/12/2005,1,1,1,1,2000
21/12/2005,0.99,1,0.99,1,53000
22/12/2005,0.99,0.99,0.99,0.99,20000
23/12/2005,0.99,0.99,0.99,0.99,0
28/12/2005,0.99,0.99,0.99,0.99,0
29/12/2005,0.99,0.99,0.99,0.99,50000
30/12/2005,0.99,0.99,0.99,0.99,0
03/01/2006,0.99,0.99,0.99,0.99,8000
04/01/2006,0.99,0.99,0.99,0.99,0
05/01/2006,0.99,0.99,0.99,0.99,0
06/01/2006,0.99,0.99,0.99,0.99,0
09/01/2006,0.99,0.99,0.99,0.99,0
10/01/2006,1,1,1,1,9000
11/01/2006,1,1,1,1,11000
12/01/2006,1,1,1,1,40000
13/01/2006,1.01,1.02,1.01,1.02,10000
16/01/2006,1.02,1.02,1.02,1.02,0
17/01/2006,1,1,0.99,0.99,20000
18/01/2006,0.99,0.99,0.99,0.99,0
19/01/2006,1,1,0.99,1,20000
20/01/2006,1,1,1,1,0
23/01/2006,0.99,0.99,0.99,0.99,10000
24/01/2006,1,1,1,1,20000
25/01/2006,1,1,1,1,0
27/01/2006,0.99,0.99,0.99,0.99,91000
30/01/2006,0.98,0.98,0.98,0.98,93115
31/01/2006,0.98,0.98,0.98,0.98,30000
01/02/2006,0.98,0.98,0.98,0.98,0
02/02/2006,0.98,0.98,0.98,0.98,26985
03/02/2006,0.98,0.98,0.98,0.98,0
06/02/2006,0.98,0.98,0.98,0.98,0
07/02/2006,0.98,0.98,0.98,0.98,0
08/02/2006,0.98,0.98,0.97,0.97,114060
09/02/2006,0.97,0.98,0.97,0.98,20000
10/02/2006,0.97,1,0.97,1,59000
13/02/2006,1,1,0.98,0.98,59250
14/02/2006,0.99,0.99,0.95,0.99,62000
15/02/2006,0.99,0.99,0.98,0.98,145000
16/02/2006,0.99,0.99,0.99,0.99,15000
17/02/2006,0.99,0.99,0.98,0.98,20400
20/02/2006,0.99,0.99,0.97,0.98,47600
21/02/2006,0.975,0.98,0.975,0.98,10000
22/02/2006,0.98,0.99,0.98,0.99,37900
23/02/2006,0.99,0.995,0.99,0.995,20000
24/02/2006,0.97,0.995,0.97,0.99,83000
27/02/2006,0.99,0.99,0.99,0.99,17240
28/02/2006,0.99,0.99,0.99,0.99,19260
01/03/2006,0.995,0.995,0.99,0.99,30000
02/03/2006,0.995,0.995,0.99,0.995,38524
03/03/2006,0.995,0.995,0.995,0.995,0
06/03/2006,0.995,0.995,0.995,0.995,7000
07/03/2006,0.99,0.99,0.99,0.99,5000
08/03/2006,0.98,0.99,0.98,0.99,30000
09/03/2006,0.99,0.99,0.99,0.99,20000
10/03/2006,0.99,0.99,0.99,0.99,10000
13/03/2006,0.99,0.99,0.99,0.99,21250
14/03/2006,0.99,0.99,0.99,0.99,0
15/03/2006,0.995,0.995,0.995,0.995,40000
16/03/2006,1,1,1,1,20000
17/03/2006,1.01,1.01,1,1.01,43000
20/03/2006,1.01,1.01,0.995,0.995,17000
21/03/2006,0.995,0.995,0.995,0.995,0
22/03/2006,0.995,0.995,0.995,0.995,0
23/03/2006,0.995,0.995,0.995,0.995,10000
24/03/2006,1,1.005,0.995,1,67500
27/03/2006,1,1,1,1,0
28/03/2006,0.99,1,0.985,1,41000
29/03/2006,0.985,0.985,0.98,0.98,22000
30/03/2006,0.99,1,0.99,1,54000
31/03/2006,1,1,0.99,0.99,38000
03/04/2006,0.99,1,0.99,0.99,40000
04/04/2006,0.99,0.995,0.985,0.985,108000
05/04/2006,0.99,1,0.985,1,188100
06/04/2006,0.995,0.995,0.99,0.995,112020
07/04/2006,0.99,0.995,0.99,0.99,60200
10/04/2006,0.985,0.99,0.985,0.985,46400
11/04/2006,0.99,0.99,0.985,0.99,50000
12/04/2006,0.985,0.985,0.97,0.97,84300
13/04/2006,0.97,0.98,0.97,0.98,65546
18/04/2006,0.97,0.975,0.955,0.975,93800
19/04/2006,0.975,0.975,0.965,0.975,245667
20/04/2006,0.97,0.975,0.97,0.97,190000
21/04/2006,0.975,0.975,0.97,0.97,46719
24/04/2006,0.975,0.975,0.975,0.975,28768
26/04/2006,0.975,0.98,0.97,0.98,68269
27/04/2006,0.98,0.985,0.96,0.96,120500
28/04/2006,0.965,0.965,0.955,0.955,173250
01/05/2006,0.96,0.97,0.96,0.97,19930
02/05/2006,0.97,0.975,0.97,0.975,174676
03/05/2006,0.975,0.98,0.97,0.975,111450
04/05/2006,0.975,0.975,0.97,0.97,138124
05/05/2006,0.97,0.975,0.965,0.965,62876
08/05/2006,0.965,0.97,0.965,0.965,112978
09/05/2006,0.965,0.975,0.965,0.965,30500
10/05/2006,0.97,0.975,0.965,0.975,107270
11/05/2006,0.97,0.975,0.97,0.97,112266
12/05/2006,0.97,0.97,0.965,0.97,106537
15/05/2006,0.965,0.965,0.955,0.955,167481
16/05/2006,0.955,0.96,0.945,0.95,303487
17/05/2006,0.96,0.96,0.96,0.96,45000
18/05/2006,0.96,0.96,0.94,0.94,252560
19/05/2006,0.955,0.955,0.955,0.955,12500
22/05/2006,0.96,0.96,0.945,0.96,33580
23/05/2006,0.945,0.955,0.945,0.955,21656
24/05/2006,0.95,0.95,0.94,0.94,25000
25/05/2006,0.945,0.95,0.93,0.95,72367
26/05/2006,0.95,0.95,0.95,0.95,14537
29/05/2006,0.935,0.95,0.935,0.935,43000
30/05/2006,0.935,0.94,0.935,0.94,31000
31/05/2006,0.94,0.94,0.93,0.94,48000
01/06/2006,0.935,0.945,0.93,0.945,178465
02/06/2006,0.945,0.945,0.935,0.935,63750
05/06/2006,0.94,0.945,0.94,0.94,112000
06/06/2006,0.945,0.945,0.94,0.94,23375
07/06/2006,0.94,0.94,0.93,0.93,21350
08/06/2006,0.93,0.95,0.93,0.935,71446
09/06/2006,0.93,0.935,0.93,0.93,75000
13/06/2006,0.935,0.935,0.93,0.935,19250
14/06/2006,0.935,0.94,0.93,0.935,211807
15/06/2006,0.94,0.94,0.93,0.935,96269
16/06/2006,0.94,0.945,0.935,0.935,137684
19/06/2006,0.94,0.96,0.94,0.96,29800
20/06/2006,0.945,0.945,0.94,0.94,2500
21/06/2006,0.955,0.955,0.95,0.95,25000
22/06/2006,0.945,0.955,0.945,0.955,75000
23/06/2006,0.95,0.97,0.95,0.97,422010
26/06/2006,0.92,0.965,0.91,0.95,61830
27/06/2006,0.95,0.965,0.95,0.965,33742
28/06/2006,0.97,0.98,0.97,0.98,40458
29/06/2006,0.975,0.975,0.975,0.975,20000
30/06/2006,0.97,0.97,0.955,0.955,72542
03/07/2006,0.955,0.955,0.95,0.95,112855
04/07/2006,0.95,0.96,0.95,0.96,50395
05/07/2006,0.96,0.965,0.96,0.96,96734
06/07/2006,0.955,0.955,0.945,0.945,179712
07/07/2006,0.95,0.95,0.94,0.94,36728
10/07/2006,0.945,0.945,0.935,0.935,63000
11/07/2006,0.94,0.945,0.935,0.94,77032
12/07/2006,0.94,0.94,0.94,0.94,0
13/07/2006,0.95,0.95,0.94,0.95,39682
14/07/2006,0.95,0.955,0.95,0.955,20800
17/07/2006,0.945,0.955,0.94,0.94,74780
18/07/2006,0.95,0.955,0.94,0.955,37000
19/07/2006,0.95,0.95,0.95,0.95,76000
20/07/2006,0.95,0.96,0.95,0.96,46500
21/07/2006,0.95,0.96,0.945,0.96,35500
24/07/2006,0.945,0.945,0.945,0.945,3000
25/07/2006,0.955,0.96,0.95,0.96,35000
26/07/2006,0.95,0.95,0.95,0.95,41250
27/07/2006,0.95,0.95,0.95,0.95,12000
28/07/2006,0.95,0.95,0.95,0.95,99000
31/07/2006,0.95,0.96,0.95,0.96,21455
01/08/2006,0.95,0.95,0.95,0.95,20800
02/08/2006,0.95,0.955,0.95,0.955,29000
03/08/2006,0.95,0.955,0.95,0.955,26850
04/08/2006,0.955,0.955,0.95,0.95,39026
07/08/2006,0.95,0.95,0.95,0.95,12000
08/08/2006,0.95,0.95,0.95,0.95,98500
09/08/2006,0.95,0.95,0.945,0.95,96297
10/08/2006,0.95,0.95,0.945,0.95,38703
11/08/2006,0.955,0.955,0.955,0.955,577900
14/08/2006,0.95,0.95,0.95,0.95,8500
15/08/2006,0.955,0.955,0.945,0.945,150270
16/08/2006,0.95,0.95,0.945,0.945,12500
17/08/2006,0.95,0.95,0.945,0.945,111500
18/08/2006,0.945,0.945,0.94,0.945,62871
21/08/2006,0.945,0.945,0.945,0.945,15500
22/08/2006,0.945,0.945,0.945,0.945,86364
23/08/2006,0.94,0.945,0.94,0.945,86500
24/08/2006,0.94,0.94,0.93,0.94,85445
25/08/2006,0.94,0.94,0.93,0.94,51301
28/08/2006,0.93,0.94,0.93,0.94,15237
29/08/2006,0.935,0.95,0.935,0.95,100215
30/08/2006,0.95,0.95,0.94,0.945,63550
31/08/2006,0.945,0.95,0.945,0.95,55540
01/09/2006,0.95,0.95,0.945,0.945,22500
04/09/2006,0.945,0.945,0.945,0.945,55500
05/09/2006,0.945,0.955,0.945,0.955,30766
06/09/2006,0.95,0.955,0.95,0.95,628200
07/09/2006,0.955,0.96,0.95,0.95,51600
08/09/2006,0.955,0.955,0.95,0.95,40000
11/09/2006,0.95,0.96,0.95,0.96,62000
12/09/2006,0.955,0.955,0.95,0.95,92000
13/09/2006,0.955,0.96,0.955,0.96,99250
14/09/2006,0.96,0.96,0.95,0.95,55324
15/09/2006,0.95,0.95,0.95,0.95,30000
18/09/2006,0.96,0.97,0.95,0.97,87175
19/09/2006,0.955,0.96,0.955,0.96,18000
20/09/2006,0.965,0.97,0.965,0.97,53240
21/09/2006,0.95,0.965,0.95,0.965,61506
22/09/2006,0.965,0.965,0.955,0.955,15000
25/09/2006,0.955,0.955,0.94,0.945,38853
26/09/2006,0.945,0.945,0.945,0.945,5000
27/09/2006,0.94,0.95,0.94,0.945,52500
28/09/2006,0.95,0.95,0.945,0.945,23454
29/09/2006,0.945,0.945,0.945,0.945,31000
02/10/2006,0.945,0.945,0.945,0.945,2046
03/10/2006,0.95,0.955,0.95,0.955,92500
