Date,Open,High,Low,Close,Volume
27/07/2017,3,3,2.99,2.99,48868
28/07/2017,2.99,2.99,2.95,2.98,21931
31/07/2017,2.97,2.985,2.95,2.95,38766
01/08/2017,2.94,2.96,2.94,2.96,2335729
02/08/2017,2.96,3.02,2.96,3,273762
03/08/2017,3,3,2.99,2.99,73683
04/08/2017,2.99,3,2.97,2.98,107311
07/08/2017,2.98,2.98,2.95,2.95,19208
08/08/2017,2.98,2.98,2.95,2.97,26449
09/08/2017,2.96,2.96,2.95,2.96,46962
10/08/2017,2.97,2.97,2.97,2.97,5070
11/08/2017,2.96,2.96,2.96,2.96,9139
14/08/2017,2.96,2.96,2.95,2.96,189939
15/08/2017,2.95,2.95,2.94,2.95,43250
16/08/2017,2.95,2.95,2.94,2.94,26158
17/08/2017,2.94,2.94,2.9,2.91,45694
18/08/2017,2.9,2.92,2.9,2.91,126834
21/08/2017,2.92,2.95,2.9,2.95,10000
22/08/2017,2.9,2.93,2.9,2.93,29417
23/08/2017,2.94,2.94,2.94,2.94,3380
24/08/2017,2.91,2.93,2.89,2.9,75640
25/08/2017,2.89,2.92,2.89,2.89,14582
28/08/2017,2.9,2.92,2.89,2.9,94656
29/08/2017,2.89,2.9,2.89,2.9,12209
30/08/2017,2.88,2.88,2.85,2.86,62025
31/08/2017,2.85,2.87,2.82,2.85,113046
01/09/2017,2.85,2.85,2.83,2.83,62582
04/09/2017,2.83,2.85,2.8,2.85,87599
05/09/2017,2.85,2.9,2.85,2.88,183998
06/09/2017,2.85,2.85,2.85,2.85,59001
07/09/2017,2.85,2.87,2.85,2.86,18000
08/09/2017,2.87,2.89,2.79,2.89,216789
11/09/2017,2.89,2.9,2.89,2.9,49192
12/09/2017,2.9,2.92,2.9,2.92,39379
13/09/2017,2.92,2.92,2.92,2.92,0
14/09/2017,2.92,2.93,2.91,2.93,37520
15/09/2017,2.93,2.95,2.93,2.95,16589
18/09/2017,2.95,2.95,2.9,2.9,56090
19/09/2017,2.91,2.91,2.9,2.91,38785
20/09/2017,2.88,2.9,2.88,2.9,21000
21/09/2017,2.9,2.9,2.86,2.88,18079
22/09/2017,2.89,2.9,2.85,2.88,85130
25/09/2017,2.88,2.88,2.88,2.88,1900
26/09/2017,2.88,2.88,2.86,2.88,24931
27/09/2017,2.88,2.88,2.88,2.88,44617
28/09/2017,2.87,2.87,2.85,2.85,21909
29/09/2017,2.85,2.85,2.85,2.85,39852
02/10/2017,2.85,2.85,2.85,2.85,500
03/10/2017,2.85,2.85,2.83,2.83,65875
04/10/2017,2.83,2.84,2.83,2.84,15000
05/10/2017,2.85,2.89,2.84,2.84,140973
06/10/2017,2.85,2.86,2.84,2.84,91521
09/10/2017,2.85,2.85,2.84,2.84,9320
10/10/2017,2.83,2.83,2.79,2.79,69310
11/10/2017,2.86,2.86,2.8,2.8,83969
12/10/2017,2.8,2.84,2.79,2.84,44390
13/10/2017,2.85,2.85,2.82,2.82,19272
16/10/2017,2.82,2.85,2.82,2.85,132380
17/10/2017,2.83,2.85,2.83,2.85,8735
18/10/2017,2.84,2.85,2.84,2.85,31300
19/10/2017,2.84,2.84,2.84,2.84,10450
20/10/2017,2.84,2.84,2.84,2.84,7055
23/10/2017,2.83,2.85,2.81,2.81,75086
24/10/2017,2.83,2.84,2.83,2.84,17521
25/10/2017,2.83,2.83,2.83,2.83,23335
26/10/2017,2.82,2.82,2.79,2.8,77150
27/10/2017,2.79,2.81,2.79,2.81,8650
30/10/2017,2.82,2.82,2.8,2.8,20308
31/10/2017,2.8,2.82,2.79,2.82,44856
01/11/2017,2.8,2.8,2.79,2.79,36321
02/11/2017,2.8,2.8,2.8,2.8,13179
03/11/2017,2.8,2.8,2.8,2.8,12267
06/11/2017,2.8,2.82,2.79,2.79,71523
07/11/2017,2.78,2.78,2.75,2.77,152003
08/11/2017,2.77,2.77,2.72,2.76,97764
09/11/2017,2.76,2.76,2.75,2.75,21767
10/11/2017,2.74,2.78,2.72,2.78,172987
13/11/2017,2.77,2.78,2.76,2.76,81000
14/11/2017,2.76,2.8,2.76,2.8,275969
15/11/2017,2.83,2.84,2.82,2.84,42334
16/11/2017,2.83,2.83,2.82,2.82,52251
17/11/2017,2.81,2.81,2.79,2.79,35762
20/11/2017,2.8,2.81,2.75,2.8,86471
21/11/2017,2.8,2.81,2.8,2.81,433921
22/11/2017,2.8,2.82,2.8,2.82,40194
23/11/2017,2.82,2.82,2.8,2.82,51601
24/11/2017,2.82,2.83,2.82,2.82,65360
27/11/2017,2.8,2.8,2.79,2.79,7142
28/11/2017,2.8,2.81,2.8,2.81,14255
29/11/2017,2.8,2.81,2.78,2.79,105892
30/11/2017,2.8,2.8,2.78,2.79,31543
01/12/2017,2.8,2.8,2.79,2.8,73899
04/12/2017,2.8,2.83,2.8,2.83,87143
05/12/2017,2.83,2.83,2.83,2.83,0
06/12/2017,2.82,2.83,2.82,2.83,40048
07/12/2017,2.84,2.85,2.83,2.85,71377
08/12/2017,2.85,2.85,2.83,2.83,56051
11/12/2017,2.85,2.89,2.85,2.89,32804
12/12/2017,2.89,2.89,2.86,2.87,44012
13/12/2017,2.89,2.93,2.89,2.93,187025
14/12/2017,2.93,2.93,2.9,2.9,24011
15/12/2017,2.93,2.97,2.93,2.96,50714
18/12/2017,2.95,2.96,2.94,2.95,55181
19/12/2017,2.95,2.96,2.94,2.95,88202
20/12/2017,2.95,2.96,2.9,2.96,38627
21/12/2017,2.95,2.95,2.94,2.94,30400
22/12/2017,2.95,2.95,2.93,2.93,27760
27/12/2017,2.93,2.96,2.93,2.96,5281
28/12/2017,2.96,2.96,2.96,2.96,0
29/12/2017,2.96,2.96,2.96,2.96,0
02/01/2018,2.92,2.93,2.92,2.92,16095
03/01/2018,2.9,2.9,2.89,2.89,3053
04/01/2018,2.92,2.92,2.9,2.9,8976
05/01/2018,2.93,2.93,2.89,2.89,38525
08/01/2018,2.89,2.89,2.85,2.85,49334
09/01/2018,2.85,2.85,2.84,2.84,44167
10/01/2018,2.85,2.86,2.84,2.85,56151
11/01/2018,2.84,2.84,2.82,2.82,51076
12/01/2018,2.82,2.83,2.82,2.82,52969
15/01/2018,2.83,2.84,2.83,2.84,10867
16/01/2018,2.83,2.86,2.83,2.86,14250
17/01/2018,2.85,2.85,2.85,2.85,27560
18/01/2018,2.85,2.87,2.85,2.87,13859
19/01/2018,2.87,2.87,2.87,2.87,3481
22/01/2018,2.86,2.86,2.86,2.86,18193
23/01/2018,2.86,2.86,2.85,2.85,198566
24/01/2018,2.84,2.85,2.83,2.83,15003
25/01/2018,2.83,2.83,2.81,2.81,34427
29/01/2018,2.8,2.8,2.78,2.78,39824
30/01/2018,2.8,2.8,2.78,2.8,5277
31/01/2018,2.78,2.78,2.74,2.74,63413
01/02/2018,2.75,2.76,2.75,2.76,18135
02/02/2018,2.78,2.79,2.76,2.77,19267
05/02/2018,2.75,2.77,2.72,2.72,53046
06/02/2018,2.72,2.72,2.61,2.69,180298
07/02/2018,2.7,2.73,2.7,2.73,51232
08/02/2018,2.75,2.76,2.72,2.75,127996
09/02/2018,2.71,2.73,2.7,2.71,30611
12/02/2018,2.7,2.73,2.68,2.73,23441
13/02/2018,2.7,2.73,2.69,2.69,59553
14/02/2018,2.69,2.73,2.69,2.71,27863
15/02/2018,2.7,2.7,2.68,2.68,16301
16/02/2018,2.68,2.68,2.67,2.67,8463
19/02/2018,2.67,2.69,2.66,2.69,45685
20/02/2018,2.67,2.7,2.67,2.69,32844
21/02/2018,2.7,2.76,2.7,2.76,38762
22/02/2018,2.76,2.76,2.71,2.71,88804
23/02/2018,2.7,2.71,2.65,2.65,150070
26/02/2018,2.67,2.71,2.67,2.71,53174
27/02/2018,2.73,2.74,2.7,2.74,34608
28/02/2018,2.74,2.74,2.74,2.74,43182
01/03/2018,2.72,2.74,2.72,2.74,42299
02/03/2018,2.73,2.73,2.7,2.7,37010
05/03/2018,2.7,2.72,2.69,2.69,28402
06/03/2018,2.72,2.72,2.72,2.72,23880
07/03/2018,2.7,2.72,2.69,2.7,53676
08/03/2018,2.72,2.72,2.7,2.72,25812
09/03/2018,2.7,2.72,2.7,2.7,11683
12/03/2018,2.72,2.72,2.7,2.7,9402
13/03/2018,2.7,2.72,2.7,2.72,77890
14/03/2018,2.7,2.7,2.68,2.7,6344
15/03/2018,2.68,2.69,2.67,2.69,31002
16/03/2018,2.66,2.7,2.66,2.69,37324
19/03/2018,2.68,2.68,2.65,2.68,19907
20/03/2018,2.68,2.7,2.66,2.7,36648
21/03/2018,2.68,2.68,2.68,2.68,13966
22/03/2018,2.68,2.69,2.68,2.69,11596
23/03/2018,2.68,2.7,2.68,2.7,29917
26/03/2018,2.7,2.72,2.69,2.72,96594
