Date,Open,High,Low,Close,Volume
25/07/2016,0.255,0.285,0.25,0.255,5605072
26/07/2016,0.26,0.265,0.255,0.26,1080260
27/07/2016,0.26,0.26,0.257,0.257,181640
28/07/2016,0.26,0.26,0.25,0.255,1097319
29/07/2016,0.25,0.25,0.25,0.25,433280
01/08/2016,0.25,0.25,0.24,0.25,410000
02/08/2016,0.25,0.25,0.25,0.25,0
03/08/2016,0.245,0.25,0.24,0.25,225000
04/08/2016,0.245,0.25,0.245,0.25,1041900
05/08/2016,0.245,0.25,0.245,0.25,44000
08/08/2016,0.25,0.25,0.25,0.25,83050
09/08/2016,0.247,0.25,0.245,0.25,469948
10/08/2016,0.252,0.252,0.25,0.25,205985
11/08/2016,0.245,0.25,0.245,0.25,345000
12/08/2016,0.25,0.25,0.245,0.245,60377
15/08/2016,0.25,0.25,0.25,0.25,675323
16/08/2016,0.255,0.255,0.25,0.25,418009
17/08/2016,0.25,0.25,0.25,0.25,135987
18/08/2016,0.25,0.255,0.25,0.25,406968
19/08/2016,0.25,0.25,0.245,0.25,301464
22/08/2016,0.25,0.25,0.25,0.25,130000
23/08/2016,0.25,0.25,0.25,0.25,216054
24/08/2016,0.25,0.25,0.25,0.25,67482
25/08/2016,0.245,0.245,0.245,0.245,406244
26/08/2016,0.245,0.245,0.245,0.245,25086
29/08/2016,0.245,0.245,0.245,0.245,0
30/08/2016,0.245,0.245,0.245,0.245,100000
31/08/2016,0.24,0.24,0.24,0.24,22889
01/09/2016,0.24,0.24,0.24,0.24,598385
02/09/2016,0.245,0.255,0.245,0.25,9076147
05/09/2016,0.255,0.255,0.255,0.255,2050
06/09/2016,0.25,0.25,0.245,0.245,100363
07/09/2016,0.245,0.245,0.245,0.245,0
08/09/2016,0.245,0.245,0.245,0.245,0
09/09/2016,0.245,0.245,0.245,0.245,0
12/09/2016,0.25,0.25,0.25,0.25,3450
13/09/2016,0.25,0.25,0.235,0.24,137355
14/09/2016,0.24,0.24,0.24,0.24,0
15/09/2016,0.24,0.24,0.24,0.24,0
16/09/2016,0.24,0.24,0.24,0.24,0
19/09/2016,0.24,0.24,0.24,0.24,0
20/09/2016,0.24,0.24,0.24,0.24,10947
21/09/2016,0.235,0.235,0.235,0.235,21
22/09/2016,0.235,0.235,0.235,0.235,21
23/09/2016,0.235,0.235,0.235,0.235,20202
26/09/2016,0.235,0.235,0.235,0.235,16089
27/09/2016,0.24,0.24,0.24,0.24,116501
28/09/2016,0.24,0.24,0.24,0.24,80000
29/09/2016,0.24,0.24,0.225,0.225,31290
30/09/2016,0.225,0.225,0.22,0.22,209057
03/10/2016,0.22,0.22,0.22,0.22,15000
04/10/2016,0.235,0.235,0.22,0.225,84915
05/10/2016,0.225,0.225,0.225,0.225,49369
06/10/2016,0.235,0.237,0.235,0.237,11938
07/10/2016,0.237,0.237,0.237,0.237,0
10/10/2016,0.237,0.237,0.237,0.237,0
11/10/2016,0.24,0.24,0.24,0.24,44862
12/10/2016,0.24,0.24,0.24,0.24,0
13/10/2016,0.24,0.24,0.232,0.235,214518
14/10/2016,0.235,0.235,0.235,0.235,0
17/10/2016,0.25,0.25,0.24,0.24,113372
18/10/2016,0.24,0.24,0.235,0.24,226924
19/10/2016,0.24,0.24,0.24,0.24,0
20/10/2016,0.24,0.24,0.24,0.24,0
21/10/2016,0.24,0.24,0.24,0.24,0
24/10/2016,0.24,0.24,0.24,0.24,0
25/10/2016,0.24,0.24,0.24,0.24,120000
26/10/2016,0.235,0.235,0.235,0.235,152619
27/10/2016,0.235,0.235,0.235,0.235,0
28/10/2016,0.235,0.235,0.235,0.235,0
31/10/2016,0.235,0.235,0.235,0.235,0
01/11/2016,0.235,0.235,0.235,0.235,0
02/11/2016,0.235,0.235,0.235,0.235,0
03/11/2016,0.237,0.25,0.235,0.235,81871
04/11/2016,0.235,0.235,0.235,0.235,20202
07/11/2016,0.235,0.235,0.235,0.235,110707
