Date,Open,High,Low,Close,Volume
16/11/2005,2.22,2.25,2.17,2.21,8968936
17/11/2005,2.21,2.3,2.2,2.3,2908187
18/11/2005,2.33,2.39,2.3,2.38,1797427
21/11/2005,2.37,2.38,2.35,2.38,490289
22/11/2005,2.38,2.38,2.31,2.33,1019920
23/11/2005,2.33,2.33,2.28,2.3,112850
24/11/2005,2.31,2.32,2.29,2.32,73500
25/11/2005,2.33,2.35,2.32,2.34,238100
28/11/2005,2.34,2.35,2.34,2.34,117000
29/11/2005,2.37,2.37,2.35,2.36,22468
30/11/2005,2.37,2.38,2.36,2.38,171153
01/12/2005,2.4,2.55,2.4,2.47,349991
02/12/2005,2.5,2.5,2.43,2.48,95500
05/12/2005,2.5,2.6,2.5,2.57,374428
06/12/2005,2.56,2.57,2.49,2.55,73510
07/12/2005,2.5,2.5,2.47,2.5,17000
08/12/2005,2.46,2.46,2.42,2.46,130500
09/12/2005,2.42,2.43,2.4,2.43,26000
12/12/2005,2.44,2.48,2.44,2.48,54537
13/12/2005,2.48,2.48,2.45,2.45,16197
14/12/2005,2.47,2.48,2.46,2.48,85001
15/12/2005,2.5,2.5,2.46,2.46,28714
16/12/2005,2.46,2.46,2.4,2.44,37325
19/12/2005,2.42,2.42,2.36,2.4,885700
20/12/2005,2.42,2.42,2.4,2.4,523
21/12/2005,2.4,2.41,2.4,2.4,109017
22/12/2005,2.4,2.4,2.37,2.4,271700
23/12/2005,2.4,2.4,2.4,2.4,299415
28/12/2005,2.42,2.42,2.4,2.4,46142
29/12/2005,2.4,2.44,2.4,2.42,64715
30/12/2005,2.4,2.41,2.4,2.41,30675
03/01/2006,2.41,2.46,2.4,2.4,119225
04/01/2006,2.4,2.41,2.4,2.41,21500
05/01/2006,2.41,2.41,2.41,2.41,156286
06/01/2006,2.41,2.44,2.41,2.44,8000
09/01/2006,2.43,2.43,2.43,2.43,20000
10/01/2006,2.43,2.43,2.43,2.43,69775
11/01/2006,2.44,2.49,2.44,2.49,22000
12/01/2006,2.49,2.5,2.49,2.5,201231
13/01/2006,2.55,2.57,2.55,2.57,315370
16/01/2006,2.6,2.63,2.6,2.6,272814
17/01/2006,2.61,2.61,2.56,2.59,14500
18/01/2006,2.58,2.59,2.55,2.58,232000
19/01/2006,2.55,2.63,2.55,2.63,457400
20/01/2006,2.68,2.7,2.65,2.69,225900
23/01/2006,2.65,2.65,2.61,2.65,79000
24/01/2006,2.63,2.65,2.6,2.6,280500
25/01/2006,2.6,2.6,2.56,2.6,336500
27/01/2006,2.6,2.6,2.56,2.6,25000
30/01/2006,2.6,2.6,2.56,2.6,24715
31/01/2006,2.59,2.6,2.59,2.6,39567
01/02/2006,2.58,2.62,2.55,2.6,236067
02/02/2006,2.65,2.68,2.65,2.65,40000
03/02/2006,2.66,2.66,2.62,2.65,5600
06/02/2006,2.64,2.67,2.62,2.67,101920
07/02/2006,2.66,2.66,2.61,2.61,98157
08/02/2006,2.61,2.65,2.6,2.62,101050
09/02/2006,2.6,2.67,2.6,2.67,12200
10/02/2006,2.67,2.67,2.6,2.67,22400
13/02/2006,2.64,2.65,2.64,2.64,307600
14/02/2006,2.64,2.67,2.64,2.67,62350
15/02/2006,2.67,2.67,2.61,2.65,208600
16/02/2006,2.61,2.65,2.61,2.65,11400
17/02/2006,2.66,2.66,2.63,2.63,12270
20/02/2006,2.63,2.63,2.63,2.63,0
21/02/2006,2.63,2.63,2.63,2.63,0
22/02/2006,2.65,2.65,2.64,2.64,10000
23/02/2006,2.64,2.64,2.64,2.64,2770
24/02/2006,2.66,2.7,2.66,2.7,24708
27/02/2006,2.73,2.77,2.73,2.77,30431
28/02/2006,2.8,2.8,2.75,2.76,32220
01/03/2006,2.75,2.75,2.68,2.68,601000
02/03/2006,2.69,2.7,2.68,2.68,329667
03/03/2006,2.68,2.68,2.63,2.63,1655319
06/03/2006,2.67,2.7,2.67,2.67,4189
07/03/2006,2.65,2.67,2.6,2.6,114711
08/03/2006,2.58,2.6,2.58,2.6,15000
09/03/2006,2.6,2.6,2.58,2.6,10000
10/03/2006,2.6,2.6,2.6,2.6,16700
13/03/2006,2.6,2.6,2.59,2.59,105150
14/03/2006,2.56,2.59,2.56,2.59,224888
15/03/2006,2.6,2.63,2.6,2.6,15000
16/03/2006,2.6,2.6,2.58,2.6,70600
17/03/2006,2.62,2.67,2.6,2.65,164800
20/03/2006,2.65,2.65,2.6,2.65,47000
21/03/2006,2.61,2.7,2.61,2.7,170723
22/03/2006,2.7,2.76,2.7,2.75,178522
23/03/2006,2.75,2.76,2.72,2.75,35250
24/03/2006,2.75,2.75,2.71,2.75,57200
27/03/2006,2.75,2.76,2.71,2.72,73587
28/03/2006,2.69,2.72,2.69,2.7,83603
29/03/2006,2.7,2.7,2.7,2.7,23500
30/03/2006,2.7,2.7,2.7,2.7,46000
31/03/2006,2.7,2.7,2.67,2.7,76470
03/04/2006,2.69,2.7,2.66,2.66,32500
04/04/2006,2.68,2.7,2.66,2.66,47977
05/04/2006,2.68,2.69,2.63,2.69,96300
06/04/2006,2.66,2.66,2.66,2.66,14500
07/04/2006,2.66,2.66,2.66,2.66,375
10/04/2006,2.61,2.66,2.6,2.66,35475
11/04/2006,2.66,2.69,2.6,2.65,294196
12/04/2006,2.69,2.72,2.65,2.72,95299
13/04/2006,2.72,2.72,2.72,2.72,5000
18/04/2006,2.73,2.8,2.73,2.8,39750
19/04/2006,2.89,2.89,2.85,2.89,55000
20/04/2006,2.89,2.89,2.67,2.89,45635
21/04/2006,2.85,2.89,2.85,2.89,46725
24/04/2006,2.89,2.89,2.85,2.89,103100
26/04/2006,2.89,2.89,2.89,2.89,45234
27/04/2006,2.89,2.9,2.88,2.9,110000
28/04/2006,2.89,2.89,2.87,2.89,63000
01/05/2006,2.89,2.89,2.89,2.89,0
02/05/2006,2.85,2.88,2.8,2.86,39250
03/05/2006,2.76,2.84,2.72,2.84,15500
04/05/2006,2.84,2.84,2.84,2.84,15000
05/05/2006,2.84,2.84,2.84,2.84,10200
08/05/2006,2.84,2.98,2.84,2.98,84714
09/05/2006,3.2,3.2,3.14,3.19,412780
10/05/2006,3.2,3.25,3.14,3.14,446288
11/05/2006,3.2,3.25,3.2,3.2,62266
12/05/2006,3.2,3.25,3.19,3.19,88976
15/05/2006,3.15,3.15,3.13,3.13,36300
16/05/2006,3.17,3.25,3.17,3.17,105322
17/05/2006,3.2,3.2,3.14,3.17,69445
18/05/2006,3.12,3.2,3.12,3.19,97250
19/05/2006,3.15,3.25,3.15,3.25,182413
22/05/2006,3.25,3.25,3.19,3.25,169926
23/05/2006,3.2,3.25,3.13,3.24,38700
24/05/2006,3.23,3.23,3.2,3.2,53800
25/05/2006,3.13,3.2,3.12,3.14,39100
26/05/2006,3.14,3.2,3.14,3.2,8865
29/05/2006,3.1,3.2,3.1,3.2,8260
30/05/2006,3.1,3.2,3.1,3.2,33750
31/05/2006,3.2,3.2,3.2,3.2,12710
01/06/2006,3.2,3.2,3.2,3.2,30350
02/06/2006,3.22,3.23,3.2,3.22,19270
05/06/2006,3.22,3.22,3.2,3.2,8000
06/06/2006,3.2,3.2,3.2,3.2,0
07/06/2006,3.16,3.16,3.11,3.15,21500
08/06/2006,3.12,3.15,3.12,3.15,14200
09/06/2006,3.16,3.2,3.12,3.15,64618
13/06/2006,3.15,3.15,3.1,3.15,131400
14/06/2006,3.1,3.1,3.1,3.1,70314
15/06/2006,3.1,3.14,3.1,3.14,5200
16/06/2006,3.14,3.15,3.14,3.14,16200
19/06/2006,3.14,3.14,3.14,3.14,6000
20/06/2006,3.1,3.14,3.1,3.14,44000
21/06/2006,3.14,3.14,3.14,3.14,10000
22/06/2006,3.12,3.15,3.12,3.15,45500
23/06/2006,3.11,3.15,3.1,3.15,8000
26/06/2006,3.15,3.15,3.15,3.15,2500
27/06/2006,3.15,3.15,3.14,3.14,18800
28/06/2006,3.1,3.15,3.05,3.15,48900
29/06/2006,3.15,3.15,3.15,3.15,2000
30/06/2006,3.18,3.18,3.11,3.15,36500
03/07/2006,3.15,3.15,3.02,3.06,441174
04/07/2006,3.06,3.15,3.06,3.15,85712
05/07/2006,3.15,3.18,3.15,3.15,60594
06/07/2006,3.15,3.15,3.1,3.15,54096
07/07/2006,3.15,3.15,3.13,3.13,6500
10/07/2006,3.15,3.2,3.14,3.15,386073
11/07/2006,3.15,3.19,3.15,3.19,56490
12/07/2006,3.15,3.15,3.11,3.13,39050
13/07/2006,3.1,3.11,3.1,3.11,12000
14/07/2006,3.1,3.1,3.04,3.04,54524
17/07/2006,3,3.04,3,3.04,18200
18/07/2006,3.04,3.04,3.04,3.04,7500
