Date,Open,High,Low,Close,Volume
18/12/2012,0.24,0.25,0.24,0.24,85000
19/12/2012,0.26,0.26,0.26,0.26,25000
20/12/2012,0.27,0.27,0.25,0.27,68703
21/12/2012,0.27,0.29,0.27,0.29,66297
24/12/2012,0.29,0.295,0.29,0.29,51362
27/12/2012,0.285,0.285,0.285,0.285,7000
28/12/2012,0.285,0.285,0.285,0.285,0
31/12/2012,0.285,0.285,0.285,0.285,0
02/01/2013,0.27,0.27,0.27,0.27,36638
03/01/2013,0.27,0.27,0.27,0.27,0
04/01/2013,0.27,0.27,0.27,0.27,14990
07/01/2013,0.27,0.27,0.27,0.27,0
08/01/2013,0.26,0.28,0.26,0.28,16650
09/01/2013,0.28,0.28,0.28,0.28,0
10/01/2013,0.28,0.28,0.28,0.28,0
11/01/2013,0.25,0.25,0.25,0.25,15000
14/01/2013,0.27,0.275,0.27,0.275,20000
15/01/2013,0.275,0.275,0.275,0.275,17500
16/01/2013,0.275,0.275,0.275,0.275,0
17/01/2013,0.275,0.275,0.275,0.275,7500
18/01/2013,0.27,0.27,0.25,0.25,22500
21/01/2013,0.25,0.25,0.25,0.25,50000
22/01/2013,0.25,0.25,0.25,0.25,0
23/01/2013,0.25,0.25,0.25,0.25,11100
24/01/2013,0.25,0.25,0.25,0.25,0
25/01/2013,0.24,0.24,0.23,0.24,74313
29/01/2013,0.24,0.24,0.24,0.24,12500
30/01/2013,0.24,0.24,0.24,0.24,0
31/01/2013,0.24,0.24,0.24,0.24,0
01/02/2013,0.24,0.24,0.24,0.24,0
04/02/2013,0.25,0.25,0.25,0.25,40000
05/02/2013,0.25,0.25,0.25,0.25,0
06/02/2013,0.25,0.25,0.24,0.24,34487
07/02/2013,0.24,0.24,0.24,0.24,0
08/02/2013,0.24,0.24,0.24,0.24,0
11/02/2013,0.24,0.24,0.24,0.24,0
12/02/2013,0.24,0.24,0.24,0.24,30513
13/02/2013,0.24,0.24,0.24,0.24,25000
14/02/2013,0.24,0.24,0.23,0.23,65000
15/02/2013,0.24,0.24,0.24,0.24,10360
18/02/2013,0.24,0.24,0.235,0.235,4200
19/02/2013,0.235,0.235,0.235,0.235,0
20/02/2013,0.24,0.24,0.24,0.24,5540
21/02/2013,0.235,0.235,0.235,0.235,20000
22/02/2013,0.235,0.235,0.235,0.235,2147
25/02/2013,0.235,0.235,0.235,0.235,51500
26/02/2013,0.235,0.235,0.23,0.23,27150
27/02/2013,0.23,0.23,0.23,0.23,39557
28/02/2013,0.23,0.25,0.23,0.25,119460
01/03/2013,0.23,0.23,0.23,0.23,20000
04/03/2013,0.23,0.23,0.23,0.23,0
05/03/2013,0.23,0.23,0.23,0.23,0
06/03/2013,0.23,0.23,0.23,0.23,0
07/03/2013,0.235,0.235,0.235,0.235,10000
08/03/2013,0.235,0.235,0.235,0.235,0
11/03/2013,0.23,0.23,0.22,0.22,55483
12/03/2013,0.22,0.22,0.22,0.22,0
13/03/2013,0.22,0.22,0.22,0.22,20663
14/03/2013,0.22,0.22,0.22,0.22,0
15/03/2013,0.22,0.22,0.22,0.22,2650
18/03/2013,0.22,0.22,0.22,0.22,0
19/03/2013,0.22,0.22,0.22,0.22,24944
20/03/2013,0.22,0.22,0.22,0.22,0
21/03/2013,0.22,0.23,0.22,0.23,26000
22/03/2013,0.23,0.23,0.215,0.23,42433
25/03/2013,0.23,0.23,0.23,0.23,0
26/03/2013,0.23,0.23,0.23,0.23,0
27/03/2013,0.23,0.23,0.23,0.23,0
28/03/2013,0.23,0.23,0.23,0.23,0
02/04/2013,0.215,0.215,0.215,0.215,15000
03/04/2013,0.215,0.215,0.215,0.215,50000
04/04/2013,0.215,0.215,0.215,0.215,0
05/04/2013,0.215,0.215,0.215,0.215,0
08/04/2013,0.23,0.23,0.23,0.23,5000
09/04/2013,0.22,0.22,0.215,0.215,25000
10/04/2013,0.215,0.215,0.215,0.215,8628
11/04/2013,0.215,0.215,0.215,0.215,0
12/04/2013,0.215,0.215,0.215,0.215,0
15/04/2013,0.215,0.215,0.215,0.215,0
16/04/2013,0.215,0.215,0.215,0.215,30000
17/04/2013,0.215,0.215,0.215,0.215,0
18/04/2013,0.215,0.215,0.215,0.215,0
