Date,Open,High,Low,Close,Volume
30/01/2018,0.29,0.32,0.28,0.3,1204607
31/01/2018,0.31,0.32,0.285,0.285,716320
01/02/2018,0.285,0.285,0.275,0.28,262049
02/02/2018,0.285,0.34,0.285,0.32,287408
05/02/2018,0.33,0.33,0.28,0.32,146771
06/02/2018,0.3,0.33,0.3,0.31,147897
07/02/2018,0.325,0.38,0.325,0.37,631830
08/02/2018,0.37,0.375,0.35,0.36,296200
09/02/2018,0.35,0.36,0.33,0.33,186151
12/02/2018,0.345,0.345,0.345,0.345,10000
13/02/2018,0.345,0.345,0.33,0.33,157855
14/02/2018,0.33,0.33,0.325,0.33,161500
15/02/2018,0.335,0.355,0.33,0.33,145029
16/02/2018,0.335,0.335,0.33,0.33,50000
19/02/2018,0.345,0.36,0.345,0.36,42116
20/02/2018,0.36,0.37,0.36,0.37,15405
21/02/2018,0.36,0.38,0.35,0.38,324384
22/02/2018,0.37,0.37,0.36,0.36,85000
23/02/2018,0.37,0.4,0.37,0.38,112686
26/02/2018,0.38,0.38,0.37,0.38,14350
27/02/2018,0.38,0.38,0.34,0.34,157756
28/02/2018,0.35,0.375,0.35,0.375,15861
01/03/2018,0.37,0.37,0.365,0.365,5230
02/03/2018,0.35,0.35,0.35,0.35,9333
05/03/2018,0.365,0.37,0.365,0.37,10122
06/03/2018,0.37,0.39,0.37,0.375,178287
07/03/2018,0.375,0.375,0.36,0.36,42985
08/03/2018,0.375,0.4,0.375,0.38,288000
09/03/2018,0.38,0.39,0.38,0.38,93088
12/03/2018,0.38,0.38,0.355,0.355,33563
13/03/2018,0.365,0.38,0.36,0.38,213379
14/03/2018,0.38,0.39,0.375,0.375,181778
15/03/2018,0.37,0.37,0.365,0.365,74995
16/03/2018,0.37,0.375,0.36,0.36,99384
19/03/2018,0.36,0.36,0.345,0.35,170114
20/03/2018,0.345,0.36,0.34,0.36,193188
21/03/2018,0.37,0.37,0.355,0.355,115912
22/03/2018,0.365,0.37,0.355,0.36,96831
23/03/2018,0.355,0.36,0.34,0.34,161387
26/03/2018,0.345,0.345,0.34,0.34,89701
27/03/2018,0.34,0.35,0.34,0.35,99788
28/03/2018,0.34,0.34,0.34,0.34,122211
29/03/2018,0.335,0.34,0.33,0.335,108500
03/04/2018,0.33,0.33,0.31,0.31,399393
04/04/2018,0.32,0.33,0.31,0.31,172475
05/04/2018,0.32,0.32,0.315,0.315,26451
06/04/2018,0.32,0.35,0.32,0.35,98049
09/04/2018,0.345,0.345,0.34,0.34,39860
10/04/2018,0.335,0.345,0.335,0.335,129801
11/04/2018,0.34,0.355,0.34,0.35,174705
12/04/2018,0.345,0.345,0.345,0.345,10000
13/04/2018,0.35,0.35,0.35,0.35,93526
16/04/2018,0.34,0.34,0.335,0.335,50000
17/04/2018,0.34,0.34,0.335,0.335,92099
18/04/2018,0.34,0.34,0.305,0.31,353534
19/04/2018,0.32,0.32,0.3,0.3,125195
20/04/2018,0.3,0.31,0.28,0.305,255792
23/04/2018,0.3,0.3,0.285,0.285,35574
24/04/2018,0.295,0.3,0.29,0.3,94295
26/04/2018,0.3,0.31,0.3,0.31,40000
27/04/2018,0.31,0.31,0.31,0.31,36545
30/04/2018,0.305,0.305,0.3,0.3,83200
01/05/2018,0.295,0.295,0.295,0.295,50855
02/05/2018,0.295,0.3,0.29,0.3,298696
03/05/2018,0.295,0.295,0.28,0.295,170775
04/05/2018,0.295,0.3,0.28,0.285,75225
07/05/2018,0.28,0.28,0.28,0.28,77000
08/05/2018,0.29,0.3,0.29,0.295,112753
09/05/2018,0.285,0.285,0.285,0.285,35450
10/05/2018,0.295,0.295,0.295,0.295,16000
11/05/2018,0.29,0.29,0.28,0.28,85000
14/05/2018,0.28,0.28,0.28,0.28,19500
15/05/2018,0.28,0.28,0.275,0.28,111800
16/05/2018,0.28,0.285,0.25,0.285,416284
17/05/2018,0.295,0.3,0.27,0.285,160415
18/05/2018,0.285,0.285,0.275,0.275,73082
21/05/2018,0.285,0.285,0.275,0.275,107500
22/05/2018,0.295,0.295,0.285,0.285,86000
23/05/2018,0.3,0.32,0.3,0.3,337453
24/05/2018,0.3,0.3,0.3,0.3,6442
25/05/2018,0.3,0.3,0.3,0.3,153405
28/05/2018,0.3,0.3,0.285,0.285,32402
29/05/2018,0.295,0.295,0.295,0.295,2000
30/05/2018,0.3,0.3,0.3,0.3,6593
31/05/2018,0.3,0.305,0.29,0.3,87000
01/06/2018,0.3,0.3,0.3,0.3,16500
04/06/2018,0.3,0.3,0.3,0.3,0
05/06/2018,0.29,0.29,0.29,0.29,106500
06/06/2018,0.29,0.29,0.29,0.29,58500
07/06/2018,0.285,0.285,0.275,0.275,191652
08/06/2018,0.275,0.275,0.275,0.275,0
12/06/2018,0.275,0.275,0.275,0.275,0
13/06/2018,0.26,0.275,0.26,0.275,13800
14/06/2018,0.27,0.27,0.27,0.27,3890
15/06/2018,0.26,0.26,0.26,0.26,10000
18/06/2018,0.26,0.26,0.26,0.26,50000
19/06/2018,0.26,0.265,0.26,0.26,160700
20/06/2018,0.26,0.26,0.26,0.26,691685
21/06/2018,0.26,0.265,0.26,0.265,301702
22/06/2018,0.26,0.26,0.25,0.255,175357
25/06/2018,0.25,0.25,0.25,0.25,10553
26/06/2018,0.25,0.25,0.25,0.25,57367
27/06/2018,0.24,0.25,0.24,0.24,72133
28/06/2018,0.25,0.25,0.245,0.25,124811
29/06/2018,0.25,0.255,0.25,0.255,74946
02/07/2018,0.255,0.255,0.255,0.255,0
03/07/2018,0.26,0.26,0.25,0.25,104000
04/07/2018,0.25,0.25,0.25,0.25,22951
05/07/2018,0.255,0.255,0.255,0.255,2100
06/07/2018,0.245,0.245,0.23,0.23,33757
09/07/2018,0.23,0.23,0.23,0.23,29680
10/07/2018,0.23,0.23,0.23,0.23,0
11/07/2018,0.23,0.24,0.22,0.24,128340
12/07/2018,0.24,0.24,0.24,0.24,0
13/07/2018,0.24,0.24,0.24,0.24,0
16/07/2018,0.24,0.24,0.225,0.225,22750
17/07/2018,0.225,0.25,0.22,0.25,39376
18/07/2018,0.24,0.24,0.24,0.24,70000
19/07/2018,0.24,0.24,0.24,0.24,0
20/07/2018,0.24,0.24,0.24,0.24,0
23/07/2018,0.24,0.24,0.24,0.24,40000
24/07/2018,0.25,0.25,0.25,0.25,12500
25/07/2018,0.24,0.24,0.24,0.24,30776
26/07/2018,0.24,0.24,0.24,0.24,31900
27/07/2018,0.24,0.24,0.24,0.24,21324
30/07/2018,0.23,0.23,0.22,0.225,81576
31/07/2018,0.225,0.225,0.225,0.225,0
01/08/2018,0.225,0.225,0.225,0.225,270
02/08/2018,0.23,0.23,0.23,0.23,10000
03/08/2018,0.225,0.225,0.2,0.2,25000
06/08/2018,0.22,0.22,0.22,0.22,2275
07/08/2018,0.2,0.205,0.19,0.195,105843
08/08/2018,0.195,0.195,0.195,0.195,0
09/08/2018,0.195,0.195,0.175,0.175,103833
10/08/2018,0.19,0.19,0.19,0.19,62451
13/08/2018,0.2,0.2,0.19,0.19,61000
14/08/2018,0.19,0.19,0.19,0.19,0
15/08/2018,0.185,0.185,0.17,0.17,143418
16/08/2018,0.17,0.17,0.17,0.17,0
17/08/2018,0.17,0.17,0.17,0.17,4095
20/08/2018,0.17,0.17,0.17,0.17,0
21/08/2018,0.17,0.17,0.14,0.15,388436
22/08/2018,0.145,0.145,0.145,0.145,11394
23/08/2018,0.155,0.155,0.155,0.155,6400
24/08/2018,0.15,0.15,0.14,0.14,172350
27/08/2018,0.14,0.155,0.14,0.155,125463
28/08/2018,0.155,0.165,0.155,0.165,206189
29/08/2018,0.175,0.175,0.172,0.175,28500
30/08/2018,0.175,0.175,0.175,0.175,14289
31/08/2018,0.18,0.19,0.175,0.19,83657
03/09/2018,0.21,0.225,0.21,0.22,109075
04/09/2018,0.2,0.2,0.2,0.2,44500
05/09/2018,0.2,0.2,0.2,0.2,3500
06/09/2018,0.2,0.2,0.2,0.2,0
07/09/2018,0.2,0.2,0.2,0.2,0
10/09/2018,0.2,0.2,0.2,0.2,0
11/09/2018,0.2,0.2,0.2,0.2,0
12/09/2018,0.2,0.2,0.2,0.2,0
13/09/2018,0.19,0.2,0.19,0.2,212583
14/09/2018,0.2,0.2,0.2,0.2,7500
17/09/2018,0.2,0.2,0.2,0.2,0
18/09/2018,0.19,0.19,0.19,0.19,11000
19/09/2018,0.19,0.19,0.18,0.18,17600
20/09/2018,0.18,0.19,0.18,0.185,48092
21/09/2018,0.18,0.19,0.18,0.19,63383
24/09/2018,0.19,0.19,0.19,0.19,0
25/09/2018,0.19,0.19,0.19,0.19,0
26/09/2018,0.19,0.19,0.19,0.19,0
27/09/2018,0.19,0.19,0.19,0.19,0
28/09/2018,0.19,0.19,0.19,0.19,0
01/10/2018,0.175,0.175,0.175,0.175,5250
02/10/2018,0.17,0.18,0.17,0.18,25200
03/10/2018,0.18,0.18,0.18,0.18,0
04/10/2018,0.17,0.17,0.17,0.17,15000
05/10/2018,0.17,0.18,0.17,0.18,55433
08/10/2018,0.2,0.21,0.2,0.21,13184
09/10/2018,0.23,0.235,0.22,0.22,325354
10/10/2018,0.23,0.23,0.21,0.22,120550
11/10/2018,0.215,0.22,0.215,0.22,55000
