Date,Open,High,Low,Close,Volume
19/01/2018,0.205,0.21,0.175,0.205,1653772
22/01/2018,0.21,0.22,0.195,0.205,991623
23/01/2018,0.21,0.21,0.19,0.205,173590
24/01/2018,0.21,0.21,0.205,0.21,358804
25/01/2018,0.21,0.25,0.21,0.23,910961
29/01/2018,0.245,0.245,0.235,0.24,191095
30/01/2018,0.24,0.24,0.235,0.235,151977
31/01/2018,0.235,0.235,0.215,0.23,239934
01/02/2018,0.23,0.23,0.215,0.22,53693
02/02/2018,0.22,0.225,0.215,0.225,190759
05/02/2018,0.22,0.22,0.21,0.21,156074
06/02/2018,0.205,0.205,0.185,0.2,368904
07/02/2018,0.2,0.22,0.19,0.2,231210
08/02/2018,0.2,0.2,0.2,0.2,4000
09/02/2018,0.2,0.2,0.2,0.2,51581
12/02/2018,0.2,0.2,0.185,0.19,232599
13/02/2018,0.19,0.19,0.19,0.19,0
14/02/2018,0.2,0.205,0.2,0.2,78390
15/02/2018,0.2,0.22,0.2,0.21,249110
16/02/2018,0.215,0.215,0.195,0.195,257452
19/02/2018,0.195,0.195,0.195,0.195,118000
20/02/2018,0.2,0.2,0.195,0.195,15000
21/02/2018,0.195,0.195,0.185,0.185,124600
22/02/2018,0.19,0.195,0.19,0.195,16652
23/02/2018,0.195,0.2,0.195,0.2,91768
26/02/2018,0.2,0.2,0.2,0.2,35000
27/02/2018,0.2,0.205,0.2,0.2,80812
28/02/2018,0.195,0.195,0.155,0.185,817709
01/03/2018,0.175,0.185,0.175,0.185,19252
02/03/2018,0.18,0.18,0.18,0.18,98758
05/03/2018,0.175,0.18,0.175,0.18,11500
06/03/2018,0.18,0.18,0.175,0.175,65153
07/03/2018,0.175,0.185,0.175,0.18,170825
08/03/2018,0.175,0.175,0.155,0.16,511182
09/03/2018,0.155,0.16,0.155,0.16,174836
12/03/2018,0.155,0.16,0.155,0.155,37047
13/03/2018,0.155,0.165,0.155,0.165,48710
14/03/2018,0.16,0.19,0.16,0.19,355173
15/03/2018,0.19,0.2,0.185,0.185,211012
16/03/2018,0.19,0.19,0.185,0.185,20366
19/03/2018,0.19,0.19,0.19,0.19,12287
20/03/2018,0.185,0.185,0.175,0.18,133748
21/03/2018,0.19,0.19,0.19,0.19,5000
22/03/2018,0.18,0.18,0.18,0.18,35079
23/03/2018,0.175,0.175,0.175,0.175,15000
26/03/2018,0.165,0.165,0.16,0.165,135000
27/03/2018,0.17,0.17,0.17,0.17,55794
28/03/2018,0.175,0.175,0.175,0.175,12500
29/03/2018,0.16,0.16,0.16,0.16,420000
03/04/2018,0.16,0.16,0.155,0.155,184750
04/04/2018,0.155,0.165,0.155,0.165,25000
05/04/2018,0.15,0.15,0.15,0.15,76000
06/04/2018,0.15,0.175,0.15,0.17,150177
09/04/2018,0.17,0.17,0.17,0.17,0
10/04/2018,0.17,0.17,0.17,0.17,0
11/04/2018,0.165,0.165,0.165,0.165,20000
12/04/2018,0.165,0.175,0.165,0.175,28161
13/04/2018,0.175,0.175,0.16,0.175,77300
16/04/2018,0.175,0.175,0.175,0.175,0
17/04/2018,0.165,0.17,0.165,0.17,58706
18/04/2018,0.165,0.165,0.16,0.16,23250
19/04/2018,0.15,0.15,0.15,0.15,29052
20/04/2018,0.15,0.15,0.15,0.15,15000
23/04/2018,0.145,0.16,0.145,0.16,63211
24/04/2018,0.145,0.165,0.145,0.145,140155
26/04/2018,0.15,0.15,0.145,0.145,26655
27/04/2018,0.15,0.15,0.145,0.145,80000
30/04/2018,0.145,0.15,0.145,0.145,164150
01/05/2018,0.145,0.145,0.14,0.14,190000
02/05/2018,0.145,0.145,0.145,0.145,10000
03/05/2018,0.145,0.145,0.145,0.145,0
04/05/2018,0.14,0.14,0.13,0.135,28075
07/05/2018,0.135,0.135,0.13,0.13,140939
08/05/2018,0.13,0.13,0.11,0.13,276012
09/05/2018,0.13,0.135,0.11,0.135,195500
10/05/2018,0.135,0.14,0.125,0.14,129534
11/05/2018,0.14,0.15,0.135,0.135,163450
14/05/2018,0.14,0.14,0.14,0.14,41499
15/05/2018,0.14,0.145,0.135,0.135,113300
16/05/2018,0.135,0.135,0.13,0.13,343499
17/05/2018,0.15,0.155,0.14,0.14,334446
18/05/2018,0.145,0.145,0.14,0.14,18913
21/05/2018,0.14,0.14,0.14,0.14,35000
22/05/2018,0.135,0.135,0.13,0.13,29000
23/05/2018,0.13,0.135,0.13,0.13,171197
24/05/2018,0.13,0.135,0.13,0.135,134364
25/05/2018,0.13,0.13,0.125,0.13,135140
28/05/2018,0.125,0.13,0.125,0.125,113100
29/05/2018,0.125,0.145,0.125,0.13,36440
30/05/2018,0.13,0.13,0.13,0.13,14515
31/05/2018,0.12,0.12,0.12,0.12,35485
01/06/2018,0.13,0.135,0.13,0.135,20000
04/06/2018,0.135,0.135,0.125,0.13,34505
05/06/2018,0.13,0.13,0.13,0.13,5000
06/06/2018,0.12,0.12,0.12,0.12,54900
07/06/2018,0.115,0.115,0.11,0.11,112050
08/06/2018,0.115,0.115,0.11,0.11,76000
12/06/2018,0.11,0.11,0.11,0.11,70000
13/06/2018,0.11,0.11,0.1,0.105,197000
14/06/2018,0.1,0.1,0.099,0.1,433892
15/06/2018,0.1,0.1,0.1,0.1,140000
18/06/2018,0.1,0.1,0.09,0.09,314825
19/06/2018,0.088,0.091,0.084,0.087,568360
20/06/2018,0.09,0.09,0.09,0.09,27000
21/06/2018,0.087,0.095,0.087,0.095,98500
