Date,Open,High,Low,Close,Volume
05/12/2003,0.25,0.25,0.23,0.24,1540534
08/12/2003,0.24,0.25,0.24,0.25,261201
09/12/2003,0.24,0.24,0.235,0.24,309099
10/12/2003,0.24,0.24,0.235,0.24,220000
11/12/2003,0.235,0.235,0.23,0.23,90000
12/12/2003,0.235,0.235,0.235,0.235,75000
15/12/2003,0.235,0.235,0.23,0.23,178001
16/12/2003,0.23,0.24,0.23,0.24,407900
17/12/2003,0.24,0.25,0.24,0.25,168500
18/12/2003,0.25,0.29,0.245,0.28,308500
19/12/2003,0.29,0.3,0.29,0.3,469000
22/12/2003,0.3,0.3,0.28,0.295,165000
23/12/2003,0.29,0.29,0.285,0.29,190000
24/12/2003,0.29,0.29,0.285,0.285,133000
29/12/2003,0.3,0.35,0.295,0.295,66000
30/12/2003,0.3,0.3,0.285,0.3,127000
31/12/2003,0.285,0.3,0.285,0.3,76800
02/01/2004,0.3,0.31,0.29,0.3,531200
05/01/2004,0.32,0.32,0.3,0.3,84075
06/01/2004,0.31,0.32,0.3,0.31,448046
07/01/2004,0.31,0.32,0.305,0.31,263300
08/01/2004,0.31,0.31,0.3,0.3,110579
09/01/2004,0.305,0.305,0.3,0.3,83000
12/01/2004,0.3,0.31,0.3,0.3,465600
13/01/2004,0.3,0.3,0.3,0.3,131700
14/01/2004,0.3,0.3,0.3,0.3,176779
15/01/2004,0.295,0.3,0.295,0.3,101800
16/01/2004,0.3,0.3,0.29,0.3,207947
19/01/2004,0.31,0.35,0.3,0.35,536000
20/01/2004,0.35,0.36,0.34,0.35,235100
21/01/2004,0.35,0.35,0.335,0.34,315653
22/01/2004,0.335,0.34,0.33,0.34,141720
23/01/2004,0.345,0.35,0.34,0.34,110127
27/01/2004,0.345,0.345,0.33,0.34,205000
28/01/2004,0.345,0.365,0.345,0.36,687000
29/01/2004,0.36,0.4,0.36,0.36,500926
30/01/2004,0.37,0.37,0.34,0.365,271953
02/02/2004,0.365,0.39,0.35,0.38,402995
03/02/2004,0.39,0.49,0.39,0.49,1290490
04/02/2004,0.49,0.52,0.47,0.48,703826
05/02/2004,0.47,0.47,0.455,0.455,516796
06/02/2004,0.455,0.46,0.455,0.46,239132
09/02/2004,0.465,0.49,0.465,0.49,243871
10/02/2004,0.5,0.55,0.5,0.53,731625
11/02/2004,0.53,0.58,0.53,0.58,733125
12/02/2004,0.59,0.64,0.58,0.63,700197
13/02/2004,0.67,0.69,0.61,0.63,686166
16/02/2004,0.64,0.68,0.62,0.68,328500
17/02/2004,0.69,0.75,0.69,0.74,566750
18/02/2004,0.75,0.85,0.75,0.85,858394
19/02/2004,0.84,0.84,0.68,0.71,990945
20/02/2004,0.71,0.75,0.63,0.67,563863
