Date,Open,High,Low,Close,Volume
25/06/2002,0.55,0.57,0.55,0.55,593000
26/06/2002,0.57,0.59,0.56,0.57,628680
27/06/2002,0.56,0.57,0.55,0.56,148000
28/06/2002,0.55,0.55,0.54,0.55,59499
01/07/2002,0.55,0.55,0.54,0.54,94878
02/07/2002,0.52,0.52,0.495,0.495,70060
03/07/2002,0.48,0.5,0.48,0.5,61540
04/07/2002,0.51,0.51,0.5,0.5,23000
05/07/2002,0.5,0.5,0.5,0.5,7000
08/07/2002,0.51,0.51,0.5,0.5,47999
09/07/2002,0.5,0.5,0.5,0.5,0
10/07/2002,0.51,0.51,0.5,0.5,54723
11/07/2002,0.5,0.51,0.5,0.51,51662
12/07/2002,0.5,0.5,0.5,0.5,10000
15/07/2002,0.5,0.5,0.5,0.5,28000
16/07/2002,0.51,0.51,0.5,0.5,41195
17/07/2002,0.5,0.5,0.495,0.5,89001
18/07/2002,0.49,0.49,0.49,0.49,8000
19/07/2002,0.49,0.49,0.49,0.49,12000
22/07/2002,0.48,0.48,0.48,0.48,32102
23/07/2002,0.45,0.48,0.445,0.48,39800
24/07/2002,0.47,0.47,0.47,0.47,2083
25/07/2002,0.47,0.47,0.47,0.47,0
26/07/2002,0.455,0.455,0.45,0.45,7917
29/07/2002,0.46,0.47,0.45,0.45,230000
30/07/2002,0.45,0.45,0.45,0.45,32222
31/07/2002,0.445,0.445,0.445,0.445,5000
01/08/2002,0.425,0.425,0.425,0.425,25000
02/08/2002,0.425,0.425,0.415,0.415,5000
05/08/2002,0.43,0.43,0.43,0.43,1000
06/08/2002,0.44,0.44,0.44,0.44,6500
07/08/2002,0.44,0.44,0.44,0.44,0
08/08/2002,0.435,0.45,0.435,0.45,80000
09/08/2002,0.45,0.45,0.45,0.45,0
12/08/2002,0.44,0.44,0.44,0.44,20000
13/08/2002,0.44,0.44,0.44,0.44,0
14/08/2002,0.44,0.44,0.44,0.44,0
15/08/2002,0.44,0.44,0.44,0.44,0
16/08/2002,0.44,0.44,0.42,0.42,50000
19/08/2002,0.42,0.42,0.42,0.42,0
20/08/2002,0.445,0.445,0.445,0.445,12000
21/08/2002,0.45,0.45,0.45,0.45,4500
22/08/2002,0.45,0.46,0.45,0.46,42500
23/08/2002,0.48,0.49,0.48,0.49,73098
26/08/2002,0.5,0.51,0.5,0.51,2400
27/08/2002,0.51,0.51,0.5,0.5,22742
28/08/2002,0.5,0.51,0.5,0.51,25000
29/08/2002,0.52,0.52,0.5,0.5,1219000
30/08/2002,0.51,0.52,0.51,0.52,372758
02/09/2002,0.52,0.52,0.52,0.52,13793
03/09/2002,0.51,0.51,0.51,0.51,121000
04/09/2002,0.5,0.5,0.5,0.5,41000
05/09/2002,0.5,0.52,0.5,0.52,134500
06/09/2002,0.52,0.52,0.52,0.52,40000
09/09/2002,0.51,0.51,0.51,0.51,920000
10/09/2002,0.51,0.51,0.51,0.51,0
11/09/2002,0.51,0.51,0.51,0.51,0
12/09/2002,0.5,0.52,0.5,0.5,84949
13/09/2002,0.5,0.5,0.5,0.5,0
16/09/2002,0.5,0.5,0.5,0.5,20000
17/09/2002,0.5,0.5,0.5,0.5,1551
18/09/2002,0.49,0.49,0.49,0.49,2949
19/09/2002,0.49,0.49,0.49,0.49,0
20/09/2002,0.49,0.49,0.49,0.49,5000
23/09/2002,0.5,0.5,0.495,0.495,11000
24/09/2002,0.49,0.49,0.49,0.49,44900
25/09/2002,0.49,0.49,0.49,0.49,0
26/09/2002,0.495,0.495,0.495,0.495,10000
27/09/2002,0.51,0.51,0.51,0.51,40000
