Date,Open,High,Low,Close,Volume
24/02/2021,15,15,14.15,14.16,16421
25/02/2021,14.4,14.42,14.21,14.26,249917
26/02/2021,14.04,14.04,13.78,13.83,142706
01/03/2021,14.29,14.29,14.08,14.21,38748
02/03/2021,14.41,14.48,14.36,14.41,51309
03/03/2021,13.98,14.01,13.91,14,77239
04/03/2021,13.34,13.35,13.14,13.19,330258
05/03/2021,13.15,13.15,12.95,13.05,248693
08/03/2021,13.61,13.61,13.11,13.11,213140
09/03/2021,13.09,13.15,13.03,13.12,122156
10/03/2021,13.34,13.57,13.34,13.53,79679
11/03/2021,13.73,13.73,13.34,13.46,46119
12/03/2021,14,14,13.78,13.85,28439
15/03/2021,13.78,13.82,13.74,13.75,26710
16/03/2021,14.22,14.22,13.88,13.98,38531
17/03/2021,13.98,13.98,13.79,13.82,11359
18/03/2021,13.82,13.82,13.69,13.71,25688
19/03/2021,13.58,13.58,13.22,13.28,31300
22/03/2021,13.7,13.7,13.32,13.52,108895
23/03/2021,13.68,13.71,13.65,13.68,44682
24/03/2021,13.8,14.13,13.8,13.96,111154
25/03/2021,13.55,13.55,13.4,13.45,141760
26/03/2021,13.39,13.43,13.38,13.43,25088
29/03/2021,13.58,13.58,13.32,13.35,106248
30/03/2021,13.27,13.27,13.18,13.2,37131
31/03/2021,13.26,13.29,13.25,13.28,19422
01/04/2021,13.63,13.73,13.58,13.73,17926
06/04/2021,14,14,13.95,13.96,28691
07/04/2021,14.07,14.07,14.02,14.05,22171
08/04/2021,14.01,14.08,13.96,14.05,35747
09/04/2021,14.14,14.2,14.12,14.15,34101
12/04/2021,14.29,14.29,14.06,14.14,26193
13/04/2021,14.28,14.28,14.15,14.19,20376
14/04/2021,14.29,14.41,14.29,14.35,15287
15/04/2021,14.42,14.42,14.02,14.11,18670
16/04/2021,14.31,14.31,14.22,14.26,129609
19/04/2021,14.26,14.26,14.15,14.21,13294
20/04/2021,14.21,14.34,13.9,13.91,35712
21/04/2021,13.76,13.77,13.72,13.76,12516
22/04/2021,13.76,13.84,13.76,13.84,59382
23/04/2021,13.85,13.97,13.85,13.95,43064
26/04/2021,14.07,14.07,14,14,5656
27/04/2021,14.45,14.48,14.43,14.48,14519
28/04/2021,14.52,14.52,14.43,14.48,38222
29/04/2021,14.5,14.52,14.41,14.5,131281
30/04/2021,14.13,14.13,14.08,14.08,39813
03/05/2021,14.07,14.16,14.07,14.16,10077
04/05/2021,14.13,14.13,13.7,13.74,46157
05/05/2021,13.53,13.7,13.5,13.51,15917
06/05/2021,13.38,13.38,13.31,13.32,111802
07/05/2021,13.32,13.32,13,13.04,22015
10/05/2021,13,13.04,12.97,12.97,50407
11/05/2021,12.83,12.83,12.63,12.7,37165
12/05/2021,12.79,13.03,12.79,12.99,9042
13/05/2021,12.91,12.91,12.81,12.85,7484
14/05/2021,12.97,12.97,12.69,12.72,11484
17/05/2021,13.02,13.02,12.95,13.01,4824
18/05/2021,13,13,12.9,12.92,8544
19/05/2021,13.22,13.22,12.9,12.9,14153
20/05/2021,13.19,13.19,13,13.07,4405
21/05/2021,13.26,13.37,13.26,13.34,6502
24/05/2021,13.4,13.4,13.3,13.3,4263
25/05/2021,13.43,13.46,13.43,13.46,3930
26/05/2021,13.5,13.5,13.4,13.41,23611
27/05/2021,13.57,13.6,13.57,13.59,1700
28/05/2021,13.59,13.59,13.55,13.56,25700
31/05/2021,13.63,13.63,13.58,13.58,7151
01/06/2021,13.6,13.6,13.5,13.5,5709
02/06/2021,13.53,13.53,13.43,13.49,5370
03/06/2021,13.59,13.59,13.54,13.58,2215
04/06/2021,13.58,13.58,13.4,13.45,10197
07/06/2021,13.44,13.45,13.41,13.41,6345
08/06/2021,13.58,13.68,13.58,13.65,33494
09/06/2021,13.76,13.8,13.76,13.77,8491
10/06/2021,13.8,13.8,13.77,13.8,2164
11/06/2021,13.96,14,13.96,13.98,15915
15/06/2021,14.12,14.4,14.12,14.38,22835
16/06/2021,14.28,14.28,14.24,14.27,9888
17/06/2021,14.25,14.34,14.25,14.31,24500
18/06/2021,14.83,14.95,14.83,14.92,14413
21/06/2021,15,15,14.95,14.98,68148
22/06/2021,15.03,15.03,14.95,14.96,9277
23/06/2021,15.06,15.1,15.06,15.1,2237
24/06/2021,15.1,15.11,15.03,15.05,2109
25/06/2021,15.15,15.15,15.02,15.07,22049
28/06/2021,15.08,15.16,15.08,15.16,12896
29/06/2021,15.17,15.3,15.17,15.3,3984
30/06/2021,15.28,15.53,15.28,15.48,30969
