Date,Open,High,Low,Close,Volume
02/07/2001,38.9,39,38.6,38.95,78079
03/07/2001,38.71,38.71,38.13,38.255,46025
04/07/2001,38,38.05,37,37.2,58615
05/07/2001,37.19,37.67,36.63,37.548,101920
06/07/2001,37.5,37.5,37,37.4,48648
09/07/2001,37.39,37.41,36.79,37.345,123823
10/07/2001,37.341,38.05,37.34,38.05,64752
11/07/2001,37.648,38.85,37.648,38.62,75178
12/07/2001,38.6,38.7,38.4,38.4,102100
13/07/2001,38.995,39.233,38.9,39.233,289028
16/07/2001,39.238,40.74,39.23,40.45,83067
17/07/2001,40.009,40.05,39,39.01,85877
18/07/2001,39,39.19,38.5,38.5,73087
19/07/2001,38.75,39.2,38.493,38.493,81022
20/07/2001,38.488,38.488,38.18,38.3,54317
23/07/2001,38.311,38.6,38.25,38.296,51207
24/07/2001,38.369,38.37,38.2,38.25,99447
25/07/2001,38,38.18,37.373,37.373,46478
26/07/2001,37.3,38,37.1,37.46,95292
27/07/2001,37.5,37.5,37.3,37.49,92318
30/07/2001,37.49,37.5,37.11,37.48,51759
31/07/2001,37.346,37.4,37.24,37.4,77573
01/08/2001,37.407,37.63,37.39,37.63,153034
02/08/2001,37.638,38,37.638,37.73,127484
03/08/2001,37.75,37.8,37.629,37.629,110132
06/08/2001,37.637,38.09,37.637,38,80141
07/08/2001,37.7,37.9,37.64,37.808,64287
08/08/2001,37.868,38,37.8,37.9,95410
09/08/2001,38,39.15,37.88,38.96,116133
10/08/2001,39.423,39.423,38.86,38.9,63950
13/08/2001,38.978,39.35,38.978,39.26,214525
14/08/2001,39.32,40.27,39.32,40.2,159697
15/08/2001,40.45,40.45,40,40.37,81789
16/08/2001,40.3,40.3,39.4,39.79,61664
17/08/2001,39.9,40.25,39.9,40.2,39010
20/08/2001,40.487,40.98,40.25,40.65,281733
21/08/2001,41.008,41.5,41,41.5,285370
22/08/2001,42,44.68,42,44.6,1072837
23/08/2001,45,46,45,45.7,375372
24/08/2001,45.828,46.5,45.5,46.1,325660
27/08/2001,46.296,48.6,46.15,48.6,262780
28/08/2001,48.604,48.7,47.5,48.058,243142
29/08/2001,47.8,47.8,47.18,47.335,143221
30/08/2001,46.938,46.938,45.8,46.116,342239
31/08/2001,46,46,45,45.331,161045
03/09/2001,45.005,45.15,44.5,44.76,186038
04/09/2001,44.75,45.91,44.71,45.6,195590
05/09/2001,45.587,47,45.2,47,101716
06/09/2001,46.81,47.85,46.81,47.75,107476
07/09/2001,47.5,47.72,47.21,47.569,139231
10/09/2001,47.337,47.8,47.25,47.747,166275
11/09/2001,47.608,48.2,47.608,47.95,102999
12/09/2001,45.395,47.5,45.395,47.483,50035
13/09/2001,47.532,47.9,47.53,47.8,120190
14/09/2001,47.975,48,46.62,47.239,147626
17/09/2001,46.5,46.7,44.9,45,190526
18/09/2001,45.707,45.99,44.4,45,295265
19/09/2001,44.9,45.12,44.56,45,387535
20/09/2001,45,45.8,45,45.4,145849
21/09/2001,44.539,44.79,42.9,43.568,194658
24/09/2001,42.9,42.9,41.04,42.297,403428
25/09/2001,42.5,43.01,42.4,43.01,786418
26/09/2001,43.5,43.57,43.25,43.39,363926
27/09/2001,43.4,45.07,43.32,44.9,266765
28/09/2001,44.893,46.8,44.893,46.6,202402
01/10/2001,46.909,47.13,44.75,44.75,64426
02/10/2001,45.1,47.2,45.1,47.14,163254
03/10/2001,47.197,47.481,46.65,47.481,131632
04/10/2001,47.327,47.55,47.1,47.45,63630
05/10/2001,47.4,47.4,46.75,47.367,69287
08/10/2001,47.3,47.4,46.75,47,103318
09/10/2001,47.314,47.8,47.25,47.741,72573
10/10/2001,47.85,48.003,47.61,48.003,122984
11/10/2001,48.067,49,48.067,48.2,112898
12/10/2001,48.506,48.72,47.2,47.565,48968
15/10/2001,47.66,48,47.36,47.4,77506
16/10/2001,48,48.52,48,48.384,206336
17/10/2001,48.61,49.66,48.46,49.43,109310
18/10/2001,49,49.35,48.87,49.15,123886
19/10/2001,48.991,48.991,48.56,48.56,43945
22/10/2001,48.5,48.9,48.5,48.67,140596
23/10/2001,48.67,49.5,48.67,49.294,190929
24/10/2001,49,49.25,48.55,48.8,138718
25/10/2001,49,49.22,48.85,49.06,100630
26/10/2001,49.14,49.99,49.14,49.81,97024
29/10/2001,50,50,49.5,49.5,32533
30/10/2001,49.364,50.24,49.14,50.1,47038
31/10/2001,50.839,50.839,49.7,50.5,141393
01/11/2001,50.171,50.47,50.12,50.38,37443
02/11/2001,50.286,50.4,49.82,50.16,119599
05/11/2001,50,50,49.69,49.944,80021
06/11/2001,50.017,50.93,50,50.75,114813
07/11/2001,50.95,51.4,50.75,51.095,95346
08/11/2001,51.5,52.4,51.1,52,116276
09/11/2001,52,52,50.1,50.8,45281
12/11/2001,50.833,51,50.45,50.483,64790
13/11/2001,50.2,50.21,49.99,50.175,43152
14/11/2001,50.015,50.15,49.9,50,105311
15/11/2001,49.994,50,49,49.2,79988
16/11/2001,49.2,49.2,48.02,48.62,57670
19/11/2001,48.664,49.4,47.6,47.99,83246
20/11/2001,47.784,47.8,46,46.32,362377
21/11/2001,46.241,47,46.15,46.599,227667
22/11/2001,46.6,47.28,46.5,47,130569
23/11/2001,47.2,47.68,47.2,47.35,72391
26/11/2001,47.35,47.4,46,46,247112
27/11/2001,46,46.27,45.3,45.3,161774
28/11/2001,45.1,45.5,44.85,45.301,240888
29/11/2001,44.971,45.18,44.8,44.99,173787
30/11/2001,45.1,45.5,44.95,45,362953
03/12/2001,45,45.16,44.31,44.6,327937
04/12/2001,44.498,45.2,44.498,45,242740
05/12/2001,45.569,47.4,45.569,47.34,347826
06/12/2001,47.507,48.15,47.25,47.512,262841
07/12/2001,47.5,47.6,46.4,46.83,84719
10/12/2001,46.5,46.5,45.1,45.5,192287
11/12/2001,45.5,45.5,44.55,44.7,378517
12/12/2001,45,45,43.5,43.57,247234
13/12/2001,43.5,43.5,42.62,42.982,227234
14/12/2001,42.79,43.65,42.58,43.5,226656
17/12/2001,43.665,44.7,43.65,44.245,55593
18/12/2001,44.35,44.7,43.8,44,227107
19/12/2001,44.5,44.5,42.7,43.72,145198
20/12/2001,43.9,44.24,43.75,44,180083
21/12/2001,44,44.8,43.75,44.8,1201422
24/12/2001,44.9,45.706,44.86,45.706,48222
27/12/2001,45.8,46,45.7,46,13813
28/12/2001,46,46.34,45.5,45.7,55210
31/12/2001,45.7,45.7,45,45.5,73773
02/01/2002,45.57,45.77,45.47,45.734,29310
03/01/2002,45.75,45.8,45.49,45.518,49202
04/01/2002,45.551,45.56,45.3,45.342,137331
07/01/2002,45.332,45.332,44.2,44.481,69181
08/01/2002,44.2,44.48,44,44.4,262368
09/01/2002,44.337,45.4,44.337,44.9,90044
10/01/2002,45.1,45.63,44.2,44.38,200474
11/01/2002,44.3,44.3,43,43.12,274312
14/01/2002,43.145,43.19,42.08,42.505,211171
15/01/2002,42.6,43,42.6,42.7,120249
16/01/2002,42.75,43.1,42.75,43,258600
17/01/2002,42.87,43.8,42.85,43.718,226380
18/01/2002,43.733,44.1,43.3,43.44,212690
21/01/2002,43.4,43.92,43.4,43.9,90648
22/01/2002,43.8,44.1,43.01,43.01,87901
23/01/2002,43.1,43.2,41.7,42.15,298874
24/01/2002,42.06,42.06,40.81,41.4,472714
25/01/2002,41.317,41.317,40.4,41,548072
29/01/2002,41,41.89,40.95,41.336,171781
30/01/2002,41.2,41.2,40.793,40.793,186084
31/01/2002,41,42.67,41,42.4,149093
01/02/2002,42.885,42.885,41.62,42.076,74339
04/02/2002,42.076,42.3,41.45,41.45,127482
