Date,Open,High,Low,Close,Volume
09/03/2021,0.91,0.91,0.81,0.87,8815384
10/03/2021,0.89,1.005,0.8875,0.94,5393305
11/03/2021,0.945,0.97,0.895,0.96,2693154
12/03/2021,0.97,1.005,0.95,0.95,1172022
15/03/2021,0.96,0.99,0.91,0.91,393783
16/03/2021,0.9,0.945,0.9,0.935,436181
17/03/2021,0.92,0.945,0.91,0.92,519428
18/03/2021,0.92,0.92,0.86,0.89,1091222
19/03/2021,0.89,0.89,0.85,0.85,687312
22/03/2021,0.87,0.88,0.85,0.855,189079
23/03/2021,0.855,0.935,0.85,0.925,853570
24/03/2021,0.92,0.92,0.885,0.9,212878
25/03/2021,0.9,0.92,0.88,0.88,296651
26/03/2021,0.87,0.915,0.87,0.895,94560
29/03/2021,0.9,0.9,0.875,0.9,100726
30/03/2021,0.9,0.9,0.875,0.9,44594
31/03/2021,0.9,0.935,0.89,0.935,409588
01/04/2021,0.935,0.935,0.9,0.935,117362
06/04/2021,0.935,0.935,0.87,0.87,298140
07/04/2021,0.87,0.9,0.865,0.9,112940
08/04/2021,0.9,1.025,0.89,0.975,974775
09/04/2021,0.985,1.005,0.985,1,311174
12/04/2021,1.01,1.03,0.98,1.03,309887
13/04/2021,1.02,1.05,1,1.04,163413
14/04/2021,1.03,1.05,1.015,1.03,2031815
15/04/2021,1.03,1.1,1.03,1.06,1847065
16/04/2021,1.09,1.095,1.04,1.075,617949
19/04/2021,1.1,1.1,1.05,1.05,710780
20/04/2021,1.05,1.05,1.03,1.03,238443
21/04/2021,1.035,1.035,0.995,1.035,1013296
22/04/2021,1.035,1.07,1.0075,1.05,954175
23/04/2021,1.01,1.075,1.01,1.075,383619
26/04/2021,1.075,1.075,1.05,1.07,174719
27/04/2021,1.065,1.065,1.05,1.0575,2019264
28/04/2021,1.07,1.08,1.04,1.07,2136932
29/04/2021,1.045,1.075,1.045,1.075,230466
30/04/2021,1.075,1.075,1.075,1.075,819319
03/05/2021,1.075,1.075,1.03,1.03,295941
04/05/2021,1.04,1.045,1,1.005,255450
05/05/2021,1.03,1.03,0.95,0.99,321433
06/05/2021,1,1.03,0.995,0.995,18765
07/05/2021,0.98,0.995,0.975,0.995,94096
10/05/2021,0.99,0.995,0.96,0.98,292360
11/05/2021,0.97,0.97,0.915,0.95,1250124
12/05/2021,0.93,0.97,0.93,0.95,563223
13/05/2021,0.94,0.965,0.94,0.94,162407
14/05/2021,0.98,0.98,0.95,0.95,21997
17/05/2021,0.95,1.02,0.95,1,285869
18/05/2021,1,1.01,0.95,1,1249181
19/05/2021,1.01,1.035,0.985,1.015,464792
20/05/2021,1.03,1.03,0.98,1.03,203297
21/05/2021,1.03,1.05,1.015,1.05,691382
24/05/2021,1.07,1.08,1.03,1.03,62532
25/05/2021,1.055,1.055,1.05,1.05,582741
26/05/2021,1.06,1.1,1.06,1.1,1801730
27/05/2021,1.1,1.14,1.05,1.13,657541
28/05/2021,1.1,1.14,1.1,1.125,558466
31/05/2021,1.125,1.13,1.12,1.12,445204
01/06/2021,1.12,1.12,1.1,1.1,44540
02/06/2021,1.1,1.1,1.1,1.1,111738
03/06/2021,1.1,1.13,1.1,1.13,225294
04/06/2021,1.13,1.13,1.1,1.13,212156
07/06/2021,1.13,1.13,1.13,1.13,0
08/06/2021,1.12,1.14,1.115,1.13,75435
09/06/2021,1.12,1.135,1.1,1.13,159439
10/06/2021,1.105,1.1325,1.095,1.13,282349
11/06/2021,1.12,1.15,1.12,1.15,175975
15/06/2021,1.15,1.18,1.14,1.15,228301
16/06/2021,1.15,1.17,1.14,1.17,121258
17/06/2021,1.15,1.15,1.11,1.125,114254
18/06/2021,1.125,1.13,1.105,1.105,184244
21/06/2021,1.105,1.13,1.09,1.13,148377
22/06/2021,1.13,1.15,1.13,1.15,127226
23/06/2021,1.13,1.13,1.13,1.13,2605
24/06/2021,1.145,1.15,1.125,1.135,116749
25/06/2021,1.1425,1.17,1.1425,1.16,133686
28/06/2021,1.16,1.165,1.1575,1.16,278829
29/06/2021,1.1575,1.1625,1.15,1.15,164767
30/06/2021,1.16,1.17,1.16,1.17,512582
