Date,Open,High,Low,Close,Volume
12/04/2021,0.37,0.43,0.315,0.42,41081850
13/04/2021,0.42,0.435,0.33,0.335,34064720
14/04/2021,0.325,0.335,0.29,0.29,6965238
15/04/2021,0.29,0.31,0.275,0.28,4615292
16/04/2021,0.285,0.305,0.28,0.28,1896634
19/04/2021,0.285,0.3,0.26,0.265,3870678
20/04/2021,0.27,0.27,0.24,0.245,5382200
21/04/2021,0.245,0.265,0.235,0.245,5292950
22/04/2021,0.25,0.26,0.245,0.245,1068280
23/04/2021,0.245,0.25,0.235,0.24,1107483
26/04/2021,0.245,0.255,0.24,0.255,812495
27/04/2021,0.255,0.27,0.255,0.26,1491936
28/04/2021,0.26,0.26,0.25,0.255,1031722
29/04/2021,0.25,0.255,0.245,0.245,747509
30/04/2021,0.245,0.25,0.24,0.24,1803807
03/05/2021,0.245,0.25,0.24,0.24,466918
04/05/2021,0.245,0.245,0.235,0.235,945307
05/05/2021,0.24,0.245,0.22,0.22,1557454
06/05/2021,0.23,0.235,0.22,0.22,597854
07/05/2021,0.225,0.225,0.22,0.225,97829
10/05/2021,0.245,0.25,0.225,0.23,1782099
11/05/2021,0.23,0.24,0.2225,0.225,1330979
12/05/2021,0.23,0.23,0.22,0.225,1257180
13/05/2021,0.23,0.23,0.22,0.22,771461
14/05/2021,0.23,0.24,0.22,0.24,387917
17/05/2021,0.24,0.24,0.225,0.225,468846
18/05/2021,0.23,0.255,0.23,0.24,811773
19/05/2021,0.245,0.25,0.225,0.235,1435005
20/05/2021,0.24,0.24,0.23,0.235,363272
21/05/2021,0.23,0.2375,0.23,0.235,236467
24/05/2021,0.24,0.245,0.24,0.24,371167
25/05/2021,0.24,0.24,0.23,0.23,770878
26/05/2021,0.23,0.23,0.225,0.225,659410
27/05/2021,0.225,0.23,0.225,0.23,143628
28/05/2021,0.23,0.23,0.225,0.225,339508
31/05/2021,0.23,0.23,0.22,0.225,426549
01/06/2021,0.225,0.225,0.215,0.215,738686
02/06/2021,0.22,0.225,0.215,0.22,273466
03/06/2021,0.22,0.22,0.215,0.22,229881
04/06/2021,0.215,0.22,0.215,0.215,363470
07/06/2021,0.22,0.22,0.215,0.215,526509
08/06/2021,0.215,0.215,0.2125,0.215,492487
09/06/2021,0.215,0.2175,0.21,0.21,287189
10/06/2021,0.215,0.215,0.21,0.215,348057
11/06/2021,0.215,0.215,0.21,0.21,156260
15/06/2021,0.22,0.22,0.21,0.21,201972
16/06/2021,0.21,0.2125,0.205,0.205,529273
17/06/2021,0.205,0.21,0.205,0.205,112347
18/06/2021,0.205,0.205,0.1875,0.195,964873
21/06/2021,0.195,0.195,0.19,0.19,597513
22/06/2021,0.2,0.2,0.18,0.18,744894
23/06/2021,0.19,0.1975,0.185,0.195,534850
24/06/2021,0.195,0.2,0.195,0.2,105213
25/06/2021,0.2,0.21,0.2,0.205,385725
28/06/2021,0.205,0.21,0.195,0.205,603807
29/06/2021,0.2,0.2,0.195,0.2,155006
30/06/2021,0.205,0.215,0.2,0.21,684160
