Date,Open,High,Low,Close,Volume
10/11/2020,0.29,0.29,0.255,0.265,2640455
11/11/2020,0.275,0.34,0.265,0.315,2226425
12/11/2020,0.32,0.345,0.3,0.3,2272313
13/11/2020,0.31,0.34,0.3,0.33,1193262
16/11/2020,0.325,0.33,0.32,0.32,28637
17/11/2020,0.33,0.395,0.33,0.38,2857288
18/11/2020,0.385,0.405,0.355,0.355,1060647
19/11/2020,0.36,0.39,0.355,0.355,711740
20/11/2020,0.36,0.375,0.355,0.375,832881
23/11/2020,0.375,0.375,0.34,0.35,1162688
24/11/2020,0.35,0.37,0.32,0.32,1854046
25/11/2020,0.34,0.345,0.325,0.335,473676
26/11/2020,0.335,0.35,0.335,0.3425,184234
27/11/2020,0.34,0.39,0.34,0.38,876990
30/11/2020,0.36,0.39,0.355,0.365,521024
01/12/2020,0.365,0.395,0.365,0.37,676108
02/12/2020,0.38,0.385,0.375,0.375,273034
03/12/2020,0.375,0.385,0.375,0.38,515871
04/12/2020,0.385,0.44,0.385,0.43,775664
07/12/2020,0.465,0.51,0.465,0.48,915018
08/12/2020,0.49,0.49,0.455,0.455,515400
09/12/2020,0.46,0.46,0.405,0.42,397570
10/12/2020,0.42,0.42,0.385,0.395,545310
11/12/2020,0.42,0.43,0.395,0.4,463039
14/12/2020,0.41,0.41,0.375,0.38,484755
15/12/2020,0.38,0.38,0.37,0.38,418887
16/12/2020,0.38,0.41,0.365,0.41,251871
17/12/2020,0.43,0.43,0.37,0.37,284326
18/12/2020,0.385,0.41,0.37,0.395,208559
21/12/2020,0.395,0.42,0.39,0.405,241511
22/12/2020,0.4,0.4,0.335,0.34,839941
23/12/2020,0.34,0.35,0.3,0.32,1698828
24/12/2020,0.33,0.35,0.33,0.335,274223
29/12/2020,0.335,0.39,0.335,0.36,178197
30/12/2020,0.37,0.37,0.35,0.36,70689
31/12/2020,0.34,0.34,0.34,0.34,27073
04/01/2021,0.345,0.345,0.325,0.325,383535
05/01/2021,0.33,0.33,0.32,0.33,259427
06/01/2021,0.335,0.35,0.33,0.33,121855
07/01/2021,0.34,0.355,0.34,0.355,197580
08/01/2021,0.35,0.355,0.345,0.345,86345
11/01/2021,0.35,0.355,0.335,0.335,105968
12/01/2021,0.335,0.335,0.32,0.32,470657
13/01/2021,0.32,0.335,0.32,0.33,65423
14/01/2021,0.335,0.34,0.33,0.33,32891
15/01/2021,0.335,0.34,0.33,0.33,36387
18/01/2021,0.33,0.33,0.315,0.315,127528
19/01/2021,0.32,0.325,0.315,0.315,93118
20/01/2021,0.32,0.32,0.31,0.32,122573
21/01/2021,0.32,0.33,0.315,0.315,67353
22/01/2021,0.31,0.315,0.31,0.31,141427
25/01/2021,0.32,0.32,0.315,0.315,76282
27/01/2021,0.325,0.325,0.315,0.315,185798
28/01/2021,0.315,0.315,0.3,0.305,204071
