Date,Open,High,Low,Close,Volume
02/07/2001,0.047,0.047,0.047,0.047,0
03/07/2001,0.047,0.047,0.047,0.047,0
04/07/2001,0.047,0.047,0.047,0.047,0
05/07/2001,0.06,0.07,0.06,0.07,2527650
06/07/2001,0.072,0.072,0.072,0.072,11000
09/07/2001,0.072,0.072,0.072,0.072,0
10/07/2001,0.072,0.072,0.072,0.072,0
11/07/2001,0.072,0.072,0.072,0.072,0
12/07/2001,0.071,0.071,0.071,0.071,10000
13/07/2001,0.071,0.071,0.071,0.071,0
16/07/2001,0.075,0.075,0.075,0.075,8000
17/07/2001,0.075,0.075,0.075,0.075,0
18/07/2001,0.075,0.075,0.075,0.075,2000
19/07/2001,0.075,0.075,0.075,0.075,0
20/07/2001,0.08,0.08,0.08,0.08,8000
23/07/2001,0.08,0.08,0.08,0.08,0
24/07/2001,0.08,0.08,0.08,0.08,0
25/07/2001,0.08,0.08,0.08,0.08,0
26/07/2001,0.08,0.08,0.08,0.08,0
27/07/2001,0.08,0.08,0.08,0.08,0
30/07/2001,0.08,0.08,0.08,0.08,8000
31/07/2001,0.08,0.08,0.08,0.08,0
01/08/2001,0.08,0.08,0.08,0.08,0
02/08/2001,0.08,0.08,0.08,0.08,0
03/08/2001,0.08,0.08,0.08,0.08,0
06/08/2001,0.08,0.08,0.08,0.08,0
07/08/2001,0.08,0.08,0.08,0.08,0
08/08/2001,0.08,0.08,0.08,0.08,0
09/08/2001,0.08,0.08,0.08,0.08,0
10/08/2001,0.08,0.08,0.08,0.08,0
13/08/2001,0.08,0.08,0.08,0.08,0
14/08/2001,0.08,0.08,0.08,0.08,0
15/08/2001,0.08,0.08,0.08,0.08,0
16/08/2001,0.08,0.08,0.08,0.08,0
17/08/2001,0.08,0.08,0.08,0.08,0
20/08/2001,0.08,0.08,0.08,0.08,0
21/08/2001,0.049,0.049,0.049,0.049,2000
22/08/2001,0.049,0.049,0.049,0.049,0
23/08/2001,0.049,0.049,0.049,0.049,0
24/08/2001,0.049,0.049,0.049,0.049,0
27/08/2001,0.049,0.049,0.049,0.049,0
28/08/2001,0.049,0.049,0.049,0.049,0
29/08/2001,0.049,0.049,0.049,0.049,0
30/08/2001,0.049,0.049,0.049,0.049,0
31/08/2001,0.049,0.049,0.049,0.049,0
03/09/2001,0.049,0.049,0.049,0.049,0
04/09/2001,0.049,0.049,0.049,0.049,0
05/09/2001,0.049,0.049,0.049,0.049,0
06/09/2001,0.049,0.049,0.049,0.049,0
07/09/2001,0.049,0.049,0.049,0.049,0
10/09/2001,0.049,0.049,0.049,0.049,0
11/09/2001,0.049,0.049,0.049,0.049,0
12/09/2001,0.049,0.049,0.049,0.049,0
13/09/2001,0.049,0.049,0.049,0.049,0
14/09/2001,0.049,0.049,0.049,0.049,0
17/09/2001,0.049,0.049,0.049,0.049,0
18/09/2001,0.049,0.049,0.049,0.049,0
19/09/2001,0.049,0.049,0.049,0.049,0
20/09/2001,0.049,0.049,0.049,0.049,0
21/09/2001,0.049,0.049,0.049,0.049,0
24/09/2001,0.049,0.049,0.049,0.049,0
25/09/2001,0.049,0.049,0.049,0.049,0
26/09/2001,0.049,0.049,0.049,0.049,0
27/09/2001,0.049,0.049,0.049,0.049,0
28/09/2001,0.049,0.049,0.049,0.049,0
01/10/2001,0.049,0.049,0.049,0.049,0
02/10/2001,0.049,0.049,0.049,0.049,0
03/10/2001,0.049,0.049,0.049,0.049,0
04/10/2001,0.049,0.049,0.049,0.049,0
05/10/2001,0.049,0.049,0.049,0.049,0
08/10/2001,0.049,0.049,0.049,0.049,0
09/10/2001,0.049,0.049,0.049,0.049,0
10/10/2001,0.049,0.049,0.049,0.049,0
11/10/2001,0.049,0.049,0.049,0.049,0
12/10/2001,0.049,0.049,0.049,0.049,0
15/10/2001,0.049,0.049,0.049,0.049,0
16/10/2001,0.049,0.049,0.049,0.049,0
17/10/2001,0.049,0.049,0.049,0.049,0
18/10/2001,0.049,0.049,0.049,0.049,0
19/10/2001,0.049,0.049,0.049,0.049,0
22/10/2001,0.049,0.049,0.049,0.049,0
23/10/2001,0.049,0.049,0.049,0.049,0
24/10/2001,0.049,0.049,0.049,0.049,0
25/10/2001,0.049,0.049,0.049,0.049,0
26/10/2001,0.049,0.049,0.049,0.049,0
29/10/2001,0.049,0.049,0.049,0.049,0
30/10/2001,0.049,0.049,0.049,0.049,0
31/10/2001,0.049,0.049,0.049,0.049,0
01/11/2001,0.049,0.049,0.049,0.049,0
02/11/2001,0.049,0.049,0.049,0.049,0
05/11/2001,0.049,0.049,0.049,0.049,0
06/11/2001,0.049,0.049,0.049,0.049,0
07/11/2001,0.03,0.03,0.03,0.03,10000
08/11/2001,0.03,0.03,0.03,0.03,0
09/11/2001,0.03,0.03,0.03,0.03,0
12/11/2001,0.03,0.03,0.03,0.03,0
13/11/2001,0.033,0.033,0.033,0.033,8000
14/11/2001,0.033,0.033,0.033,0.033,0
15/11/2001,0.033,0.033,0.033,0.033,0
16/11/2001,0.033,0.033,0.033,0.033,0
19/11/2001,0.033,0.033,0.033,0.033,0
20/11/2001,0.033,0.033,0.033,0.033,0
21/11/2001,0.033,0.033,0.033,0.033,2000
22/11/2001,0.033,0.033,0.033,0.033,0
23/11/2001,0.033,0.033,0.033,0.033,0
26/11/2001,0.033,0.033,0.033,0.033,0
27/11/2001,0.033,0.033,0.033,0.033,0
28/11/2001,0.033,0.033,0.033,0.033,0
29/11/2001,0.033,0.033,0.033,0.033,0
30/11/2001,0.033,0.033,0.033,0.033,0
03/12/2001,0.033,0.033,0.033,0.033,0
04/12/2001,0.033,0.033,0.033,0.033,0
05/12/2001,0.033,0.033,0.033,0.033,0
06/12/2001,0.033,0.033,0.033,0.033,0
07/12/2001,0.033,0.033,0.033,0.033,0
10/12/2001,0.033,0.033,0.033,0.033,0
11/12/2001,0.033,0.033,0.033,0.033,0
12/12/2001,0.035,0.035,0.034,0.034,20000
13/12/2001,0.035,0.035,0.035,0.035,50000
14/12/2001,0.035,0.035,0.035,0.035,0
17/12/2001,0.032,0.032,0.032,0.032,50000
18/12/2001,0.032,0.032,0.032,0.032,0
19/12/2001,0.035,0.035,0.032,0.032,38000
20/12/2001,0.032,0.032,0.032,0.032,0
21/12/2001,0.032,0.032,0.032,0.032,0
24/12/2001,0.032,0.032,0.032,0.032,0
27/12/2001,0.032,0.032,0.032,0.032,0
28/12/2001,0.032,0.032,0.032,0.032,0
31/12/2001,0.032,0.032,0.032,0.032,0
02/01/2002,0.032,0.032,0.032,0.032,0
03/01/2002,0.032,0.032,0.032,0.032,0
04/01/2002,0.032,0.032,0.032,0.032,0
07/01/2002,0.032,0.032,0.032,0.032,0
08/01/2002,0.032,0.032,0.032,0.032,0
09/01/2002,0.032,0.032,0.032,0.032,0
10/01/2002,0.032,0.032,0.032,0.032,0
11/01/2002,0.032,0.032,0.032,0.032,0
14/01/2002,0.032,0.032,0.032,0.032,0
15/01/2002,0.025,0.025,0.025,0.025,12000
16/01/2002,0.03,0.03,0.03,0.03,7500
17/01/2002,0.03,0.03,0.03,0.03,0
18/01/2002,0.03,0.03,0.03,0.03,0
21/01/2002,0.03,0.03,0.03,0.03,0
22/01/2002,0.03,0.03,0.03,0.03,0
23/01/2002,0.03,0.03,0.03,0.03,0
24/01/2002,0.03,0.03,0.03,0.03,0
25/01/2002,0.03,0.03,0.03,0.03,0
29/01/2002,0.03,0.03,0.03,0.03,0
30/01/2002,0.03,0.03,0.03,0.03,4000
31/01/2002,0.03,0.03,0.03,0.03,0
01/02/2002,0.03,0.03,0.03,0.03,0
04/02/2002,0.03,0.03,0.03,0.03,0
05/02/2002,0.03,0.03,0.03,0.03,0
06/02/2002,0.03,0.03,0.03,0.03,0
07/02/2002,0.03,0.03,0.03,0.03,0
08/02/2002,0.05,0.05,0.05,0.05,10000
11/02/2002,0.05,0.05,0.05,0.05,0
12/02/2002,0.05,0.05,0.05,0.05,0
13/02/2002,0.05,0.05,0.05,0.05,0
14/02/2002,0.05,0.05,0.05,0.05,0
15/02/2002,0.07,0.09,0.07,0.09,34500
18/02/2002,0.09,0.09,0.09,0.09,0
19/02/2002,0.09,0.09,0.09,0.09,0
20/02/2002,0.095,0.095,0.095,0.095,100000
21/02/2002,0.095,0.095,0.095,0.095,0
22/02/2002,0.095,0.095,0.095,0.095,0
25/02/2002,0.085,0.085,0.085,0.085,10000
26/02/2002,0.08,0.08,0.061,0.061,31000
27/02/2002,0.085,0.094,0.075,0.092,108820
28/02/2002,0.092,0.092,0.092,0.092,0
01/03/2002,0.092,0.092,0.092,0.092,0
04/03/2002,0.091,0.091,0.091,0.091,8000
05/03/2002,0.092,0.095,0.092,0.095,197000
06/03/2002,0.095,0.105,0.095,0.105,53500
07/03/2002,0.094,0.094,0.092,0.092,13000
08/03/2002,0.092,0.092,0.092,0.092,2000
11/03/2002,0.092,0.092,0.092,0.092,0
12/03/2002,0.092,0.092,0.092,0.092,0
13/03/2002,0.092,0.092,0.092,0.092,0
14/03/2002,0.092,0.092,0.092,0.092,0
15/03/2002,0.092,0.092,0.092,0.092,0
18/03/2002,0.092,0.092,0.092,0.092,0
19/03/2002,0.092,0.092,0.092,0.092,0
20/03/2002,0.092,0.092,0.092,0.092,0
21/03/2002,0.092,0.092,0.092,0.092,0
22/03/2002,0.092,0.092,0.092,0.092,0
25/03/2002,0.092,0.092,0.092,0.092,0
26/03/2002,0.092,0.092,0.092,0.092,0
27/03/2002,0.092,0.092,0.092,0.092,0
28/03/2002,0.092,0.092,0.092,0.092,0
02/04/2002,0.092,0.092,0.092,0.092,0
03/04/2002,0.092,0.092,0.092,0.092,0
04/04/2002,0.092,0.092,0.092,0.092,0
05/04/2002,0.092,0.092,0.092,0.092,0
08/04/2002,0.092,0.092,0.092,0.092,0
09/04/2002,0.092,0.092,0.092,0.092,0
10/04/2002,0.092,0.092,0.092,0.092,0
11/04/2002,0.061,0.061,0.061,0.061,2000
12/04/2002,0.06,0.06,0.06,0.06,30000
15/04/2002,0.06,0.06,0.06,0.06,0
16/04/2002,0.06,0.06,0.06,0.06,0
17/04/2002,0.06,0.06,0.06,0.06,0
18/04/2002,0.06,0.06,0.06,0.06,0
19/04/2002,0.06,0.06,0.06,0.06,0
22/04/2002,0.055,0.055,0.055,0.055,4000
23/04/2002,0.055,0.055,0.055,0.055,0
24/04/2002,0.055,0.055,0.055,0.055,2500
26/04/2002,0.055,0.055,0.055,0.055,0
29/04/2002,0.055,0.055,0.055,0.055,0
30/04/2002,0.055,0.055,0.055,0.055,0
01/05/2002,0.055,0.055,0.055,0.055,0
02/05/2002,0.055,0.055,0.055,0.055,0
03/05/2002,0.055,0.055,0.055,0.055,0
06/05/2002,0.044,0.044,0.044,0.044,4000
07/05/2002,0.044,0.044,0.044,0.044,0
08/05/2002,0.044,0.044,0.044,0.044,0
09/05/2002,0.044,0.044,0.044,0.044,0
10/05/2002,0.046,0.046,0.046,0.046,12000
13/05/2002,0.046,0.046,0.046,0.046,0
14/05/2002,0.035,0.035,0.035,0.035,9000
15/05/2002,0.035,0.035,0.035,0.035,0
16/05/2002,0.035,0.035,0.035,0.035,0
17/05/2002,0.035,0.035,0.035,0.035,0
20/05/2002,0.035,0.035,0.035,0.035,0
21/05/2002,0.035,0.035,0.035,0.035,0
22/05/2002,0.035,0.035,0.035,0.035,0
23/05/2002,0.034,0.034,0.034,0.034,10000
24/05/2002,0.034,0.034,0.034,0.034,0
27/05/2002,0.034,0.034,0.034,0.034,0
28/05/2002,0.034,0.034,0.034,0.034,0
29/05/2002,0.034,0.034,0.034,0.034,0
30/05/2002,0.034,0.034,0.034,0.034,0
31/05/2002,0.034,0.034,0.034,0.034,35766
03/06/2002,0.034,0.034,0.034,0.034,0
04/06/2002,0.034,0.034,0.034,0.034,0
05/06/2002,0.034,0.034,0.034,0.034,0
06/06/2002,0.034,0.034,0.034,0.034,0
07/06/2002,0.034,0.034,0.034,0.034,0
11/06/2002,0.034,0.034,0.034,0.034,0
12/06/2002,0.034,0.034,0.034,0.034,0
13/06/2002,0.034,0.034,0.034,0.034,0
14/06/2002,0.033,0.033,0.033,0.033,3000
17/06/2002,0.033,0.033,0.033,0.033,50000
18/06/2002,0.033,0.033,0.033,0.033,0
19/06/2002,0.033,0.033,0.033,0.033,0
20/06/2002,0.035,0.035,0.035,0.035,2000
21/06/2002,0.035,0.035,0.035,0.035,3000
24/06/2002,0.035,0.035,0.035,0.035,0
25/06/2002,0.035,0.035,0.035,0.035,0
26/06/2002,0.035,0.035,0.035,0.035,0
27/06/2002,0.035,0.035,0.035,0.035,5000
28/06/2002,0.038,0.038,0.038,0.038,12000
01/07/2002,0.038,0.038,0.038,0.038,0
02/07/2002,0.038,0.038,0.038,0.038,0
03/07/2002,0.038,0.038,0.038,0.038,8000
04/07/2002,0.038,0.038,0.038,0.038,0
05/07/2002,0.038,0.038,0.038,0.038,0
08/07/2002,0.038,0.038,0.038,0.038,0
09/07/2002,0.038,0.038,0.038,0.038,0
