Date,Open,High,Low,Close,Volume
11/07/2014,1.25,1.29,1.24,1.275,1794958
14/07/2014,1.29,1.29,1.26,1.27,626988
15/07/2014,1.28,1.28,1.265,1.265,2042365
16/07/2014,1.275,1.31,1.275,1.31,350099
17/07/2014,1.33,1.34,1.32,1.33,88100
18/07/2014,1.33,1.34,1.33,1.33,222306
21/07/2014,1.34,1.35,1.325,1.325,109651
22/07/2014,1.34,1.35,1.32,1.32,116944
23/07/2014,1.32,1.335,1.32,1.335,84063
24/07/2014,1.33,1.335,1.32,1.32,41000
25/07/2014,1.315,1.33,1.315,1.315,724283
28/07/2014,1.325,1.34,1.325,1.33,108018
29/07/2014,1.335,1.34,1.335,1.34,58273
30/07/2014,1.33,1.335,1.33,1.33,74800
31/07/2014,1.34,1.34,1.325,1.33,1217355
01/08/2014,1.33,1.34,1.33,1.34,75000
04/08/2014,1.335,1.34,1.335,1.34,37343
05/08/2014,1.34,1.34,1.33,1.33,39736
06/08/2014,1.34,1.34,1.33,1.33,33204
07/08/2014,1.32,1.33,1.3,1.3,34962
08/08/2014,1.31,1.34,1.31,1.34,61772
11/08/2014,1.34,1.34,1.34,1.34,20000
12/08/2014,1.34,1.34,1.32,1.32,77500
13/08/2014,1.32,1.35,1.32,1.34,103333
14/08/2014,1.34,1.35,1.34,1.35,172712
15/08/2014,1.35,1.35,1.35,1.35,578405
18/08/2014,1.4,1.4,1.4,1.4,8524
19/08/2014,1.39,1.39,1.37,1.38,47658
20/08/2014,1.4,1.4,1.38,1.38,29000
21/08/2014,1.39,1.4,1.37,1.37,50642
22/08/2014,1.37,1.4,1.37,1.4,1219128
25/08/2014,1.4,1.41,1.4,1.41,255946
26/08/2014,1.41,1.42,1.375,1.375,33500
27/08/2014,1.42,1.43,1.42,1.425,302500
28/08/2014,1.43,1.44,1.43,1.43,230000
29/08/2014,1.43,1.43,1.42,1.42,140849
01/09/2014,1.45,1.45,1.4,1.4,112404
02/09/2014,1.4,1.42,1.38,1.385,109735
03/09/2014,1.39,1.4,1.38,1.4,99668
04/09/2014,1.4,1.4,1.392,1.4,61286
05/09/2014,1.39,1.4,1.39,1.4,238335
08/09/2014,1.4,1.4,1.39,1.39,69976
09/09/2014,1.39,1.39,1.382,1.385,273032
10/09/2014,1.385,1.385,1.38,1.385,385571
11/09/2014,1.385,1.385,1.37,1.37,350171
12/09/2014,1.38,1.4,1.36,1.38,89657
15/09/2014,1.38,1.4,1.37,1.38,50665
16/09/2014,1.38,1.38,1.38,1.38,97012
17/09/2014,1.38,1.38,1.38,1.38,0
18/09/2014,1.38,1.38,1.35,1.38,46739
19/09/2014,1.38,1.38,1.37,1.37,32492
22/09/2014,1.37,1.38,1.35,1.38,18870
23/09/2014,1.37,1.37,1.34,1.34,92981
24/09/2014,1.34,1.34,1.31,1.31,30000
25/09/2014,1.35,1.39,1.35,1.35,196963
26/09/2014,1.355,1.375,1.335,1.34,34135
29/09/2014,1.345,1.35,1.345,1.35,22222
30/09/2014,1.34,1.375,1.34,1.375,127778
01/10/2014,1.375,1.375,1.375,1.375,0
02/10/2014,1.35,1.35,1.35,1.35,68147
03/10/2014,1.35,1.35,1.35,1.35,59453
06/10/2014,1.35,1.35,1.35,1.35,0
07/10/2014,1.35,1.35,1.35,1.35,0
08/10/2014,1.35,1.35,1.35,1.35,22222
09/10/2014,1.34,1.35,1.33,1.35,58888
10/10/2014,1.32,1.35,1.32,1.32,63184
13/10/2014,1.32,1.35,1.3,1.3,103629
14/10/2014,1.32,1.35,1.32,1.35,182222
15/10/2014,1.35,1.35,1.35,1.35,10001
16/10/2014,1.34,1.35,1.34,1.35,18519
17/10/2014,1.35,1.35,1.35,1.35,55555
20/10/2014,1.35,1.35,1.35,1.35,73677
21/10/2014,1.35,1.35,1.335,1.35,59748
22/10/2014,1.35,1.35,1.34,1.34,11259
23/10/2014,1.34,1.35,1.34,1.35,25668
24/10/2014,1.34,1.35,1.3,1.35,139850
27/10/2014,1.33,1.345,1.33,1.345,50838
28/10/2014,1.345,1.345,1.34,1.345,46222
29/10/2014,1.345,1.35,1.345,1.35,45638
30/10/2014,1.35,1.35,1.33,1.35,83926
31/10/2014,1.35,1.35,1.35,1.35,12000
03/11/2014,1.35,1.35,1.35,1.35,67000
04/11/2014,1.33,1.335,1.33,1.33,4178
05/11/2014,1.33,1.33,1.325,1.325,27980
06/11/2014,1.35,1.35,1.35,1.35,59614
07/11/2014,1.34,1.35,1.34,1.35,74074
10/11/2014,1.35,1.36,1.35,1.36,14012
11/11/2014,1.37,1.39,1.37,1.375,45741
12/11/2014,1.375,1.39,1.37,1.38,32016
13/11/2014,1.39,1.4,1.38,1.4,27000
14/11/2014,1.4,1.4,1.4,1.4,32800
17/11/2014,1.42,1.42,1.42,1.42,31327
18/11/2014,1.4,1.4,1.4,1.4,8000
19/11/2014,1.43,1.46,1.43,1.46,50775
20/11/2014,1.46,1.46,1.46,1.46,0
21/11/2014,1.5,1.5,1.5,1.5,20000
24/11/2014,1.48,1.48,1.48,1.48,20000
25/11/2014,1.48,1.48,1.48,1.48,20340
26/11/2014,1.44,1.45,1.44,1.45,69785
27/11/2014,1.46,1.46,1.45,1.45,12465
28/11/2014,1.45,1.5,1.45,1.5,37202
01/12/2014,1.5,1.5,1.5,1.5,0
02/12/2014,1.5,1.5,1.5,1.5,0
