Date,Open,High,Low,Close,Volume
09/11/2016,1.35,1.35,1.3,1.35,38350
10/11/2016,1.33,1.35,1.33,1.35,485810
11/11/2016,1.35,1.35,1.35,1.35,0
14/11/2016,1.33,1.33,1.33,1.33,22500
15/11/2016,1.32,1.32,1.25,1.27,101075
16/11/2016,1.27,1.28,1.27,1.27,22977
17/11/2016,1.27,1.27,1.27,1.27,0
18/11/2016,1.295,1.295,1.295,1.295,2000
21/11/2016,1.295,1.3,1.295,1.3,12962
22/11/2016,1.3,1.3,1.3,1.3,0
23/11/2016,1.3,1.31,1.27,1.3,159574
24/11/2016,1.3,1.31,1.295,1.3,39906
25/11/2016,1.295,1.3,1.29,1.29,40000
28/11/2016,1.29,1.295,1.29,1.29,566390
29/11/2016,1.3,1.3,1.3,1.3,3094
30/11/2016,1.3,1.3,1.3,1.3,488766
01/12/2016,1.3,1.3,1.3,1.3,0
02/12/2016,1.3,1.3,1.3,1.3,0
05/12/2016,1.25,1.3,1.25,1.26,22424
06/12/2016,1.26,1.26,1.26,1.26,0
07/12/2016,1.3,1.3,1.3,1.3,30007
08/12/2016,1.3,1.3,1.3,1.3,98369
09/12/2016,1.31,1.31,1.31,1.31,15000
12/12/2016,1.3,1.3,1.3,1.3,90013
13/12/2016,1.3,1.305,1.3,1.3,241987
14/12/2016,1.31,1.32,1.31,1.31,200379
15/12/2016,1.31,1.31,1.29,1.29,1878
16/12/2016,1.3,1.31,1.3,1.3,302944
19/12/2016,1.3,1.3,1.3,1.3,1072690
20/12/2016,1.305,1.305,1.3,1.3,868700
21/12/2016,1.3,1.3,1.29,1.3,754570
22/12/2016,1.34,1.34,1.34,1.34,1000
23/12/2016,1.33,1.33,1.33,1.33,13802
28/12/2016,1.34,1.34,1.34,1.34,1954
29/12/2016,1.34,1.34,1.34,1.34,0
30/12/2016,1.35,1.35,1.35,1.35,22500
03/01/2017,1.35,1.35,1.35,1.35,4614
04/01/2017,1.35,1.35,1.35,1.35,0
05/01/2017,1.33,1.33,1.33,1.33,112780
06/01/2017,1.33,1.33,1.33,1.33,12220
09/01/2017,1.33,1.33,1.33,1.33,0
10/01/2017,1.33,1.33,1.33,1.33,0
11/01/2017,1.3,1.33,1.3,1.33,92121
12/01/2017,1.315,1.315,1.315,1.315,23
13/01/2017,1.315,1.315,1.315,1.315,25710
16/01/2017,1.315,1.315,1.315,1.315,0
17/01/2017,1.315,1.315,1.315,1.315,0
18/01/2017,1.315,1.315,1.315,1.315,1477
19/01/2017,1.32,1.32,1.315,1.315,759
20/01/2017,1.32,1.32,1.32,1.32,157610
23/01/2017,1.29,1.32,1.29,1.32,11890
24/01/2017,1.32,1.32,1.32,1.32,8889
25/01/2017,1.32,1.32,1.26,1.32,357561
27/01/2017,1.32,1.32,1.32,1.32,0
30/01/2017,1.32,1.32,1.32,1.32,0
31/01/2017,1.32,1.32,1.32,1.32,0
01/02/2017,1.32,1.35,1.32,1.35,317327
02/02/2017,1.35,1.35,1.35,1.35,0
03/02/2017,1.32,1.35,1.32,1.35,15000
06/02/2017,1.35,1.35,1.35,1.35,1500
07/02/2017,1.35,1.35,1.35,1.35,0
08/02/2017,1.35,1.35,1.35,1.35,0
09/02/2017,1.35,1.35,1.35,1.35,0
10/02/2017,1.3,1.3,1.3,1.3,1678568
13/02/2017,1.3,1.3,1.3,1.3,0
14/02/2017,1.35,1.35,1.35,1.35,12848
15/02/2017,1.35,1.35,1.35,1.35,36544
16/02/2017,1.305,1.35,1.305,1.35,392
17/02/2017,1.35,1.35,1.35,1.35,25
20/02/2017,1.35,1.35,1.33,1.33,771
21/02/2017,1.33,1.33,1.33,1.33,29870
22/02/2017,1.33,1.33,1.33,1.33,0
23/02/2017,1.33,1.33,1.33,1.33,0
24/02/2017,1.33,1.33,1.33,1.33,0
27/02/2017,1.33,1.33,1.305,1.305,65
28/02/2017,1.305,1.305,1.305,1.305,0
01/03/2017,1.305,1.305,1.305,1.305,0
02/03/2017,1.305,1.305,1.305,1.305,0
03/03/2017,1.32,1.32,1.32,1.32,19000
06/03/2017,1.345,1.345,1.34,1.34,390
07/03/2017,1.34,1.34,1.3,1.3,43173
08/03/2017,1.3,1.33,1.3,1.33,5019
09/03/2017,1.32,1.32,1.3,1.3,50886
10/03/2017,1.3,1.3,1.3,1.3,502614
13/03/2017,1.3,1.3,1.3,1.3,20000
14/03/2017,1.3,1.3,1.3,1.3,0
15/03/2017,1.3,1.3,1.3,1.3,10360
16/03/2017,1.3,1.3,1.3,1.3,1500
17/03/2017,1.29,1.29,1.29,1.29,1352374
20/03/2017,1.29,1.29,1.29,1.29,13
21/03/2017,1.29,1.29,1.29,1.29,40858
22/03/2017,1.29,1.29,1.29,1.29,11443
23/03/2017,1.29,1.3,1.29,1.3,1097
24/03/2017,1.3,1.3,1.3,1.3,0
27/03/2017,1.285,1.285,1.285,1.285,10001
28/03/2017,1.285,1.285,1.285,1.285,0
29/03/2017,1.285,1.29,1.285,1.29,123409
30/03/2017,1.29,1.305,1.29,1.305,245873
31/03/2017,1.305,1.305,1.305,1.305,0
03/04/2017,1.305,1.305,1.305,1.305,16000
04/04/2017,1.305,1.305,1.305,1.305,7400
05/04/2017,1.3,1.3,1.3,1.3,1200
06/04/2017,1.27,1.3,1.27,1.3,30000
07/04/2017,1.3,1.3,1.3,1.3,0
10/04/2017,1.295,1.3,1.295,1.3,1024873
11/04/2017,1.3,1.3,1.3,1.3,15471
12/04/2017,1.31,1.31,1.3,1.3,37000
13/04/2017,1.3,1.3,1.3,1.3,74
18/04/2017,1.31,1.31,1.31,1.31,224
19/04/2017,1.31,1.31,1.31,1.31,0
20/04/2017,1.31,1.31,1.3,1.3,15381
21/04/2017,1.3,1.3,1.3,1.3,0
24/04/2017,1.3,1.3,1.28,1.3,512879
