Date,Open,High,Low,Close,Volume
29/03/2006,0.25,0.355,0.25,0.35,40000
30/03/2006,0.35,0.355,0.275,0.275,143800
31/03/2006,0.32,0.32,0.29,0.29,52168
03/04/2006,0.29,0.29,0.275,0.275,20000
04/04/2006,0.275,0.275,0.24,0.24,46261
05/04/2006,0.225,0.225,0.215,0.225,78939
06/04/2006,0.24,0.24,0.24,0.24,2500
07/04/2006,0.23,0.23,0.23,0.23,30000
10/04/2006,0.23,0.235,0.23,0.23,65000
11/04/2006,0.23,0.23,0.22,0.225,16000
12/04/2006,0.225,0.225,0.225,0.225,0
13/04/2006,0.23,0.23,0.23,0.23,5000
18/04/2006,0.22,0.22,0.215,0.215,95000
19/04/2006,0.215,0.22,0.215,0.22,35000
20/04/2006,0.22,0.22,0.22,0.22,10000
21/04/2006,0.215,0.215,0.205,0.215,17000
24/04/2006,0.225,0.225,0.225,0.225,29000
26/04/2006,0.22,0.22,0.22,0.22,35000
27/04/2006,0.22,0.22,0.22,0.22,0
28/04/2006,0.22,0.22,0.22,0.22,0
01/05/2006,0.22,0.22,0.22,0.22,0
02/05/2006,0.22,0.22,0.22,0.22,0
03/05/2006,0.21,0.21,0.21,0.21,15000
04/05/2006,0.21,0.21,0.21,0.21,17000
05/05/2006,0.21,0.21,0.21,0.21,0
08/05/2006,0.22,0.22,0.22,0.22,20000
09/05/2006,0.215,0.215,0.215,0.215,10000
10/05/2006,0.21,0.21,0.21,0.21,10000
11/05/2006,0.21,0.21,0.21,0.21,0
12/05/2006,0.215,0.215,0.215,0.215,5000
15/05/2006,0.215,0.215,0.215,0.215,0
16/05/2006,0.21,0.21,0.205,0.205,38000
17/05/2006,0.205,0.205,0.205,0.205,4000
18/05/2006,0.215,0.215,0.215,0.215,11013
19/05/2006,0.215,0.215,0.215,0.215,0
22/05/2006,0.205,0.205,0.205,0.205,8987
23/05/2006,0.205,0.205,0.2,0.2,80500
24/05/2006,0.2,0.205,0.2,0.205,8000
25/05/2006,0.2,0.2,0.2,0.2,20000
26/05/2006,0.205,0.22,0.205,0.22,33150
29/05/2006,0.225,0.225,0.22,0.225,63500
30/05/2006,0.225,0.23,0.225,0.23,35000
31/05/2006,0.23,0.23,0.23,0.23,0
01/06/2006,0.215,0.215,0.215,0.215,10000
02/06/2006,0.225,0.225,0.225,0.225,20000
05/06/2006,0.225,0.225,0.225,0.225,0
06/06/2006,0.225,0.225,0.225,0.225,0
