Date,Open,High,Low,Close,Volume
10/08/2004,0.26,0.27,0.25,0.27,194900
11/08/2004,0.28,0.28,0.27,0.27,22500
12/08/2004,0.28,0.32,0.28,0.31,319500
13/08/2004,0.33,0.4,0.33,0.4,726090
16/08/2004,0.425,0.45,0.345,0.36,434246
17/08/2004,0.36,0.36,0.28,0.33,156100
18/08/2004,0.32,0.325,0.29,0.31,40000
19/08/2004,0.31,0.33,0.29,0.33,102738
20/08/2004,0.33,0.335,0.33,0.335,24000
23/08/2004,0.345,0.35,0.345,0.345,45000
24/08/2004,0.34,0.34,0.335,0.335,30600
25/08/2004,0.34,0.34,0.33,0.33,45000
26/08/2004,0.32,0.32,0.31,0.31,21100
27/08/2004,0.31,0.32,0.3,0.32,63740
30/08/2004,0.32,0.325,0.32,0.325,20000
31/08/2004,0.33,0.33,0.32,0.32,31563
01/09/2004,0.32,0.32,0.32,0.32,0
02/09/2004,0.31,0.31,0.29,0.29,133120
03/09/2004,0.29,0.3,0.29,0.3,46240
06/09/2004,0.32,0.32,0.32,0.32,29937
07/09/2004,0.31,0.315,0.31,0.315,28870
08/09/2004,0.31,0.31,0.31,0.31,40000
09/09/2004,0.31,0.31,0.31,0.31,3226
10/09/2004,0.3,0.3,0.29,0.29,21774
13/09/2004,0.29,0.29,0.29,0.29,40000
14/09/2004,0.29,0.3,0.29,0.3,32000
15/09/2004,0.29,0.29,0.29,0.29,30000
16/09/2004,0.29,0.29,0.29,0.29,24500
17/09/2004,0.3,0.3,0.3,0.3,6660
20/09/2004,0.305,0.305,0.305,0.305,7000
21/09/2004,0.3,0.3,0.3,0.3,6000
22/09/2004,0.3,0.3,0.3,0.3,0
23/09/2004,0.29,0.3,0.29,0.3,41660
24/09/2004,0.3,0.3,0.3,0.3,12600
27/09/2004,0.31,0.31,0.31,0.31,39426
28/09/2004,0.31,0.31,0.31,0.31,0
29/09/2004,0.31,0.31,0.31,0.31,0
30/09/2004,0.31,0.31,0.31,0.31,0
01/10/2004,0.31,0.31,0.31,0.31,10704
04/10/2004,0.33,0.33,0.33,0.33,10000
05/10/2004,0.33,0.33,0.31,0.33,73500
06/10/2004,0.315,0.315,0.315,0.315,20000
07/10/2004,0.32,0.345,0.32,0.345,73000
08/10/2004,0.35,0.38,0.33,0.38,66000
11/10/2004,0.38,0.39,0.38,0.39,48000
12/10/2004,0.39,0.39,0.38,0.39,39000
13/10/2004,0.39,0.39,0.39,0.39,133052
14/10/2004,0.39,0.39,0.39,0.39,33000
15/10/2004,0.39,0.39,0.39,0.39,0
18/10/2004,0.37,0.37,0.37,0.37,39000
19/10/2004,0.37,0.37,0.37,0.37,37348
20/10/2004,0.37,0.37,0.36,0.36,15152
21/10/2004,0.35,0.35,0.35,0.35,85204
22/10/2004,0.35,0.35,0.35,0.35,45000
25/10/2004,0.35,0.35,0.35,0.35,10000
26/10/2004,0.35,0.35,0.35,0.35,56860
27/10/2004,0.35,0.35,0.35,0.35,23000
28/10/2004,0.35,0.35,0.35,0.35,0
29/10/2004,0.35,0.35,0.35,0.35,20000
01/11/2004,0.35,0.35,0.35,0.35,40000
02/11/2004,0.35,0.35,0.35,0.35,0
03/11/2004,0.35,0.35,0.35,0.35,4000
04/11/2004,0.36,0.36,0.33,0.33,70284
05/11/2004,0.33,0.33,0.3,0.3,17000
08/11/2004,0.3,0.3,0.3,0.3,0
09/11/2004,0.3,0.3,0.3,0.3,15000
10/11/2004,0.3,0.3,0.3,0.3,0
11/11/2004,0.3,0.3,0.3,0.3,0
12/11/2004,0.3,0.3,0.3,0.3,0
15/11/2004,0.3,0.3,0.3,0.3,0
16/11/2004,0.3,0.3,0.3,0.3,0
17/11/2004,0.305,0.305,0.305,0.305,8000
18/11/2004,0.305,0.305,0.305,0.305,0
19/11/2004,0.305,0.305,0.305,0.305,0
22/11/2004,0.305,0.305,0.305,0.305,0
23/11/2004,0.31,0.31,0.31,0.31,13000
24/11/2004,0.31,0.31,0.31,0.31,0
25/11/2004,0.31,0.31,0.31,0.31,0
26/11/2004,0.31,0.31,0.31,0.31,0
29/11/2004,0.31,0.31,0.31,0.31,0
30/11/2004,0.31,0.31,0.31,0.31,0
01/12/2004,0.31,0.31,0.31,0.31,0
02/12/2004,0.33,0.34,0.33,0.34,12000
03/12/2004,0.33,0.33,0.3,0.3,60000
06/12/2004,0.31,0.31,0.31,0.31,7500
07/12/2004,0.3,0.3,0.3,0.3,20000
08/12/2004,0.3,0.3,0.3,0.3,0
09/12/2004,0.3,0.3,0.3,0.3,0
10/12/2004,0.28,0.28,0.28,0.28,12000
13/12/2004,0.28,0.28,0.28,0.28,0
14/12/2004,0.29,0.29,0.28,0.28,5500
15/12/2004,0.28,0.3,0.28,0.3,13500
16/12/2004,0.3,0.3,0.3,0.3,0
17/12/2004,0.3,0.3,0.3,0.3,0
20/12/2004,0.3,0.3,0.3,0.3,0
21/12/2004,0.3,0.3,0.3,0.3,0
22/12/2004,0.29,0.29,0.29,0.29,30000
23/12/2004,0.29,0.29,0.29,0.29,0
24/12/2004,0.29,0.29,0.29,0.29,0
29/12/2004,0.285,0.285,0.28,0.28,6000
30/12/2004,0.28,0.28,0.28,0.28,2167
31/12/2004,0.23,0.23,0.23,0.23,3000
04/01/2005,0.23,0.23,0.23,0.23,0
05/01/2005,0.23,0.23,0.23,0.23,0
06/01/2005,0.23,0.23,0.23,0.23,0
07/01/2005,0.23,0.23,0.23,0.23,0
10/01/2005,0.23,0.23,0.23,0.23,0
11/01/2005,0.255,0.255,0.255,0.255,9500
12/01/2005,0.255,0.255,0.255,0.255,0
13/01/2005,0.255,0.255,0.255,0.255,0
14/01/2005,0.255,0.255,0.255,0.255,500
17/01/2005,0.255,0.255,0.255,0.255,0
18/01/2005,0.255,0.255,0.255,0.255,16000
19/01/2005,0.255,0.255,0.255,0.255,0
20/01/2005,0.255,0.255,0.255,0.255,0
21/01/2005,0.255,0.255,0.255,0.255,0
24/01/2005,0.255,0.255,0.255,0.255,0
25/01/2005,0.24,0.24,0.24,0.24,9000
27/01/2005,0.24,0.24,0.225,0.225,16000
28/01/2005,0.225,0.225,0.225,0.225,9500
31/01/2005,0.225,0.225,0.225,0.225,0
01/02/2005,0.225,0.225,0.225,0.225,0
02/02/2005,0.245,0.245,0.24,0.24,30000
03/02/2005,0.22,0.22,0.22,0.22,8440
04/02/2005,0.22,0.22,0.22,0.22,0
07/02/2005,0.22,0.22,0.22,0.22,0
08/02/2005,0.245,0.245,0.245,0.245,16470
09/02/2005,0.245,0.245,0.245,0.245,5000
10/02/2005,0.245,0.245,0.245,0.245,0
11/02/2005,0.245,0.245,0.245,0.245,0
14/02/2005,0.245,0.245,0.245,0.245,0
15/02/2005,0.245,0.245,0.245,0.245,0
16/02/2005,0.245,0.245,0.245,0.245,0
17/02/2005,0.245,0.245,0.245,0.245,0
18/02/2005,0.245,0.245,0.245,0.245,0
21/02/2005,0.245,0.245,0.245,0.245,0
22/02/2005,0.245,0.245,0.245,0.245,0
23/02/2005,0.245,0.245,0.245,0.245,0
24/02/2005,0.245,0.245,0.245,0.245,0
25/02/2005,0.245,0.245,0.245,0.245,0
28/02/2005,0.245,0.245,0.245,0.245,0
01/03/2005,0.245,0.245,0.245,0.245,0
02/03/2005,0.245,0.245,0.245,0.245,0
03/03/2005,0.245,0.245,0.245,0.245,0
04/03/2005,0.245,0.245,0.245,0.245,0
07/03/2005,0.245,0.245,0.245,0.245,0
08/03/2005,0.245,0.245,0.245,0.245,10000
09/03/2005,0.22,0.22,0.22,0.22,1560
10/03/2005,0.205,0.205,0.205,0.205,17500
11/03/2005,0.205,0.205,0.205,0.205,30000
14/03/2005,0.205,0.205,0.205,0.205,25000
15/03/2005,0.19,0.19,0.19,0.19,10500
16/03/2005,0.19,0.19,0.19,0.19,0
17/03/2005,0.19,0.19,0.19,0.19,0
18/03/2005,0.19,0.19,0.19,0.19,0
21/03/2005,0.175,0.175,0.175,0.175,29386
22/03/2005,0.19,0.2,0.19,0.2,5614
23/03/2005,0.2,0.2,0.175,0.175,55286
24/03/2005,0.175,0.175,0.175,0.175,0
29/03/2005,0.205,0.205,0.205,0.205,30000
30/03/2005,0.22,0.22,0.22,0.22,28000
31/03/2005,0.22,0.22,0.22,0.22,0
01/04/2005,0.22,0.22,0.22,0.22,0
04/04/2005,0.22,0.22,0.22,0.22,10000
05/04/2005,0.22,0.22,0.22,0.22,0
06/04/2005,0.235,0.235,0.235,0.235,2200
07/04/2005,0.235,0.235,0.235,0.235,0
08/04/2005,0.235,0.235,0.235,0.235,0
11/04/2005,0.235,0.235,0.235,0.235,0
12/04/2005,0.235,0.235,0.235,0.235,0
13/04/2005,0.21,0.21,0.21,0.21,8000
14/04/2005,0.21,0.21,0.21,0.21,0
15/04/2005,0.21,0.21,0.2,0.2,20000
18/04/2005,0.2,0.2,0.2,0.2,0
19/04/2005,0.2,0.2,0.2,0.2,0
20/04/2005,0.2,0.2,0.2,0.2,0
21/04/2005,0.2,0.2,0.2,0.2,0
22/04/2005,0.2,0.2,0.2,0.2,0
26/04/2005,0.2,0.2,0.2,0.2,0
27/04/2005,0.21,0.21,0.21,0.21,2400
28/04/2005,0.2,0.2,0.2,0.2,20000
29/04/2005,0.2,0.2,0.2,0.2,0
02/05/2005,0.2,0.2,0.2,0.2,0
03/05/2005,0.2,0.2,0.2,0.2,5000
04/05/2005,0.2,0.2,0.2,0.2,2500
05/05/2005,0.18,0.18,0.18,0.18,5000
06/05/2005,0.18,0.18,0.18,0.18,0
09/05/2005,0.18,0.19,0.18,0.19,29000
10/05/2005,0.195,0.195,0.19,0.19,10000
11/05/2005,0.19,0.19,0.19,0.19,0
