Date,Open,High,Low,Close,Volume
02/07/2001,0.063,0.063,0.063,0.063,50000
03/07/2001,0.078,0.078,0.063,0.063,32000
04/07/2001,0.063,0.063,0.063,0.063,0
05/07/2001,0.063,0.063,0.063,0.063,0
06/07/2001,0.07,0.07,0.07,0.07,48000
09/07/2001,0.07,0.07,0.07,0.07,0
10/07/2001,0.08,0.09,0.07,0.09,83000
11/07/2001,0.085,0.085,0.085,0.085,202970
12/07/2001,0.085,0.085,0.075,0.075,24750
13/07/2001,0.075,0.075,0.075,0.075,0
16/07/2001,0.08,0.08,0.08,0.08,20000
17/07/2001,0.085,0.085,0.085,0.085,50000
18/07/2001,0.085,0.085,0.085,0.085,0
19/07/2001,0.085,0.085,0.085,0.085,16930
20/07/2001,0.08,0.08,0.08,0.08,30000
23/07/2001,0.08,0.08,0.08,0.08,0
24/07/2001,0.08,0.08,0.08,0.08,0
25/07/2001,0.08,0.08,0.08,0.08,10000
26/07/2001,0.085,0.098,0.081,0.098,207681
27/07/2001,0.098,0.098,0.098,0.098,0
30/07/2001,0.09,0.091,0.09,0.09,229500
31/07/2001,0.091,0.091,0.091,0.091,100000
01/08/2001,0.095,0.095,0.092,0.092,149680
02/08/2001,0.091,0.091,0.091,0.091,50320
03/08/2001,0.091,0.091,0.091,0.091,0
06/08/2001,0.095,0.1,0.095,0.095,200000
07/08/2001,0.091,0.091,0.09,0.09,160000
08/08/2001,0.091,0.091,0.075,0.075,467889
09/08/2001,0.08,0.08,0.08,0.08,50000
10/08/2001,0.08,0.08,0.08,0.08,56610
13/08/2001,0.08,0.08,0.08,0.08,0
14/08/2001,0.08,0.086,0.08,0.086,238390
15/08/2001,0.086,0.086,0.086,0.086,0
16/08/2001,0.086,0.086,0.085,0.085,41610
17/08/2001,0.085,0.085,0.085,0.085,0
20/08/2001,0.085,0.085,0.085,0.085,0
21/08/2001,0.075,0.09,0.07,0.09,114000
22/08/2001,0.09,0.09,0.09,0.09,0
23/08/2001,0.09,0.09,0.09,0.09,0
24/08/2001,0.09,0.09,0.09,0.09,0
27/08/2001,0.09,0.09,0.09,0.09,0
28/08/2001,0.08,0.08,0.05,0.075,450000
29/08/2001,0.075,0.075,0.075,0.075,0
30/08/2001,0.075,0.075,0.075,0.075,0
31/08/2001,0.084,0.084,0.08,0.08,268000
03/09/2001,0.08,0.08,0.08,0.08,65500
04/09/2001,0.08,0.08,0.08,0.08,20000
05/09/2001,0.084,0.084,0.084,0.084,60000
06/09/2001,0.085,0.085,0.085,0.085,7000
07/09/2001,0.085,0.085,0.085,0.085,0
10/09/2001,0.085,0.085,0.085,0.085,25000
11/09/2001,0.08,0.08,0.08,0.08,10000
12/09/2001,0.08,0.08,0.071,0.071,52000
13/09/2001,0.086,0.086,0.086,0.086,16500
14/09/2001,0.086,0.086,0.086,0.086,0
17/09/2001,0.086,0.086,0.086,0.086,0
18/09/2001,0.086,0.086,0.086,0.086,0
19/09/2001,0.086,0.086,0.086,0.086,0
20/09/2001,0.086,0.086,0.086,0.086,0
21/09/2001,0.086,0.086,0.086,0.086,0
24/09/2001,0.086,0.086,0.086,0.086,0
25/09/2001,0.086,0.086,0.086,0.086,0
26/09/2001,0.086,0.086,0.086,0.086,0
27/09/2001,0.075,0.075,0.043,0.043,110000
28/09/2001,0.044,0.058,0.041,0.058,190000
01/10/2001,0.058,0.058,0.058,0.058,0
02/10/2001,0.056,0.056,0.043,0.045,404500
03/10/2001,0.051,0.06,0.051,0.06,382000
