Date,Open,High,Low,Close,Volume
25/06/2014,2.29,2.34,2.28,2.3,4486688
26/06/2014,2.32,2.37,2.32,2.35,1952035
27/06/2014,2.37,2.38,2.37,2.375,347222
30/06/2014,2.37,2.38,2.37,2.37,129866
01/07/2014,2.38,2.45,2.38,2.42,296408
02/07/2014,2.45,2.5,2.42,2.45,222485
03/07/2014,2.46,2.55,2.46,2.46,607585
04/07/2014,2.55,2.57,2.5,2.52,416568
07/07/2014,2.51,2.55,2.51,2.51,33785
08/07/2014,2.49,2.49,2.43,2.48,90785
09/07/2014,2.48,2.48,2.48,2.48,0
10/07/2014,2.48,2.48,2.48,2.48,0
11/07/2014,2.38,2.4,2.38,2.4,27271
14/07/2014,2.45,2.45,2.45,2.45,750
15/07/2014,2.35,2.4,2.35,2.38,108513
16/07/2014,2.4,2.4,2.38,2.38,16227
17/07/2014,2.38,2.38,2.38,2.38,2120
18/07/2014,2.36,2.36,2.35,2.35,10260
21/07/2014,2.35,2.35,2.35,2.35,0
22/07/2014,2.335,2.335,2.32,2.32,75117
23/07/2014,2.33,2.33,2.33,2.33,6870
24/07/2014,2.3,2.3,2.3,2.3,47367
25/07/2014,2.3,2.3,2.3,2.3,0
28/07/2014,2.31,2.35,2.31,2.35,58977
29/07/2014,2.35,2.35,2.35,2.35,1000
30/07/2014,2.34,2.35,2.34,2.35,21815
31/07/2014,2.35,2.35,2.35,2.35,33000
01/08/2014,2.08,2.08,2.01,2.05,385342
04/08/2014,2.03,2.03,2.02,2.02,15815
05/08/2014,2.02,2.02,1.95,1.95,43000
06/08/2014,1.875,1.875,1.85,1.85,827
07/08/2014,2.02,2.02,2,2,20315
08/08/2014,2,2.07,2,2.03,1257298
11/08/2014,2,2,2,2,1000
12/08/2014,1.955,1.955,1.955,1.955,1000
13/08/2014,1.955,1.955,1.955,1.955,50500
14/08/2014,1.94,1.95,1.94,1.95,20000
15/08/2014,1.95,1.95,1.95,1.95,0
