Date,Open,High,Low,Close,Volume
19/06/2008,0.21,0.225,0.21,0.225,137310
20/06/2008,0.24,0.25,0.24,0.24,537825
23/06/2008,0.25,0.26,0.25,0.26,648720
24/06/2008,0.26,0.27,0.25,0.25,90168
25/06/2008,0.25,0.27,0.24,0.25,324512
26/06/2008,0.25,0.25,0.23,0.23,94500
27/06/2008,0.22,0.22,0.18,0.18,204651
30/06/2008,0.18,0.18,0.18,0.18,0
01/07/2008,0.18,0.18,0.18,0.18,0
02/07/2008,0.2,0.23,0.2,0.21,60000
03/07/2008,0.21,0.21,0.19,0.19,139214
04/07/2008,0.2,0.2,0.19,0.195,177500
07/07/2008,0.2,0.2,0.185,0.185,65800
08/07/2008,0.19,0.19,0.175,0.19,73735
09/07/2008,0.19,0.19,0.19,0.19,5000
10/07/2008,0.18,0.19,0.18,0.19,16500
11/07/2008,0.18,0.18,0.18,0.18,20000
14/07/2008,0.18,0.18,0.18,0.18,0
15/07/2008,0.18,0.18,0.18,0.18,0
16/07/2008,0.17,0.18,0.16,0.18,103600
17/07/2008,0.165,0.165,0.155,0.155,28525
18/07/2008,0.155,0.155,0.155,0.155,0
21/07/2008,0.155,0.155,0.155,0.155,0
22/07/2008,0.155,0.155,0.15,0.155,137000
23/07/2008,0.15,0.15,0.15,0.15,183000
24/07/2008,0.15,0.15,0.15,0.15,0
25/07/2008,0.15,0.17,0.15,0.17,35800
28/07/2008,0.15,0.15,0.15,0.15,3000
29/07/2008,0.15,0.15,0.15,0.15,0
30/07/2008,0.15,0.15,0.15,0.15,500
31/07/2008,0.14,0.14,0.14,0.14,4000
01/08/2008,0.125,0.125,0.12,0.12,54000
04/08/2008,0.12,0.12,0.12,0.12,28400
05/08/2008,0.14,0.14,0.13,0.14,97200
06/08/2008,0.145,0.15,0.14,0.14,133500
07/08/2008,0.14,0.14,0.14,0.14,600
08/08/2008,0.125,0.125,0.125,0.125,12000
11/08/2008,0.125,0.125,0.125,0.125,16000
12/08/2008,0.125,0.125,0.125,0.125,0
13/08/2008,0.1,0.1,0.1,0.1,50000
14/08/2008,0.1,0.1,0.1,0.1,0
15/08/2008,0.09,0.09,0.09,0.09,16996
18/08/2008,0.091,0.091,0.091,0.091,8800
19/08/2008,0.095,0.1,0.095,0.1,175140
20/08/2008,0.1,0.11,0.1,0.11,150000
21/08/2008,0.1,0.1,0.1,0.1,50000
22/08/2008,0.095,0.095,0.095,0.095,57000
25/08/2008,0.115,0.115,0.11,0.11,50864
26/08/2008,0.11,0.11,0.11,0.11,0
27/08/2008,0.1,0.105,0.1,0.105,50000
28/08/2008,0.1,0.11,0.1,0.11,623868
29/08/2008,0.125,0.135,0.125,0.135,20040
01/09/2008,0.13,0.15,0.13,0.15,193206
02/09/2008,0.15,0.15,0.15,0.15,0
03/09/2008,0.15,0.15,0.15,0.15,0
04/09/2008,0.15,0.15,0.15,0.15,0
05/09/2008,0.14,0.14,0.14,0.14,2800
08/09/2008,0.14,0.14,0.14,0.14,0
09/09/2008,0.14,0.14,0.14,0.14,0
10/09/2008,0.14,0.14,0.14,0.14,0
11/09/2008,0.14,0.14,0.14,0.14,0
12/09/2008,0.14,0.14,0.14,0.14,0
15/09/2008,0.16,0.16,0.16,0.16,80000
16/09/2008,0.145,0.145,0.145,0.145,238
17/09/2008,0.145,0.15,0.145,0.15,49762
18/09/2008,0.14,0.14,0.14,0.14,2086
19/09/2008,0.12,0.12,0.12,0.12,6880
22/09/2008,0.12,0.12,0.12,0.12,0
23/09/2008,0.12,0.12,0.12,0.12,0
24/09/2008,0.12,0.12,0.12,0.12,0
25/09/2008,0.12,0.12,0.12,0.12,0
26/09/2008,0.12,0.12,0.12,0.12,0
29/09/2008,0.12,0.12,0.12,0.12,12600
30/09/2008,0.12,0.12,0.1,0.1,672980
01/10/2008,0.1,0.1,0.1,0.1,5680
02/10/2008,0.1,0.1,0.1,0.1,0
03/10/2008,0.1,0.1,0.1,0.1,4360
06/10/2008,0.08,0.08,0.07,0.07,26600
07/10/2008,0.07,0.07,0.07,0.07,4462
08/10/2008,0.07,0.07,0.07,0.07,0
09/10/2008,0.07,0.07,0.07,0.07,0
10/10/2008,0.07,0.07,0.07,0.07,0
13/10/2008,0.07,0.07,0.07,0.07,0
14/10/2008,0.1,0.1,0.1,0.1,13339
15/10/2008,0.11,0.11,0.11,0.11,16062
16/10/2008,0.1,0.1,0.1,0.1,75599
17/10/2008,0.08,0.08,0.06,0.07,13701
20/10/2008,0.07,0.07,0.07,0.07,0
21/10/2008,0.08,0.08,0.07,0.08,136446
22/10/2008,0.08,0.08,0.08,0.08,0
23/10/2008,0.06,0.06,0.06,0.06,2400
24/10/2008,0.06,0.06,0.06,0.06,68600
27/10/2008,0.06,0.06,0.06,0.06,0
28/10/2008,0.06,0.06,0.06,0.06,600
29/10/2008,0.08,0.08,0.08,0.08,50147
30/10/2008,0.08,0.08,0.06,0.06,50000
31/10/2008,0.06,0.06,0.06,0.06,0
03/11/2008,0.06,0.06,0.06,0.06,0
04/11/2008,0.06,0.06,0.06,0.06,0
05/11/2008,0.06,0.06,0.06,0.06,0
06/11/2008,0.07,0.07,0.07,0.07,15500
07/11/2008,0.05,0.05,0.05,0.05,80000
10/11/2008,0.05,0.05,0.05,0.05,0
11/11/2008,0.05,0.05,0.05,0.05,0
12/11/2008,0.05,0.05,0.05,0.05,0
13/11/2008,0.055,0.055,0.05,0.05,98803
14/11/2008,0.05,0.05,0.05,0.05,0
17/11/2008,0.05,0.05,0.05,0.05,0
18/11/2008,0.05,0.05,0.05,0.05,1197
19/11/2008,0.05,0.05,0.05,0.05,0
20/11/2008,0.05,0.05,0.05,0.05,40000
21/11/2008,0.05,0.05,0.05,0.05,0
24/11/2008,0.05,0.05,0.05,0.05,0
25/11/2008,0.05,0.05,0.05,0.05,0
26/11/2008,0.05,0.05,0.05,0.05,0
27/11/2008,0.05,0.05,0.05,0.05,0
28/11/2008,0.06,0.06,0.06,0.06,100000
01/12/2008,0.06,0.06,0.06,0.06,0
02/12/2008,0.06,0.06,0.06,0.06,0
03/12/2008,0.06,0.06,0.06,0.06,2500
04/12/2008,0.06,0.06,0.06,0.06,2000
05/12/2008,0.06,0.06,0.06,0.06,0
08/12/2008,0.062,0.062,0.062,0.062,59500
09/12/2008,0.062,0.062,0.062,0.062,0
10/12/2008,0.062,0.062,0.062,0.062,0
11/12/2008,0.062,0.062,0.062,0.062,0
12/12/2008,0.062,0.062,0.062,0.062,0
15/12/2008,0.062,0.062,0.062,0.062,0
16/12/2008,0.062,0.062,0.06,0.06,86000
17/12/2008,0.06,0.06,0.06,0.06,0
18/12/2008,0.06,0.06,0.06,0.06,0
19/12/2008,0.06,0.06,0.06,0.06,0
22/12/2008,0.06,0.06,0.06,0.06,0
23/12/2008,0.06,0.06,0.06,0.06,0
24/12/2008,0.06,0.06,0.06,0.06,0
29/12/2008,0.06,0.06,0.06,0.06,0
30/12/2008,0.06,0.06,0.06,0.06,0
31/12/2008,0.06,0.06,0.06,0.06,0
02/01/2009,0.06,0.06,0.06,0.06,0
05/01/2009,0.06,0.06,0.06,0.06,0
06/01/2009,0.06,0.06,0.06,0.06,0
07/01/2009,0.06,0.06,0.06,0.06,0
08/01/2009,0.06,0.06,0.06,0.06,0
09/01/2009,0.06,0.06,0.06,0.06,0
12/01/2009,0.08,0.08,0.08,0.08,50000
13/01/2009,0.08,0.08,0.08,0.08,0
14/01/2009,0.08,0.08,0.08,0.08,0
15/01/2009,0.08,0.08,0.08,0.08,0
16/01/2009,0.09,0.09,0.09,0.09,3200
19/01/2009,0.105,0.115,0.105,0.115,17000
20/01/2009,0.115,0.115,0.11,0.11,134300
21/01/2009,0.11,0.11,0.11,0.11,0
22/01/2009,0.11,0.11,0.11,0.11,0
23/01/2009,0.08,0.08,0.08,0.08,14000
27/01/2009,0.08,0.08,0.08,0.08,2000
28/01/2009,0.08,0.08,0.08,0.08,4500
29/01/2009,0.085,0.085,0.085,0.085,25500
30/01/2009,0.06,0.06,0.06,0.06,12000
02/02/2009,0.06,0.06,0.06,0.06,0
03/02/2009,0.09,0.09,0.09,0.09,30000
04/02/2009,0.09,0.09,0.085,0.085,58571
05/02/2009,0.085,0.085,0.085,0.085,0
06/02/2009,0.085,0.085,0.085,0.085,11200
09/02/2009,0.09,0.09,0.09,0.09,21500
10/02/2009,0.09,0.09,0.09,0.09,100000
11/02/2009,0.09,0.09,0.09,0.09,110000
12/02/2009,0.09,0.09,0.09,0.09,5000
13/02/2009,0.09,0.09,0.09,0.09,0
16/02/2009,0.09,0.09,0.09,0.09,4729
17/02/2009,0.09,0.09,0.09,0.09,0
18/02/2009,0.09,0.09,0.09,0.09,0
19/02/2009,0.09,0.09,0.09,0.09,0
20/02/2009,0.09,0.09,0.09,0.09,0
23/02/2009,0.09,0.09,0.09,0.09,0
24/02/2009,0.062,0.062,0.062,0.062,63391
25/02/2009,0.062,0.062,0.062,0.062,0
26/02/2009,0.062,0.062,0.062,0.062,0
27/02/2009,0.062,0.062,0.062,0.062,0
02/03/2009,0.062,0.062,0.062,0.062,0
03/03/2009,0.062,0.062,0.06,0.06,104960
04/03/2009,0.06,0.06,0.06,0.06,0
05/03/2009,0.062,0.062,0.062,0.062,42600
06/03/2009,0.062,0.062,0.062,0.062,0
09/03/2009,0.062,0.062,0.062,0.062,21500
10/03/2009,0.062,0.062,0.062,0.062,0
11/03/2009,0.062,0.062,0.062,0.062,0
12/03/2009,0.062,0.062,0.062,0.062,0
13/03/2009,0.062,0.062,0.062,0.062,8000
16/03/2009,0.062,0.062,0.062,0.062,0
17/03/2009,0.062,0.062,0.062,0.062,0
18/03/2009,0.062,0.062,0.062,0.062,2800
19/03/2009,0.062,0.062,0.062,0.062,0
20/03/2009,0.062,0.062,0.062,0.062,0
23/03/2009,0.062,0.062,0.062,0.062,0
24/03/2009,0.062,0.062,0.056,0.056,66125
25/03/2009,0.056,0.056,0.056,0.056,0
26/03/2009,0.05,0.05,0.05,0.05,1000
27/03/2009,0.05,0.05,0.05,0.05,0
30/03/2009,0.05,0.05,0.05,0.05,0
31/03/2009,0.05,0.05,0.05,0.05,0
01/04/2009,0.061,0.061,0.061,0.061,420
02/04/2009,0.061,0.061,0.061,0.061,0
03/04/2009,0.061,0.061,0.061,0.061,0
06/04/2009,0.074,0.074,0.074,0.074,10000
07/04/2009,0.074,0.074,0.074,0.074,0
08/04/2009,0.074,0.074,0.074,0.074,0
09/04/2009,0.074,0.08,0.074,0.08,45000
14/04/2009,0.055,0.055,0.055,0.055,17800
15/04/2009,0.055,0.055,0.055,0.055,2880
16/04/2009,0.055,0.055,0.055,0.055,0
17/04/2009,0.055,0.055,0.055,0.055,0
20/04/2009,0.055,0.055,0.055,0.055,0
21/04/2009,0.055,0.055,0.055,0.055,0
22/04/2009,0.055,0.055,0.055,0.055,0
23/04/2009,0.055,0.055,0.055,0.055,0
24/04/2009,0.055,0.055,0.055,0.055,0
27/04/2009,0.055,0.055,0.055,0.055,0
28/04/2009,0.055,0.055,0.055,0.055,0
29/04/2009,0.055,0.055,0.055,0.055,0
30/04/2009,0.05,0.05,0.05,0.05,15600
01/05/2009,0.05,0.05,0.05,0.05,0
04/05/2009,0.06,0.06,0.06,0.06,83705
05/05/2009,0.06,0.06,0.06,0.06,5720
06/05/2009,0.065,0.065,0.065,0.065,10420
07/05/2009,0.065,0.065,0.065,0.065,0
08/05/2009,0.07,0.07,0.07,0.07,50155
11/05/2009,0.07,0.07,0.07,0.07,0
12/05/2009,0.062,0.062,0.05,0.055,93000
13/05/2009,0.053,0.053,0.049,0.05,151200
14/05/2009,0.05,0.05,0.05,0.05,0
15/05/2009,0.059,0.059,0.059,0.059,33000
18/05/2009,0.06,0.06,0.055,0.055,61143
19/05/2009,0.055,0.055,0.055,0.055,0
20/05/2009,0.057,0.057,0.057,0.057,11000
21/05/2009,0.061,0.069,0.061,0.069,152000
22/05/2009,0.067,0.067,0.066,0.066,70000
25/05/2009,0.066,0.066,0.066,0.066,0
26/05/2009,0.079,0.079,0.079,0.079,22500
27/05/2009,0.079,0.079,0.079,0.079,0
28/05/2009,0.075,0.075,0.075,0.075,25000
29/05/2009,0.075,0.075,0.075,0.075,0
01/06/2009,0.075,0.075,0.075,0.075,0
02/06/2009,0.075,0.075,0.075,0.075,0
03/06/2009,0.075,0.075,0.075,0.075,0
04/06/2009,0.075,0.075,0.075,0.075,2000
05/06/2009,0.075,0.075,0.075,0.075,4670
09/06/2009,0.075,0.075,0.075,0.075,0
10/06/2009,0.075,0.075,0.075,0.075,0
11/06/2009,0.055,0.061,0.052,0.06,94188
12/06/2009,0.06,0.06,0.06,0.06,243587
15/06/2009,0.06,0.06,0.06,0.06,1000
16/06/2009,0.06,0.06,0.06,0.06,140
17/06/2009,0.062,0.062,0.062,0.062,42258
18/06/2009,0.062,0.062,0.062,0.062,8000
19/06/2009,0.062,0.062,0.06,0.06,50000
22/06/2009,0.06,0.06,0.06,0.06,0
23/06/2009,0.06,0.06,0.06,0.06,11000
24/06/2009,0.065,0.065,0.065,0.065,20000
