Date,Open,High,Low,Close,Volume
17/10/2018,0.95,0.95,0.845,0.845,1604653
18/10/2018,0.85,0.87,0.82,0.85,605652
19/10/2018,0.835,0.835,0.8,0.815,409823
22/10/2018,0.78,0.815,0.74,0.815,729690
23/10/2018,0.81,0.815,0.74,0.79,191121
24/10/2018,0.8,0.805,0.78,0.805,145987
25/10/2018,0.805,0.81,0.79,0.8,108277
26/10/2018,0.78,0.79,0.78,0.785,81000
29/10/2018,0.78,0.78,0.75,0.78,57000
30/10/2018,0.78,0.78,0.72,0.77,72500
31/10/2018,0.77,0.77,0.77,0.77,16500
01/11/2018,0.77,0.77,0.77,0.77,0
02/11/2018,0.75,0.79,0.73,0.78,63360
05/11/2018,0.77,0.78,0.73,0.73,22200
06/11/2018,0.772,0.772,0.772,0.772,5000
07/11/2018,0.785,0.785,0.75,0.76,39467
08/11/2018,0.76,0.78,0.75,0.78,21860
09/11/2018,0.765,0.765,0.75,0.76,74457
12/11/2018,0.76,0.76,0.75,0.75,41679
13/11/2018,0.74,0.75,0.73,0.75,87251
14/11/2018,0.75,0.75,0.75,0.75,0
15/11/2018,0.75,0.75,0.75,0.75,0
16/11/2018,0.75,0.75,0.74,0.74,153667
19/11/2018,0.73,0.73,0.72,0.73,10842
20/11/2018,0.72,0.73,0.71,0.73,22000
21/11/2018,0.7,0.7,0.68,0.68,126285
22/11/2018,0.67,0.67,0.67,0.67,4615
23/11/2018,0.65,0.65,0.635,0.635,6922
26/11/2018,0.635,0.635,0.635,0.635,0
27/11/2018,0.65,0.66,0.55,0.55,131618
28/11/2018,0.59,0.65,0.59,0.59,38256
29/11/2018,0.62,0.67,0.61,0.65,85898
30/11/2018,0.66,0.68,0.65,0.68,74485
03/12/2018,0.68,0.74,0.68,0.72,90850
04/12/2018,0.71,0.74,0.69,0.715,66571
05/12/2018,0.707,0.707,0.707,0.707,2370
06/12/2018,0.707,0.707,0.707,0.707,0
07/12/2018,0.73,0.73,0.73,0.73,2500
10/12/2018,0.67,0.67,0.66,0.66,5565
11/12/2018,0.68,0.68,0.68,0.68,7000
12/12/2018,0.71,0.71,0.7,0.7,22614
13/12/2018,0.7,0.7,0.7,0.7,100
14/12/2018,0.7,0.7,0.67,0.67,6594
17/12/2018,0.71,0.71,0.67,0.7,43663
18/12/2018,0.685,0.7,0.685,0.7,11450
19/12/2018,0.7,0.7,0.67,0.69,12000
20/12/2018,0.69,0.69,0.69,0.69,10000
21/12/2018,0.67,0.68,0.66,0.68,29335
24/12/2018,0.63,0.67,0.63,0.67,10350
27/12/2018,0.69,0.69,0.69,0.69,650
28/12/2018,0.7,0.73,0.68,0.73,49500
31/12/2018,0.7,0.7,0.7,0.7,32000
02/01/2019,0.7,0.7,0.7,0.7,0
03/01/2019,0.7,0.7,0.7,0.7,0
