Date,Open,High,Low,Close,Volume
02/07/2001,4.994,5.1,4.9,5.1,35102
03/07/2001,5.1,5.1,4.86,4.88,25974
04/07/2001,4.88,4.9,4.85,4.88,8964
05/07/2001,4.9,4.9,4.8,4.8,11762
06/07/2001,4.795,5,4.72,5,12460
09/07/2001,4.9,4.9,4.71,4.74,26457
10/07/2001,4.75,4.8,4.73,4.75,10595
11/07/2001,4.8,4.8,4.75,4.8,17500
12/07/2001,4.8,4.8,4.75,4.8,25515
13/07/2001,4.82,4.82,4.8,4.8,3780
16/07/2001,4.76,4.76,4.69,4.69,117660
17/07/2001,4.723,4.723,4.6,4.6,26489
18/07/2001,4.67,4.67,4.58,4.58,13510
19/07/2001,4.557,4.6,4.52,4.6,36193
20/07/2001,4.59,4.59,4.55,4.55,24394
23/07/2001,4.55,4.6,4.55,4.6,18000
24/07/2001,4.55,4.6,4.55,4.55,20000
25/07/2001,4.55,4.56,4.55,4.55,92607
26/07/2001,4.5,4.5,4.35,4.38,49550
27/07/2001,4.37,4.39,4.37,4.39,15630
30/07/2001,4.38,4.4,4.37,4.37,37409
31/07/2001,4.37,4.4,4.37,4.37,30100
01/08/2001,4.37,4.4,4.37,4.38,35464
02/08/2001,4.38,4.4,4.37,4.38,14800
03/08/2001,4.393,4.5,4.39,4.5,15700
06/08/2001,4.45,4.5,4.38,4.5,17180
07/08/2001,4.4,4.4,4.37,4.4,11158
08/08/2001,4.4,4.4,4.4,4.4,7100
09/08/2001,4.4,4.42,4.4,4.4,11700
10/08/2001,4.4,4.4,4.37,4.37,17300
13/08/2001,4.4,4.4,4.37,4.37,19440
14/08/2001,4.4,4.4,4.38,4.38,3800
15/08/2001,4.39,4.39,4.37,4.37,25643
16/08/2001,4.39,4.39,4.37,4.37,12170
17/08/2001,4.37,4.39,4.37,4.38,8204
20/08/2001,4.37,4.38,4.37,4.37,57382
21/08/2001,4.37,4.4,4.37,4.39,15626
