Date,Open,High,Low,Close,Volume
09/12/2010,15,15.02,15,15.01,7673
10/12/2010,15.07,15.09,15.04,15.04,3675
13/12/2010,15.04,15.04,15.04,15.04,0
14/12/2010,15.04,15.04,15.04,15.04,0
15/12/2010,15.06,15.07,15.06,15.07,500
16/12/2010,15.07,15.07,15.07,15.07,0
17/12/2010,15.14,15.14,15.14,15.14,6500
20/12/2010,15.14,15.14,15.07,15.08,5220
21/12/2010,15.1,15.1,15.1,15.1,3300
22/12/2010,15.08,15.08,15.05,15.05,2165
23/12/2010,15.07,15.07,15.07,15.07,265
24/12/2010,15.1,15.1,15.1,15.1,1800
29/12/2010,15.09,15.09,15.05,15.05,17500
30/12/2010,15.16,15.17,15.16,15.17,2262
31/12/2010,15.15,15.15,15.11,15.11,2186
04/01/2011,15.11,15.12,15.07,15.07,21035
05/01/2011,15.07,15.07,15.07,15.07,0
06/01/2011,14.94,14.96,14.94,14.96,1367
07/01/2011,14.96,14.96,14.96,14.96,0
10/01/2011,14.96,14.96,14.96,14.96,0
11/01/2011,15.03,15.03,15.03,15.03,3320
12/01/2011,15.03,15.03,15.03,15.03,1330
13/01/2011,15.03,15.03,15.03,15.03,0
14/01/2011,15.25,15.25,15.25,15.25,250
17/01/2011,15.25,15.25,15.25,15.25,0
18/01/2011,15.23,15.23,15.23,15.23,100
19/01/2011,15.28,15.34,15.28,15.34,24167
20/01/2011,15.33,15.33,15.33,15.33,940
21/01/2011,15.27,15.27,15.24,15.25,32250
24/01/2011,15.22,15.22,15.22,15.22,2500
25/01/2011,15.29,15.32,15.26,15.3,124900
27/01/2011,15.14,15.16,15.11,15.12,115874
28/01/2011,15.15,15.15,15.02,15.03,13076
31/01/2011,14.95,14.95,14.92,14.93,12377
01/02/2011,14.97,14.97,14.96,14.96,12503
02/02/2011,15.07,15.08,15.01,15.01,13401
03/02/2011,15.03,15.03,15.02,15.03,12967
04/02/2011,15.12,15.2,15.05,15.17,13792
07/02/2011,15.22,15.22,15.15,15.15,5980
08/02/2011,15.15,15.15,15.1,15.15,33239
09/02/2011,15.19,15.2,15.18,15.2,15156
10/02/2011,15.18,15.21,15.16,15.17,40456
11/02/2011,15.17,15.17,15.14,15.14,26250
14/02/2011,15.2,15.22,15.17,15.21,25878
15/02/2011,15.25,15.27,15.24,15.27,11700
16/02/2011,15.28,15.29,15.26,15.27,21441
17/02/2011,15.3,15.3,15.28,15.28,8545
18/02/2011,15.32,15.32,15.3,15.3,13585
21/02/2011,15.3,15.3,15.25,15.26,2089
22/02/2011,15.22,15.22,15.1,15.15,36549
23/02/2011,15.1,15.12,15.09,15.12,8200
24/02/2011,15.09,15.13,15.09,15.13,3640
25/02/2011,15.13,15.13,15.12,15.13,3835
28/02/2011,15.16,15.16,15.14,15.14,450
01/03/2011,15.2,15.2,15.2,15.2,1061
02/03/2011,15.3,15.3,15.1,15.1,1100
03/03/2011,15.15,15.18,15.14,15.18,13383
04/03/2011,15.42,15.42,15.39,15.39,2328
07/03/2011,15.35,15.35,15.18,15.18,3863
08/03/2011,15.09,15.19,15.09,15.19,105310
09/03/2011,15.19,15.19,15.03,15.03,103417
10/03/2011,15.03,15.03,14.93,14.93,3916
11/03/2011,14.83,14.83,14.75,14.75,3999
14/03/2011,14.59,14.73,14.59,14.73,600
15/03/2011,14.63,14.65,14.41,14.51,16530
16/03/2011,14.4,14.52,14.4,14.52,2934
17/03/2011,14.52,14.52,14.51,14.51,2750
18/03/2011,14.57,14.63,14.49,14.63,231730
21/03/2011,14.69,14.74,14.69,14.73,7171
22/03/2011,14.79,14.81,14.76,14.76,12171
23/03/2011,14.78,14.79,14.76,14.79,8620
24/03/2011,14.93,14.93,14.9,14.92,6530
25/03/2011,14.97,14.97,14.97,14.97,1000
28/03/2011,15.11,15.11,15.06,15.06,2009
29/03/2011,15.1,15.18,15.08,15.18,17229
30/03/2011,15.25,15.25,15.25,15.25,2000
31/03/2011,15.31,15.31,15.28,15.29,3372
01/04/2011,15.3,15.43,15.26,15.43,20119
04/04/2011,15.48,15.48,15.4,15.4,11530
05/04/2011,15.4,15.46,15.38,15.38,4860
06/04/2011,15.36,15.38,15.36,15.38,820
07/04/2011,15.43,15.43,15.4,15.4,2015
08/04/2011,15.4,15.4,15.4,15.4,0
11/04/2011,15.48,15.48,15.43,15.43,4035
12/04/2011,15.44,15.44,15.34,15.34,181360
13/04/2011,15.28,15.28,15.28,15.28,3000
14/04/2011,15.28,15.3,15.21,15.21,203298
15/04/2011,15.13,15.14,15.1,15.14,2000
18/04/2011,15.19,15.19,15.19,15.19,1970
19/04/2011,15.04,15.05,15.03,15.05,10252
20/04/2011,15.17,15.19,15.17,15.19,9989
21/04/2011,15.39,15.39,15.39,15.39,556
27/04/2011,15.43,15.53,15.34,15.34,2496
28/04/2011,15.35,15.35,15.34,15.34,6805
29/04/2011,15.34,15.34,15.03,15.03,6504
02/05/2011,15.2,15.2,15,15,9123
03/05/2011,15.01,15.06,15.01,15.06,9687
04/05/2011,15.06,15.06,14.9,14.92,6851
05/05/2011,14.9,14.92,14.9,14.92,2125
06/05/2011,15.02,15.02,15,15,4185
09/05/2011,15,15,15,15,67000
10/05/2011,14.85,14.85,14.85,14.85,1000
11/05/2011,14.98,14.98,14.91,14.96,14431
12/05/2011,14.9,14.9,14.9,14.9,2005
13/05/2011,14.83,14.94,14.83,14.94,5285
16/05/2011,14.82,14.84,14.82,14.84,227599
17/05/2011,14.84,14.89,14.83,14.89,6855
18/05/2011,14.86,14.9,14.86,14.9,2680
19/05/2011,15.03,15.04,15.03,15.04,5375
20/05/2011,15.04,15.04,15.04,15.04,2000
23/05/2011,14.85,14.85,14.8,14.8,10254
24/05/2011,14.75,14.8,14.75,14.8,8185
25/05/2011,14.68,14.68,14.64,14.66,8050
26/05/2011,14.82,14.82,14.82,14.82,3500
27/05/2011,14.89,14.89,14.89,14.89,162
30/05/2011,14.92,14.92,14.91,14.91,6878
31/05/2011,15,15,14.92,14.96,11068
01/06/2011,14.95,15.01,14.95,15.01,7800
02/06/2011,15,15,14.71,14.71,44019
03/06/2011,14.75,14.75,14.68,14.69,9532
06/06/2011,14.56,14.59,14.55,14.55,19977
07/06/2011,14.62,14.63,14.62,14.62,10997
08/06/2011,14.61,14.61,14.59,14.59,1120
09/06/2011,14.57,14.58,14.55,14.58,15353
10/06/2011,14.7,14.7,14.61,14.61,12424
14/06/2011,14.61,14.64,14.52,14.64,6066
15/06/2011,14.65,14.65,14.62,14.62,9177
16/06/2011,14.53,14.54,14.45,14.45,39625
17/06/2011,14.47,14.47,14.45,14.45,4500
20/06/2011,14.49,14.49,14.44,14.44,2348
21/06/2011,14.53,14.53,14.52,14.53,16554
22/06/2011,14.63,14.65,14.59,14.59,6751
23/06/2011,14.5,14.5,14.5,14.5,700
24/06/2011,14.58,14.58,14.44,14.51,48785
27/06/2011,14.37,14.37,14.33,14.36,8173
28/06/2011,14.41,14.41,14.31,14.34,12041
29/06/2011,14.4,14.44,14.4,14.43,11896
30/06/2011,14.61,14.61,14.61,14.61,10
01/07/2011,14.61,14.78,14.36,14.4,40155
04/07/2011,14.43,14.53,14.37,14.37,64512
05/07/2011,14.42,14.42,14.31,14.31,12351
06/07/2011,14.29,14.29,14.29,14.29,3680
07/07/2011,14.28,14.35,14.28,14.35,3124
