Date,Open,High,Low,Close,Volume
13/04/2021,0.5,0.67,0.47,0.525,18401150
14/04/2021,0.51,0.535,0.41,0.42,4323613
15/04/2021,0.425,0.46,0.4,0.435,2642354
16/04/2021,0.43,0.485,0.42,0.44,1292784
19/04/2021,0.48,0.485,0.415,0.42,1167792
20/04/2021,0.42,0.43,0.375,0.4,1333354
21/04/2021,0.41,0.415,0.37,0.37,795181
22/04/2021,0.38,0.395,0.36,0.365,568933
23/04/2021,0.37,0.37,0.355,0.36,676520
26/04/2021,0.36,0.495,0.36,0.47,2084962
27/04/2021,0.48,0.515,0.455,0.465,1669297
28/04/2021,0.45,0.465,0.42,0.43,778722
29/04/2021,0.425,0.47,0.415,0.455,570713
30/04/2021,0.47,0.47,0.43,0.46,451468
03/05/2021,0.43,0.43,0.395,0.395,689769
04/05/2021,0.395,0.4,0.38,0.395,304972
05/05/2021,0.395,0.395,0.365,0.37,252732
06/05/2021,0.37,0.395,0.37,0.39,522028
07/05/2021,0.4,0.4,0.375,0.39,137338
10/05/2021,0.39,0.39,0.35,0.39,1083976
11/05/2021,0.38,0.38,0.36,0.365,309461
12/05/2021,0.365,0.38,0.36,0.365,435762
13/05/2021,0.355,0.355,0.33,0.35,478098
14/05/2021,0.35,0.39,0.345,0.39,470835
17/05/2021,0.39,0.4,0.35,0.36,479362
18/05/2021,0.365,0.365,0.34,0.34,623797
19/05/2021,0.39,0.39,0.335,0.34,1339548
20/05/2021,0.3625,0.38,0.345,0.36,545736
21/05/2021,0.365,0.365,0.335,0.35,308512
24/05/2021,0.35,0.35,0.34,0.34,78271
25/05/2021,0.34,0.34,0.32,0.335,169511
26/05/2021,0.33,0.35,0.32,0.35,235752
27/05/2021,0.345,0.345,0.33,0.33,104811
28/05/2021,0.33,0.42,0.32,0.4,2023582
31/05/2021,0.395,0.405,0.375,0.375,311853
01/06/2021,0.39,0.39,0.37,0.37,336126
02/06/2021,0.38,0.385,0.355,0.355,356961
03/06/2021,0.36,0.395,0.355,0.36,262716
04/06/2021,0.375,0.375,0.365,0.365,55435
07/06/2021,0.365,0.365,0.355,0.36,248548
08/06/2021,0.365,0.365,0.345,0.345,174069
09/06/2021,0.355,0.36,0.34,0.345,287929
10/06/2021,0.345,0.35,0.335,0.335,122546
11/06/2021,0.335,0.35,0.325,0.34,257999
15/06/2021,0.35,0.35,0.325,0.325,161920
16/06/2021,0.325,0.325,0.31,0.315,479881
17/06/2021,0.315,0.315,0.29,0.295,521053
18/06/2021,0.3,0.3,0.29,0.3,343701
21/06/2021,0.29,0.3075,0.285,0.305,412063
22/06/2021,0.3,0.31,0.3,0.31,88695
23/06/2021,0.31,0.32,0.31,0.32,198368
24/06/2021,0.32,0.32,0.31,0.31,92023
25/06/2021,0.3,0.31,0.3,0.3,131356
28/06/2021,0.3,0.3,0.295,0.295,64612
29/06/2021,0.295,0.295,0.29,0.29,54674
30/06/2021,0.29,0.29,0.2675,0.28,679823
