Date,Open,High,Low,Close,Volume
02/07/2001,0.079,0.079,0.079,0.079,0
03/07/2001,0.079,0.079,0.079,0.079,0
04/07/2001,0.079,0.079,0.079,0.079,0
05/07/2001,0.079,0.079,0.079,0.079,0
06/07/2001,0.079,0.079,0.079,0.079,0
09/07/2001,0.192,0.192,0.17,0.175,1011986
10/07/2001,0.185,0.185,0.175,0.175,182267
11/07/2001,0.175,0.175,0.165,0.165,290733
12/07/2001,0.165,0.17,0.165,0.17,210400
13/07/2001,0.17,0.17,0.16,0.17,216601
16/07/2001,0.16,0.16,0.16,0.16,115000
17/07/2001,0.16,0.16,0.16,0.16,0
18/07/2001,0.16,0.165,0.155,0.165,200000
19/07/2001,0.165,0.165,0.165,0.165,119000
20/07/2001,0.16,0.165,0.16,0.165,141667
23/07/2001,0.165,0.165,0.16,0.16,22524
24/07/2001,0.16,0.16,0.16,0.16,32476
25/07/2001,0.155,0.16,0.155,0.16,301667
26/07/2001,0.16,0.165,0.155,0.155,115134
27/07/2001,0.155,0.155,0.155,0.155,100000
30/07/2001,0.165,0.165,0.16,0.16,68333
31/07/2001,0.16,0.17,0.16,0.17,1414407
01/08/2001,0.178,0.18,0.17,0.18,210000
02/08/2001,0.18,0.18,0.17,0.17,224500
03/08/2001,0.17,0.17,0.165,0.165,321007
06/08/2001,0.165,0.165,0.16,0.165,214310
07/08/2001,0.155,0.155,0.155,0.155,25000
08/08/2001,0.155,0.155,0.15,0.15,323207
09/08/2001,0.145,0.165,0.145,0.165,79410
10/08/2001,0.165,0.17,0.145,0.17,208734
13/08/2001,0.17,0.17,0.17,0.17,25000
14/08/2001,0.165,0.165,0.16,0.16,75623
15/08/2001,0.15,0.155,0.15,0.15,96877
16/08/2001,0.15,0.15,0.15,0.15,0
17/08/2001,0.16,0.16,0.15,0.15,799452
20/08/2001,0.15,0.15,0.15,0.15,0
21/08/2001,0.15,0.15,0.15,0.15,26667
22/08/2001,0.15,0.15,0.15,0.15,25000
23/08/2001,0.15,0.15,0.15,0.15,19766
24/08/2001,0.15,0.15,0.15,0.15,3001
27/08/2001,0.15,0.15,0.15,0.15,5000
28/08/2001,0.15,0.15,0.15,0.15,0
29/08/2001,0.15,0.15,0.15,0.15,51999
30/08/2001,0.15,0.15,0.15,0.15,70000
31/08/2001,0.14,0.14,0.14,0.14,157217
03/09/2001,0.12,0.12,0.12,0.12,37784
04/09/2001,0.12,0.12,0.12,0.12,25000
05/09/2001,0.12,0.12,0.12,0.12,0
06/09/2001,0.135,0.135,0.135,0.135,100000
07/09/2001,0.15,0.16,0.15,0.16,145000
10/09/2001,0.14,0.14,0.13,0.13,20101
11/09/2001,0.135,0.14,0.135,0.135,9367
12/09/2001,0.115,0.115,0.115,0.115,2500
13/09/2001,0.13,0.135,0.13,0.135,50000
14/09/2001,0.13,0.13,0.13,0.13,200000
17/09/2001,0.13,0.13,0.115,0.12,140349
18/09/2001,0.105,0.105,0.105,0.105,119651
19/09/2001,0.125,0.125,0.12,0.12,20000
20/09/2001,0.12,0.12,0.12,0.12,23333
21/09/2001,0.11,0.11,0.11,0.11,20000
24/09/2001,0.11,0.11,0.11,0.11,24333
25/09/2001,0.11,0.11,0.11,0.11,5667
26/09/2001,0.13,0.13,0.12,0.13,358333
27/09/2001,0.13,0.13,0.13,0.13,10000
28/09/2001,0.13,0.13,0.13,0.13,0
01/10/2001,0.13,0.13,0.13,0.13,0
02/10/2001,0.13,0.13,0.13,0.13,47666
03/10/2001,0.13,0.13,0.13,0.13,4929
04/10/2001,0.13,0.13,0.13,0.13,0
05/10/2001,0.125,0.125,0.125,0.125,250000
08/10/2001,0.125,0.125,0.125,0.125,0
09/10/2001,0.13,0.13,0.13,0.13,5000
10/10/2001,0.13,0.13,0.13,0.13,0
11/10/2001,0.12,0.12,0.12,0.12,3334
12/10/2001,0.12,0.12,0.12,0.12,667
15/10/2001,0.12,0.12,0.12,0.12,0
16/10/2001,0.12,0.12,0.12,0.12,21072
17/10/2001,0.12,0.12,0.12,0.12,0
18/10/2001,0.12,0.12,0.12,0.12,0
19/10/2001,0.12,0.12,0.12,0.12,0
22/10/2001,0.13,0.13,0.13,0.13,40000
