Date,Open,High,Low,Close,Volume
02/07/2001,0.225,0.225,0.225,0.225,0
03/07/2001,0.225,0.225,0.225,0.225,0
04/07/2001,0.225,0.225,0.225,0.225,0
05/07/2001,0.225,0.225,0.225,0.225,0
06/07/2001,0.225,0.225,0.225,0.225,0
09/07/2001,0.225,0.225,0.225,0.225,0
10/07/2001,0.225,0.225,0.225,0.225,0
11/07/2001,0.225,0.225,0.225,0.225,0
12/07/2001,0.215,0.215,0.215,0.215,24500
13/07/2001,0.215,0.215,0.215,0.215,0
16/07/2001,0.215,0.215,0.215,0.215,0
17/07/2001,0.215,0.215,0.215,0.215,0
18/07/2001,0.215,0.215,0.215,0.215,0
19/07/2001,0.215,0.215,0.215,0.215,0
20/07/2001,0.215,0.215,0.215,0.215,0
23/07/2001,0.215,0.215,0.215,0.215,0
24/07/2001,0.15,0.15,0.14,0.14,45231
25/07/2001,0.14,0.14,0.14,0.14,12500
26/07/2001,0.14,0.14,0.14,0.14,0
27/07/2001,0.14,0.14,0.14,0.14,0
30/07/2001,0.14,0.14,0.14,0.14,0
31/07/2001,0.14,0.14,0.14,0.14,0
01/08/2001,0.14,0.14,0.14,0.14,0
02/08/2001,0.14,0.14,0.14,0.14,0
03/08/2001,0.14,0.14,0.14,0.14,0
06/08/2001,0.14,0.14,0.14,0.14,0
07/08/2001,0.14,0.14,0.14,0.14,0
08/08/2001,0.14,0.14,0.14,0.14,0
09/08/2001,0.14,0.14,0.14,0.14,0
10/08/2001,0.14,0.14,0.14,0.14,0
13/08/2001,0.16,0.16,0.15,0.15,21000
14/08/2001,0.15,0.15,0.15,0.15,14000
15/08/2001,0.15,0.15,0.15,0.15,25
16/08/2001,0.15,0.15,0.15,0.15,0
17/08/2001,0.15,0.15,0.15,0.15,0
20/08/2001,0.15,0.15,0.15,0.15,0
21/08/2001,0.15,0.15,0.15,0.15,166
22/08/2001,0.15,0.15,0.15,0.15,0
23/08/2001,0.15,0.15,0.15,0.15,0
24/08/2001,0.15,0.15,0.15,0.15,0
27/08/2001,0.15,0.15,0.15,0.15,0
28/08/2001,0.15,0.15,0.15,0.15,4790
29/08/2001,0.15,0.15,0.15,0.15,0
30/08/2001,0.15,0.15,0.15,0.15,0
31/08/2001,0.15,0.15,0.15,0.15,0
03/09/2001,0.15,0.15,0.15,0.15,0
04/09/2001,0.175,0.175,0.175,0.175,4000
05/09/2001,0.175,0.175,0.175,0.175,0
06/09/2001,0.185,0.2,0.185,0.2,26000
07/09/2001,0.2,0.2,0.2,0.2,0
10/09/2001,0.2,0.2,0.2,0.2,0
11/09/2001,0.2,0.2,0.2,0.2,0
12/09/2001,0.2,0.2,0.2,0.2,0
13/09/2001,0.2,0.2,0.2,0.2,0
14/09/2001,0.16,0.16,0.16,0.16,1000
17/09/2001,0.16,0.16,0.16,0.16,6000
18/09/2001,0.16,0.16,0.16,0.16,0
19/09/2001,0.16,0.16,0.16,0.16,0
20/09/2001,0.16,0.16,0.16,0.16,0
21/09/2001,0.16,0.16,0.16,0.16,0
24/09/2001,0.16,0.16,0.16,0.16,0
25/09/2001,0.16,0.16,0.16,0.16,0
26/09/2001,0.16,0.16,0.16,0.16,0
27/09/2001,0.16,0.16,0.16,0.16,0
28/09/2001,0.16,0.16,0.16,0.16,0
01/10/2001,0.16,0.16,0.16,0.16,0
02/10/2001,0.16,0.16,0.16,0.16,0
03/10/2001,0.1,0.1,0.1,0.1,1500
04/10/2001,0.1,0.1,0.1,0.1,0
05/10/2001,0.1,0.1,0.1,0.1,0
08/10/2001,0.1,0.1,0.1,0.1,0
09/10/2001,0.1,0.1,0.1,0.1,0
10/10/2001,0.1,0.1,0.1,0.1,0
11/10/2001,0.1,0.1,0.1,0.1,0
12/10/2001,0.1,0.1,0.1,0.1,0
15/10/2001,0.15,0.16,0.15,0.16,1000
16/10/2001,0.16,0.16,0.16,0.16,3416
17/10/2001,0.16,0.16,0.16,0.16,0
18/10/2001,0.16,0.16,0.16,0.16,0
19/10/2001,0.16,0.16,0.16,0.16,0
22/10/2001,0.16,0.16,0.16,0.16,0
23/10/2001,0.16,0.16,0.16,0.16,0
24/10/2001,0.16,0.16,0.16,0.16,0
25/10/2001,0.16,0.16,0.16,0.16,0
26/10/2001,0.16,0.16,0.16,0.16,0
29/10/2001,0.16,0.16,0.16,0.16,0
30/10/2001,0.16,0.16,0.16,0.16,0
31/10/2001,0.16,0.16,0.1,0.1,6250
01/11/2001,0.1,0.1,0.1,0.1,0
02/11/2001,0.1,0.1,0.1,0.1,0
05/11/2001,0.1,0.1,0.1,0.1,0
06/11/2001,0.1,0.1,0.1,0.1,0
07/11/2001,0.1,0.1,0.1,0.1,0
08/11/2001,0.1,0.1,0.1,0.1,0
09/11/2001,0.08,0.08,0.08,0.08,5000
12/11/2001,0.08,0.08,0.08,0.08,0
13/11/2001,0.08,0.08,0.08,0.08,0
14/11/2001,0.08,0.08,0.08,0.08,0
15/11/2001,0.08,0.08,0.08,0.08,0
16/11/2001,0.094,0.094,0.094,0.094,2000
19/11/2001,0.094,0.094,0.094,0.094,0
20/11/2001,0.094,0.094,0.094,0.094,0
21/11/2001,0.094,0.094,0.094,0.094,0
22/11/2001,0.1,0.1,0.1,0.1,165944
23/11/2001,0.1,0.1,0.1,0.1,0
26/11/2001,0.1,0.1,0.1,0.1,0
27/11/2001,0.1,0.1,0.1,0.1,0
28/11/2001,0.1,0.1,0.1,0.1,0
29/11/2001,0.115,0.115,0.115,0.115,5000
30/11/2001,0.115,0.115,0.115,0.115,0
03/12/2001,0.115,0.115,0.115,0.115,0
04/12/2001,0.115,0.115,0.115,0.115,0
05/12/2001,0.115,0.115,0.115,0.115,0
06/12/2001,0.115,0.115,0.115,0.115,0
07/12/2001,0.115,0.115,0.115,0.115,0
10/12/2001,0.115,0.115,0.115,0.115,0
11/12/2001,0.115,0.115,0.115,0.115,0
12/12/2001,0.115,0.115,0.115,0.115,0
13/12/2001,0.115,0.115,0.115,0.115,0
14/12/2001,0.115,0.115,0.115,0.115,0
17/12/2001,0.115,0.115,0.115,0.115,0
18/12/2001,0.115,0.115,0.115,0.115,0
19/12/2001,0.115,0.115,0.115,0.115,0
20/12/2001,0.115,0.115,0.115,0.115,0
21/12/2001,0.115,0.115,0.115,0.115,0
24/12/2001,0.115,0.115,0.115,0.115,0
27/12/2001,0.115,0.115,0.115,0.115,0
28/12/2001,0.115,0.115,0.115,0.115,0
31/12/2001,0.115,0.115,0.115,0.115,0
02/01/2002,0.115,0.115,0.115,0.115,0
03/01/2002,0.115,0.115,0.115,0.115,0
04/01/2002,0.115,0.115,0.115,0.115,0
07/01/2002,0.115,0.115,0.115,0.115,0
08/01/2002,0.115,0.115,0.115,0.115,25166
09/01/2002,0.115,0.115,0.115,0.115,0
10/01/2002,0.06,0.06,0.06,0.06,3000
11/01/2002,0.06,0.06,0.06,0.06,0
14/01/2002,0.06,0.06,0.06,0.06,0
15/01/2002,0.06,0.06,0.06,0.06,0
16/01/2002,0.06,0.06,0.06,0.06,0
17/01/2002,0.06,0.06,0.06,0.06,0
18/01/2002,0.06,0.06,0.06,0.06,0
21/01/2002,0.06,0.06,0.06,0.06,0
22/01/2002,0.06,0.06,0.06,0.06,0
23/01/2002,0.06,0.06,0.06,0.06,0
24/01/2002,0.06,0.06,0.06,0.06,0
25/01/2002,0.06,0.06,0.06,0.06,0
29/01/2002,0.06,0.06,0.06,0.06,0
30/01/2002,0.06,0.06,0.06,0.06,0
31/01/2002,0.06,0.06,0.06,0.06,0
01/02/2002,0.06,0.06,0.06,0.06,0
04/02/2002,0.06,0.06,0.06,0.06,0
05/02/2002,0.06,0.06,0.06,0.06,0
06/02/2002,0.06,0.06,0.06,0.06,0
07/02/2002,0.06,0.06,0.06,0.06,0
08/02/2002,0.06,0.06,0.06,0.06,0
