Date,Open,High,Low,Close,Volume
02/07/2001,0.086,0.086,0.082,0.085,299199
03/07/2001,0.085,0.085,0.082,0.085,688800
04/07/2001,0.082,0.088,0.082,0.083,661702
05/07/2001,0.083,0.083,0.083,0.083,0
06/07/2001,0.083,0.085,0.081,0.081,2175298
09/07/2001,0.08,0.084,0.078,0.084,291000
10/07/2001,0.086,0.089,0.085,0.089,640000
11/07/2001,0.088,0.089,0.087,0.088,1222670
12/07/2001,0.088,0.09,0.084,0.09,996000
13/07/2001,0.09,0.092,0.089,0.092,706100
16/07/2001,0.092,0.092,0.088,0.088,375000
17/07/2001,0.087,0.09,0.086,0.086,473735
18/07/2001,0.086,0.088,0.083,0.086,902274
19/07/2001,0.086,0.088,0.078,0.088,784846
20/07/2001,0.081,0.081,0.08,0.08,135000
23/07/2001,0.081,0.081,0.075,0.075,63164
24/07/2001,0.075,0.077,0.07,0.075,502000
25/07/2001,0.07,0.07,0.061,0.061,17000
26/07/2001,0.063,0.069,0.062,0.062,80000
27/07/2001,0.069,0.069,0.062,0.062,741200
30/07/2001,0.068,0.068,0.061,0.061,690000
31/07/2001,0.062,0.068,0.06,0.068,1750000
01/08/2001,0.066,0.069,0.065,0.069,279000
02/08/2001,0.069,0.071,0.066,0.071,215000
03/08/2001,0.071,0.071,0.066,0.071,120000
06/08/2001,0.075,0.075,0.07,0.07,480000
07/08/2001,0.07,0.07,0.068,0.068,34000
08/08/2001,0.068,0.068,0.066,0.066,430000
09/08/2001,0.066,0.066,0.066,0.066,304000
10/08/2001,0.07,0.072,0.07,0.072,296491
13/08/2001,0.072,0.072,0.07,0.07,291709
14/08/2001,0.067,0.068,0.067,0.068,179300
15/08/2001,0.072,0.072,0.072,0.072,426491
16/08/2001,0.072,0.072,0.067,0.067,1536836
17/08/2001,0.068,0.073,0.068,0.07,1116990
20/08/2001,0.07,0.07,0.068,0.068,150000
21/08/2001,0.07,0.07,0.067,0.067,219885
22/08/2001,0.067,0.067,0.064,0.064,328956
23/08/2001,0.064,0.065,0.064,0.065,173899
24/08/2001,0.066,0.067,0.066,0.066,446256
