Date,Open,High,Low,Close,Volume
21/09/2010,0.19,0.19,0.165,0.165,152500
22/09/2010,0.18,0.18,0.17,0.17,170000
23/09/2010,0.175,0.18,0.17,0.17,118000
24/09/2010,0.165,0.165,0.165,0.165,117000
27/09/2010,0.165,0.17,0.16,0.17,50000
28/09/2010,0.17,0.17,0.17,0.17,0
29/09/2010,0.16,0.16,0.16,0.16,238000
30/09/2010,0.16,0.16,0.16,0.16,2000
01/10/2010,0.17,0.175,0.17,0.175,40000
04/10/2010,0.175,0.175,0.175,0.175,0
05/10/2010,0.16,0.16,0.16,0.16,90000
06/10/2010,0.16,0.16,0.16,0.16,0
07/10/2010,0.155,0.155,0.155,0.155,53500
08/10/2010,0.155,0.155,0.155,0.155,5000
11/10/2010,0.15,0.17,0.15,0.17,156500
12/10/2010,0.17,0.17,0.165,0.17,140000
13/10/2010,0.17,0.17,0.17,0.17,60000
14/10/2010,0.17,0.17,0.17,0.17,50000
15/10/2010,0.17,0.17,0.17,0.17,70000
18/10/2010,0.17,0.17,0.17,0.17,190000
19/10/2010,0.17,0.17,0.17,0.17,50000
20/10/2010,0.17,0.17,0.17,0.17,95000
21/10/2010,0.17,0.17,0.17,0.17,65000
22/10/2010,0.17,0.17,0.17,0.17,25000
25/10/2010,0.17,0.17,0.17,0.17,0
26/10/2010,0.17,0.17,0.17,0.17,9900
27/10/2010,0.18,0.18,0.17,0.18,109900
28/10/2010,0.18,0.18,0.18,0.18,50000
29/10/2010,0.18,0.18,0.18,0.18,0
01/11/2010,0.18,0.18,0.18,0.18,0
02/11/2010,0.18,0.18,0.18,0.18,0
03/11/2010,0.18,0.18,0.18,0.18,11500
04/11/2010,0.17,0.17,0.17,0.17,125000
05/11/2010,0.18,0.18,0.18,0.18,3000
08/11/2010,0.17,0.17,0.17,0.17,120000
09/11/2010,0.17,0.17,0.165,0.165,25200
10/11/2010,0.17,0.17,0.17,0.17,20000
11/11/2010,0.165,0.17,0.165,0.17,41000
12/11/2010,0.165,0.165,0.16,0.16,43800
15/11/2010,0.16,0.16,0.16,0.16,11200
16/11/2010,0.16,0.16,0.16,0.16,0
17/11/2010,0.16,0.16,0.16,0.16,0
18/11/2010,0.16,0.16,0.16,0.16,18800
19/11/2010,0.16,0.16,0.16,0.16,0
22/11/2010,0.17,0.17,0.17,0.17,3000
23/11/2010,0.17,0.17,0.165,0.165,8950
24/11/2010,0.16,0.16,0.16,0.16,78000
25/11/2010,0.16,0.16,0.15,0.15,33000
26/11/2010,0.15,0.15,0.15,0.15,10000
29/11/2010,0.15,0.15,0.15,0.15,0
30/11/2010,0.15,0.15,0.15,0.15,0
01/12/2010,0.15,0.15,0.15,0.15,0
02/12/2010,0.15,0.15,0.15,0.15,0
03/12/2010,0.15,0.15,0.15,0.15,0
06/12/2010,0.15,0.15,0.15,0.15,15000
07/12/2010,0.15,0.15,0.15,0.15,0
08/12/2010,0.15,0.15,0.15,0.15,0
09/12/2010,0.15,0.15,0.15,0.15,0
10/12/2010,0.15,0.15,0.15,0.15,85000
13/12/2010,0.15,0.15,0.15,0.15,0
14/12/2010,0.15,0.15,0.15,0.15,0
15/12/2010,0.15,0.15,0.15,0.15,0
16/12/2010,0.15,0.15,0.15,0.15,0
17/12/2010,0.15,0.15,0.15,0.15,0
20/12/2010,0.15,0.15,0.15,0.15,0
21/12/2010,0.15,0.15,0.15,0.15,0
22/12/2010,0.15,0.15,0.15,0.15,0
23/12/2010,0.15,0.15,0.15,0.15,0
24/12/2010,0.145,0.145,0.14,0.14,178000
29/12/2010,0.14,0.14,0.14,0.14,0
30/12/2010,0.14,0.14,0.14,0.14,0
31/12/2010,0.17,0.17,0.17,0.17,45500
04/01/2011,0.17,0.17,0.17,0.17,0
05/01/2011,0.17,0.17,0.17,0.17,0
06/01/2011,0.17,0.17,0.17,0.17,10000
07/01/2011,0.17,0.17,0.17,0.17,0
10/01/2011,0.17,0.17,0.17,0.17,20000
11/01/2011,0.17,0.185,0.17,0.185,34000
12/01/2011,0.19,0.19,0.19,0.19,30000
13/01/2011,0.19,0.22,0.19,0.21,209500
