Date,Open,High,Low,Close,Volume
02/07/2001,0.125,0.125,0.125,0.125,0
03/07/2001,0.125,0.125,0.125,0.125,0
04/07/2001,0.125,0.125,0.125,0.125,0
05/07/2001,0.125,0.125,0.125,0.125,0
06/07/2001,0.125,0.125,0.125,0.125,0
09/07/2001,0.15,0.15,0.15,0.15,60000
10/07/2001,0.15,0.15,0.15,0.15,0
11/07/2001,0.15,0.15,0.15,0.15,0
12/07/2001,0.15,0.15,0.15,0.15,0
13/07/2001,0.15,0.15,0.15,0.15,0
16/07/2001,0.15,0.15,0.15,0.15,0
17/07/2001,0.15,0.15,0.15,0.15,0
18/07/2001,0.15,0.15,0.15,0.15,0
19/07/2001,0.15,0.15,0.15,0.15,0
20/07/2001,0.15,0.15,0.15,0.15,0
23/07/2001,0.15,0.15,0.15,0.15,0
24/07/2001,0.15,0.15,0.15,0.15,0
25/07/2001,0.15,0.15,0.15,0.15,0
26/07/2001,0.15,0.15,0.15,0.15,0
27/07/2001,0.15,0.15,0.15,0.15,0
30/07/2001,0.15,0.15,0.15,0.15,0
31/07/2001,0.15,0.15,0.15,0.15,0
01/08/2001,0.15,0.15,0.15,0.15,0
02/08/2001,0.15,0.15,0.15,0.15,0
03/08/2001,0.15,0.15,0.15,0.15,0
06/08/2001,0.15,0.15,0.15,0.15,0
07/08/2001,0.135,0.135,0.12,0.12,23500
08/08/2001,0.12,0.12,0.12,0.12,0
09/08/2001,0.125,0.125,0.125,0.125,20000
10/08/2001,0.125,0.125,0.125,0.125,0
13/08/2001,0.12,0.12,0.12,0.12,50000
14/08/2001,0.115,0.115,0.115,0.115,71500
15/08/2001,0.115,0.115,0.115,0.115,0
16/08/2001,0.115,0.115,0.115,0.115,0
17/08/2001,0.115,0.115,0.115,0.115,0
20/08/2001,0.115,0.115,0.115,0.115,0
21/08/2001,0.115,0.115,0.115,0.115,0
22/08/2001,0.1,0.1,0.1,0.1,26000
23/08/2001,0.1,0.1,0.1,0.1,0
24/08/2001,0.1,0.1,0.1,0.1,0
27/08/2001,0.1,0.1,0.1,0.1,12500
28/08/2001,0.1,0.1,0.1,0.1,0
29/08/2001,0.1,0.1,0.1,0.1,196500
30/08/2001,0.1,0.1,0.1,0.1,0
31/08/2001,0.1,0.1,0.1,0.1,0
03/09/2001,0.1,0.1,0.1,0.1,65000
04/09/2001,0.1,0.1,0.1,0.1,150000
05/09/2001,0.1,0.1,0.1,0.1,0
06/09/2001,0.1,0.1,0.1,0.1,35000
