Date,Open,High,Low,Close,Volume
27/08/2004,0.27,0.32,0.27,0.32,125868
30/08/2004,0.32,0.35,0.32,0.335,48469
31/08/2004,0.35,0.43,0.34,0.39,151617
01/09/2004,0.41,0.41,0.345,0.345,40595
02/09/2004,0.35,0.35,0.345,0.345,43334
03/09/2004,0.35,0.365,0.35,0.365,41334
06/09/2004,0.37,0.37,0.365,0.37,13200
07/09/2004,0.37,0.37,0.36,0.36,10556
08/09/2004,0.35,0.37,0.35,0.35,15756
09/09/2004,0.35,0.35,0.35,0.35,0
10/09/2004,0.36,0.36,0.36,0.36,3000
13/09/2004,0.36,0.36,0.28,0.28,13900
14/09/2004,0.285,0.285,0.285,0.285,1000
15/09/2004,0.32,0.33,0.3,0.32,49156
16/09/2004,0.32,0.32,0.32,0.32,0
17/09/2004,0.35,0.35,0.325,0.325,10000
20/09/2004,0.325,0.325,0.325,0.325,3419
21/09/2004,0.34,0.34,0.33,0.33,9889
22/09/2004,0.33,0.33,0.33,0.33,0
23/09/2004,0.33,0.33,0.33,0.33,45023
24/09/2004,0.33,0.33,0.33,0.33,0
27/09/2004,0.33,0.33,0.33,0.33,0
28/09/2004,0.31,0.31,0.3,0.3,80000
29/09/2004,0.3,0.3,0.285,0.285,4445
30/09/2004,0.29,0.3,0.29,0.3,10668
01/10/2004,0.3,0.3,0.3,0.3,0
04/10/2004,0.305,0.305,0.3,0.3,50666
05/10/2004,0.29,0.29,0.29,0.29,445
06/10/2004,0.29,0.29,0.245,0.245,10705
07/10/2004,0.245,0.245,0.245,0.245,0
08/10/2004,0.245,0.245,0.245,0.245,0
11/10/2004,0.25,0.25,0.25,0.25,15000
12/10/2004,0.25,0.26,0.25,0.26,6946
13/10/2004,0.26,0.3,0.26,0.3,112403
14/10/2004,0.33,0.33,0.315,0.33,347504
15/10/2004,0.33,0.35,0.33,0.35,280705
18/10/2004,0.35,0.4,0.35,0.4,700636
19/10/2004,0.43,0.43,0.4,0.4,24500
20/10/2004,0.4,0.4,0.4,0.4,445490
21/10/2004,0.375,0.385,0.35,0.385,81500
22/10/2004,0.36,0.36,0.35,0.35,643500
25/10/2004,0.35,0.35,0.35,0.35,10000
26/10/2004,0.36,0.36,0.35,0.35,135167
27/10/2004,0.35,0.35,0.35,0.35,30000
28/10/2004,0.36,0.36,0.34,0.34,40557
29/10/2004,0.35,0.35,0.35,0.35,6667
01/11/2004,0.34,0.34,0.34,0.34,1283
02/11/2004,0.335,0.39,0.335,0.39,20000
03/11/2004,0.39,0.39,0.39,0.39,0
04/11/2004,0.39,0.39,0.39,0.39,0
05/11/2004,0.39,0.39,0.39,0.39,0
08/11/2004,0.39,0.39,0.39,0.39,0
09/11/2004,0.39,0.39,0.39,0.39,0
10/11/2004,0.33,0.34,0.33,0.34,60000
11/11/2004,0.31,0.31,0.29,0.29,13001
12/11/2004,0.335,0.335,0.28,0.33,37444
15/11/2004,0.33,0.33,0.33,0.33,0
16/11/2004,0.32,0.335,0.31,0.31,68608
17/11/2004,0.31,0.31,0.31,0.31,0
18/11/2004,0.285,0.285,0.28,0.28,70000
19/11/2004,0.29,0.29,0.29,0.29,2556
22/11/2004,0.29,0.29,0.29,0.29,9444
23/11/2004,0.29,0.29,0.29,0.29,7224
24/11/2004,0.29,0.29,0.29,0.29,0
25/11/2004,0.29,0.29,0.29,0.29,0
26/11/2004,0.31,0.315,0.31,0.315,58000
29/11/2004,0.315,0.315,0.305,0.305,29078
30/11/2004,0.31,0.31,0.31,0.31,30000
01/12/2004,0.31,0.31,0.31,0.31,0
02/12/2004,0.31,0.31,0.31,0.31,0
03/12/2004,0.31,0.31,0.31,0.31,0
06/12/2004,0.305,0.305,0.29,0.29,12223
07/12/2004,0.29,0.29,0.28,0.28,4145
08/12/2004,0.28,0.28,0.28,0.28,0
09/12/2004,0.28,0.285,0.28,0.285,47113
10/12/2004,0.285,0.285,0.285,0.285,2667
13/12/2004,0.285,0.285,0.285,0.285,0
14/12/2004,0.285,0.285,0.28,0.28,4849
15/12/2004,0.28,0.28,0.28,0.28,0
16/12/2004,0.28,0.28,0.28,0.28,4324
17/12/2004,0.26,0.26,0.26,0.26,50000
20/12/2004,0.26,0.26,0.25,0.25,100000
21/12/2004,0.25,0.25,0.25,0.25,0
22/12/2004,0.25,0.25,0.25,0.25,0
23/12/2004,0.28,0.285,0.28,0.285,35000
24/12/2004,0.285,0.285,0.285,0.285,0
29/12/2004,0.3,0.3,0.3,0.3,82123
30/12/2004,0.3,0.3,0.3,0.3,0
31/12/2004,0.275,0.275,0.275,0.275,2667
04/01/2005,0.3,0.3,0.3,0.3,3931
05/01/2005,0.275,0.275,0.275,0.275,1112
06/01/2005,0.275,0.275,0.275,0.275,0
