Date,Open,High,Low,Close,Volume
02/07/2001,0.61,0.61,0.6,0.6,10000
03/07/2001,0.6,0.6,0.6,0.6,0
04/07/2001,0.61,0.61,0.61,0.61,2000
05/07/2001,0.64,0.64,0.64,0.64,20000
06/07/2001,0.63,0.63,0.63,0.63,50000
09/07/2001,0.63,0.63,0.63,0.63,54000
10/07/2001,0.63,0.63,0.63,0.63,0
11/07/2001,0.63,0.63,0.63,0.63,0
12/07/2001,0.63,0.63,0.63,0.63,0
13/07/2001,0.63,0.63,0.63,0.63,0
16/07/2001,0.62,0.62,0.62,0.62,6075
17/07/2001,0.62,0.62,0.62,0.62,0
18/07/2001,0.63,0.63,0.63,0.63,10000
19/07/2001,0.63,0.64,0.63,0.64,17000
20/07/2001,0.64,0.64,0.64,0.64,0
23/07/2001,0.64,0.64,0.64,0.64,6500
24/07/2001,0.68,0.68,0.68,0.68,2000
25/07/2001,0.65,0.65,0.63,0.63,10000
26/07/2001,0.64,0.64,0.63,0.63,10000
27/07/2001,0.62,0.62,0.6,0.6,23500
30/07/2001,0.61,0.61,0.61,0.61,4000
31/07/2001,0.62,0.62,0.62,0.62,5000
01/08/2001,0.61,0.61,0.61,0.61,2000
02/08/2001,0.61,0.63,0.61,0.63,16500
03/08/2001,0.65,0.65,0.64,0.64,9000
06/08/2001,0.63,0.63,0.63,0.63,10000
07/08/2001,0.62,0.62,0.61,0.61,7000
08/08/2001,0.61,0.61,0.61,0.61,0
09/08/2001,0.61,0.61,0.61,0.61,0
10/08/2001,0.63,0.63,0.63,0.63,21850
13/08/2001,0.63,0.63,0.63,0.63,3900
14/08/2001,0.62,0.63,0.62,0.63,25000
15/08/2001,0.63,0.63,0.62,0.62,12000
16/08/2001,0.62,0.62,0.62,0.62,0
17/08/2001,0.62,0.62,0.62,0.62,0
20/08/2001,0.62,0.62,0.62,0.62,5000
21/08/2001,0.62,0.62,0.62,0.62,0
22/08/2001,0.62,0.62,0.62,0.62,1400
23/08/2001,0.62,0.62,0.61,0.61,8710
24/08/2001,0.62,0.62,0.62,0.62,290
27/08/2001,0.62,0.62,0.62,0.62,0
28/08/2001,0.62,0.62,0.62,0.62,0
29/08/2001,0.63,0.63,0.62,0.62,8000
30/08/2001,0.62,0.62,0.6,0.6,21000
31/08/2001,0.62,0.63,0.62,0.63,7915
03/09/2001,0.63,0.63,0.63,0.63,0
04/09/2001,0.62,0.62,0.62,0.62,5000
05/09/2001,0.62,0.62,0.62,0.62,4000
06/09/2001,0.63,0.63,0.61,0.63,7000
07/09/2001,0.62,0.63,0.62,0.63,3000
10/09/2001,0.62,0.62,0.62,0.62,27500
11/09/2001,0.62,0.62,0.62,0.62,17044
12/09/2001,0.62,0.62,0.62,0.62,10000
13/09/2001,0.62,0.62,0.61,0.61,16356
14/09/2001,0.62,0.62,0.62,0.62,4500
17/09/2001,0.61,0.62,0.57,0.57,27640
18/09/2001,0.57,0.57,0.57,0.57,10000
19/09/2001,0.57,0.57,0.57,0.57,0
20/09/2001,0.57,0.57,0.57,0.57,0
21/09/2001,0.61,0.61,0.61,0.61,300
24/09/2001,0.615,0.615,0.6,0.6,14700
25/09/2001,0.61,0.61,0.61,0.61,28000
26/09/2001,0.61,0.61,0.61,0.61,0
27/09/2001,0.61,0.61,0.61,0.61,0
28/09/2001,0.61,0.61,0.61,0.61,0
01/10/2001,0.61,0.61,0.61,0.61,0
02/10/2001,0.62,0.63,0.62,0.63,3000
03/10/2001,0.63,0.63,0.63,0.63,0
04/10/2001,0.63,0.63,0.63,0.63,0
05/10/2001,0.63,0.63,0.63,0.63,0
08/10/2001,0.62,0.62,0.62,0.62,3000
09/10/2001,0.62,0.62,0.62,0.62,0
10/10/2001,0.62,0.62,0.62,0.62,0
11/10/2001,0.62,0.62,0.62,0.62,0
12/10/2001,0.62,0.62,0.62,0.62,7000
15/10/2001,0.63,0.63,0.62,0.62,29000
