Date,Open,High,Low,Close,Volume
02/07/2001,0.255,0.27,0.255,0.27,1372000
03/07/2001,0.275,0.285,0.265,0.285,778250
04/07/2001,0.28,0.28,0.27,0.275,720950
05/07/2001,0.27,0.275,0.27,0.27,555368
06/07/2001,0.27,0.27,0.27,0.27,380800
09/07/2001,0.27,0.27,0.27,0.27,0
10/07/2001,0.265,0.265,0.25,0.25,878200
11/07/2001,0.26,0.26,0.25,0.25,184000
12/07/2001,0.26,0.26,0.245,0.245,119000
13/07/2001,0.255,0.255,0.25,0.25,83900
16/07/2001,0.25,0.25,0.25,0.25,13000
17/07/2001,0.25,0.26,0.25,0.26,178100
18/07/2001,0.26,0.26,0.25,0.25,248500
19/07/2001,0.25,0.25,0.25,0.25,36000
20/07/2001,0.25,0.25,0.25,0.25,89600
23/07/2001,0.25,0.25,0.25,0.25,146000
24/07/2001,0.25,0.25,0.245,0.25,40500
25/07/2001,0.25,0.25,0.245,0.245,20400
26/07/2001,0.25,0.255,0.245,0.255,1227500
27/07/2001,0.255,0.255,0.255,0.255,50000
30/07/2001,0.25,0.25,0.245,0.245,80000
31/07/2001,0.25,0.25,0.245,0.245,250000
01/08/2001,0.245,0.245,0.245,0.245,42500
02/08/2001,0.24,0.25,0.24,0.25,261875
03/08/2001,0.241,0.25,0.24,0.25,33000
06/08/2001,0.25,0.25,0.25,0.25,0
07/08/2001,0.25,0.25,0.25,0.25,4000
08/08/2001,0.245,0.245,0.245,0.245,5400
09/08/2001,0.245,0.245,0.245,0.245,86300
10/08/2001,0.245,0.245,0.24,0.24,16500
13/08/2001,0.24,0.24,0.24,0.24,698962
14/08/2001,0.245,0.245,0.24,0.24,67000
15/08/2001,0.245,0.245,0.245,0.245,982700
16/08/2001,0.245,0.245,0.235,0.235,251800
17/08/2001,0.245,0.245,0.24,0.24,195000
20/08/2001,0.24,0.24,0.24,0.24,125000
21/08/2001,0.235,0.235,0.23,0.235,179286
22/08/2001,0.23,0.235,0.23,0.23,279500
23/08/2001,0.23,0.24,0.23,0.24,55000
24/08/2001,0.235,0.24,0.235,0.24,92000
27/08/2001,0.23,0.235,0.23,0.235,260000
28/08/2001,0.235,0.24,0.235,0.24,183200
29/08/2001,0.24,0.24,0.23,0.23,37500
30/08/2001,0.23,0.23,0.23,0.23,41000
31/08/2001,0.24,0.24,0.24,0.24,331750
03/09/2001,0.245,0.245,0.245,0.245,627000
04/09/2001,0.245,0.245,0.24,0.24,176550
05/09/2001,0.24,0.24,0.24,0.24,0
06/09/2001,0.24,0.25,0.24,0.25,516950
07/09/2001,0.25,0.25,0.245,0.25,248000
10/09/2001,0.25,0.255,0.25,0.25,144770
11/09/2001,0.25,0.255,0.25,0.25,35250
12/09/2001,0.23,0.255,0.225,0.255,85000
13/09/2001,0.235,0.245,0.235,0.245,108400
14/09/2001,0.245,0.25,0.24,0.245,619500
17/09/2001,0.245,0.245,0.2,0.2,558095
18/09/2001,0.22,0.235,0.22,0.235,75000
19/09/2001,0.24,0.24,0.24,0.24,206805
20/09/2001,0.24,0.24,0.23,0.23,42195
21/09/2001,0.22,0.23,0.22,0.23,190055
24/09/2001,0.23,0.23,0.23,0.23,130000
25/09/2001,0.245,0.245,0.23,0.23,45000
26/09/2001,0.23,0.23,0.23,0.23,0
27/09/2001,0.23,0.23,0.23,0.23,16000
28/09/2001,0.23,0.23,0.23,0.23,0
01/10/2001,0.235,0.24,0.235,0.24,3000
02/10/2001,0.24,0.24,0.24,0.24,1001500
03/10/2001,0.24,0.24,0.24,0.24,0
04/10/2001,0.22,0.225,0.22,0.22,50000
05/10/2001,0.22,0.22,0.22,0.22,0
08/10/2001,0.225,0.225,0.205,0.205,66000
09/10/2001,0.22,0.22,0.22,0.22,44500
10/10/2001,0.22,0.22,0.22,0.22,0
11/10/2001,0.22,0.22,0.22,0.22,0
12/10/2001,0.22,0.22,0.22,0.22,0
15/10/2001,0.22,0.22,0.215,0.215,5000
16/10/2001,0.22,0.22,0.22,0.22,200000
17/10/2001,0.215,0.22,0.21,0.22,263000
18/10/2001,0.22,0.22,0.22,0.22,200000
19/10/2001,0.22,0.22,0.22,0.22,180000
22/10/2001,0.225,0.225,0.225,0.225,14000
23/10/2001,0.225,0.24,0.225,0.23,136048
24/10/2001,0.235,0.235,0.235,0.235,50000
25/10/2001,0.235,0.235,0.235,0.235,20000
26/10/2001,0.22,0.22,0.22,0.22,10000
29/10/2001,0.22,0.23,0.22,0.23,82000
30/10/2001,0.235,0.235,0.235,0.235,82185
31/10/2001,0.23,0.23,0.225,0.23,406000
01/11/2001,0.23,0.23,0.23,0.23,750000
02/11/2001,0.23,0.23,0.23,0.23,805845
05/11/2001,0.23,0.24,0.23,0.24,11500
06/11/2001,0.23,0.23,0.23,0.23,70000
07/11/2001,0.24,0.24,0.24,0.24,608833
08/11/2001,0.24,0.24,0.235,0.235,68355
09/11/2001,0.235,0.24,0.23,0.24,353694
12/11/2001,0.24,0.24,0.24,0.24,21646
13/11/2001,0.23,0.24,0.23,0.23,310000
14/11/2001,0.245,0.245,0.23,0.23,219750
15/11/2001,0.23,0.23,0.225,0.23,311537
16/11/2001,0.23,0.23,0.23,0.23,87963
19/11/2001,0.23,0.23,0.23,0.23,230000
20/11/2001,0.23,0.23,0.23,0.23,0
21/11/2001,0.23,0.23,0.23,0.23,147391
22/11/2001,0.235,0.24,0.235,0.24,399306
23/11/2001,0.235,0.235,0.23,0.235,76000
26/11/2001,0.24,0.24,0.23,0.23,638601
27/11/2001,0.23,0.24,0.23,0.24,1700000
28/11/2001,0.23,0.24,0.23,0.235,938550
29/11/2001,0.235,0.235,0.235,0.235,298463
30/11/2001,0.245,0.265,0.24,0.25,3593586
03/12/2001,0.27,0.28,0.26,0.27,909301
04/12/2001,0.27,0.275,0.26,0.275,1528676
05/12/2001,0.27,0.27,0.265,0.27,296390
06/12/2001,0.27,0.27,0.26,0.265,1315900
07/12/2001,0.27,0.275,0.265,0.27,594756
10/12/2001,0.27,0.28,0.27,0.28,186900
11/12/2001,0.27,0.28,0.27,0.28,315000
12/12/2001,0.275,0.275,0.26,0.275,405300
13/12/2001,0.265,0.265,0.265,0.265,1300000
14/12/2001,0.265,0.275,0.26,0.275,10793600
17/12/2001,0.27,0.27,0.27,0.27,270000
18/12/2001,0.27,0.275,0.27,0.275,353300
19/12/2001,0.275,0.28,0.27,0.28,811400
20/12/2001,0.28,0.285,0.275,0.28,763895
21/12/2001,0.28,0.285,0.275,0.275,358998
24/12/2001,0.28,0.29,0.28,0.285,348000
27/12/2001,0.285,0.29,0.285,0.29,577750
28/12/2001,0.285,0.295,0.285,0.285,161017
31/12/2001,0.285,0.29,0.28,0.28,306000
02/01/2002,0.285,0.29,0.285,0.285,167650
03/01/2002,0.285,0.29,0.285,0.29,575750
04/01/2002,0.29,0.29,0.285,0.29,1133900
07/01/2002,0.285,0.285,0.285,0.285,845000
08/01/2002,0.285,0.285,0.285,0.285,19000
09/01/2002,0.28,0.28,0.28,0.28,245500
10/01/2002,0.285,0.285,0.28,0.285,406061
11/01/2002,0.285,0.285,0.28,0.28,264725
14/01/2002,0.28,0.28,0.28,0.28,38000
15/01/2002,0.28,0.28,0.27,0.27,1364000
16/01/2002,0.27,0.28,0.27,0.28,412050
17/01/2002,0.275,0.28,0.27,0.28,230000
18/01/2002,0.28,0.28,0.28,0.28,197510
21/01/2002,0.28,0.28,0.275,0.275,175000
22/01/2002,0.27,0.275,0.27,0.27,454000
23/01/2002,0.27,0.27,0.27,0.27,0
24/01/2002,0.28,0.28,0.27,0.27,134000
25/01/2002,0.275,0.28,0.275,0.28,77500
29/01/2002,0.28,0.28,0.27,0.275,185000
30/01/2002,0.27,0.275,0.27,0.275,265008
31/01/2002,0.27,0.275,0.27,0.27,784992
01/02/2002,0.27,0.27,0.27,0.27,747000
04/02/2002,0.27,0.27,0.27,0.27,50000
05/02/2002,0.27,0.27,0.26,0.26,2361000
06/02/2002,0.26,0.27,0.26,0.27,481750
07/02/2002,0.27,0.27,0.265,0.27,202000
08/02/2002,0.271,0.271,0.271,0.271,10000
11/02/2002,0.26,0.26,0.26,0.26,210000
12/02/2002,0.26,0.26,0.255,0.26,1392327
13/02/2002,0.275,0.28,0.27,0.28,2572638
