Date,Open,High,Low,Close,Volume
02/08/2011,0.255,0.275,0.25,0.255,11864000
03/08/2011,0.235,0.255,0.235,0.245,2913435
04/08/2011,0.25,0.285,0.25,0.27,3424860
05/08/2011,0.245,0.245,0.225,0.24,2180803
08/08/2011,0.235,0.245,0.21,0.21,1118001
09/08/2011,0.215,0.24,0.215,0.23,1355576
10/08/2011,0.25,0.25,0.24,0.24,1205234
11/08/2011,0.23,0.24,0.225,0.235,2254693
12/08/2011,0.24,0.245,0.23,0.23,1248218
15/08/2011,0.245,0.245,0.23,0.235,376575
16/08/2011,0.24,0.24,0.23,0.235,526497
17/08/2011,0.23,0.25,0.23,0.24,808500
18/08/2011,0.24,0.24,0.23,0.235,128356
19/08/2011,0.23,0.23,0.22,0.225,264034
22/08/2011,0.225,0.225,0.22,0.225,620792
23/08/2011,0.225,0.23,0.225,0.23,88966
24/08/2011,0.23,0.235,0.23,0.23,354374
25/08/2011,0.23,0.23,0.225,0.225,115000
26/08/2011,0.23,0.23,0.23,0.23,1500
29/08/2011,0.23,0.23,0.23,0.23,0
30/08/2011,0.22,0.23,0.22,0.225,213500
31/08/2011,0.23,0.23,0.215,0.225,310744
01/09/2011,0.225,0.23,0.215,0.215,278444
02/09/2011,0.215,0.215,0.21,0.21,165000
05/09/2011,0.2,0.2,0.2,0.2,409388
06/09/2011,0.2,0.2,0.2,0.2,0
07/09/2011,0.2,0.2,0.195,0.2,293434
08/09/2011,0.21,0.21,0.2,0.2,837608
09/09/2011,0.2,0.2,0.19,0.2,207500
12/09/2011,0.2,0.2,0.19,0.19,38500
13/09/2011,0.19,0.2,0.19,0.195,220000
14/09/2011,0.195,0.195,0.185,0.185,65800
15/09/2011,0.185,0.185,0.18,0.18,54200
16/09/2011,0.185,0.19,0.185,0.19,29160
19/09/2011,0.195,0.195,0.195,0.195,65000
20/09/2011,0.19,0.19,0.19,0.19,50000
21/09/2011,0.19,0.19,0.18,0.18,69793
22/09/2011,0.17,0.18,0.17,0.18,205000
23/09/2011,0.175,0.175,0.175,0.175,10000
26/09/2011,0.17,0.175,0.14,0.15,287000
27/09/2011,0.17,0.175,0.16,0.17,188692
28/09/2011,0.17,0.17,0.17,0.17,25000
29/09/2011,0.165,0.165,0.15,0.16,120000
30/09/2011,0.16,0.17,0.155,0.165,219375
03/10/2011,0.16,0.16,0.16,0.16,35625
04/10/2011,0.155,0.155,0.15,0.15,45000
05/10/2011,0.16,0.175,0.16,0.16,55956
06/10/2011,0.16,0.175,0.16,0.17,20000
07/10/2011,0.175,0.18,0.17,0.18,191334
10/10/2011,0.19,0.19,0.185,0.19,268325
11/10/2011,0.19,0.19,0.185,0.185,244770
