Date,Open,High,Low,Close,Volume
09/10/2017,2.01,2.07,2,2.05,519500
10/10/2017,2.07,2.09,2.04,2.08,381503
11/10/2017,2.08,2.08,2.06,2.07,313332
12/10/2017,2.06,2.1,2.06,2.08,288165
13/10/2017,2.09,2.1,2.07,2.09,296972
16/10/2017,2.08,2.08,2.05,2.05,310015
17/10/2017,2.06,2.09,2.06,2.08,320164
18/10/2017,2.08,2.09,2.07,2.09,348673
19/10/2017,2.09,2.09,2.07,2.08,255363
20/10/2017,2.08,2.09,2.05,2.07,752507
23/10/2017,2.07,2.08,2.06,2.07,143981
24/10/2017,2.08,2.09,2.08,2.09,283266
25/10/2017,2.09,2.1,2.07,2.08,294751
26/10/2017,2.09,2.1,2.08,2.08,280098
27/10/2017,2.08,2.09,2.07,2.07,253594
30/10/2017,2.08,2.1,2.07,2.08,513456
31/10/2017,2.1,2.1,2.08,2.1,286723
01/11/2017,2.09,2.1,2.08,2.09,312072
02/11/2017,2.09,2.1,2.08,2.08,188491
03/11/2017,2.09,2.15,2.09,2.11,557730
06/11/2017,2.11,2.11,2.08,2.08,314101
07/11/2017,2.08,2.1,2.07,2.08,398833
08/11/2017,2.07,2.11,2.07,2.08,325855
09/11/2017,2.11,2.14,2.11,2.12,427408
10/11/2017,2.12,2.13,2.1,2.11,257752
13/11/2017,2.11,2.13,2.1,2.11,282711
14/11/2017,2.11,2.11,2.09,2.1,232391
15/11/2017,2.1,2.11,2.08,2.1,257459
16/11/2017,2.1,2.1,2.08,2.09,268383
17/11/2017,2.09,2.1,2.08,2.1,227661
20/11/2017,2.1,2.1,2.07,2.1,532259
21/11/2017,2.08,2.1,2.08,2.08,213471
22/11/2017,2.08,2.1,2.06,2.07,451442
23/11/2017,2.08,2.1,2.08,2.1,230449
24/11/2017,2.08,2.1,2.07,2.09,249289
27/11/2017,2.09,2.1,2.08,2.08,216164
28/11/2017,2.1,2.1,2.08,2.08,305201
29/11/2017,2.08,2.1,2.08,2.08,264093
30/11/2017,2.08,2.1,2.07,2.07,285467
01/12/2017,2.08,2.09,2.07,2.09,239744
04/12/2017,2.07,2.09,2.07,2.07,215981
05/12/2017,2.07,2.08,2.06,2.07,531647
06/12/2017,2.07,2.1,2.07,2.1,327112
07/12/2017,2.1,2.1,2.07,2.07,694807
08/12/2017,2.07,2.09,2.07,2.08,230288
11/12/2017,2.08,2.1,2.07,2.1,254921
12/12/2017,2.1,2.1,2.07,2.07,331991
13/12/2017,2.08,2.1,2.07,2.07,741578
14/12/2017,2.08,2.09,2.08,2.09,314857
15/12/2017,2.08,2.1,2.08,2.1,330919
18/12/2017,2.08,2.09,2.07,2.07,505782
19/12/2017,2.09,2.09,2.08,2.08,415329
20/12/2017,2.08,2.09,2.07,2.08,395383
21/12/2017,2.09,2.1,2.08,2.09,559137
22/12/2017,2.09,2.1,2.08,2.08,228484
27/12/2017,2.09,2.1,2.08,2.08,164357
28/12/2017,2.09,2.1,2.08,2.08,67564
29/12/2017,2.08,2.09,2.08,2.08,72572
02/01/2018,2.08,2.09,2.07,2.07,137936
