Date,Open,High,Low,Close,Volume
23/06/2006,0.17,0.17,0.14,0.14,1199502
26/06/2006,0.14,0.15,0.135,0.145,401000
27/06/2006,0.145,0.15,0.135,0.14,69783
28/06/2006,0.13,0.13,0.13,0.13,236920
29/06/2006,0.125,0.13,0.125,0.13,70000
30/06/2006,0.13,0.13,0.125,0.125,250000
03/07/2006,0.13,0.13,0.13,0.13,53000
04/07/2006,0.125,0.125,0.12,0.12,120000
05/07/2006,0.125,0.125,0.12,0.12,106797
06/07/2006,0.13,0.13,0.13,0.13,15385
07/07/2006,0.13,0.135,0.13,0.13,188465
10/07/2006,0.13,0.135,0.13,0.135,17231
11/07/2006,0.13,0.135,0.13,0.135,104000
12/07/2006,0.135,0.135,0.125,0.125,282407
13/07/2006,0.12,0.125,0.12,0.125,104000
14/07/2006,0.13,0.13,0.12,0.12,224703
17/07/2006,0.115,0.115,0.11,0.11,150000
18/07/2006,0.11,0.11,0.11,0.11,202000
19/07/2006,0.11,0.11,0.1,0.1,419000
20/07/2006,0.1,0.1,0.092,0.1,230000
21/07/2006,0.105,0.105,0.105,0.105,170000
24/07/2006,0.105,0.105,0.095,0.1,241000
25/07/2006,0.105,0.11,0.1,0.11,190000
26/07/2006,0.1,0.1,0.099,0.1,230000
27/07/2006,0.1,0.11,0.1,0.11,320000
28/07/2006,0.1,0.1,0.1,0.1,120000
31/07/2006,0.105,0.105,0.1,0.1,276297
01/08/2006,0.105,0.105,0.1,0.1,20000
02/08/2006,0.105,0.105,0.1,0.1,143700
03/08/2006,0.1,0.1,0.1,0.1,191616
04/08/2006,0.1,0.1,0.1,0.1,250000
07/08/2006,0.1,0.1,0.1,0.1,24000
08/08/2006,0.1,0.105,0.1,0.105,128000
09/08/2006,0.105,0.105,0.1,0.1,290000
10/08/2006,0.099,0.1,0.098,0.1,279500
11/08/2006,0.1,0.1,0.1,0.1,0
14/08/2006,0.1,0.1,0.1,0.1,110000
15/08/2006,0.1,0.1,0.1,0.1,0
16/08/2006,0.1,0.1,0.1,0.1,90000
17/08/2006,0.1,0.1,0.099,0.1,280000
18/08/2006,0.099,0.099,0.095,0.095,12000
21/08/2006,0.096,0.096,0.096,0.096,100000
22/08/2006,0.096,0.096,0.096,0.096,0
23/08/2006,0.097,0.097,0.097,0.097,35000
24/08/2006,0.099,0.12,0.099,0.12,182384
25/08/2006,0.11,0.11,0.11,0.11,400000
28/08/2006,0.115,0.125,0.115,0.125,155000
29/08/2006,0.125,0.135,0.125,0.125,447616
30/08/2006,0.115,0.115,0.115,0.115,1004
31/08/2006,0.115,0.115,0.115,0.115,6000
01/09/2006,0.115,0.115,0.11,0.11,120000
04/09/2006,0.11,0.11,0.11,0.11,0
