Date,Open,High,Low,Close,Volume
04/11/2016,0.255,0.31,0.25,0.285,6079021
07/11/2016,0.3,0.335,0.285,0.3,3796491
08/11/2016,0.31,0.31,0.275,0.28,1639546
09/11/2016,0.285,0.29,0.235,0.24,3113803
10/11/2016,0.265,0.29,0.265,0.28,1851759
11/11/2016,0.315,0.345,0.285,0.345,4906291
14/11/2016,0.34,0.345,0.31,0.33,954243
15/11/2016,0.33,0.34,0.31,0.34,727544
16/11/2016,0.35,0.385,0.345,0.37,968579
17/11/2016,0.37,0.375,0.35,0.35,847110
18/11/2016,0.35,0.37,0.315,0.35,776757
21/11/2016,0.35,0.395,0.335,0.39,650084
22/11/2016,0.41,0.42,0.38,0.39,2418777
23/11/2016,0.39,0.445,0.385,0.445,1697900
24/11/2016,0.485,0.55,0.47,0.545,3832228
25/11/2016,0.55,0.555,0.455,0.47,5411597
28/11/2016,0.46,0.49,0.44,0.45,1840727
29/11/2016,0.45,0.45,0.395,0.44,3002793
30/11/2016,0.44,0.44,0.4,0.4,859687
01/12/2016,0.42,0.47,0.4,0.46,976495
02/12/2016,0.45,0.475,0.435,0.46,1068891
05/12/2016,0.46,0.47,0.42,0.435,1292143
06/12/2016,0.44,0.44,0.41,0.42,479978
07/12/2016,0.41,0.46,0.41,0.45,559956
08/12/2016,0.46,0.49,0.44,0.46,788960
09/12/2016,0.46,0.485,0.44,0.465,484663
12/12/2016,0.475,0.48,0.415,0.44,795986
13/12/2016,0.445,0.445,0.415,0.415,351027
14/12/2016,0.42,0.42,0.38,0.395,975098
15/12/2016,0.4,0.425,0.395,0.4,140230
16/12/2016,0.4,0.4,0.4,0.4,66500
19/12/2016,0.4,0.4,0.37,0.37,132129
20/12/2016,0.4,0.405,0.375,0.385,184803
21/12/2016,0.38,0.385,0.355,0.385,228134
22/12/2016,0.43,0.43,0.37,0.375,323033
23/12/2016,0.38,0.38,0.355,0.36,172146
28/12/2016,0.36,0.375,0.34,0.34,242528
29/12/2016,0.345,0.375,0.34,0.37,159941
30/12/2016,0.355,0.385,0.355,0.385,51487
03/01/2017,0.375,0.395,0.365,0.395,10815
04/01/2017,0.4,0.435,0.395,0.405,219973
05/01/2017,0.415,0.43,0.405,0.405,143329
06/01/2017,0.42,0.43,0.365,0.365,1056185
09/01/2017,0.38,0.385,0.33,0.34,595905
10/01/2017,0.335,0.36,0.33,0.36,763330
11/01/2017,0.37,0.375,0.37,0.375,22800
12/01/2017,0.38,0.415,0.36,0.395,157750
13/01/2017,0.4,0.4,0.38,0.395,45000
16/01/2017,0.39,0.395,0.38,0.38,122140
17/01/2017,0.385,0.385,0.35,0.36,232602
18/01/2017,0.355,0.355,0.32,0.345,365167
19/01/2017,0.34,0.35,0.335,0.335,71000
20/01/2017,0.335,0.345,0.31,0.345,674608
23/01/2017,0.35,0.38,0.34,0.38,284757
24/01/2017,0.35,0.37,0.325,0.35,226135
25/01/2017,0.34,0.34,0.33,0.33,358185
27/01/2017,0.325,0.335,0.315,0.335,444175
30/01/2017,0.335,0.335,0.32,0.32,26196
31/01/2017,0.315,0.315,0.28,0.285,567995
01/02/2017,0.295,0.295,0.285,0.285,100526
02/02/2017,0.28,0.295,0.275,0.295,236866
03/02/2017,0.3,0.3,0.3,0.3,242
06/02/2017,0.29,0.3,0.28,0.295,112017
07/02/2017,0.29,0.29,0.26,0.28,238563
08/02/2017,0.28,0.28,0.265,0.28,150000
09/02/2017,0.28,0.29,0.28,0.28,306650
10/02/2017,0.28,0.34,0.28,0.315,353183
13/02/2017,0.3,0.31,0.3,0.31,138720
14/02/2017,0.3,0.3,0.295,0.3,95695
15/02/2017,0.3,0.31,0.3,0.3,157981
16/02/2017,0.3,0.3,0.295,0.295,47859
17/02/2017,0.295,0.3,0.295,0.3,123991
20/02/2017,0.295,0.3,0.29,0.295,83890
21/02/2017,0.29,0.295,0.29,0.29,33695
22/02/2017,0.29,0.295,0.28,0.295,63393
23/02/2017,0.28,0.29,0.28,0.28,76250
24/02/2017,0.275,0.295,0.27,0.295,110356
27/02/2017,0.29,0.29,0.24,0.28,226029
28/02/2017,0.26,0.28,0.255,0.28,198733
01/03/2017,0.285,0.3,0.24,0.3,726230
02/03/2017,0.29,0.29,0.265,0.28,181838
03/03/2017,0.28,0.28,0.26,0.275,127399
06/03/2017,0.27,0.27,0.265,0.265,41720
07/03/2017,0.265,0.265,0.26,0.26,36194
08/03/2017,0.265,0.27,0.26,0.26,13986
09/03/2017,0.26,0.26,0.255,0.255,17646
10/03/2017,0.265,0.285,0.265,0.285,12500
13/03/2017,0.275,0.275,0.275,0.275,2185
14/03/2017,0.275,0.275,0.275,0.275,0
15/03/2017,0.275,0.275,0.275,0.275,0
16/03/2017,0.275,0.275,0.275,0.275,0
17/03/2017,0.275,0.28,0.24,0.24,229875
20/03/2017,0.24,0.26,0.235,0.26,37369
21/03/2017,0.26,0.275,0.26,0.275,50000
22/03/2017,0.275,0.285,0.275,0.285,80000
23/03/2017,0.255,0.29,0.255,0.29,195000
24/03/2017,0.285,0.33,0.285,0.33,577576
