Date,Open,High,Low,Close,Volume
02/08/2017,0.45,0.45,0.43,0.43,34500
03/08/2017,0.42,0.42,0.39,0.4,249882
04/08/2017,0.385,0.385,0.385,0.385,11333
07/08/2017,0.385,0.4,0.385,0.4,15018
08/08/2017,0.4,0.4,0.4,0.4,0
09/08/2017,0.395,0.395,0.37,0.37,213588
10/08/2017,0.37,0.37,0.37,0.37,1250
11/08/2017,0.37,0.4,0.37,0.4,28138
14/08/2017,0.4,0.4,0.4,0.4,17125
15/08/2017,0.4,0.4,0.4,0.4,0
16/08/2017,0.4,0.4,0.4,0.4,0
17/08/2017,0.4,0.4,0.4,0.4,25000
18/08/2017,0.4,0.4,0.37,0.37,16000
21/08/2017,0.375,0.4,0.375,0.4,14501
22/08/2017,0.4,0.4,0.39,0.39,37725
23/08/2017,0.39,0.39,0.39,0.39,0
24/08/2017,0.4,0.4,0.4,0.4,14500
25/08/2017,0.4,0.4,0.385,0.385,39323
28/08/2017,0.4,0.4,0.4,0.4,32000
29/08/2017,0.4,0.405,0.4,0.405,63815
30/08/2017,0.405,0.405,0.4,0.405,62334
31/08/2017,0.405,0.405,0.405,0.405,21950
01/09/2017,0.405,0.405,0.405,0.405,930
04/09/2017,0.4,0.4,0.4,0.4,5000
05/09/2017,0.4,0.4,0.395,0.395,111250
06/09/2017,0.385,0.385,0.385,0.385,13533
07/09/2017,0.375,0.375,0.375,0.375,22788
08/09/2017,0.375,0.375,0.375,0.375,5000
11/09/2017,0.375,0.375,0.375,0.375,1300
12/09/2017,0.375,0.375,0.375,0.375,33247
13/09/2017,0.375,0.375,0.375,0.375,45000
14/09/2017,0.375,0.375,0.375,0.375,0
15/09/2017,0.36,0.36,0.35,0.35,13467
18/09/2017,0.35,0.35,0.35,0.35,12500
19/09/2017,0.36,0.36,0.36,0.36,3000
20/09/2017,0.36,0.36,0.36,0.36,0
21/09/2017,0.36,0.36,0.36,0.36,0
22/09/2017,0.35,0.35,0.35,0.35,863
25/09/2017,0.35,0.35,0.35,0.35,4625
26/09/2017,0.35,0.35,0.35,0.35,0
27/09/2017,0.35,0.35,0.35,0.35,3044
28/09/2017,0.345,0.345,0.34,0.345,39010
29/09/2017,0.35,0.35,0.35,0.35,10000
02/10/2017,0.36,0.36,0.35,0.35,380110
03/10/2017,0.345,0.35,0.34,0.345,404011
04/10/2017,0.345,0.345,0.33,0.33,83044
05/10/2017,0.33,0.345,0.32,0.345,168495
06/10/2017,0.345,0.345,0.345,0.345,68800
09/10/2017,0.345,0.345,0.345,0.345,0
10/10/2017,0.34,0.345,0.34,0.345,367500
11/10/2017,0.345,0.345,0.345,0.345,289491
12/10/2017,0.345,0.345,0.345,0.345,110000
13/10/2017,0.34,0.34,0.33,0.33,230054
16/10/2017,0.33,0.335,0.33,0.335,132595
17/10/2017,0.33,0.335,0.33,0.335,86448
18/10/2017,0.33,0.33,0.33,0.33,113610
19/10/2017,0.325,0.325,0.32,0.325,170000
20/10/2017,0.33,0.34,0.33,0.34,35303
23/10/2017,0.35,0.42,0.35,0.415,131667
24/10/2017,0.41,0.41,0.41,0.41,1500
25/10/2017,0.39,0.39,0.39,0.39,2564
26/10/2017,0.38,0.38,0.355,0.355,32894
27/10/2017,0.35,0.355,0.35,0.35,30139
30/10/2017,0.33,0.335,0.33,0.335,56984
31/10/2017,0.335,0.335,0.31,0.31,237394
01/11/2017,0.32,0.32,0.315,0.32,11000
02/11/2017,0.32,0.32,0.32,0.32,0
03/11/2017,0.32,0.36,0.32,0.36,120414
