Date,Open,High,Low,Close,Volume
14/11/2017,0.29,0.29,0.24,0.25,10527670
15/11/2017,0.245,0.25,0.225,0.25,2487080
16/11/2017,0.25,0.25,0.24,0.245,1013784
17/11/2017,0.245,0.245,0.225,0.235,913105
20/11/2017,0.23,0.23,0.21,0.21,597462
21/11/2017,0.215,0.215,0.195,0.2,635372
22/11/2017,0.2,0.21,0.2,0.2,505650
23/11/2017,0.2,0.21,0.2,0.2,115650
24/11/2017,0.2,0.215,0.2,0.215,349790
27/11/2017,0.215,0.215,0.21,0.215,355208
28/11/2017,0.215,0.22,0.215,0.22,187190
29/11/2017,0.225,0.24,0.22,0.22,153483
30/11/2017,0.23,0.235,0.225,0.235,109008
01/12/2017,0.235,0.25,0.235,0.245,201670
04/12/2017,0.245,0.245,0.235,0.235,143828
05/12/2017,0.235,0.235,0.22,0.225,540288
06/12/2017,0.23,0.23,0.215,0.215,144500
07/12/2017,0.22,0.225,0.21,0.225,85617
08/12/2017,0.225,0.23,0.22,0.23,235716
11/12/2017,0.23,0.235,0.22,0.23,104399
12/12/2017,0.22,0.22,0.21,0.22,168831
13/12/2017,0.22,0.22,0.205,0.205,239515
14/12/2017,0.21,0.215,0.2,0.2,189543
15/12/2017,0.2,0.215,0.2,0.215,112267
18/12/2017,0.215,0.215,0.2,0.2,165191
19/12/2017,0.205,0.21,0.17,0.195,602723
20/12/2017,0.2,0.2,0.19,0.195,392904
21/12/2017,0.2,0.205,0.2,0.205,1293000
22/12/2017,0.2,0.205,0.195,0.205,207000
27/12/2017,0.21,0.21,0.21,0.21,15500
28/12/2017,0.21,0.21,0.2,0.2,140961
29/12/2017,0.2,0.2,0.195,0.2,197013
02/01/2018,0.2,0.2,0.195,0.195,184425
03/01/2018,0.2,0.2,0.195,0.195,136726
04/01/2018,0.195,0.205,0.195,0.205,105284
05/01/2018,0.205,0.205,0.2,0.2,80216
08/01/2018,0.21,0.21,0.195,0.2,242308
09/01/2018,0.2,0.2,0.195,0.2,31251
10/01/2018,0.2,0.21,0.195,0.21,246530
11/01/2018,0.2,0.2,0.195,0.2,333391
12/01/2018,0.2,0.21,0.2,0.2,130500
15/01/2018,0.2,0.2,0.2,0.2,218900
16/01/2018,0.2,0.205,0.2,0.2,106100
17/01/2018,0.2,0.2,0.195,0.195,709098
18/01/2018,0.2,0.2,0.195,0.195,135901
19/01/2018,0.2,0.2,0.2,0.2,36250
22/01/2018,0.195,0.2,0.195,0.195,115850
