Date,Open,High,Low,Close,Volume
18/12/2013,1.16,1.255,1.13,1.22,45996940
19/12/2013,1.24,1.255,1.22,1.22,22012040
20/12/2013,1.235,1.28,1.2,1.2,31584880
23/12/2013,1.2,1.24,1.18,1.24,6694644
24/12/2013,1.26,1.27,1.205,1.235,3370165
27/12/2013,1.235,1.235,1.18,1.2,5529086
30/12/2013,1.18,1.2,1.15,1.15,14038600
31/12/2013,1.15,1.165,1.12,1.16,26633300
02/01/2014,1.16,1.205,1.16,1.18,11281530
03/01/2014,1.165,1.185,1.165,1.17,25767140
06/01/2014,1.15,1.16,1.117,1.13,27102030
07/01/2014,1.13,1.155,1.115,1.145,37240930
08/01/2014,1.145,1.175,1.14,1.17,27944010
09/01/2014,1.18,1.305,1.18,1.27,37934610
10/01/2014,1.25,1.29,1.245,1.27,20098270
13/01/2014,1.24,1.26,1.23,1.24,10321270
14/01/2014,1.22,1.28,1.21,1.245,14465710
15/01/2014,1.26,1.267,1.24,1.255,14244400
16/01/2014,1.255,1.337,1.25,1.32,9986652
17/01/2014,1.32,1.395,1.305,1.38,7102042
20/01/2014,1.35,1.42,1.335,1.34,6934826
21/01/2014,1.34,1.39,1.31,1.37,10437560
22/01/2014,1.38,1.39,1.35,1.35,9036885
23/01/2014,1.33,1.35,1.33,1.34,11586370
24/01/2014,1.33,1.387,1.33,1.34,9797857
28/01/2014,1.3,1.345,1.295,1.305,8456318
29/01/2014,1.335,1.345,1.32,1.32,13471620
30/01/2014,1.325,1.33,1.305,1.31,11984210
31/01/2014,1.3,1.32,1.28,1.28,9321770
03/02/2014,1.28,1.305,1.28,1.29,7726834
04/02/2014,1.26,1.275,1.25,1.26,5006878
05/02/2014,1.265,1.285,1.24,1.245,10082170
06/02/2014,1.24,1.26,1.235,1.255,9283930
07/02/2014,1.25,1.26,1.24,1.26,5160127
10/02/2014,1.26,1.29,1.255,1.265,3882167
11/02/2014,1.265,1.31,1.265,1.31,10400380
12/02/2014,1.345,1.355,1.31,1.345,10319020
13/02/2014,1.355,1.375,1.34,1.35,5882333
14/02/2014,1.33,1.362,1.33,1.35,6546132
17/02/2014,1.36,1.37,1.345,1.35,10446750
18/02/2014,1.35,1.365,1.34,1.35,10467870
19/02/2014,1.34,1.355,1.302,1.325,21669100
20/02/2014,1.34,1.365,1.315,1.365,23856460
21/02/2014,1.36,1.365,1.302,1.31,7009535
24/02/2014,1.33,1.35,1.315,1.35,7210616
25/02/2014,1.33,1.34,1.302,1.305,6475560
26/02/2014,1.29,1.307,1.287,1.3,10505390
27/02/2014,1.295,1.3,1.27,1.28,14655910
28/02/2014,1.28,1.29,1.242,1.28,12250800
03/03/2014,1.275,1.295,1.27,1.285,6582350
04/03/2014,1.285,1.29,1.27,1.285,5347545
05/03/2014,1.295,1.305,1.29,1.3,9197008
06/03/2014,1.32,1.33,1.295,1.305,4848982
07/03/2014,1.305,1.305,1.292,1.295,2527515
10/03/2014,1.3,1.335,1.3,1.315,4971506
11/03/2014,1.33,1.335,1.325,1.33,5375897
12/03/2014,1.335,1.335,1.315,1.32,7504834
13/03/2014,1.34,1.347,1.33,1.34,8308844
14/03/2014,1.335,1.36,1.335,1.35,10118750
17/03/2014,1.34,1.385,1.34,1.365,3483837
18/03/2014,1.38,1.405,1.375,1.405,6408125
19/03/2014,1.395,1.415,1.39,1.4,7996466
20/03/2014,1.4,1.41,1.395,1.4,7982561
21/03/2014,1.4,1.43,1.395,1.4,3948012
24/03/2014,1.39,1.41,1.37,1.395,5934452
25/03/2014,1.37,1.395,1.37,1.395,4686003
26/03/2014,1.4,1.41,1.382,1.405,6526371
27/03/2014,1.385,1.405,1.385,1.39,3223677
28/03/2014,1.38,1.4,1.36,1.36,3994451
31/03/2014,1.37,1.405,1.37,1.375,3061684
01/04/2014,1.375,1.435,1.375,1.42,3498125
02/04/2014,1.43,1.43,1.405,1.415,4558599
03/04/2014,1.425,1.45,1.405,1.44,2475873
04/04/2014,1.435,1.455,1.417,1.425,3880765
07/04/2014,1.415,1.425,1.392,1.4,3800606
08/04/2014,1.395,1.405,1.385,1.39,2990109
