Date,Open,High,Low,Close,Volume
12/02/2008,0.185,0.2,0.15,0.17,287208
13/02/2008,0.17,0.17,0.165,0.17,139755
14/02/2008,0.17,0.17,0.16,0.16,19000
15/02/2008,0.16,0.16,0.15,0.15,53550
18/02/2008,0.15,0.15,0.15,0.15,2800
19/02/2008,0.15,0.15,0.14,0.14,130000
20/02/2008,0.135,0.135,0.13,0.13,50000
21/02/2008,0.135,0.135,0.13,0.13,248200
22/02/2008,0.13,0.135,0.13,0.13,43800
25/02/2008,0.14,0.145,0.14,0.14,166000
26/02/2008,0.17,0.17,0.17,0.17,4000
27/02/2008,0.17,0.17,0.17,0.17,0
28/02/2008,0.17,0.17,0.17,0.17,6000
29/02/2008,0.17,0.17,0.15,0.15,55837
03/03/2008,0.15,0.15,0.15,0.15,0
04/03/2008,0.15,0.15,0.13,0.13,47145
05/03/2008,0.15,0.15,0.15,0.15,10000
06/03/2008,0.15,0.15,0.15,0.15,6666
07/03/2008,0.15,0.15,0.15,0.15,0
10/03/2008,0.15,0.15,0.15,0.15,0
11/03/2008,0.14,0.14,0.14,0.14,8300
12/03/2008,0.14,0.14,0.14,0.14,0
13/03/2008,0.14,0.14,0.14,0.14,1690
14/03/2008,0.14,0.14,0.14,0.14,0
17/03/2008,0.14,0.14,0.14,0.14,0
18/03/2008,0.14,0.14,0.14,0.14,0
19/03/2008,0.14,0.14,0.14,0.14,0
20/03/2008,0.14,0.14,0.14,0.14,0
25/03/2008,0.14,0.14,0.14,0.14,0
26/03/2008,0.14,0.14,0.14,0.14,0
27/03/2008,0.14,0.14,0.11,0.11,50000
28/03/2008,0.11,0.11,0.11,0.11,0
31/03/2008,0.11,0.11,0.11,0.11,0
01/04/2008,0.11,0.11,0.11,0.11,0
02/04/2008,0.11,0.11,0.11,0.11,0
03/04/2008,0.11,0.11,0.11,0.11,0
04/04/2008,0.11,0.11,0.11,0.11,0
07/04/2008,0.11,0.11,0.11,0.11,0
08/04/2008,0.11,0.11,0.11,0.11,0
09/04/2008,0.11,0.11,0.11,0.11,0
10/04/2008,0.11,0.11,0.11,0.11,0
11/04/2008,0.11,0.11,0.11,0.11,0
14/04/2008,0.11,0.11,0.11,0.11,0
15/04/2008,0.11,0.11,0.11,0.11,0
16/04/2008,0.11,0.11,0.11,0.11,0
17/04/2008,0.11,0.11,0.11,0.11,0
18/04/2008,0.11,0.11,0.11,0.11,0
21/04/2008,0.11,0.11,0.11,0.11,0
22/04/2008,0.11,0.11,0.11,0.11,0
23/04/2008,0.11,0.11,0.11,0.11,0
24/04/2008,0.11,0.11,0.11,0.11,0
28/04/2008,0.11,0.11,0.11,0.11,30000
29/04/2008,0.11,0.11,0.11,0.11,0
30/04/2008,0.14,0.16,0.14,0.16,143334
01/05/2008,0.16,0.16,0.16,0.16,0
02/05/2008,0.16,0.16,0.16,0.16,0
05/05/2008,0.16,0.16,0.16,0.16,0
06/05/2008,0.15,0.15,0.15,0.15,29900
07/05/2008,0.15,0.15,0.15,0.15,0
08/05/2008,0.15,0.15,0.15,0.15,0
09/05/2008,0.125,0.125,0.125,0.125,3000
12/05/2008,0.15,0.15,0.15,0.15,5000
13/05/2008,0.15,0.15,0.15,0.15,0
14/05/2008,0.15,0.15,0.15,0.15,0
15/05/2008,0.15,0.15,0.15,0.15,0
16/05/2008,0.15,0.15,0.15,0.15,0
19/05/2008,0.15,0.15,0.15,0.15,9782
20/05/2008,0.15,0.15,0.15,0.15,0
21/05/2008,0.14,0.14,0.13,0.13,50000
22/05/2008,0.14,0.14,0.14,0.14,15000
23/05/2008,0.14,0.14,0.14,0.14,0
26/05/2008,0.125,0.125,0.125,0.125,5000
27/05/2008,0.13,0.13,0.13,0.13,20000
28/05/2008,0.13,0.13,0.11,0.115,100000
29/05/2008,0.12,0.12,0.12,0.12,10000
30/05/2008,0.13,0.13,0.13,0.13,25000
02/06/2008,0.12,0.12,0.12,0.12,10000
03/06/2008,0.12,0.12,0.12,0.12,27000
04/06/2008,0.11,0.11,0.11,0.11,75000
05/06/2008,0.11,0.11,0.11,0.11,66666
06/06/2008,0.13,0.13,0.13,0.13,25000
10/06/2008,0.13,0.13,0.13,0.13,25000
11/06/2008,0.13,0.13,0.13,0.13,0
12/06/2008,0.13,0.13,0.13,0.13,25000
13/06/2008,0.11,0.11,0.11,0.11,20000
16/06/2008,0.13,0.13,0.13,0.13,25000
17/06/2008,0.13,0.13,0.13,0.13,0
18/06/2008,0.13,0.13,0.13,0.13,25000
19/06/2008,0.13,0.13,0.13,0.13,0
20/06/2008,0.125,0.125,0.125,0.125,4000
23/06/2008,0.125,0.125,0.125,0.125,0
24/06/2008,0.11,0.11,0.11,0.11,120000
25/06/2008,0.11,0.11,0.09,0.11,70000
26/06/2008,0.11,0.11,0.11,0.11,0
27/06/2008,0.11,0.11,0.11,0.11,25000
30/06/2008,0.09,0.09,0.09,0.09,100000
01/07/2008,0.1,0.1,0.1,0.1,100000
02/07/2008,0.1,0.1,0.1,0.1,0
03/07/2008,0.09,0.09,0.09,0.09,56018
04/07/2008,0.096,0.096,0.09,0.09,103982
07/07/2008,0.09,0.09,0.09,0.09,0
08/07/2008,0.11,0.11,0.11,0.11,25000
09/07/2008,0.11,0.11,0.11,0.11,0
10/07/2008,0.13,0.13,0.13,0.13,25000
11/07/2008,0.13,0.13,0.13,0.13,0
14/07/2008,0.13,0.13,0.13,0.13,25000
15/07/2008,0.13,0.13,0.13,0.13,0
16/07/2008,0.12,0.12,0.12,0.12,25000
17/07/2008,0.12,0.12,0.12,0.12,0
18/07/2008,0.115,0.115,0.115,0.115,25000
21/07/2008,0.115,0.115,0.115,0.115,0
22/07/2008,0.11,0.11,0.11,0.11,35000
23/07/2008,0.12,0.12,0.12,0.12,130690
24/07/2008,0.12,0.12,0.12,0.12,0
25/07/2008,0.12,0.12,0.12,0.12,14310
28/07/2008,0.12,0.12,0.11,0.115,206018
29/07/2008,0.115,0.115,0.115,0.115,0
30/07/2008,0.11,0.11,0.11,0.11,29672
31/07/2008,0.11,0.11,0.11,0.11,0
01/08/2008,0.11,0.11,0.11,0.11,0
04/08/2008,0.11,0.11,0.11,0.11,0
05/08/2008,0.11,0.11,0.11,0.11,0
06/08/2008,0.11,0.11,0.11,0.11,0
07/08/2008,0.1,0.1,0.1,0.1,20000
08/08/2008,0.1,0.1,0.1,0.1,0
11/08/2008,0.1,0.1,0.1,0.1,308
12/08/2008,0.1,0.1,0.1,0.1,0
13/08/2008,0.1,0.1,0.1,0.1,0
14/08/2008,0.1,0.1,0.1,0.1,0
15/08/2008,0.1,0.1,0.1,0.1,0
18/08/2008,0.1,0.1,0.1,0.1,0
19/08/2008,0.1,0.1,0.1,0.1,50000
20/08/2008,0.1,0.1,0.1,0.1,0
21/08/2008,0.1,0.1,0.1,0.1,0
22/08/2008,0.11,0.11,0.11,0.11,29692
25/08/2008,0.11,0.12,0.11,0.12,50000
26/08/2008,0.12,0.12,0.12,0.12,20000
27/08/2008,0.12,0.12,0.12,0.12,20000
28/08/2008,0.12,0.12,0.12,0.12,0
29/08/2008,0.12,0.12,0.12,0.12,25000
01/09/2008,0.12,0.12,0.12,0.12,25000
02/09/2008,0.12,0.12,0.12,0.12,9980
03/09/2008,0.135,0.135,0.135,0.135,15020
04/09/2008,0.135,0.135,0.135,0.135,0
05/09/2008,0.135,0.135,0.135,0.135,0
08/09/2008,0.135,0.135,0.135,0.135,0
09/09/2008,0.135,0.135,0.135,0.135,0
10/09/2008,0.12,0.12,0.12,0.12,30000
11/09/2008,0.12,0.12,0.12,0.12,0
12/09/2008,0.12,0.12,0.12,0.12,0
15/09/2008,0.12,0.12,0.12,0.12,0
16/09/2008,0.12,0.12,0.12,0.12,0
17/09/2008,0.12,0.12,0.12,0.12,0
18/09/2008,0.12,0.12,0.12,0.12,0
19/09/2008,0.12,0.12,0.12,0.12,0
22/09/2008,0.12,0.12,0.12,0.12,0
23/09/2008,0.12,0.12,0.12,0.12,0
24/09/2008,0.12,0.12,0.12,0.12,0
25/09/2008,0.12,0.12,0.12,0.12,0
26/09/2008,0.12,0.12,0.12,0.12,0
29/09/2008,0.1,0.1,0.1,0.1,5000
30/09/2008,0.1,0.1,0.1,0.1,0
01/10/2008,0.1,0.1,0.1,0.1,0
02/10/2008,0.1,0.1,0.1,0.1,0
03/10/2008,0.1,0.1,0.1,0.1,0
06/10/2008,0.1,0.1,0.1,0.1,0
07/10/2008,0.1,0.1,0.1,0.1,0
08/10/2008,0.1,0.1,0.1,0.1,0
09/10/2008,0.1,0.1,0.1,0.1,0
10/10/2008,0.1,0.1,0.1,0.1,0
13/10/2008,0.1,0.1,0.1,0.1,0
14/10/2008,0.1,0.1,0.1,0.1,0
15/10/2008,0.1,0.1,0.1,0.1,0
16/10/2008,0.1,0.1,0.1,0.1,0
17/10/2008,0.1,0.1,0.1,0.1,0
20/10/2008,0.1,0.1,0.1,0.1,0
21/10/2008,0.1,0.1,0.1,0.1,0
22/10/2008,0.1,0.1,0.1,0.1,0
