Date,Open,High,Low,Close,Volume
05/06/2006,0.2,0.2,0.15,0.165,408900
06/06/2006,0.16,0.165,0.15,0.16,275820
07/06/2006,0.16,0.17,0.16,0.17,96000
08/06/2006,0.175,0.175,0.165,0.165,92465
09/06/2006,0.16,0.165,0.16,0.165,110286
13/06/2006,0.16,0.16,0.155,0.155,20613
14/06/2006,0.155,0.155,0.15,0.15,17251
15/06/2006,0.145,0.145,0.14,0.14,28000
16/06/2006,0.14,0.145,0.14,0.145,33500
19/06/2006,0.14,0.14,0.14,0.14,464700
20/06/2006,0.14,0.14,0.14,0.14,0
21/06/2006,0.135,0.14,0.135,0.14,20000
22/06/2006,0.13,0.145,0.13,0.145,145000
23/06/2006,0.145,0.145,0.145,0.145,0
26/06/2006,0.145,0.145,0.145,0.145,0
27/06/2006,0.125,0.125,0.125,0.125,59000
28/06/2006,0.125,0.13,0.12,0.13,135000
29/06/2006,0.13,0.13,0.13,0.13,0
30/06/2006,0.125,0.13,0.12,0.13,114800
03/07/2006,0.135,0.135,0.13,0.13,72600
04/07/2006,0.14,0.14,0.13,0.13,40740
05/07/2006,0.13,0.13,0.125,0.125,50000
06/07/2006,0.125,0.125,0.125,0.125,0
07/07/2006,0.13,0.13,0.125,0.125,65660
10/07/2006,0.135,0.15,0.135,0.15,67000
11/07/2006,0.15,0.16,0.15,0.16,21400
12/07/2006,0.16,0.16,0.16,0.16,0
13/07/2006,0.16,0.16,0.16,0.16,0
14/07/2006,0.16,0.16,0.16,0.16,0
17/07/2006,0.16,0.16,0.16,0.16,0
18/07/2006,0.14,0.14,0.14,0.14,50000
19/07/2006,0.13,0.13,0.13,0.13,60000
20/07/2006,0.13,0.13,0.13,0.13,0
21/07/2006,0.135,0.14,0.135,0.14,26000
24/07/2006,0.14,0.14,0.14,0.14,0
25/07/2006,0.15,0.155,0.15,0.155,98000
26/07/2006,0.17,0.185,0.17,0.185,977876
27/07/2006,0.185,0.2,0.185,0.185,596850
28/07/2006,0.19,0.21,0.185,0.21,420074
31/07/2006,0.21,0.22,0.2,0.22,94888
01/08/2006,0.22,0.22,0.195,0.2,318338
02/08/2006,0.19,0.2,0.19,0.2,50420
03/08/2006,0.2,0.2,0.19,0.2,137000
04/08/2006,0.2,0.2,0.2,0.2,10000
07/08/2006,0.2,0.2,0.19,0.2,72500
08/08/2006,0.19,0.19,0.19,0.19,10000
09/08/2006,0.19,0.19,0.185,0.185,58000
10/08/2006,0.18,0.18,0.18,0.18,14000
11/08/2006,0.18,0.18,0.18,0.18,20000
14/08/2006,0.19,0.19,0.19,0.19,50000
15/08/2006,0.185,0.185,0.175,0.175,184000
16/08/2006,0.18,0.18,0.175,0.175,3570
17/08/2006,0.175,0.175,0.175,0.175,0
18/08/2006,0.185,0.185,0.18,0.18,50000
21/08/2006,0.185,0.185,0.185,0.185,7700
22/08/2006,0.185,0.185,0.185,0.185,0
23/08/2006,0.175,0.18,0.175,0.18,61000
24/08/2006,0.18,0.18,0.18,0.18,28306
25/08/2006,0.18,0.18,0.175,0.175,39194
28/08/2006,0.175,0.175,0.175,0.175,0
29/08/2006,0.175,0.175,0.17,0.17,60000
30/08/2006,0.17,0.17,0.16,0.165,53936
31/08/2006,0.17,0.18,0.17,0.18,829474
01/09/2006,0.16,0.16,0.16,0.16,3000
04/09/2006,0.16,0.16,0.16,0.16,0
05/09/2006,0.16,0.16,0.16,0.16,5000
06/09/2006,0.165,0.165,0.165,0.165,155
07/09/2006,0.17,0.175,0.17,0.175,331424
08/09/2006,0.175,0.175,0.175,0.175,0
11/09/2006,0.165,0.17,0.165,0.165,33370
12/09/2006,0.17,0.17,0.17,0.17,60000
13/09/2006,0.165,0.165,0.165,0.165,70000
14/09/2006,0.165,0.165,0.16,0.16,64000
15/09/2006,0.16,0.16,0.16,0.16,280800
18/09/2006,0.165,0.175,0.16,0.17,77660
19/09/2006,0.17,0.17,0.17,0.17,17600
20/09/2006,0.17,0.17,0.17,0.17,0
21/09/2006,0.175,0.175,0.175,0.175,10000
22/09/2006,0.175,0.175,0.175,0.175,28600
25/09/2006,0.17,0.185,0.17,0.185,232720
26/09/2006,0.185,0.185,0.18,0.18,52780
27/09/2006,0.17,0.175,0.17,0.175,36500
28/09/2006,0.175,0.175,0.175,0.175,0
29/09/2006,0.175,0.175,0.175,0.175,5300
02/10/2006,0.18,0.18,0.18,0.18,10000
03/10/2006,0.18,0.18,0.175,0.18,325000
04/10/2006,0.175,0.175,0.17,0.17,217940
05/10/2006,0.17,0.17,0.17,0.17,0
06/10/2006,0.165,0.17,0.165,0.17,11600
09/10/2006,0.165,0.165,0.16,0.16,70350
10/10/2006,0.15,0.15,0.15,0.15,22600
11/10/2006,0.15,0.15,0.15,0.15,4400
12/10/2006,0.15,0.15,0.145,0.15,68736
13/10/2006,0.165,0.185,0.165,0.175,146796
16/10/2006,0.185,0.185,0.185,0.185,7001
17/10/2006,0.185,0.19,0.175,0.175,40517
18/10/2006,0.17,0.17,0.17,0.17,483
19/10/2006,0.185,0.185,0.185,0.185,15000
20/10/2006,0.18,0.18,0.18,0.18,13000
23/10/2006,0.18,0.18,0.17,0.17,66517
24/10/2006,0.17,0.17,0.17,0.17,0
25/10/2006,0.165,0.17,0.165,0.17,36035
26/10/2006,0.17,0.17,0.17,0.17,2448
27/10/2006,0.18,0.18,0.18,0.18,15000
30/10/2006,0.18,0.18,0.17,0.17,33956
31/10/2006,0.18,0.18,0.18,0.18,112500
01/11/2006,0.18,0.18,0.18,0.18,3500
02/11/2006,0.18,0.18,0.18,0.18,0
03/11/2006,0.17,0.17,0.17,0.17,16000
06/11/2006,0.17,0.17,0.17,0.17,0
07/11/2006,0.17,0.17,0.17,0.17,10000
08/11/2006,0.17,0.17,0.17,0.17,20000
09/11/2006,0.17,0.17,0.17,0.17,51700
10/11/2006,0.17,0.17,0.17,0.17,0
13/11/2006,0.175,0.175,0.175,0.175,36650
14/11/2006,0.18,0.18,0.175,0.18,49000
15/11/2006,0.18,0.18,0.18,0.18,25500
16/11/2006,0.175,0.175,0.175,0.175,10714
17/11/2006,0.175,0.175,0.175,0.175,5600
20/11/2006,0.175,0.175,0.165,0.165,14336
21/11/2006,0.16,0.16,0.16,0.16,2164
22/11/2006,0.16,0.16,0.16,0.16,5000
23/11/2006,0.165,0.21,0.165,0.18,741546
24/11/2006,0.175,0.18,0.175,0.18,44900
27/11/2006,0.18,0.18,0.17,0.17,6800
28/11/2006,0.17,0.185,0.17,0.18,93000
29/11/2006,0.175,0.175,0.175,0.175,40000
30/11/2006,0.175,0.175,0.17,0.175,55800
01/12/2006,0.17,0.17,0.17,0.17,100000
04/12/2006,0.165,0.175,0.16,0.16,44000
05/12/2006,0.14,0.14,0.14,0.14,23414
06/12/2006,0.145,0.145,0.145,0.145,125000
07/12/2006,0.15,0.16,0.15,0.155,60000
08/12/2006,0.15,0.15,0.15,0.15,4000
11/12/2006,0.15,0.15,0.15,0.15,85999
12/12/2006,0.15,0.15,0.145,0.145,79002
13/12/2006,0.14,0.145,0.14,0.145,190000
14/12/2006,0.15,0.155,0.15,0.155,53000
15/12/2006,0.145,0.145,0.145,0.145,23000
18/12/2006,0.14,0.14,0.135,0.14,106000
19/12/2006,0.14,0.14,0.14,0.14,19850
20/12/2006,0.14,0.14,0.135,0.135,138000
21/12/2006,0.135,0.135,0.135,0.135,0
22/12/2006,0.14,0.14,0.14,0.14,50000
27/12/2006,0.14,0.14,0.14,0.14,0
28/12/2006,0.135,0.135,0.13,0.13,71000
29/12/2006,0.13,0.13,0.13,0.13,0
02/01/2007,0.14,0.17,0.14,0.17,112000
03/01/2007,0.17,0.17,0.15,0.15,47000
04/01/2007,0.15,0.15,0.15,0.15,51766
05/01/2007,0.15,0.15,0.15,0.15,0
08/01/2007,0.15,0.15,0.15,0.15,0
09/01/2007,0.145,0.15,0.14,0.15,261466
10/01/2007,0.135,0.135,0.125,0.13,44400
11/01/2007,0.14,0.14,0.13,0.13,26000
12/01/2007,0.14,0.14,0.13,0.13,35000
15/01/2007,0.13,0.13,0.13,0.13,0
16/01/2007,0.135,0.14,0.135,0.14,45000
17/01/2007,0.14,0.14,0.135,0.135,99500
18/01/2007,0.125,0.125,0.11,0.11,151000
