Date,Open,High,Low,Close,Volume
31/01/2011,0.18,0.19,0.18,0.19,85000
01/02/2011,0.19,0.195,0.18,0.195,250000
02/02/2011,0.18,0.18,0.18,0.18,53000
03/02/2011,0.18,0.18,0.175,0.18,322000
04/02/2011,0.18,0.18,0.175,0.18,165000
07/02/2011,0.18,0.18,0.18,0.18,100444
08/02/2011,0.175,0.18,0.175,0.175,78500
09/02/2011,0.17,0.17,0.16,0.16,180000
10/02/2011,0.16,0.16,0.155,0.16,275000
11/02/2011,0.16,0.16,0.16,0.16,0
14/02/2011,0.16,0.165,0.16,0.16,203500
15/02/2011,0.16,0.16,0.16,0.16,113499
16/02/2011,0.165,0.165,0.165,0.165,40000
17/02/2011,0.165,0.165,0.16,0.16,260000
18/02/2011,0.16,0.16,0.16,0.16,0
21/02/2011,0.16,0.16,0.155,0.16,196501
22/02/2011,0.16,0.16,0.155,0.155,248875
23/02/2011,0.15,0.15,0.15,0.15,333000
24/02/2011,0.15,0.15,0.15,0.15,0
25/02/2011,0.15,0.15,0.15,0.15,25000
28/02/2011,0.15,0.15,0.15,0.15,0
01/03/2011,0.145,0.145,0.145,0.145,30000
02/03/2011,0.14,0.145,0.14,0.14,195000
03/03/2011,0.145,0.15,0.145,0.15,63000
04/03/2011,0.16,0.16,0.15,0.15,28500
07/03/2011,0.15,0.15,0.15,0.15,35000
08/03/2011,0.15,0.15,0.15,0.15,43500
09/03/2011,0.15,0.155,0.15,0.155,76500
10/03/2011,0.155,0.155,0.155,0.155,37500
11/03/2011,0.155,0.155,0.155,0.155,0
14/03/2011,0.15,0.15,0.15,0.15,40000
15/03/2011,0.15,0.15,0.15,0.15,115000
16/03/2011,0.135,0.15,0.135,0.15,60000
17/03/2011,0.14,0.15,0.14,0.15,75000
18/03/2011,0.145,0.15,0.145,0.145,90000
21/03/2011,0.145,0.145,0.145,0.145,40000
22/03/2011,0.15,0.15,0.15,0.15,142000
23/03/2011,0.15,0.15,0.15,0.15,0
24/03/2011,0.15,0.15,0.15,0.15,0
25/03/2011,0.15,0.15,0.15,0.15,0
28/03/2011,0.15,0.15,0.15,0.15,0
29/03/2011,0.15,0.15,0.15,0.15,0
30/03/2011,0.15,0.15,0.15,0.15,0
31/03/2011,0.135,0.135,0.13,0.13,179000
01/04/2011,0.13,0.13,0.13,0.13,0
04/04/2011,0.13,0.13,0.13,0.13,130000
05/04/2011,0.13,0.13,0.13,0.13,0
06/04/2011,0.13,0.13,0.13,0.13,0
07/04/2011,0.13,0.13,0.13,0.13,0
08/04/2011,0.13,0.13,0.13,0.13,0
11/04/2011,0.135,0.135,0.135,0.135,25000
12/04/2011,0.135,0.135,0.135,0.135,25000
13/04/2011,0.135,0.135,0.13,0.13,198076
14/04/2011,0.13,0.13,0.13,0.13,51924
15/04/2011,0.13,0.13,0.13,0.13,0
18/04/2011,0.135,0.135,0.13,0.13,45780
19/04/2011,0.13,0.13,0.13,0.13,0
20/04/2011,0.13,0.13,0.13,0.13,0
21/04/2011,0.135,0.135,0.135,0.135,60000
27/04/2011,0.135,0.135,0.135,0.135,0
28/04/2011,0.135,0.135,0.135,0.135,20000
29/04/2011,0.13,0.13,0.13,0.13,35000
02/05/2011,0.13,0.13,0.13,0.13,0
03/05/2011,0.14,0.145,0.14,0.14,138124
04/05/2011,0.15,0.155,0.145,0.145,190000
05/05/2011,0.14,0.15,0.14,0.15,127500
06/05/2011,0.16,0.17,0.15,0.17,178000
