Date,Open,High,Low,Close,Volume
14/11/2007,0.495,0.495,0.375,0.375,7032805
15/11/2007,0.395,0.405,0.36,0.36,4287901
16/11/2007,0.365,0.365,0.345,0.35,1662676
19/11/2007,0.365,0.4,0.36,0.36,3695369
20/11/2007,0.36,0.39,0.35,0.36,1177455
21/11/2007,0.37,0.37,0.355,0.37,484231
22/11/2007,0.36,0.36,0.35,0.36,1216809
23/11/2007,0.37,0.385,0.36,0.37,1103934
26/11/2007,0.375,0.385,0.375,0.38,811339
27/11/2007,0.38,0.38,0.37,0.375,1833154
28/11/2007,0.37,0.37,0.36,0.36,373743
29/11/2007,0.36,0.36,0.355,0.355,56188
30/11/2007,0.36,0.395,0.35,0.38,627219
03/12/2007,0.38,0.41,0.38,0.4,988999
04/12/2007,0.425,0.43,0.415,0.425,1454835
05/12/2007,0.42,0.425,0.4,0.415,636420
06/12/2007,0.415,0.42,0.405,0.415,769273
07/12/2007,0.415,0.42,0.395,0.395,372124
10/12/2007,0.405,0.41,0.385,0.385,365846
11/12/2007,0.385,0.39,0.37,0.375,1435725
12/12/2007,0.375,0.375,0.365,0.375,613819
13/12/2007,0.38,0.395,0.375,0.385,534737
14/12/2007,0.38,0.4,0.38,0.39,1367333
17/12/2007,0.395,0.4,0.395,0.4,153115
18/12/2007,0.395,0.395,0.375,0.38,421412
19/12/2007,0.39,0.395,0.38,0.395,684617
20/12/2007,0.395,0.395,0.37,0.38,657674
21/12/2007,0.38,0.38,0.37,0.37,182688
24/12/2007,0.375,0.375,0.375,0.375,119570
27/12/2007,0.375,0.375,0.37,0.37,199856
28/12/2007,0.37,0.375,0.37,0.375,35500
31/12/2007,0.375,0.375,0.365,0.375,266533
02/01/2008,0.375,0.375,0.375,0.375,35000
03/01/2008,0.375,0.375,0.365,0.37,174706
04/01/2008,0.375,0.39,0.36,0.39,2324438
07/01/2008,0.4,0.425,0.395,0.425,1425119
08/01/2008,0.425,0.44,0.425,0.435,639113
09/01/2008,0.435,0.435,0.415,0.43,254098
10/01/2008,0.43,0.43,0.41,0.415,498100
11/01/2008,0.43,0.43,0.415,0.42,286850
14/01/2008,0.42,0.42,0.405,0.405,191285
15/01/2008,0.41,0.41,0.405,0.405,244931
16/01/2008,0.395,0.41,0.375,0.39,413422
17/01/2008,0.38,0.38,0.375,0.38,345331
18/01/2008,0.38,0.38,0.36,0.37,398026
21/01/2008,0.37,0.37,0.34,0.34,671114
22/01/2008,0.32,0.32,0.28,0.28,364995
23/01/2008,0.31,0.35,0.3,0.31,705804
24/01/2008,0.31,0.34,0.31,0.34,330433
25/01/2008,0.34,0.355,0.325,0.355,346538
29/01/2008,0.35,0.355,0.33,0.35,197858
30/01/2008,0.35,0.37,0.35,0.36,149376
