Date,Open,High,Low,Close,Volume
15/10/2018,0.2,0.21,0.2,0.205,2005189
16/10/2018,0.215,0.215,0.205,0.205,463775
17/10/2018,0.21,0.24,0.21,0.24,189500
18/10/2018,0.25,0.26,0.24,0.26,240688
19/10/2018,0.27,0.28,0.26,0.28,366266
22/10/2018,0.28,0.49,0.28,0.37,1476804
23/10/2018,0.42,0.48,0.375,0.395,968081
24/10/2018,0.42,0.59,0.41,0.59,1702167
25/10/2018,0.65,0.76,0.45,0.55,2038971
26/10/2018,0.5,0.5,0.435,0.455,474494
29/10/2018,0.475,0.575,0.46,0.575,624245
30/10/2018,0.565,0.59,0.5,0.5,217880
31/10/2018,0.52,0.57,0.5,0.505,418471
01/11/2018,0.46,0.505,0.46,0.47,96363
02/11/2018,0.495,0.54,0.485,0.51,201292
05/11/2018,0.5,0.52,0.48,0.5,38140
06/11/2018,0.53,0.56,0.485,0.52,115413
07/11/2018,0.52,0.52,0.455,0.485,222091
08/11/2018,0.455,0.495,0.42,0.45,364470
09/11/2018,0.445,0.5,0.445,0.465,168900
12/11/2018,0.46,0.465,0.42,0.42,124914
13/11/2018,0.44,0.46,0.39,0.4,257917
14/11/2018,0.4,0.41,0.4,0.41,50276
15/11/2018,0.405,0.405,0.39,0.405,62332
16/11/2018,0.405,0.405,0.345,0.37,210217
19/11/2018,0.36,0.385,0.33,0.33,207885
20/11/2018,0.35,0.38,0.345,0.345,102686
21/11/2018,0.37,0.39,0.34,0.387,121492
22/11/2018,0.385,0.385,0.34,0.34,58608
23/11/2018,0.365,0.37,0.35,0.35,157730
26/11/2018,0.345,0.345,0.335,0.335,61975
27/11/2018,0.335,0.34,0.315,0.315,146300
28/11/2018,0.3,0.3,0.25,0.27,264540
29/11/2018,0.28,0.295,0.28,0.29,110885
30/11/2018,0.3,0.31,0.29,0.305,56803
03/12/2018,0.31,0.32,0.31,0.32,57565
04/12/2018,0.325,0.335,0.32,0.335,110165
05/12/2018,0.34,0.445,0.34,0.4,331185
06/12/2018,0.405,0.405,0.365,0.39,33275
07/12/2018,0.365,0.365,0.36,0.36,12500
10/12/2018,0.39,0.39,0.39,0.39,7692
11/12/2018,0.36,0.36,0.3,0.3,97450
12/12/2018,0.305,0.315,0.295,0.31,22360
13/12/2018,0.31,0.31,0.29,0.29,50000
14/12/2018,0.3,0.32,0.3,0.32,22277
17/12/2018,0.32,0.33,0.285,0.285,82640
18/12/2018,0.285,0.295,0.27,0.27,63858
19/12/2018,0.3,0.325,0.3,0.325,165522
20/12/2018,0.35,0.385,0.35,0.38,286752
21/12/2018,0.38,0.38,0.335,0.375,76306
24/12/2018,0.345,0.345,0.32,0.32,45000
27/12/2018,0.34,0.345,0.325,0.325,35483
28/12/2018,0.325,0.325,0.29,0.29,131473
31/12/2018,0.295,0.3,0.29,0.295,111329
02/01/2019,0.33,0.33,0.29,0.29,140120
03/01/2019,0.295,0.31,0.295,0.31,20855
04/01/2019,0.33,0.345,0.32,0.32,101001
07/01/2019,0.32,0.32,0.3,0.305,24440
08/01/2019,0.31,0.32,0.31,0.31,11897
09/01/2019,0.3,0.3,0.3,0.3,20000
10/01/2019,0.3,0.345,0.295,0.345,128672
11/01/2019,0.335,0.335,0.335,0.335,1500
14/01/2019,0.335,0.335,0.335,0.335,0
15/01/2019,0.295,0.3,0.29,0.3,31900
16/01/2019,0.31,0.31,0.29,0.29,9300
17/01/2019,0.285,0.29,0.28,0.29,158884
18/01/2019,0.28,0.295,0.28,0.295,26416
21/01/2019,0.3,0.3,0.3,0.3,4933
22/01/2019,0.3,0.3,0.3,0.3,0
23/01/2019,0.305,0.305,0.3,0.305,87200
24/01/2019,0.31,0.31,0.285,0.305,147659
25/01/2019,0.29,0.29,0.29,0.29,4000
29/01/2019,0.29,0.29,0.285,0.285,23087
30/01/2019,0.27,0.275,0.255,0.255,55022
31/01/2019,0.255,0.255,0.22,0.22,58100
01/02/2019,0.24,0.25,0.24,0.25,17436
04/02/2019,0.24,0.275,0.24,0.27,49916
05/02/2019,0.285,0.3,0.27,0.285,177668
06/02/2019,0.3,0.305,0.3,0.3,55925
07/02/2019,0.3,0.315,0.29,0.315,72412
08/02/2019,0.3,0.3,0.3,0.3,109077
11/02/2019,0.26,0.28,0.26,0.28,61916
12/02/2019,0.28,0.28,0.28,0.28,0
13/02/2019,0.265,0.265,0.265,0.265,8486
14/02/2019,0.295,0.295,0.26,0.265,22939
15/02/2019,0.265,0.265,0.265,0.265,0
18/02/2019,0.26,0.26,0.26,0.26,843
19/02/2019,0.26,0.27,0.255,0.27,13000
20/02/2019,0.28,0.28,0.28,0.28,7893
21/02/2019,0.29,0.29,0.28,0.28,85914
22/02/2019,0.3,0.33,0.3,0.33,338986
25/02/2019,0.35,0.375,0.35,0.37,78695
26/02/2019,0.375,0.375,0.335,0.35,110451
27/02/2019,0.35,0.36,0.35,0.355,124407
28/02/2019,0.35,0.35,0.335,0.34,85686
01/03/2019,0.34,0.355,0.34,0.355,20000
04/03/2019,0.355,0.47,0.355,0.455,766019
05/03/2019,0.5,0.7,0.5,0.6,2527864
06/03/2019,0.565,0.615,0.53,0.545,774033
