Date,Open,High,Low,Close,Volume
01/07/2016,1.11,1.115,1.06,1.085,8755933
04/07/2016,1.085,1.085,1.04,1.06,817933
05/07/2016,1.05,1.055,1.04,1.05,1173211
06/07/2016,1.045,1.055,1.03,1.05,801750
07/07/2016,1.045,1.05,1.035,1.05,426486
08/07/2016,1.05,1.055,1.035,1.035,72270
11/07/2016,1.055,1.09,1.055,1.06,542296
12/07/2016,1.08,1.08,1.05,1.05,111733
13/07/2016,1.06,1.07,1.04,1.07,193549
14/07/2016,1.065,1.065,1.055,1.055,443597
15/07/2016,1.055,1.08,1.05,1.07,263316
18/07/2016,1.07,1.1,1.07,1.1,685729
19/07/2016,1.11,1.135,1.105,1.115,521567
20/07/2016,1.115,1.13,1.11,1.13,462665
21/07/2016,1.12,1.165,1.11,1.16,952206
22/07/2016,1.16,1.165,1.14,1.16,438631
25/07/2016,1.16,1.16,1.15,1.15,346082
26/07/2016,1.15,1.15,1.14,1.14,207938
27/07/2016,1.145,1.15,1.135,1.14,257979
28/07/2016,1.15,1.15,1.12,1.13,201457
29/07/2016,1.11,1.14,1.11,1.14,77850
01/08/2016,1.14,1.14,1.11,1.11,98358
02/08/2016,1.11,1.12,1.105,1.11,185934
03/08/2016,1.11,1.13,1.11,1.11,177138
04/08/2016,1.125,1.125,1.105,1.105,56710
05/08/2016,1.11,1.11,1.085,1.11,184068
08/08/2016,1.11,1.15,1.1,1.11,121230
09/08/2016,1.12,1.13,1.1,1.1,1200994
10/08/2016,1.11,1.16,1.11,1.16,316332
11/08/2016,1.15,1.15,1.12,1.12,109500
12/08/2016,1.14,1.16,1.14,1.16,238000
15/08/2016,1.16,1.18,1.16,1.18,105061
16/08/2016,1.195,1.21,1.195,1.21,2091260
17/08/2016,1.22,1.23,1.2,1.2,169202
18/08/2016,1.205,1.21,1.2,1.2,74750
19/08/2016,1.2,1.22,1.2,1.21,89750
22/08/2016,1.21,1.22,1.2,1.22,77695
23/08/2016,1.22,1.23,1.19,1.195,371346
24/08/2016,1.195,1.2,1.19,1.19,145806
25/08/2016,1.23,1.23,1.18,1.19,437885
26/08/2016,1.2,1.2,1.175,1.18,783855
29/08/2016,1.18,1.18,1.16,1.165,150643
30/08/2016,1.17,1.175,1.17,1.175,24696
31/08/2016,1.175,1.2,1.17,1.175,127212
01/09/2016,1.18,1.22,1.17,1.22,154130
02/09/2016,1.19,1.22,1.18,1.19,73914
05/09/2016,1.185,1.185,1.17,1.17,107094
06/09/2016,1.18,1.185,1.17,1.17,50915
07/09/2016,1.19,1.2,1.17,1.2,161316
08/09/2016,1.17,1.18,1.17,1.18,47371
09/09/2016,1.17,1.17,1.15,1.15,52587
12/09/2016,1.17,1.19,1.14,1.15,115838
13/09/2016,1.14,1.15,1.13,1.13,1233555
14/09/2016,1.12,1.15,1.12,1.15,201520
15/09/2016,1.15,1.15,1.12,1.14,59468
16/09/2016,1.14,1.14,1.12,1.12,25800
19/09/2016,1.15,1.15,1.15,1.15,1000
20/09/2016,1.13,1.14,1.125,1.125,372615
21/09/2016,1.12,1.15,1.12,1.12,24500
22/09/2016,1.12,1.13,1.12,1.13,120725
23/09/2016,1.13,1.15,1.13,1.14,146070
26/09/2016,1.14,1.14,1.14,1.14,9482
27/09/2016,1.15,1.15,1.145,1.145,33633
28/09/2016,1.14,1.16,1.135,1.14,33781
29/09/2016,1.14,1.195,1.14,1.195,152155
30/09/2016,1.19,1.19,1.19,1.19,2290
03/10/2016,1.19,1.19,1.19,1.19,0
04/10/2016,1.175,1.18,1.145,1.18,53000
05/10/2016,1.18,1.18,1.18,1.18,0
06/10/2016,1.18,1.19,1.15,1.15,4617
07/10/2016,1.15,1.15,1.15,1.15,0
10/10/2016,1.15,1.15,1.13,1.13,57766
11/10/2016,1.15,1.16,1.135,1.155,2735249
12/10/2016,1.15,1.15,1.12,1.12,86951
13/10/2016,1.125,1.18,1.125,1.13,136000
14/10/2016,1.13,1.15,1.13,1.13,113182
17/10/2016,1.14,1.15,1.13,1.13,144664
18/10/2016,1.13,1.135,1.13,1.13,135661
19/10/2016,1.135,1.14,1.13,1.14,27861
20/10/2016,1.14,1.14,1.13,1.13,438132
21/10/2016,1.13,1.14,1.13,1.14,61231
24/10/2016,1.15,1.17,1.13,1.135,28487
25/10/2016,1.135,1.135,1.115,1.115,72927
26/10/2016,1.115,1.115,1.1,1.1,68883
27/10/2016,1.1,1.1,1.085,1.085,228692
28/10/2016,1.085,1.085,1.045,1.06,625073
31/10/2016,1.045,1.07,1.045,1.06,137147
01/11/2016,1.03,1.07,1.03,1.07,29990
02/11/2016,1.05,1.05,1.02,1.02,33700
03/11/2016,1.02,1.06,1.01,1.045,213413
04/11/2016,1.045,1.06,1.02,1.02,123723
07/11/2016,1.02,1.04,1,1.005,35924
08/11/2016,1.03,1.04,1.025,1.03,64842
09/11/2016,1.03,1.03,1,1.025,79000
10/11/2016,1.02,1.035,1.02,1.03,180669
11/11/2016,1.04,1.04,1.03,1.03,76862
14/11/2016,1.03,1.03,1.025,1.025,3500
15/11/2016,1.03,1.03,0.975,0.975,47628
16/11/2016,1.01,1.03,1.01,1.02,23351
17/11/2016,1.02,1.04,1.01,1.01,125652
18/11/2016,1,1.02,1,1,350650
21/11/2016,1,1.02,1,1.02,10945
22/11/2016,1,1,1,1,125552
23/11/2016,1,1,0.995,1,25830
24/11/2016,1,1,0.985,0.985,8500
25/11/2016,0.985,1,0.985,1,20500
28/11/2016,1,1,1,1,19792
29/11/2016,1.03,1.03,1,1,125808
30/11/2016,1.01,1.025,0.985,0.995,37752
01/12/2016,1,1,1,1,15000
02/12/2016,0.995,1,0.985,0.985,31094
05/12/2016,0.985,0.985,0.985,0.985,0
06/12/2016,0.985,0.985,0.975,0.975,13500
07/12/2016,0.985,0.985,0.975,0.975,46300
