Date,Open,High,Low,Close,Volume
11/12/2019,0.26,0.26,0.19,0.2,8270278
12/12/2019,0.205,0.215,0.195,0.195,3286203
13/12/2019,0.195,0.21,0.19,0.195,1794286
16/12/2019,0.19,0.21,0.19,0.2,1291463
17/12/2019,0.21,0.21,0.19,0.19,568815
18/12/2019,0.2,0.2,0.19,0.2,264000
19/12/2019,0.195,0.195,0.18,0.18,294115
20/12/2019,0.18,0.195,0.175,0.19,609488
23/12/2019,0.19,0.2,0.19,0.2,94208
24/12/2019,0.195,0.2,0.19,0.195,361652
27/12/2019,0.185,0.19,0.185,0.19,197500
30/12/2019,0.195,0.195,0.195,0.195,761421
31/12/2019,0.195,0.2,0.195,0.2,266000
02/01/2020,0.195,0.195,0.185,0.185,495000
03/01/2020,0.195,0.195,0.185,0.185,127500
06/01/2020,0.185,0.185,0.18,0.18,167779
07/01/2020,0.18,0.18,0.175,0.175,52474
08/01/2020,0.18,0.18,0.17,0.17,100221
09/01/2020,0.175,0.175,0.175,0.175,205794
10/01/2020,0.16,0.17,0.16,0.17,333206
13/01/2020,0.18,0.18,0.17,0.17,795483
14/01/2020,0.165,0.17,0.165,0.17,222655
15/01/2020,0.165,0.17,0.16,0.16,446000
16/01/2020,0.16,0.17,0.16,0.165,124388
17/01/2020,0.165,0.165,0.16,0.16,282956
20/01/2020,0.18,0.18,0.16,0.16,210555
21/01/2020,0.16,0.16,0.16,0.16,95000
22/01/2020,0.16,0.16,0.16,0.16,232406
23/01/2020,0.16,0.16,0.16,0.16,98995
24/01/2020,0.165,0.165,0.16,0.16,84073
28/01/2020,0.16,0.16,0.16,0.16,25412
29/01/2020,0.175,0.18,0.175,0.18,100000
30/01/2020,0.17,0.17,0.155,0.155,278327
31/01/2020,0.16,0.17,0.16,0.16,655619
03/02/2020,0.16,0.16,0.15,0.15,378024
04/02/2020,0.15,0.15,0.14,0.15,546411
05/02/2020,0.15,0.15,0.15,0.15,506489
06/02/2020,0.15,0.15,0.15,0.15,0
07/02/2020,0.15,0.16,0.14,0.14,755703
10/02/2020,0.14,0.15,0.14,0.15,77455
11/02/2020,0.15,0.15,0.15,0.15,42523
12/02/2020,0.15,0.155,0.15,0.155,3169984
13/02/2020,0.16,0.185,0.16,0.18,507518
14/02/2020,0.18,0.19,0.175,0.18,261680
17/02/2020,0.18,0.18,0.175,0.175,346352
18/02/2020,0.17,0.17,0.17,0.17,83500
19/02/2020,0.175,0.175,0.17,0.17,160000
20/02/2020,0.17,0.17,0.17,0.17,0
21/02/2020,0.18,0.185,0.18,0.185,30000
24/02/2020,0.18,0.185,0.177,0.18,250644
25/02/2020,0.16,0.17,0.16,0.17,37510
26/02/2020,0.16,0.165,0.16,0.16,150536
27/02/2020,0.16,0.16,0.16,0.16,30000
28/02/2020,0.16,0.16,0.16,0.16,176000
02/03/2020,0.16,0.16,0.145,0.16,351771
03/03/2020,0.15,0.155,0.145,0.152,112185
04/03/2020,0.152,0.152,0.152,0.152,0
05/03/2020,0.152,0.152,0.152,0.152,0
06/03/2020,0.15,0.15,0.145,0.145,295888
09/03/2020,0.14,0.14,0.14,0.14,94687
10/03/2020,0.14,0.142,0.13,0.13,8600
11/03/2020,0.132,0.14,0.132,0.14,55263
12/03/2020,0.135,0.135,0.12,0.12,155441
13/03/2020,0.11,0.11,0.105,0.11,357572
16/03/2020,0.105,0.105,0.105,0.105,72428
17/03/2020,0.09,0.09,0.09,0.09,34000
18/03/2020,0.09,0.09,0.089,0.089,81328
19/03/2020,0.089,0.089,0.089,0.089,0
20/03/2020,0.091,0.094,0.089,0.089,638754
23/03/2020,0.08,0.08,0.08,0.08,90000
24/03/2020,0.08,0.08,0.08,0.08,0
25/03/2020,0.105,0.11,0.105,0.105,422117
26/03/2020,0.11,0.15,0.11,0.15,91057
27/03/2020,0.16,0.16,0.16,0.16,20000
30/03/2020,0.16,0.16,0.16,0.16,0
31/03/2020,0.12,0.145,0.12,0.145,118477
01/04/2020,0.135,0.135,0.135,0.135,23138
02/04/2020,0.135,0.135,0.135,0.135,0
03/04/2020,0.135,0.135,0.135,0.135,0
06/04/2020,0.14,0.14,0.14,0.14,153006
07/04/2020,0.145,0.15,0.14,0.15,155000
08/04/2020,0.15,0.15,0.15,0.15,13333
09/04/2020,0.15,0.15,0.145,0.15,22601
14/04/2020,0.155,0.16,0.14,0.15,540994
15/04/2020,0.14,0.14,0.14,0.14,40085
16/04/2020,0.14,0.15,0.14,0.15,1403000
17/04/2020,0.15,0.15,0.14,0.14,443800
20/04/2020,0.14,0.14,0.14,0.14,25000
21/04/2020,0.14,0.14,0.12,0.12,200000
22/04/2020,0.13,0.13,0.125,0.125,200000
23/04/2020,0.12,0.12,0.12,0.12,4937
24/04/2020,0.12,0.12,0.12,0.12,0
27/04/2020,0.15,0.15,0.13,0.13,715137
28/04/2020,0.14,0.14,0.14,0.14,23040
29/04/2020,0.14,0.15,0.14,0.15,333220
30/04/2020,0.15,0.15,0.15,0.15,67809
01/05/2020,0.155,0.17,0.15,0.17,1110467
04/05/2020,0.17,0.185,0.17,0.185,333278
05/05/2020,0.185,0.2,0.185,0.195,186516
06/05/2020,0.19,0.19,0.19,0.19,25000
07/05/2020,0.19,0.19,0.19,0.19,100000
