Date,Open,High,Low,Close,Volume
24/03/2006,0.86,0.89,0.705,0.805,21092280
27/03/2006,0.84,1.6,0.84,1.31,37881410
28/03/2006,1.44,1.495,1.35,1.395,15334000
29/03/2006,1.415,1.415,1.31,1.33,5603918
30/03/2006,1.31,1.31,1.02,1.05,8963779
31/03/2006,1.05,1.05,0.91,1.025,7609286
03/04/2006,1.13,1.3,1.13,1.26,14316690
04/04/2006,1.35,1.37,1.2,1.23,7165732
05/04/2006,1.2,1.2,1.11,1.125,2463720
06/04/2006,1.125,1.205,1.125,1.145,2478000
07/04/2006,1.17,1.195,1.145,1.17,1653536
10/04/2006,1.145,1.255,1.1,1.225,3427375
11/04/2006,1.235,1.25,1.165,1.2,1316036
12/04/2006,1.18,1.18,1.14,1.17,512982
13/04/2006,1.16,1.16,1.14,1.145,409452
18/04/2006,1.15,1.15,1.025,1.07,2464763
19/04/2006,1.06,1.065,0.98,1.005,3301019
20/04/2006,1.01,1.01,0.925,0.935,2291634
21/04/2006,0.93,0.98,0.9,0.925,2451552
24/04/2006,0.93,0.93,0.9,0.91,1100227
26/04/2006,0.9,0.9,0.8,0.835,3123917
27/04/2006,0.79,0.79,0.73,0.75,2775644
28/04/2006,0.745,0.745,0.69,0.73,2525709
01/05/2006,0.73,0.78,0.655,0.77,4641998
02/05/2006,0.785,0.8,0.7,0.73,1712024
03/05/2006,0.735,0.75,0.705,0.715,621089
04/05/2006,0.74,0.77,0.72,0.735,1567992
05/05/2006,0.74,0.77,0.74,0.765,789221
08/05/2006,0.78,0.875,0.765,0.875,2284854
09/05/2006,0.86,0.95,0.835,0.885,3654542
10/05/2006,0.915,0.935,0.83,0.845,1676792
11/05/2006,0.87,0.9,0.85,0.88,520238
12/05/2006,0.89,0.9,0.86,0.86,458581
15/05/2006,0.855,0.86,0.8,0.815,534176
16/05/2006,0.785,0.8,0.76,0.775,493190
17/05/2006,0.78,0.83,0.78,0.8,723304
18/05/2006,0.76,0.785,0.75,0.76,373362
19/05/2006,0.76,0.8,0.76,0.77,277867
22/05/2006,0.76,0.79,0.66,0.66,971654
23/05/2006,0.66,0.705,0.65,0.67,567369
24/05/2006,0.68,0.72,0.67,0.67,1016445
25/05/2006,0.66,0.7,0.655,0.655,364805
26/05/2006,0.69,0.695,0.665,0.685,253594
29/05/2006,0.695,0.695,0.68,0.685,275545
30/05/2006,0.7,0.71,0.695,0.7,173427
31/05/2006,0.69,0.695,0.66,0.665,227464
01/06/2006,0.7,0.7,0.67,0.69,270319
02/06/2006,0.69,0.7,0.66,0.7,155946
05/06/2006,0.71,0.73,0.665,0.665,551448
06/06/2006,0.665,0.69,0.66,0.67,244208
07/06/2006,0.67,0.675,0.66,0.66,187320
08/06/2006,0.655,0.66,0.63,0.635,390844
09/06/2006,0.635,0.655,0.6,0.61,415673
13/06/2006,0.595,0.595,0.46,0.51,806928
14/06/2006,0.47,0.5,0.41,0.5,800588
15/06/2006,0.51,0.54,0.51,0.515,487362
16/06/2006,0.54,0.58,0.54,0.57,444977
19/06/2006,0.555,0.555,0.52,0.52,275413
20/06/2006,0.52,0.52,0.5,0.52,202968
21/06/2006,0.5,0.53,0.5,0.53,230880
22/06/2006,0.53,0.54,0.51,0.52,77661
23/06/2006,0.55,0.55,0.52,0.53,394450
26/06/2006,0.52,0.53,0.495,0.5,330514
27/06/2006,0.495,0.5,0.485,0.5,288585
28/06/2006,0.49,0.49,0.465,0.48,242717
29/06/2006,0.485,0.485,0.45,0.455,476457
30/06/2006,0.46,0.475,0.45,0.455,1330349
03/07/2006,0.455,0.5,0.455,0.485,523792
04/07/2006,0.51,0.535,0.505,0.525,472760
05/07/2006,0.56,0.57,0.55,0.56,512300
06/07/2006,0.56,0.58,0.55,0.58,437083
07/07/2006,0.58,0.695,0.58,0.695,1470479
10/07/2006,0.7,0.81,0.7,0.79,3266291
11/07/2006,0.82,0.895,0.81,0.835,5968534
12/07/2006,0.86,0.86,0.715,0.765,3523209
13/07/2006,0.755,0.76,0.72,0.75,886360
14/07/2006,0.725,0.83,0.71,0.8,1609776
17/07/2006,0.785,0.785,0.735,0.77,446085
18/07/2006,0.78,0.82,0.78,0.8,553532
19/07/2006,0.8,0.82,0.8,0.8,555927
20/07/2006,0.815,0.82,0.77,0.8,422106
21/07/2006,0.79,0.79,0.77,0.77,221332
24/07/2006,0.77,0.77,0.73,0.755,319827
25/07/2006,0.85,0.885,0.83,0.86,3107392
26/07/2006,0.86,0.86,0.835,0.835,567442
27/07/2006,0.845,0.87,0.84,0.865,605216
28/07/2006,0.865,0.865,0.84,0.845,313614
31/07/2006,0.845,0.905,0.845,0.885,1286529
01/08/2006,0.88,0.88,0.855,0.865,334751
02/08/2006,0.865,0.865,0.85,0.85,359427
03/08/2006,0.86,0.885,0.85,0.865,332515
04/08/2006,0.865,0.865,0.84,0.84,196892
07/08/2006,0.84,0.845,0.82,0.83,196700
08/08/2006,0.825,0.83,0.825,0.83,210587
09/08/2006,0.84,0.84,0.815,0.82,165824
10/08/2006,0.825,0.83,0.82,0.82,81835
11/08/2006,0.81,0.825,0.8,0.8,393077
14/08/2006,0.825,0.825,0.795,0.82,177010
15/08/2006,0.8,0.815,0.78,0.78,285125
16/08/2006,0.78,0.78,0.775,0.78,75985
17/08/2006,0.795,0.8,0.73,0.73,249483
18/08/2006,0.74,0.76,0.74,0.75,136400
21/08/2006,0.74,0.75,0.73,0.75,59888
22/08/2006,0.76,0.76,0.735,0.735,71050
23/08/2006,0.74,0.75,0.735,0.74,63770
24/08/2006,0.75,0.795,0.74,0.78,192172
25/08/2006,0.745,0.76,0.735,0.735,42000
28/08/2006,0.735,0.735,0.72,0.725,94368
29/08/2006,0.725,0.76,0.725,0.73,34565
30/08/2006,0.74,0.79,0.74,0.77,141185
31/08/2006,0.77,0.79,0.74,0.76,79380
01/09/2006,0.755,0.755,0.735,0.745,85440
04/09/2006,0.745,0.775,0.74,0.74,106140
05/09/2006,0.75,0.78,0.75,0.78,114425
06/09/2006,0.78,0.78,0.75,0.755,110850
07/09/2006,0.76,0.76,0.75,0.75,99165
08/09/2006,0.75,0.77,0.75,0.75,77850
11/09/2006,0.755,0.755,0.74,0.755,71288
12/09/2006,0.74,0.75,0.66,0.675,231812
13/09/2006,0.7,0.705,0.7,0.7,141000
14/09/2006,0.705,0.71,0.665,0.68,164635
15/09/2006,0.68,0.68,0.65,0.65,115270
18/09/2006,0.62,0.62,0.575,0.59,398323
19/09/2006,0.59,0.6,0.575,0.575,163433
20/09/2006,0.575,0.575,0.52,0.565,290864
21/09/2006,0.565,0.57,0.55,0.555,148186
22/09/2006,0.55,0.585,0.55,0.58,259516
25/09/2006,0.575,0.58,0.575,0.575,90769
26/09/2006,0.57,0.575,0.56,0.56,134848
