Date,Open,High,Low,Close,Volume
08/03/2005,0.36,0.36,0.3,0.315,652766
09/03/2005,0.325,0.325,0.315,0.325,328350
10/03/2005,0.325,0.325,0.31,0.315,199604
11/03/2005,0.32,0.32,0.3,0.3,93250
14/03/2005,0.31,0.32,0.31,0.31,96000
15/03/2005,0.31,0.32,0.31,0.32,56000
16/03/2005,0.32,0.32,0.32,0.32,6000
17/03/2005,0.32,0.32,0.32,0.32,9000
18/03/2005,0.32,0.32,0.3,0.3,158600
21/03/2005,0.3,0.3,0.3,0.3,0
22/03/2005,0.305,0.305,0.305,0.305,500
23/03/2005,0.3,0.31,0.3,0.305,20500
24/03/2005,0.305,0.305,0.3,0.3,20000
29/03/2005,0.3,0.3,0.3,0.3,20000
30/03/2005,0.3,0.3,0.3,0.3,41700
31/03/2005,0.3,0.3,0.3,0.3,123016
01/04/2005,0.3,0.3,0.3,0.3,3250
04/04/2005,0.3,0.3,0.3,0.3,30000
05/04/2005,0.3,0.3,0.3,0.3,20000
06/04/2005,0.3,0.32,0.3,0.32,146734
07/04/2005,0.3,0.315,0.3,0.315,52000
08/04/2005,0.3,0.3,0.3,0.3,65000
11/04/2005,0.3,0.3,0.3,0.3,0
12/04/2005,0.3,0.3,0.3,0.3,0
13/04/2005,0.28,0.28,0.28,0.28,32350
14/04/2005,0.28,0.28,0.28,0.28,0
15/04/2005,0.28,0.28,0.28,0.28,3000
18/04/2005,0.3,0.305,0.3,0.305,174999
19/04/2005,0.305,0.305,0.305,0.305,20000
20/04/2005,0.305,0.305,0.305,0.305,50000
21/04/2005,0.305,0.305,0.305,0.305,7000
22/04/2005,0.305,0.305,0.305,0.305,0
26/04/2005,0.305,0.305,0.305,0.305,10000
27/04/2005,0.305,0.305,0.305,0.305,0
28/04/2005,0.305,0.305,0.3,0.3,7000
29/04/2005,0.305,0.305,0.305,0.305,25000
02/05/2005,0.305,0.305,0.305,0.305,0
03/05/2005,0.305,0.305,0.305,0.305,0
04/05/2005,0.305,0.305,0.305,0.305,0
05/05/2005,0.265,0.265,0.265,0.265,2000
06/05/2005,0.265,0.265,0.265,0.265,2000
09/05/2005,0.3,0.3,0.3,0.3,100000
10/05/2005,0.3,0.3,0.3,0.3,0
11/05/2005,0.3,0.3,0.3,0.3,7000
12/05/2005,0.3,0.3,0.3,0.3,43000
13/05/2005,0.3,0.3,0.295,0.295,35000
16/05/2005,0.28,0.28,0.28,0.28,3000
17/05/2005,0.3,0.3,0.3,0.3,33667
18/05/2005,0.3,0.3,0.3,0.3,4000
19/05/2005,0.3,0.3,0.3,0.3,50000
20/05/2005,0.305,0.305,0.3,0.3,62000
23/05/2005,0.3,0.3,0.27,0.27,200000
24/05/2005,0.27,0.27,0.27,0.27,0
25/05/2005,0.27,0.27,0.27,0.27,0
26/05/2005,0.27,0.27,0.27,0.27,0
27/05/2005,0.3,0.3,0.3,0.3,10000
30/05/2005,0.3,0.3,0.3,0.3,1700
31/05/2005,0.29,0.29,0.29,0.29,70000
01/06/2005,0.29,0.29,0.29,0.29,0
02/06/2005,0.275,0.275,0.275,0.275,88300
03/06/2005,0.28,0.3,0.28,0.3,55000
06/06/2005,0.295,0.295,0.29,0.29,60000
07/06/2005,0.29,0.29,0.29,0.29,0
08/06/2005,0.295,0.295,0.295,0.295,50000
09/06/2005,0.3,0.31,0.3,0.31,162000
10/06/2005,0.31,0.31,0.305,0.305,97000
14/06/2005,0.31,0.315,0.31,0.315,151349
15/06/2005,0.315,0.315,0.315,0.315,32000
16/06/2005,0.31,0.31,0.31,0.31,5200
17/06/2005,0.3,0.3,0.3,0.3,10000
20/06/2005,0.3,0.315,0.3,0.315,155800
21/06/2005,0.31,0.33,0.31,0.32,183433
22/06/2005,0.33,0.33,0.33,0.33,25000
23/06/2005,0.33,0.33,0.33,0.33,22500
24/06/2005,0.33,0.33,0.33,0.33,27000
27/06/2005,0.34,0.35,0.34,0.34,230000
28/06/2005,0.35,0.35,0.34,0.35,90833
29/06/2005,0.34,0.34,0.34,0.34,27000
30/06/2005,0.34,0.34,0.34,0.34,0
01/07/2005,0.32,0.34,0.3,0.34,102300
04/07/2005,0.34,0.34,0.34,0.34,0
05/07/2005,0.34,0.34,0.34,0.34,23500
06/07/2005,0.31,0.31,0.31,0.31,10000
07/07/2005,0.31,0.31,0.31,0.31,0
08/07/2005,0.31,0.31,0.31,0.31,0
11/07/2005,0.34,0.34,0.34,0.34,41411
12/07/2005,0.34,0.34,0.33,0.33,15000
13/07/2005,0.33,0.33,0.3,0.3,122000
14/07/2005,0.3,0.3,0.3,0.3,6349
15/07/2005,0.305,0.315,0.3,0.315,55000
18/07/2005,0.315,0.315,0.315,0.315,0
19/07/2005,0.315,0.315,0.315,0.315,0
20/07/2005,0.315,0.315,0.315,0.315,0
21/07/2005,0.315,0.315,0.315,0.315,0
22/07/2005,0.315,0.315,0.315,0.315,0
25/07/2005,0.305,0.305,0.305,0.305,7000
26/07/2005,0.31,0.31,0.31,0.31,5000
27/07/2005,0.31,0.31,0.31,0.31,0
28/07/2005,0.31,0.31,0.3,0.3,50000
29/07/2005,0.3,0.3,0.3,0.3,0
01/08/2005,0.32,0.32,0.32,0.32,10000
02/08/2005,0.32,0.32,0.32,0.32,0
03/08/2005,0.31,0.31,0.31,0.31,19000
04/08/2005,0.31,0.31,0.31,0.31,0
05/08/2005,0.31,0.31,0.31,0.31,0
08/08/2005,0.31,0.31,0.31,0.31,0
09/08/2005,0.31,0.31,0.31,0.31,0
10/08/2005,0.31,0.31,0.31,0.31,0
11/08/2005,0.31,0.31,0.31,0.31,0
12/08/2005,0.3,0.3,0.3,0.3,5000
15/08/2005,0.3,0.3,0.3,0.3,0
16/08/2005,0.3,0.3,0.3,0.3,0
17/08/2005,0.3,0.3,0.29,0.29,35100
18/08/2005,0.29,0.29,0.29,0.29,0
19/08/2005,0.29,0.29,0.29,0.29,0
22/08/2005,0.29,0.29,0.29,0.29,0
23/08/2005,0.29,0.29,0.29,0.29,0
24/08/2005,0.28,0.28,0.28,0.28,12000
25/08/2005,0.28,0.28,0.28,0.28,0
26/08/2005,0.28,0.28,0.28,0.28,0
29/08/2005,0.28,0.28,0.28,0.28,0
30/08/2005,0.28,0.28,0.28,0.28,0
31/08/2005,0.28,0.28,0.28,0.28,6000
01/09/2005,0.3,0.3,0.3,0.3,30000
02/09/2005,0.3,0.3,0.3,0.3,0
05/09/2005,0.3,0.3,0.3,0.3,33300
06/09/2005,0.29,0.29,0.29,0.29,30000
07/09/2005,0.28,0.28,0.27,0.27,50000
08/09/2005,0.27,0.27,0.27,0.27,0
09/09/2005,0.27,0.27,0.27,0.27,0
12/09/2005,0.27,0.27,0.27,0.27,0
13/09/2005,0.29,0.29,0.29,0.29,34000
14/09/2005,0.29,0.29,0.29,0.29,0
