Date,Open,High,Low,Close,Volume
08/05/2009,50.62,50.8,50.58,50.61,915
11/05/2009,50.8,50.8,50.6,50.63,826
12/05/2009,50.57,50.57,49.99,50.3,7032
13/05/2009,50.38,50.38,49.81,49.84,4531
14/05/2009,48.85,48.85,48.28,48.55,1511
15/05/2009,49,49,48.84,48.84,7527
18/05/2009,48.72,48.72,48.25,48.47,1188
19/05/2009,48.98,49.6,48.98,49.6,6700
20/05/2009,49.23,49.32,49.23,49.3,1035
21/05/2009,49.2,49.23,49.2,49.23,1100
22/05/2009,48.72,48.93,48.72,48.75,2845
25/05/2009,49,49.08,48.45,48.68,3060
26/05/2009,48.75,48.75,48.44,48.65,1135
27/05/2009,49.56,49.67,49.4,49.4,4460
28/05/2009,48.8,48.8,48.53,48.67,8603
29/05/2009,49.21,49.53,49.05,49.53,17067
01/06/2009,49.7,50.49,49.47,50.4,10524
02/06/2009,51,51.45,51,51.36,8267
03/06/2009,51.36,51.99,51.36,51.99,3889
04/06/2009,52.3,52.3,51.1,51.22,7999
05/06/2009,51.64,52.1,51.46,51.6,19588
09/06/2009,51.99,51.99,51.5,51.5,1749
10/06/2009,52.04,52.4,52.04,52.34,8767
11/06/2009,52.34,52.71,52.34,52.65,5374
12/06/2009,52.81,52.97,52.6,52.97,3571
15/06/2009,53.5,53.5,52.52,52.52,5510
16/06/2009,52.45,52.45,51.44,51.53,18540
17/06/2009,51.55,51.55,50.36,50.91,18520
18/06/2009,50.94,50.94,50.52,50.52,3095
19/06/2009,50.98,51.1,50.7,50.77,5190
22/06/2009,50.8,51.04,50.8,50.95,7033
23/06/2009,51,51,49.35,49.57,21790
24/06/2009,49.3,49.62,49.21,49.62,10623
25/06/2009,49.63,50.27,49.63,50.27,3799
26/06/2009,50.84,51.08,50.7,51.05,4043
29/06/2009,51.05,51.16,50.7,50.7,3304
30/06/2009,51.85,51.85,51.31,51.31,6402
01/07/2009,50.7,50.7,50.2,50.2,7907
02/07/2009,51,51,50.2,50.32,7248
03/07/2009,49.39,49.5,49.35,49.5,6212
06/07/2009,49.5,49.5,48.86,49.16,7113
07/07/2009,48.95,48.95,48.85,48.89,2861
08/07/2009,49,49,47.75,48.38,6621
09/07/2009,48.61,48.79,48.49,48.75,8237
10/07/2009,48.98,49.04,48.7,49.04,4727
13/07/2009,49.05,49.05,48.35,48.35,7002
14/07/2009,50,50,49.15,49.94,4579
15/07/2009,50.51,50.78,50.51,50.72,2107
16/07/2009,52.18,52.18,51.69,51.69,8096
17/07/2009,52.1,52.1,51.73,51.73,2449
20/07/2009,53,53,52.22,52.49,6452
21/07/2009,54,54,52.46,52.46,3649
22/07/2009,53,53,52.5,52.71,14489
23/07/2009,52.64,52.64,52.43,52.55,2236
24/07/2009,53.32,53.32,52.9,52.9,4677
27/07/2009,53.66,53.74,53.66,53.68,2279
28/07/2009,55.2,55.2,53.69,53.95,3851
