Date,Open,High,Low,Close,Volume
17/09/2018,0.23,0.23,0.21,0.215,2150290
18/09/2018,0.215,0.22,0.21,0.21,989584
19/09/2018,0.21,0.21,0.18,0.2,612565
20/09/2018,0.205,0.215,0.202,0.21,1141948
21/09/2018,0.21,0.21,0.2,0.2,407400
24/09/2018,0.21,0.215,0.21,0.215,1178237
25/09/2018,0.215,0.215,0.21,0.215,544600
26/09/2018,0.215,0.235,0.215,0.23,1233844
27/09/2018,0.23,0.23,0.22,0.225,302066
28/09/2018,0.225,0.24,0.215,0.24,863379
01/10/2018,0.245,0.245,0.24,0.24,80040
02/10/2018,0.245,0.245,0.23,0.24,86066
03/10/2018,0.235,0.24,0.23,0.24,125849
04/10/2018,0.24,0.24,0.22,0.22,398593
05/10/2018,0.215,0.215,0.2,0.21,871395
08/10/2018,0.21,0.21,0.21,0.21,178240
09/10/2018,0.205,0.205,0.195,0.195,479900
10/10/2018,0.2,0.205,0.2,0.2,184500
11/10/2018,0.2,0.2,0.195,0.2,460233
12/10/2018,0.2,0.205,0.2,0.205,89050
15/10/2018,0.205,0.205,0.2,0.205,94027
16/10/2018,0.205,0.205,0.205,0.205,2760
17/10/2018,0.205,0.215,0.205,0.21,126211
18/10/2018,0.21,0.21,0.2,0.2,394000
19/10/2018,0.2,0.2,0.195,0.195,50000
22/10/2018,0.2,0.2,0.195,0.195,181731
23/10/2018,0.195,0.195,0.18,0.195,225081
24/10/2018,0.195,0.195,0.195,0.195,0
25/10/2018,0.19,0.19,0.16,0.18,52847
26/10/2018,0.19,0.19,0.19,0.19,80000
29/10/2018,0.19,0.19,0.18,0.18,42000
30/10/2018,0.18,0.18,0.175,0.175,19781
31/10/2018,0.18,0.185,0.18,0.185,402500
01/11/2018,0.17,0.17,0.17,0.17,4500
02/11/2018,0.17,0.17,0.16,0.165,450000
05/11/2018,0.165,0.17,0.15,0.15,746675
06/11/2018,0.165,0.17,0.15,0.17,60825
07/11/2018,0.17,0.17,0.17,0.17,0
08/11/2018,0.17,0.17,0.16,0.16,304000
09/11/2018,0.17,0.17,0.17,0.17,25000
12/11/2018,0.17,0.17,0.17,0.17,2174
13/11/2018,0.175,0.175,0.175,0.175,9514
14/11/2018,0.175,0.18,0.175,0.18,25000
15/11/2018,0.18,0.18,0.18,0.18,0
16/11/2018,0.18,0.18,0.18,0.18,20000
19/11/2018,0.18,0.18,0.18,0.18,0
