Date,Open,High,Low,Close,Volume
14/10/2020,50.61,50.61,50.61,50.61,100
15/10/2020,50.61,50.81,50.61,50.71,173
16/10/2020,50.55,50.69,50.55,50.56,1021
19/10/2020,50.7,51.06,50.7,51,2123
20/10/2020,50.86,50.96,50.55,50.55,1370
21/10/2020,50.7,50.7,50.5,50.65,929
22/10/2020,50.15,50.29,49.85,50.29,2027
23/10/2020,50.32,50.72,50.31,50.68,1916
26/10/2020,50.97,50.97,50.3,50.3,2542
27/10/2020,50.4,50.4,49.3,49.47,18586
28/10/2020,49.2,49.65,49.2,49.56,4693
29/10/2020,49.4,49.4,48.5,48.67,72517
30/10/2020,48.82,48.85,48.5,48.53,2946
02/11/2020,48.61,48.67,48.15,48.5,14529
03/11/2020,48.98,49.6,48.98,49.54,1779
04/11/2020,49.41,49.59,48.87,49.39,2938
05/11/2020,49.96,50.14,49.73,50.09,2707
06/11/2020,50.61,50.7,50.4,50.53,1881
09/11/2020,50.97,51.51,50.96,51.43,18968
10/11/2020,52.49,53.1,51.7,51.7,18688
11/11/2020,52.42,53.33,52.28,53.33,6445
12/11/2020,52.88,52.9,52.34,52.42,4795
13/11/2020,52.27,52.48,52.22,52.33,3492
16/11/2020,53,53,52.94,52.99,223
17/11/2020,53.27,53.31,52.92,52.92,15664
18/11/2020,53.1,53.31,53.1,53.3,5106
19/11/2020,53.3,53.35,53.1,53.35,12313
20/11/2020,53.5,53.67,53.44,53.52,7995
23/11/2020,53.61,53.73,53.6,53.65,3958
24/11/2020,53.86,54.05,53.76,54.05,3204
25/11/2020,54.3,54.51,54.29,54.3,33465
26/11/2020,54.32,54.32,53.93,53.93,3427
27/11/2020,54,54,53.6,53.75,2800
30/11/2020,53.97,54,53.31,53.31,1507
01/12/2020,53.23,53.82,53.1,53.67,24554
02/12/2020,53.94,53.94,53.4,53.55,3030
03/12/2020,53.8,53.8,53.56,53.68,3729
04/12/2020,53.63,53.82,53.63,53.75,4537
07/12/2020,54,54.2,53.75,53.85,17082
08/12/2020,53.98,54.14,53.85,54.12,2655
09/12/2020,54.36,54.56,54.33,54.43,1746
10/12/2020,54.36,54.36,53.99,54.12,7025
11/12/2020,53.8,53.83,53.53,53.69,15197
14/12/2020,53.68,54.55,53.68,54.55,1685
15/12/2020,53.86,53.86,53.58,53.68,1143
16/12/2020,53.99,54.26,53.99,54.1,2484
17/12/2020,54.5,54.5,54.26,54.45,602
18/12/2020,54.64,54.64,53.97,53.97,30682
21/12/2020,53.87,53.87,53.6,53.7,1484
22/12/2020,53.75,53.77,53.26,53.26,2909
23/12/2020,53.83,53.83,53.62,53.63,1425
24/12/2020,54.12,54.14,53.94,53.94,1897
29/12/2020,54.32,54.37,54.05,54.12,1960
30/12/2020,54.1,54.12,53.74,54.12,3970
31/12/2020,53.96,53.96,53.61,53.61,1062
04/01/2021,53.97,53.97,53.34,53.8,1998
05/01/2021,53.51,54.06,53.5,53.57,3366
06/01/2021,53.57,53.57,53,53.07,8288
07/01/2021,53.5,53.72,53.46,53.65,1395
08/01/2021,53.85,53.85,53.64,53.7,611
11/01/2021,53.86,53.86,53.32,53.36,15461
12/01/2021,53.42,53.5,53.3,53.3,2680
13/01/2021,53.08,53.11,53,53,658
14/01/2021,53.24,53.51,53.15,53.51,929
15/01/2021,53.57,53.72,53.45,53.57,227
18/01/2021,53.44,53.46,53.12,53.19,3622
19/01/2021,53.44,53.88,53.44,53.87,4687
20/01/2021,54,54.15,54,54.15,6213
21/01/2021,54.2,55,54.2,54.44,21588
22/01/2021,54.56,54.56,54.35,54.35,4848
25/01/2021,54.49,54.61,54.45,54.49,1013
27/01/2021,55.28,55.28,54.24,54.25,3712
28/01/2021,53.61,53.61,52.82,53.23,4519
29/01/2021,53.88,53.89,52.99,53.04,8739
01/02/2021,52.84,53.2,52.31,53.2,2002
02/02/2021,54.01,54.13,54.01,54.13,246
03/02/2021,55,55.31,54.71,54.79,1385
04/02/2021,54.8,54.8,54.27,54.31,729
05/02/2021,54.81,54.97,54.73,54.95,7444
08/02/2021,55.03,55.35,55.03,55.33,726
09/02/2021,55.15,55.27,54.8,54.87,2246
10/02/2021,54.93,55,54.8,54.91,1576
11/02/2021,55,55,54.8,54.94,5562
12/02/2021,54.88,54.95,54.63,54.63,1759
15/02/2021,54.92,55.24,54.81,55.2,3896
16/02/2021,55.38,55.42,55.21,55.4,13574
17/02/2021,55.48,55.48,55.01,55.12,2939
18/02/2021,55.31,55.31,55.15,55.15,1500
19/02/2021,55.03,55.09,54.3,54.48,3290
22/02/2021,54.5,54.65,54.3,54.42,1007
23/02/2021,54.94,54.94,54.1,54.44,2520
24/02/2021,55,55,54.1,54.12,11533
25/02/2021,54.6,54.75,54.43,54.55,2503
26/02/2021,53.78,53.78,53.07,53.4,8352
01/03/2021,55,55,53.56,54.13,8504
02/03/2021,54.71,54.71,54.13,54.13,4082
03/03/2021,54.04,54.4,54.04,54.4,1200
04/03/2021,54.79,54.79,53.79,54.03,6777
05/03/2021,53.83,53.83,53.27,53.56,4515
08/03/2021,54.43,54.48,53.76,53.76,2093
09/03/2021,54,54.76,53.9,54.04,3501
10/03/2021,55.2,55.2,54,54,3599
11/03/2021,54.32,54.32,53.4,53.76,6270
12/03/2021,54.34,54.52,54.24,54.25,5566
15/03/2021,54.5,54.5,54.08,54.21,10989
16/03/2021,54.52,55.16,54.5,55.13,4494
17/03/2021,55.25,55.25,54.55,54.64,6316
18/03/2021,55.15,55.15,54.4,54.4,1469
19/03/2021,54.17,54.32,53.99,54.26,2746
22/03/2021,54.84,54.97,54,54.52,1831
23/03/2021,54.53,54.7,54.48,54.5,2944
24/03/2021,55,55,54.61,54.76,11257
25/03/2021,54.68,54.85,54.68,54.72,1202
26/03/2021,55.02,55.17,55,55.06,11547
29/03/2021,55.48,55.48,54.8,54.92,5543
30/03/2021,55.3,55.3,54.47,54.47,6652
31/03/2021,55.45,55.45,54.89,54.99,4031
01/04/2021,55,55,54.45,54.74,5860
06/04/2021,56,56,55.1,55.28,11242
07/04/2021,55.2,55.68,55.2,55.59,721
08/04/2021,56.1,56.19,56,56.14,4146
09/04/2021,56.56,56.56,55.96,56.23,123956
12/04/2021,56.97,56.97,55.98,56.11,16647
13/04/2021,56.9,56.9,56.1,56.1,6393
14/04/2021,56.39,56.7,56.38,56.68,102873
15/04/2021,57.25,57.25,56.28,56.8,9338
16/04/2021,57,57,56.67,56.73,4555
19/04/2021,57.82,57.82,57.01,57.05,7760
20/04/2021,57.55,57.55,56.55,56.55,3793
21/04/2021,56.61,56.61,55.76,56.3,5724
22/04/2021,57,57,56.44,56.85,4580
23/04/2021,57,57,56.8,56.96,3451
26/04/2021,57,57,56.89,56.89,4976
27/04/2021,57,57,56.47,56.6,8971
28/04/2021,57,57,56.6,56.86,2500
29/04/2021,57.86,57.86,56.97,57.1,116212
30/04/2021,57.74,57.76,56.6,56.6,3080
03/05/2021,56.98,57.09,56.8,56.89,50493
04/05/2021,57.45,57.45,56.78,56.96,3231
05/05/2021,57.01,58,56.9,57.15,2489
06/05/2021,57.25,57.36,56.6,56.6,5441
07/05/2021,57,57.03,56.61,56.91,2414
10/05/2021,57.02,57.53,57,57.48,14422
11/05/2021,57.75,57.75,56.85,56.96,4233
12/05/2021,57.41,57.41,56.25,56.48,7857
13/05/2021,56.48,56.48,56.17,56.17,20733
14/05/2021,56.62,56.8,56.5,56.5,29906
17/05/2021,57.45,57.45,56.53,56.67,4754
18/05/2021,56.75,57.76,56.74,56.88,2432
19/05/2021,56.88,57,55.74,55.76,14033
20/05/2021,56.64,56.72,56.03,56.65,61610
21/05/2021,57.01,57.91,56.69,56.83,155543
24/05/2021,56.9,57.11,56.75,57.06,10579
25/05/2021,57.17,57.59,57.17,57.59,4741
26/05/2021,57.59,57.9,57.59,57.72,9086
27/05/2021,58.39,58.39,57.5,57.71,1144
28/05/2021,58.77,58.77,58,58.19,1663
31/05/2021,59.97,59.97,58.05,58.13,10324
01/06/2021,58.75,58.75,57.69,57.95,21438
02/06/2021,58.77,58.8,57.94,58.3,5629
03/06/2021,58.41,58.78,58.31,58.64,5352
04/06/2021,58.65,58.99,58.55,58.99,7830
07/06/2021,59.1,59.1,58.7,58.85,2379
08/06/2021,58.9,59.76,58.78,58.93,3038
09/06/2021,59.04,59.6,58.76,58.78,10544
10/06/2021,59,59.15,58.8,59.04,4852
11/06/2021,59.6,59.63,58.9,59.25,5982
15/06/2021,63.5,63.5,59.47,59.74,30895
16/06/2021,59.85,59.86,59.67,59.73,7551
17/06/2021,59.84,59.84,59.47,59.62,9310
18/06/2021,59.74,60.03,59.6,59.9,16949
21/06/2021,59.04,59.48,58.6,58.76,11646
22/06/2021,59.48,59.65,59.36,59.63,2893
23/06/2021,60,60.12,59.12,59.12,9824
24/06/2021,59.21,59.21,58.69,58.69,4083
25/06/2021,59.12,59.21,58.94,59.2,2744
28/06/2021,59,59.03,58.76,59.01,10941
29/06/2021,58.87,58.87,58.62,58.84,2208
30/06/2021,59.56,59.62,59.31,59.38,7996
