Date,Open,High,Low,Close,Volume
11/10/2005,0.225,0.225,0.19,0.19,4424000
12/10/2005,0.195,0.2,0.18,0.2,2002551
13/10/2005,0.195,0.2,0.195,0.2,1011001
14/10/2005,0.205,0.21,0.2,0.2,1665300
17/10/2005,0.2,0.2,0.2,0.2,359250
18/10/2005,0.195,0.195,0.19,0.195,413500
19/10/2005,0.195,0.195,0.185,0.195,187637
20/10/2005,0.195,0.195,0.195,0.195,0
21/10/2005,0.175,0.18,0.175,0.18,44000
24/10/2005,0.175,0.18,0.175,0.18,65333
25/10/2005,0.175,0.175,0.17,0.175,44000
26/10/2005,0.18,0.18,0.18,0.18,10000
27/10/2005,0.18,0.18,0.18,0.18,115167
28/10/2005,0.18,0.18,0.18,0.18,0
31/10/2005,0.18,0.19,0.18,0.185,254833
01/11/2005,0.185,0.185,0.185,0.185,170000
02/11/2005,0.185,0.19,0.185,0.19,25167
03/11/2005,0.19,0.19,0.185,0.19,190000
04/11/2005,0.19,0.19,0.19,0.19,274288
07/11/2005,0.19,0.19,0.19,0.19,60712
08/11/2005,0.185,0.19,0.185,0.185,323777
09/11/2005,0.185,0.185,0.185,0.185,13757
10/11/2005,0.185,0.185,0.18,0.18,68450
11/11/2005,0.18,0.185,0.18,0.185,300793
14/11/2005,0.18,0.19,0.175,0.18,680000
15/11/2005,0.185,0.185,0.185,0.185,140600
16/11/2005,0.18,0.185,0.18,0.185,133000
17/11/2005,0.18,0.185,0.175,0.175,354207
18/11/2005,0.175,0.175,0.16,0.17,86000
21/11/2005,0.175,0.175,0.175,0.175,231500
22/11/2005,0.175,0.185,0.175,0.18,184500
23/11/2005,0.175,0.175,0.17,0.17,277500
24/11/2005,0.17,0.175,0.165,0.165,85000
25/11/2005,0.165,0.17,0.165,0.17,65000
28/11/2005,0.155,0.155,0.15,0.15,140000
29/11/2005,0.155,0.17,0.155,0.17,67500
30/11/2005,0.15,0.15,0.15,0.15,203000
01/12/2005,0.15,0.15,0.15,0.15,40000
02/12/2005,0.15,0.15,0.15,0.15,111250
05/12/2005,0.15,0.15,0.14,0.14,346000
06/12/2005,0.16,0.16,0.16,0.16,30000
07/12/2005,0.16,0.16,0.155,0.155,40000
08/12/2005,0.15,0.155,0.15,0.155,80000
09/12/2005,0.16,0.16,0.15,0.15,80000
12/12/2005,0.155,0.16,0.155,0.16,148000
13/12/2005,0.155,0.155,0.155,0.155,30000
14/12/2005,0.155,0.155,0.155,0.155,57000
15/12/2005,0.155,0.155,0.155,0.155,25000
16/12/2005,0.155,0.155,0.155,0.155,0
19/12/2005,0.15,0.15,0.15,0.15,40000
20/12/2005,0.155,0.16,0.155,0.16,25000
21/12/2005,0.155,0.155,0.155,0.155,3350
22/12/2005,0.16,0.16,0.16,0.16,76000
23/12/2005,0.16,0.165,0.16,0.165,170769
28/12/2005,0.17,0.17,0.17,0.17,6000
29/12/2005,0.17,0.17,0.17,0.17,0
30/12/2005,0.165,0.165,0.16,0.16,191142
03/01/2006,0.16,0.165,0.16,0.165,209500
04/01/2006,0.165,0.165,0.165,0.165,24000
05/01/2006,0.16,0.16,0.16,0.16,235000
06/01/2006,0.16,0.16,0.16,0.16,0
09/01/2006,0.165,0.165,0.16,0.16,98589
10/01/2006,0.155,0.155,0.155,0.155,130950
11/01/2006,0.155,0.155,0.155,0.155,22461
12/01/2006,0.155,0.16,0.155,0.155,242500
13/01/2006,0.155,0.155,0.15,0.15,109039
16/01/2006,0.155,0.16,0.155,0.155,223319
17/01/2006,0.16,0.165,0.16,0.165,149461
18/01/2006,0.17,0.185,0.17,0.17,229000
19/01/2006,0.17,0.175,0.17,0.17,117150
20/01/2006,0.17,0.17,0.17,0.17,0
23/01/2006,0.165,0.185,0.165,0.18,488950
24/01/2006,0.17,0.17,0.17,0.17,97450
25/01/2006,0.175,0.175,0.175,0.175,415000
27/01/2006,0.18,0.18,0.175,0.175,34550
30/01/2006,0.175,0.18,0.175,0.18,146450
31/01/2006,0.18,0.18,0.17,0.175,218550
01/02/2006,0.17,0.17,0.16,0.16,86450
02/02/2006,0.165,0.165,0.165,0.165,130000
03/02/2006,0.175,0.175,0.175,0.175,5000
06/02/2006,0.175,0.175,0.175,0.175,0
07/02/2006,0.175,0.175,0.175,0.175,0
08/02/2006,0.16,0.16,0.16,0.16,82050
09/02/2006,0.155,0.155,0.15,0.15,49681
10/02/2006,0.15,0.15,0.14,0.15,67950
13/02/2006,0.155,0.155,0.155,0.155,5319
14/02/2006,0.17,0.17,0.17,0.17,44681
15/02/2006,0.17,0.17,0.17,0.17,0
16/02/2006,0.17,0.17,0.17,0.17,0
17/02/2006,0.17,0.17,0.17,0.17,0
20/02/2006,0.17,0.17,0.17,0.17,0
21/02/2006,0.17,0.17,0.17,0.17,0
22/02/2006,0.16,0.16,0.16,0.16,50000
23/02/2006,0.15,0.15,0.15,0.15,350000
24/02/2006,0.15,0.15,0.15,0.15,0
27/02/2006,0.155,0.155,0.155,0.155,60000
28/02/2006,0.16,0.175,0.155,0.17,570769
01/03/2006,0.17,0.175,0.17,0.175,116181
02/03/2006,0.17,0.17,0.16,0.16,60000
03/03/2006,0.16,0.16,0.16,0.16,0
06/03/2006,0.16,0.16,0.16,0.16,0
07/03/2006,0.165,0.17,0.165,0.17,60000
08/03/2006,0.16,0.16,0.16,0.16,19999
09/03/2006,0.16,0.16,0.155,0.155,128426
10/03/2006,0.15,0.15,0.15,0.15,10000
13/03/2006,0.15,0.16,0.15,0.16,21249
14/03/2006,0.16,0.16,0.16,0.16,18000
15/03/2006,0.16,0.16,0.16,0.16,10000
16/03/2006,0.16,0.16,0.16,0.16,0
17/03/2006,0.16,0.16,0.16,0.16,0
20/03/2006,0.15,0.15,0.15,0.15,50000
21/03/2006,0.15,0.155,0.145,0.15,218517
22/03/2006,0.16,0.16,0.16,0.16,100000
23/03/2006,0.16,0.16,0.16,0.16,108000
24/03/2006,0.165,0.165,0.165,0.165,200000
27/03/2006,0.17,0.17,0.165,0.165,424516
28/03/2006,0.17,0.17,0.17,0.17,150000
29/03/2006,0.17,0.17,0.17,0.17,211000
30/03/2006,0.175,0.175,0.17,0.17,57031
31/03/2006,0.17,0.17,0.17,0.17,175000
03/04/2006,0.17,0.17,0.17,0.17,0
04/04/2006,0.17,0.17,0.16,0.165,308000
