Date,Open,High,Low,Close,Volume
03/11/2017,0.35,0.42,0.35,0.395,3106773
06/11/2017,0.42,0.42,0.335,0.345,1459661
07/11/2017,0.345,0.385,0.33,0.35,456754
08/11/2017,0.37,0.42,0.36,0.365,740198
09/11/2017,0.375,0.45,0.375,0.41,1597718
10/11/2017,0.47,0.54,0.45,0.54,1876274
13/11/2017,0.54,0.54,0.475,0.475,515754
14/11/2017,0.5,0.515,0.455,0.465,586879
15/11/2017,0.465,0.465,0.42,0.42,604446
16/11/2017,0.35,0.4,0.35,0.37,405451
17/11/2017,0.385,0.42,0.35,0.355,467532
20/11/2017,0.355,0.355,0.305,0.315,324060
21/11/2017,0.32,0.34,0.315,0.33,258985
22/11/2017,0.325,0.325,0.3,0.325,166386
23/11/2017,0.325,0.325,0.325,0.325,0
24/11/2017,0.42,0.48,0.34,0.365,1994891
27/11/2017,0.34,0.34,0.285,0.285,812337
28/11/2017,0.3,0.3,0.27,0.285,184569
29/11/2017,0.27,0.295,0.265,0.295,90000
30/11/2017,0.29,0.3,0.29,0.29,163000
01/12/2017,0.29,0.31,0.29,0.305,233674
04/12/2017,0.3,0.31,0.295,0.295,123090
05/12/2017,0.3,0.32,0.295,0.295,61402
06/12/2017,0.29,0.29,0.29,0.29,70000
07/12/2017,0.305,0.305,0.29,0.29,56609
08/12/2017,0.29,0.29,0.28,0.29,61320
11/12/2017,0.28,0.28,0.255,0.27,135058
12/12/2017,0.28,0.28,0.27,0.27,125000
13/12/2017,0.27,0.27,0.24,0.24,249262
14/12/2017,0.22,0.22,0.22,0.22,59484
15/12/2017,0.22,0.23,0.22,0.23,32142
18/12/2017,0.23,0.23,0.22,0.23,100000
19/12/2017,0.205,0.205,0.205,0.205,4400
20/12/2017,0.23,0.24,0.23,0.24,2000
21/12/2017,0.24,0.265,0.24,0.265,102507
22/12/2017,0.26,0.26,0.26,0.26,3700
27/12/2017,0.26,0.26,0.26,0.26,0
28/12/2017,0.26,0.26,0.26,0.26,0
29/12/2017,0.245,0.245,0.245,0.245,5940
02/01/2018,0.245,0.245,0.245,0.245,41000
03/01/2018,0.245,0.245,0.245,0.245,50000
04/01/2018,0.22,0.24,0.22,0.24,185621
05/01/2018,0.25,0.29,0.25,0.28,250700
08/01/2018,0.26,0.26,0.245,0.245,374034
09/01/2018,0.25,0.27,0.25,0.27,179566
10/01/2018,0.28,0.28,0.28,0.28,16219
11/01/2018,0.28,0.285,0.28,0.285,99768
12/01/2018,0.3,0.3,0.28,0.28,347550
15/01/2018,0.3,0.3,0.3,0.3,128000
16/01/2018,0.32,0.33,0.275,0.275,329461
17/01/2018,0.28,0.28,0.28,0.28,18000
18/01/2018,0.275,0.285,0.26,0.275,270000
19/01/2018,0.285,0.3,0.285,0.29,114808
22/01/2018,0.3,0.3,0.28,0.28,84500
23/01/2018,0.27,0.27,0.27,0.27,5000
24/01/2018,0.28,0.28,0.275,0.275,97043
25/01/2018,0.28,0.3,0.28,0.285,151500
29/01/2018,0.3,0.31,0.3,0.31,60071
30/01/2018,0.31,0.31,0.305,0.31,48518
31/01/2018,0.31,0.33,0.31,0.31,97173
01/02/2018,0.31,0.32,0.31,0.315,30000
02/02/2018,0.315,0.315,0.315,0.315,21927
05/02/2018,0.32,0.325,0.305,0.305,31000
06/02/2018,0.305,0.305,0.255,0.255,231641
07/02/2018,0.275,0.3,0.275,0.3,205000
08/02/2018,0.29,0.3,0.27,0.28,223700
09/02/2018,0.265,0.28,0.26,0.27,272850
12/02/2018,0.28,0.28,0.28,0.28,112717
13/02/2018,0.28,0.29,0.28,0.29,82985
14/02/2018,0.295,0.305,0.29,0.3,215729
15/02/2018,0.29,0.31,0.29,0.31,88350
16/02/2018,0.31,0.37,0.31,0.365,763242
19/02/2018,0.355,0.36,0.345,0.36,162222
20/02/2018,0.35,0.36,0.345,0.355,109844
21/02/2018,0.35,0.35,0.295,0.32,578973
22/02/2018,0.32,0.325,0.32,0.32,32500
23/02/2018,0.32,0.36,0.32,0.36,259227
26/02/2018,0.36,0.36,0.33,0.33,98927
27/02/2018,0.35,0.36,0.34,0.35,351616
28/02/2018,0.355,0.41,0.355,0.385,643897
01/03/2018,0.375,0.375,0.325,0.36,60848
02/03/2018,0.37,0.395,0.37,0.38,233560
05/03/2018,0.39,0.405,0.36,0.36,152221
06/03/2018,0.38,0.405,0.38,0.38,202140
07/03/2018,0.38,0.39,0.38,0.39,155961
08/03/2018,0.38,0.38,0.37,0.37,49634
09/03/2018,0.37,0.39,0.37,0.39,124805
12/03/2018,0.39,0.39,0.355,0.37,111017
13/03/2018,0.37,0.37,0.37,0.37,25000
14/03/2018,0.375,0.435,0.375,0.43,651532
15/03/2018,0.43,0.45,0.42,0.435,210841
16/03/2018,0.435,0.45,0.43,0.44,137289
19/03/2018,0.44,0.47,0.44,0.47,135057
20/03/2018,0.47,0.47,0.47,0.47,0
21/03/2018,0.47,0.47,0.47,0.47,0
22/03/2018,0.8,0.875,0.63,0.67,4207648
23/03/2018,0.6,0.66,0.6,0.66,674163
26/03/2018,0.695,0.73,0.67,0.675,924511
27/03/2018,0.705,0.79,0.7,0.785,543250
28/03/2018,0.78,0.78,0.72,0.74,365671
29/03/2018,0.74,0.94,0.67,0.9,1260823
03/04/2018,0.865,0.89,0.795,0.795,349829
04/04/2018,0.8,0.84,0.795,0.81,391180
05/04/2018,0.825,0.985,0.8,0.985,603054
06/04/2018,0.965,0.965,0.83,0.905,742072
09/04/2018,0.935,0.935,0.845,0.87,184195
10/04/2018,0.9,0.905,0.85,0.865,188437
11/04/2018,0.885,0.885,0.82,0.82,203332
12/04/2018,0.83,0.84,0.81,0.825,307123
13/04/2018,0.83,0.885,0.81,0.835,223871
