Date,Open,High,Low,Close,Volume
14/12/2007,0.205,0.22,0.18,0.22,1531000
17/12/2007,0.205,0.205,0.175,0.185,419000
18/12/2007,0.185,0.185,0.185,0.185,10000
19/12/2007,0.185,0.19,0.155,0.155,484250
20/12/2007,0.15,0.185,0.15,0.175,260000
21/12/2007,0.175,0.175,0.165,0.175,327000
24/12/2007,0.18,0.19,0.18,0.19,825000
27/12/2007,0.18,0.185,0.18,0.18,235400
28/12/2007,0.16,0.16,0.16,0.16,80000
31/12/2007,0.17,0.17,0.17,0.17,230000
02/01/2008,0.17,0.17,0.165,0.165,54217
03/01/2008,0.165,0.175,0.165,0.175,30783
04/01/2008,0.18,0.19,0.18,0.19,99600
07/01/2008,0.19,0.19,0.19,0.19,10000
08/01/2008,0.18,0.185,0.175,0.18,217000
09/01/2008,0.18,0.18,0.16,0.17,489117
10/01/2008,0.17,0.18,0.16,0.16,145883
11/01/2008,0.19,0.19,0.13,0.13,53088
14/01/2008,0.14,0.14,0.14,0.14,1200
15/01/2008,0.15,0.17,0.14,0.14,159500
16/01/2008,0.15,0.165,0.15,0.15,301100
17/01/2008,0.16,0.16,0.145,0.145,112658
18/01/2008,0.145,0.145,0.135,0.135,130000
21/01/2008,0.16,0.16,0.16,0.16,10000
22/01/2008,0.15,0.15,0.125,0.125,29000
23/01/2008,0.14,0.14,0.13,0.13,106000
24/01/2008,0.13,0.13,0.13,0.13,0
25/01/2008,0.145,0.145,0.14,0.14,40000
29/01/2008,0.13,0.13,0.12,0.125,180001
30/01/2008,0.13,0.14,0.13,0.14,148460
31/01/2008,0.13,0.13,0.12,0.125,56540
01/02/2008,0.13,0.145,0.13,0.145,20500
04/02/2008,0.13,0.13,0.13,0.13,53100
05/02/2008,0.135,0.135,0.135,0.135,18000
06/02/2008,0.12,0.12,0.12,0.12,9200
07/02/2008,0.11,0.11,0.11,0.11,10800
08/02/2008,0.11,0.11,0.1,0.1,176660
11/02/2008,0.125,0.125,0.095,0.115,177000
12/02/2008,0.115,0.125,0.115,0.125,10000
13/02/2008,0.11,0.11,0.11,0.11,15000
14/02/2008,0.11,0.11,0.11,0.11,0
15/02/2008,0.12,0.12,0.12,0.12,34340
18/02/2008,0.12,0.12,0.12,0.12,0
19/02/2008,0.145,0.145,0.145,0.145,8000
20/02/2008,0.12,0.12,0.11,0.11,45000
21/02/2008,0.12,0.12,0.115,0.12,110000
22/02/2008,0.12,0.12,0.12,0.12,15000
25/02/2008,0.12,0.12,0.12,0.12,0
26/02/2008,0.12,0.12,0.12,0.12,5000
27/02/2008,0.12,0.12,0.12,0.12,40000
28/02/2008,0.11,0.11,0.1,0.1,250000
29/02/2008,0.1,0.1,0.1,0.1,0
03/03/2008,0.105,0.115,0.1,0.1,96001
04/03/2008,0.1,0.1,0.1,0.1,100000
05/03/2008,0.11,0.11,0.11,0.11,131249
06/03/2008,0.11,0.11,0.11,0.11,20000
07/03/2008,0.11,0.11,0.1,0.1,30638
10/03/2008,0.115,0.115,0.105,0.105,20000
11/03/2008,0.105,0.105,0.105,0.105,56000
12/03/2008,0.115,0.12,0.115,0.12,15750
13/03/2008,0.115,0.12,0.115,0.12,217200
14/03/2008,0.12,0.12,0.12,0.12,0
17/03/2008,0.115,0.12,0.1,0.12,82057
18/03/2008,0.12,0.13,0.12,0.12,80000
19/03/2008,0.12,0.12,0.12,0.12,0
20/03/2008,0.12,0.12,0.12,0.12,20000
25/03/2008,0.125,0.125,0.125,0.125,24000
26/03/2008,0.125,0.125,0.125,0.125,0
27/03/2008,0.115,0.115,0.115,0.115,1000
28/03/2008,0.115,0.115,0.115,0.115,50000
31/03/2008,0.125,0.125,0.125,0.125,92000
01/04/2008,0.125,0.125,0.125,0.125,0
02/04/2008,0.115,0.115,0.115,0.115,100000
03/04/2008,0.115,0.115,0.115,0.115,0
04/04/2008,0.115,0.115,0.115,0.115,0
07/04/2008,0.115,0.115,0.115,0.115,0
08/04/2008,0.115,0.115,0.115,0.115,0
09/04/2008,0.115,0.115,0.115,0.115,45956
10/04/2008,0.115,0.115,0.115,0.115,0
11/04/2008,0.115,0.115,0.115,0.115,16650
14/04/2008,0.115,0.115,0.115,0.115,0
15/04/2008,0.12,0.12,0.105,0.11,72953
16/04/2008,0.11,0.11,0.11,0.11,100941
17/04/2008,0.11,0.11,0.11,0.11,50322
18/04/2008,0.11,0.11,0.11,0.11,0
21/04/2008,0.11,0.11,0.11,0.11,95500
22/04/2008,0.11,0.11,0.11,0.11,0
23/04/2008,0.11,0.11,0.11,0.11,0
24/04/2008,0.11,0.125,0.11,0.125,168356
28/04/2008,0.125,0.125,0.11,0.11,57334
29/04/2008,0.12,0.12,0.12,0.12,26250
30/04/2008,0.145,0.145,0.13,0.135,340000
01/05/2008,0.14,0.15,0.14,0.145,122500
02/05/2008,0.15,0.15,0.135,0.15,215000
05/05/2008,0.15,0.15,0.15,0.15,19000
06/05/2008,0.14,0.14,0.13,0.135,183700
07/05/2008,0.135,0.135,0.135,0.135,6904
08/05/2008,0.13,0.13,0.115,0.115,69990
09/05/2008,0.115,0.115,0.115,0.115,0
12/05/2008,0.115,0.115,0.115,0.115,0
13/05/2008,0.12,0.12,0.12,0.12,103125
14/05/2008,0.12,0.12,0.115,0.115,150000
15/05/2008,0.115,0.115,0.115,0.115,0
16/05/2008,0.115,0.115,0.115,0.115,0
19/05/2008,0.12,0.13,0.12,0.13,280000
20/05/2008,0.12,0.13,0.12,0.13,110000
21/05/2008,0.13,0.13,0.13,0.13,14796
22/05/2008,0.13,0.13,0.13,0.13,0
23/05/2008,0.13,0.13,0.13,0.13,0
26/05/2008,0.13,0.13,0.13,0.13,0
27/05/2008,0.125,0.125,0.125,0.125,40000
28/05/2008,0.125,0.125,0.125,0.125,0
29/05/2008,0.12,0.12,0.115,0.115,129404
30/05/2008,0.115,0.115,0.115,0.115,0
02/06/2008,0.105,0.105,0.105,0.105,25690
03/06/2008,0.105,0.105,0.105,0.105,0
04/06/2008,0.12,0.12,0.12,0.12,30596
