Date,Open,High,Low,Close,Volume
28/06/2012,1.5,1.7,1.34,1.34,288441
29/06/2012,1.38,1.38,1.255,1.255,92883
02/07/2012,1.3,1.3,1.255,1.255,65702
03/07/2012,1.25,1.27,1.245,1.245,40561
04/07/2012,1.21,1.21,1.15,1.2,130590
05/07/2012,1.2,1.24,1.16,1.18,86417
06/07/2012,1.18,1.18,1.13,1.13,95808
09/07/2012,1.13,1.13,0.99,1,251470
10/07/2012,1.025,1.05,1.02,1.02,126278
11/07/2012,1.01,1.045,0.995,1.015,222341
12/07/2012,1.01,1.015,0.89,0.945,394612
13/07/2012,0.94,0.94,0.85,0.87,568888
16/07/2012,0.88,0.91,0.88,0.9,83063
17/07/2012,0.9,0.9,0.87,0.87,98496
18/07/2012,0.885,0.885,0.835,0.86,69390
19/07/2012,0.85,0.865,0.82,0.86,188331
20/07/2012,0.87,0.87,0.82,0.83,326104
23/07/2012,0.85,0.85,0.8,0.83,169043
24/07/2012,0.855,0.855,0.81,0.82,192320
25/07/2012,0.84,0.84,0.81,0.81,109543
26/07/2012,0.81,0.825,0.8,0.8,125966
27/07/2012,0.825,0.86,0.805,0.815,188994
30/07/2012,0.82,0.84,0.815,0.82,203339
31/07/2012,0.835,0.835,0.815,0.835,169543
01/08/2012,0.835,0.88,0.83,0.85,246459
02/08/2012,0.88,0.9,0.88,0.89,275368
03/08/2012,0.89,0.91,0.885,0.9,43004
06/08/2012,0.91,0.94,0.91,0.94,62638
07/08/2012,0.95,1.045,0.95,1,609782
08/08/2012,1,1.06,1,1.045,225314
09/08/2012,1.045,1.05,1.015,1.05,928143
10/08/2012,1.05,1.075,1.05,1.07,133026
13/08/2012,1.07,1.13,1.07,1.11,2399277
14/08/2012,1.14,1.15,1.11,1.13,274899
15/08/2012,1.11,1.14,1.11,1.115,75365
16/08/2012,1.115,1.14,1.11,1.11,25502
17/08/2012,1.115,1.15,1.115,1.15,536425
20/08/2012,1.2,1.22,1.15,1.17,460492
21/08/2012,1.16,1.195,1.16,1.175,183991
22/08/2012,1.2,1.2,1.16,1.175,473267
23/08/2012,1.195,1.195,1.16,1.16,192824
24/08/2012,1.16,1.18,1.1,1.11,496212
27/08/2012,1.12,1.16,1.11,1.155,323129
28/08/2012,1.17,1.18,1.15,1.18,398609
29/08/2012,1.16,1.16,1.13,1.13,31008
30/08/2012,1.125,1.125,1.035,1.045,148842
31/08/2012,1.04,1.05,0.97,1.05,464236
03/09/2012,1.015,1.07,1,1.05,112091
