Date,Open,High,Low,Close,Volume
08/12/2020,1.32,1.32,1.05,1.05,3664374
09/12/2020,1.12,1.195,1.11,1.155,1969104
10/12/2020,1.15,1.18,1.09,1.1,508387
11/12/2020,1.12,1.15,1.04,1.08,422264
14/12/2020,1.09,1.12,1,1.02,396891
15/12/2020,1.03,1.04,0.975,1.04,418928
16/12/2020,1.06,1.06,0.985,0.99,119220
17/12/2020,0.995,1.015,0.99,0.99,128659
18/12/2020,1.01,1.01,0.97,0.97,101584
21/12/2020,0.98,1.01,0.955,0.955,107624
22/12/2020,0.955,0.975,0.945,0.945,42706
23/12/2020,0.95,1,0.95,0.99,174442
24/12/2020,0.975,1.03,0.975,1.03,80510
29/12/2020,1.025,1.05,1,1,40976
30/12/2020,1,1.045,1,1.045,37271
31/12/2020,1.045,1.045,1.04,1.04,2940
04/01/2021,1.04,1.045,1.01,1.02,50566
05/01/2021,1.01,1.04,1,1.02,78248
06/01/2021,1,1.05,0.99,0.99,170605
07/01/2021,0.98,1.005,0.98,0.985,33176
08/01/2021,1,1,0.99,0.99,11810
11/01/2021,0.99,1,0.975,0.98,83115
12/01/2021,0.98,0.98,0.95,0.955,83399
13/01/2021,0.975,1,0.955,0.955,22530
14/01/2021,0.98,1.01,0.955,0.955,41833
15/01/2021,0.955,1.005,0.95,0.96,38600
18/01/2021,0.96,0.975,0.95,0.95,40780
19/01/2021,0.95,0.97,0.95,0.95,33398
20/01/2021,0.95,0.95,0.905,0.925,149047
21/01/2021,0.925,0.99,0.925,0.99,102537
22/01/2021,0.99,0.995,0.915,0.995,103580
25/01/2021,1,1.165,0.99,1.155,506249
27/01/2021,1.16,1.19,1.08,1.09,498156
28/01/2021,1.1,1.145,1.08,1.105,108660
29/01/2021,1.125,1.14,1.08,1.085,76612
01/02/2021,1.07,1.07,1,1.05,201009
02/02/2021,1.05,1.13,1.05,1.1,228775
03/02/2021,1.11,1.11,1.05,1.05,35441
04/02/2021,1.1,1.1,1.075,1.1,94178
05/02/2021,1.11,1.115,1.06,1.08,59003
08/02/2021,1.105,1.105,1.055,1.06,98459
09/02/2021,1.06,1.0725,1.005,1.005,230726
10/02/2021,1.01,1.05,1,1.01,80477
11/02/2021,1.04,1.04,0.98,0.99,148509
12/02/2021,0.99,1.045,0.98,0.99,52613
15/02/2021,1.045,1.045,0.97,0.97,142891
16/02/2021,1.035,1.035,0.95,0.965,210874
17/02/2021,0.96,1,0.955,0.965,107466
18/02/2021,0.96,0.975,0.945,0.945,67966
19/02/2021,0.945,0.945,0.87,0.93,786073
22/02/2021,0.93,0.93,0.915,0.92,74744
23/02/2021,0.925,0.975,0.92,0.94,211192
24/02/2021,0.94,0.955,0.94,0.955,115401
25/02/2021,0.97,0.98,0.9,0.9,181908
26/02/2021,0.885,0.93,0.88,0.88,107554
01/03/2021,0.91,0.91,0.87,0.875,53409
02/03/2021,0.875,0.885,0.87,0.87,66682
03/03/2021,0.85,0.88,0.85,0.855,84564
04/03/2021,0.845,0.865,0.815,0.84,130312
05/03/2021,0.855,0.855,0.795,0.795,192941
08/03/2021,0.795,0.8,0.725,0.735,134018
09/03/2021,0.73,0.73,0.65,0.7,348521
10/03/2021,0.735,0.77,0.615,0.645,642228
11/03/2021,0.645,0.695,0.635,0.68,17469
12/03/2021,0.7,0.735,0.68,0.7,109954
15/03/2021,0.715,0.76,0.715,0.725,48522
16/03/2021,0.745,0.76,0.72,0.73,95215
17/03/2021,0.73,0.775,0.73,0.755,103004
18/03/2021,0.76,0.78,0.755,0.755,44133
19/03/2021,0.74,0.76,0.74,0.75,48750
22/03/2021,0.75,0.76,0.725,0.725,362987
23/03/2021,0.725,0.725,0.72,0.7225,67557
24/03/2021,0.72,0.73,0.72,0.725,52786
25/03/2021,0.725,0.725,0.66,0.66,311806
26/03/2021,0.705,0.705,0.665,0.665,157374
29/03/2021,0.675,0.675,0.65,0.65,106114
30/03/2021,0.68,0.68,0.655,0.66,50891
31/03/2021,0.66,0.66,0.635,0.635,190964
01/04/2021,0.645,0.645,0.615,0.615,146600
06/04/2021,0.635,0.635,0.615,0.63,131208
07/04/2021,0.615,0.6225,0.615,0.615,78962
08/04/2021,0.62,0.62,0.615,0.615,67967
09/04/2021,0.615,0.6175,0.615,0.6175,53732
12/04/2021,0.615,0.6175,0.615,0.6175,100277
13/04/2021,0.615,0.62,0.61,0.615,72538
14/04/2021,0.62,0.66,0.615,0.6275,680012
15/04/2021,0.635,0.665,0.635,0.64,374162
16/04/2021,0.64,0.67,0.64,0.655,639088
19/04/2021,0.67,0.695,0.655,0.69,344568
20/04/2021,0.695,0.71,0.695,0.7,265217
21/04/2021,0.705,0.71,0.7,0.71,249566
22/04/2021,0.71,0.71,0.7,0.705,143604
23/04/2021,0.7,0.705,0.58,0.6,775334
26/04/2021,0.6,0.6,0.585,0.585,344031
27/04/2021,0.585,0.595,0.54,0.55,216357
28/04/2021,0.55,0.555,0.51,0.535,107273
29/04/2021,0.5425,0.5425,0.505,0.505,165830
30/04/2021,0.505,0.505,0.465,0.48,253064
03/05/2021,0.485,0.495,0.485,0.49,136085
04/05/2021,0.5,0.515,0.49,0.495,93824
05/05/2021,0.51,0.51,0.485,0.49,258898
06/05/2021,0.5,0.5,0.48,0.485,237750
07/05/2021,0.485,0.49,0.485,0.4875,73995
10/05/2021,0.49,0.5,0.47,0.47,160758
11/05/2021,0.48,0.48,0.42,0.43,163042
12/05/2021,0.44,0.44,0.4,0.4,265928
13/05/2021,0.4,0.415,0.39,0.395,179400
14/05/2021,0.395,0.405,0.38,0.39,182850
17/05/2021,0.4,0.41,0.39,0.39,294127
18/05/2021,0.395,0.4,0.39,0.4,45286
19/05/2021,0.39,0.4,0.385,0.4,116345
20/05/2021,0.4,0.4,0.375,0.375,75293
21/05/2021,0.39,0.4,0.385,0.4,80263
24/05/2021,0.42,0.48,0.42,0.48,169753
25/05/2021,0.515,0.575,0.48,0.575,523125
26/05/2021,0.58,0.58,0.505,0.56,128619
27/05/2021,0.525,0.545,0.51,0.545,98812
28/05/2021,0.51,0.535,0.47,0.51,358315
31/05/2021,0.51,0.525,0.465,0.48,140872
01/06/2021,0.49,0.495,0.47,0.47,138786
02/06/2021,0.47,0.48,0.46,0.475,53914
03/06/2021,0.49,0.49,0.435,0.46,172402
04/06/2021,0.44,0.445,0.44,0.44,59083
07/06/2021,0.44,0.48,0.44,0.455,96489
08/06/2021,0.455,0.455,0.45,0.45,92560
09/06/2021,0.45,0.47,0.43,0.45,320249
10/06/2021,0.44,0.45,0.43,0.435,273519
11/06/2021,0.44,0.44,0.43,0.43,221600
15/06/2021,0.44,0.445,0.43,0.43,253001
16/06/2021,0.45,0.45,0.43,0.43,167214
17/06/2021,0.45,0.45,0.425,0.425,321315
18/06/2021,0.44,0.445,0.43,0.445,190484
21/06/2021,0.445,0.445,0.43,0.445,113029
22/06/2021,0.45,0.45,0.42,0.425,204350
23/06/2021,0.425,0.425,0.375,0.39,616222
24/06/2021,0.395,0.42,0.395,0.41,65852
25/06/2021,0.42,0.42,0.4,0.4,228931
28/06/2021,0.41,0.45,0.405,0.43,510487
29/06/2021,0.435,0.475,0.435,0.45,404164
30/06/2021,0.45,0.495,0.45,0.485,548155
