Date,Open,High,Low,Close,Volume
28/07/2003,0.2,0.21,0.2,0.2,692450
29/07/2003,0.195,0.205,0.195,0.205,475586
30/07/2003,0.2,0.2,0.195,0.195,557620
31/07/2003,0.195,0.2,0.195,0.2,211300
01/08/2003,0.2,0.2,0.2,0.2,29500
04/08/2003,0.2,0.2,0.2,0.2,0
05/08/2003,0.2,0.205,0.195,0.195,386550
06/08/2003,0.195,0.195,0.195,0.195,10000
07/08/2003,0.195,0.195,0.19,0.19,97000
08/08/2003,0.195,0.195,0.195,0.195,1773
11/08/2003,0.195,0.195,0.195,0.195,20000
12/08/2003,0.19,0.19,0.19,0.19,70000
13/08/2003,0.19,0.19,0.19,0.19,100000
14/08/2003,0.19,0.19,0.19,0.19,12555
15/08/2003,0.19,0.19,0.19,0.19,66300
18/08/2003,0.19,0.205,0.19,0.205,140177
19/08/2003,0.21,0.21,0.205,0.205,145000
20/08/2003,0.21,0.215,0.21,0.215,75000
21/08/2003,0.21,0.22,0.21,0.22,90000
22/08/2003,0.22,0.225,0.21,0.225,100445
25/08/2003,0.225,0.225,0.225,0.225,15000
26/08/2003,0.23,0.23,0.22,0.22,409889
27/08/2003,0.225,0.23,0.21,0.22,191500
28/08/2003,0.23,0.23,0.22,0.22,98721
29/08/2003,0.225,0.225,0.225,0.225,100000
01/09/2003,0.225,0.225,0.22,0.22,108500
02/09/2003,0.21,0.21,0.21,0.21,20000
03/09/2003,0.21,0.21,0.21,0.21,0
04/09/2003,0.22,0.22,0.21,0.21,15500
05/09/2003,0.21,0.21,0.21,0.21,5279
08/09/2003,0.215,0.215,0.215,0.215,12500
09/09/2003,0.215,0.215,0.215,0.215,28000
10/09/2003,0.215,0.22,0.215,0.22,109500
11/09/2003,0.22,0.22,0.215,0.22,286409
12/09/2003,0.22,0.235,0.215,0.23,751500
15/09/2003,0.24,0.25,0.235,0.24,763835
16/09/2003,0.24,0.24,0.24,0.24,199444
17/09/2003,0.24,0.24,0.235,0.24,62350
18/09/2003,0.24,0.24,0.225,0.225,100522
19/09/2003,0.225,0.235,0.225,0.235,5593
22/09/2003,0.24,0.24,0.22,0.225,132687
23/09/2003,0.23,0.24,0.23,0.24,177595
24/09/2003,0.24,0.255,0.24,0.25,165000
25/09/2003,0.25,0.25,0.25,0.25,74000
26/09/2003,0.245,0.25,0.245,0.245,151000
29/09/2003,0.24,0.24,0.23,0.23,138903
30/09/2003,0.24,0.24,0.24,0.24,35000
01/10/2003,0.24,0.25,0.24,0.25,90000
02/10/2003,0.245,0.26,0.245,0.26,380850
03/10/2003,0.27,0.285,0.27,0.28,577717
06/10/2003,0.27,0.3,0.27,0.3,746562
07/10/2003,0.32,0.335,0.31,0.31,604000
08/10/2003,0.32,0.335,0.32,0.325,547500
09/10/2003,0.33,0.345,0.325,0.335,287405
10/10/2003,0.33,0.33,0.31,0.33,246400
13/10/2003,0.33,0.33,0.295,0.3,230533
14/10/2003,0.3,0.3,0.3,0.3,13428
15/10/2003,0.3,0.31,0.285,0.285,66500
16/10/2003,0.29,0.32,0.29,0.32,355072
17/10/2003,0.32,0.33,0.32,0.32,801108
20/10/2003,0.32,0.32,0.305,0.305,565267
21/10/2003,0.31,0.31,0.295,0.295,334102
