Date,Open,High,Low,Close,Volume
02/07/2001,0.67,0.68,0.66,0.66,210347
03/07/2001,0.651,0.72,0.651,0.72,1180621
04/07/2001,0.72,0.77,0.72,0.77,609180
05/07/2001,0.78,0.8,0.74,0.78,24161220
06/07/2001,0.76,0.77,0.75,0.75,266817
09/07/2001,0.75,0.76,0.71,0.73,596895
10/07/2001,0.74,0.74,0.72,0.72,831089
11/07/2001,0.73,0.77,0.73,0.76,653322
12/07/2001,0.78,0.78,0.76,0.78,525646
13/07/2001,0.78,0.79,0.76,0.77,288754
16/07/2001,0.78,0.79,0.75,0.75,393117
17/07/2001,0.75,0.79,0.75,0.77,1102188
18/07/2001,0.794,0.8,0.78,0.79,352776
19/07/2001,0.79,0.79,0.78,0.79,865241
20/07/2001,0.79,0.79,0.76,0.77,884193
23/07/2001,0.775,0.79,0.76,0.78,519824
24/07/2001,0.77,0.77,0.74,0.74,294420
25/07/2001,0.74,0.74,0.72,0.74,985201
26/07/2001,0.74,0.78,0.74,0.76,784536
27/07/2001,0.76,0.77,0.76,0.76,784357
30/07/2001,0.76,0.78,0.76,0.76,160377
31/07/2001,0.76,0.77,0.75,0.75,549657
01/08/2001,0.76,0.77,0.75,0.76,1996283
02/08/2001,0.77,0.77,0.75,0.75,381559
03/08/2001,0.76,0.76,0.75,0.76,123520
06/08/2001,0.76,0.76,0.75,0.76,199652
07/08/2001,0.76,0.76,0.75,0.75,176907
08/08/2001,0.76,0.78,0.76,0.77,612464
09/08/2001,0.77,0.77,0.76,0.77,532312
10/08/2001,0.77,0.78,0.76,0.77,567243
13/08/2001,0.77,0.78,0.76,0.77,265808
14/08/2001,0.77,0.77,0.75,0.76,1591251
15/08/2001,0.76,0.76,0.74,0.74,1327975
16/08/2001,0.74,0.74,0.7,0.73,738715
17/08/2001,0.73,0.74,0.71,0.74,96679
20/08/2001,0.73,0.76,0.72,0.752,173476
21/08/2001,0.76,0.77,0.75,0.75,957976
22/08/2001,0.773,0.773,0.75,0.77,239081
23/08/2001,0.77,0.77,0.76,0.76,234780
24/08/2001,0.77,0.78,0.77,0.78,669136
27/08/2001,0.78,0.78,0.77,0.78,389718
28/08/2001,0.77,0.87,0.77,0.86,972874
29/08/2001,0.84,0.85,0.8,0.81,316758
30/08/2001,0.79,0.79,0.74,0.77,758663
31/08/2001,0.76,0.78,0.76,0.77,1433491
03/09/2001,0.77,0.78,0.75,0.75,40299
04/09/2001,0.75,0.78,0.75,0.77,153391
05/09/2001,0.77,0.77,0.75,0.77,133387
06/09/2001,0.77,0.8,0.77,0.786,262750
07/09/2001,0.79,0.8,0.78,0.78,145650
10/09/2001,0.78,0.78,0.74,0.75,195094
11/09/2001,0.75,0.75,0.73,0.73,516085
12/09/2001,0.665,0.72,0.65,0.69,177132
13/09/2001,0.7,0.72,0.7,0.71,97089
14/09/2001,0.7,0.71,0.65,0.65,302857
17/09/2001,0.65,0.65,0.55,0.59,259639
18/09/2001,0.611,0.65,0.611,0.64,242648
19/09/2001,0.64,0.65,0.62,0.62,415071
20/09/2001,0.62,0.64,0.62,0.64,698837
21/09/2001,0.63,0.64,0.62,0.63,156297
24/09/2001,0.63,0.67,0.63,0.67,143676
25/09/2001,0.69,0.7,0.69,0.7,1192305
26/09/2001,0.7,0.71,0.69,0.71,631661
27/09/2001,0.7,0.71,0.69,0.699,450935
28/09/2001,0.7,0.76,0.7,0.73,845791
01/10/2001,0.77,0.77,0.74,0.76,123090
02/10/2001,0.76,0.77,0.75,0.75,811072
03/10/2001,0.77,0.77,0.74,0.76,261918
04/10/2001,0.76,0.78,0.76,0.78,241511
05/10/2001,0.77,0.77,0.76,0.77,195233
08/10/2001,0.758,0.78,0.75,0.77,409763
09/10/2001,0.78,0.792,0.77,0.792,481098
10/10/2001,0.8,0.83,0.78,0.83,608603
11/10/2001,0.84,0.84,0.81,0.83,600939
12/10/2001,0.83,0.83,0.78,0.8,224459
15/10/2001,0.8,0.82,0.8,0.8,204876
16/10/2001,0.82,0.85,0.81,0.84,949017
17/10/2001,0.84,0.87,0.84,0.86,726040
18/10/2001,0.862,0.87,0.84,0.84,684589
19/10/2001,0.84,0.85,0.82,0.82,107534
22/10/2001,0.82,0.83,0.82,0.83,169641
23/10/2001,0.83,0.85,0.83,0.85,478985
24/10/2001,0.85,0.85,0.77,0.77,177067
25/10/2001,0.789,0.85,0.789,0.85,323371
26/10/2001,0.83,0.85,0.83,0.85,177560
29/10/2001,0.84,0.89,0.84,0.89,376661
30/10/2001,0.89,0.9,0.83,0.83,415668
31/10/2001,0.83,0.849,0.81,0.849,520066
01/11/2001,0.841,0.85,0.82,0.829,149156
02/11/2001,0.84,0.84,0.82,0.83,232474
05/11/2001,0.82,0.82,0.78,0.781,185848
