Date,Open,High,Low,Close,Volume
17/12/2002,12.75,12.75,12.5,12.5,200
18/12/2002,10.01,10.01,10.01,10.01,400
19/12/2002,10.01,10.01,10.01,10.01,0
20/12/2002,10.01,10.01,10.01,10.01,0
23/12/2002,11,11,11,11,150
24/12/2002,11,11,11,11,0
27/12/2002,10.51,10.51,10.51,10.51,567
30/12/2002,10.51,10.51,10.51,10.51,0
31/12/2002,10.51,10.51,10.51,10.51,0
02/01/2003,10.51,10.51,10.51,10.51,0
03/01/2003,10.51,10.51,10.51,10.51,0
06/01/2003,11,11,11,11,1850
07/01/2003,11,11,11,11,0
08/01/2003,11,11,11,11,0
09/01/2003,11,11,11,11,0
10/01/2003,11,11,11,11,0
13/01/2003,11,11,11,11,0
14/01/2003,11,11,11,11,0
15/01/2003,11,11,11,11,0
16/01/2003,11,11,11,11,0
17/01/2003,11,11,11,11,0
20/01/2003,11,11,11,11,0
21/01/2003,11,11,11,11,0
22/01/2003,11,11,11,11,0
23/01/2003,11,11,11,11,0
24/01/2003,11.1,11.1,11.1,11.1,300
28/01/2003,11.1,11.1,11.1,11.1,0
29/01/2003,11.8,11.8,11.8,11.8,70
30/01/2003,11.8,11.8,11.8,11.8,0
31/01/2003,11.8,11.8,11.8,11.8,0
03/02/2003,11.8,11.8,11.8,11.8,0
04/02/2003,11.8,11.8,11.8,11.8,0
05/02/2003,11.8,11.8,11.8,11.8,0
06/02/2003,11.8,11.8,11.8,11.8,0
07/02/2003,11.8,11.8,11.8,11.8,0
10/02/2003,11.8,11.8,11.8,11.8,0
11/02/2003,11,11,11,11,180
12/02/2003,11,11,11,11,0
13/02/2003,11,11,11,11,0
14/02/2003,11,11,11,11,0
17/02/2003,11.1,11.1,11.1,11.1,500
18/02/2003,11.1,11.1,11.1,11.1,0
19/02/2003,11.1,11.1,11.1,11.1,180
20/02/2003,11.1,11.1,11.1,11.1,0
21/02/2003,11.1,11.1,11.1,11.1,0
24/02/2003,11.1,11.1,11.1,11.1,0
25/02/2003,11.1,11.1,11.1,11.1,0
26/02/2003,11.1,11.1,11.1,11.1,0
27/02/2003,11.1,11.1,11.1,11.1,0
28/02/2003,11.1,11.1,11.1,11.1,0
03/03/2003,11,11,11,11,180
04/03/2003,11,11,11,11,0
05/03/2003,11,11,11,11,0
06/03/2003,11,11,11,11,0
07/03/2003,11,11,11,11,0
10/03/2003,11,11,11,11,0
11/03/2003,11,11,11,11,0
12/03/2003,11,11,11,11,0
13/03/2003,11,11,11,11,0
14/03/2003,11,11,11,11,0
17/03/2003,11,11,11,11,0
18/03/2003,11,11,11,11,0
19/03/2003,11,11,11,11,0
20/03/2003,11,11,11,11,0
21/03/2003,11,11,11,11,0
24/03/2003,11,11,11,11,0
25/03/2003,11,11,11,11,0
26/03/2003,11,11,11,11,0
27/03/2003,11,11,11,11,0
28/03/2003,11,11,11,11,269
31/03/2003,11,11,11,11,0
01/04/2003,11,11,11,11,0
02/04/2003,11,11,11,11,0
03/04/2003,11,11,11,11,231
04/04/2003,11,11,11,11,0
07/04/2003,11,11,11,11,0
08/04/2003,11,11,11,11,0
09/04/2003,11,11,11,11,0
10/04/2003,11,11,11,11,0
11/04/2003,11,11,11,11,0
14/04/2003,11,11,11,11,0
15/04/2003,11,11,11,11,0
16/04/2003,11.35,11.35,11.35,11.35,262
17/04/2003,11.35,11.35,11.35,11.35,0
22/04/2003,11.35,11.35,11.35,11.35,0
23/04/2003,11.35,11.35,11.35,11.35,0
24/04/2003,11.35,11.35,11.35,11.35,1000
28/04/2003,11.35,11.35,11.35,11.35,0
29/04/2003,11.35,11.35,11.35,11.35,100
30/04/2003,11.35,11.35,11.35,11.35,0
01/05/2003,11.35,11.35,11.35,11.35,0
02/05/2003,11.35,11.35,11.35,11.35,0
05/05/2003,11.35,11.35,11.35,11.35,25
06/05/2003,11.35,11.35,11.35,11.35,0
07/05/2003,11.35,11.35,11.35,11.35,0
08/05/2003,11.35,11.35,11.35,11.35,0
09/05/2003,11.35,11.35,11.35,11.35,0
12/05/2003,11.35,11.35,11.35,11.35,0
13/05/2003,11.35,11.35,11.35,11.35,0
14/05/2003,11.5,11.5,11.5,11.5,80
15/05/2003,11.5,11.5,11.5,11.5,0
16/05/2003,11.5,11.5,11.5,11.5,217
19/05/2003,11.5,11.5,11.5,11.5,0
20/05/2003,11.5,11.5,11.5,11.5,800
21/05/2003,11.5,11.5,11.5,11.5,0
22/05/2003,11.5,11.5,11.5,11.5,0
23/05/2003,11.5,11.5,11.5,11.5,0
26/05/2003,11.35,11.35,11.35,11.35,60
27/05/2003,11.35,11.35,11.35,11.35,0
28/05/2003,11.35,11.35,11.35,11.35,0
29/05/2003,11.35,11.35,11.35,11.35,125
30/05/2003,11.35,11.35,11.35,11.35,0
02/06/2003,11.35,11.35,11.35,11.35,0
03/06/2003,11.35,11.35,11.35,11.35,0
04/06/2003,11.35,11.35,11.35,11.35,35
05/06/2003,11.35,11.35,11.35,11.35,0
06/06/2003,11.35,11.35,11.35,11.35,0
10/06/2003,11.35,11.35,11.35,11.35,0
11/06/2003,11.35,11.35,11.35,11.35,0
12/06/2003,11.35,11.35,11.35,11.35,0
13/06/2003,11.35,11.35,11.35,11.35,0
16/06/2003,11.35,11.35,11.35,11.35,0
17/06/2003,11.3,11.3,11.3,11.3,250
18/06/2003,11.3,11.3,11.3,11.3,0
19/06/2003,11.3,11.3,11.3,11.3,0
20/06/2003,11.3,11.3,11.3,11.3,0
23/06/2003,11.3,11.3,11.3,11.3,585
24/06/2003,11.3,11.3,11.3,11.3,0
25/06/2003,11.3,11.3,11.3,11.3,0
26/06/2003,11.3,11.3,11.3,11.3,0
27/06/2003,11.3,11.3,11.3,11.3,0
30/06/2003,11.3,11.3,11.3,11.3,0
01/07/2003,11.3,11.3,11.3,11.3,0
02/07/2003,11.3,11.3,11.3,11.3,0
03/07/2003,11.3,11.3,11.3,11.3,0
04/07/2003,11.3,11.3,11.3,11.3,0
07/07/2003,11.3,11.3,11.3,11.3,0
08/07/2003,11.3,11.3,11.3,11.3,0
09/07/2003,11.3,11.3,11.3,11.3,85
10/07/2003,11.3,11.3,11.3,11.3,0
11/07/2003,11.3,11.3,11.3,11.3,0
14/07/2003,11.3,11.3,11.3,11.3,0
15/07/2003,11.3,11.3,11.3,11.3,0
16/07/2003,11.3,11.3,11.3,11.3,0
17/07/2003,11.3,11.3,11.3,11.3,0
18/07/2003,11.3,11.3,11.3,11.3,0
21/07/2003,11.3,11.3,11.3,11.3,0
22/07/2003,11.3,11.3,11.3,11.3,0
23/07/2003,11.3,11.3,11.3,11.3,0
24/07/2003,11.3,11.3,11.3,11.3,0
25/07/2003,11.3,11.3,11.3,11.3,0
28/07/2003,11.3,11.3,11.3,11.3,0
29/07/2003,11.3,11.3,11.3,11.3,0
30/07/2003,11.3,11.3,11.3,11.3,0
31/07/2003,11.3,11.3,11.3,11.3,0
01/08/2003,11.3,11.3,11.3,11.3,0
04/08/2003,11.25,11.5,11.25,11.5,6538
05/08/2003,11.5,11.5,11.5,11.5,462
06/08/2003,11.5,11.5,11.5,11.5,538
07/08/2003,11.5,11.5,11.5,11.5,140
08/08/2003,11.5,11.5,11.5,11.5,1322
11/08/2003,11.5,11.5,11.5,11.5,0
12/08/2003,11.5,11.5,11.5,11.5,1483
13/08/2003,11.5,11.5,11.5,11.5,0
14/08/2003,11.5,11.5,11.5,11.5,0
15/08/2003,11.5,11.5,11.5,11.5,500
18/08/2003,11.5,11.5,11.5,11.5,250
19/08/2003,11.5,11.5,11.5,11.5,0
20/08/2003,11.5,11.75,11.5,11.75,440
21/08/2003,11.5,11.5,11.5,11.5,1510
22/08/2003,11.5,11.5,11.5,11.5,0
25/08/2003,11.5,11.5,11.5,11.5,0
26/08/2003,11.6,11.6,11.6,11.6,80
27/08/2003,11.6,11.6,11.6,11.6,0
28/08/2003,11.6,11.6,11.6,11.6,0
29/08/2003,11.6,11.6,11.6,11.6,0
01/09/2003,11.6,11.6,11.6,11.6,0
02/09/2003,11.6,11.6,11.6,11.6,0
03/09/2003,11.6,11.6,11.6,11.6,0
04/09/2003,11.6,11.6,11.6,11.6,0
05/09/2003,11.6,11.6,11.6,11.6,0
08/09/2003,11.6,11.6,11.6,11.6,0
09/09/2003,11.6,11.6,11.6,11.6,0
10/09/2003,11.6,11.6,11.6,11.6,0
11/09/2003,11.52,12.5,11.52,12.5,1570
12/09/2003,12.5,12.5,12.5,12.5,350
15/09/2003,12.5,12.5,12.5,12.5,499
16/09/2003,12.5,12.5,12.5,12.5,2583
17/09/2003,12.5,12.5,12.5,12.5,417
18/09/2003,12.49,12.5,12.49,12.5,1300
19/09/2003,12.5,12.5,12.5,12.5,0
22/09/2003,12.5,12.5,12.5,12.5,0
23/09/2003,13,13,13,13,583
24/09/2003,13,13,13,13,1000
25/09/2003,13,13,13,13,100
26/09/2003,13,13,13,13,0
29/09/2003,13,13,13,13,0
30/09/2003,13,13,13,13,60
01/10/2003,13.5,13.5,13.5,13.5,300
02/10/2003,13.5,13.5,13.5,13.5,585
03/10/2003,13.5,13.5,13.5,13.5,0
06/10/2003,13.5,13.5,13.5,13.5,0
07/10/2003,13.5,13.5,13.5,13.5,0
08/10/2003,13,13,12.5,12.5,3140
09/10/2003,12.5,12.5,12.5,12.5,0
10/10/2003,12.5,12.5,12.5,12.5,0
13/10/2003,13.5,13.5,13.5,13.5,50
14/10/2003,13.5,13.5,13,13,2575
15/10/2003,13,13,13,13,0
16/10/2003,13.5,13.5,13.5,13.5,583
17/10/2003,13.5,13.5,13.5,13.5,0
20/10/2003,13.5,13.5,13.5,13.5,0
21/10/2003,13.5,13.5,13.5,13.5,0
22/10/2003,13.5,13.5,13.5,13.5,0
23/10/2003,13.5,13.5,13.5,13.5,0
24/10/2003,13.5,13.5,13.5,13.5,0
27/10/2003,13.5,13.5,13.5,13.5,0
28/10/2003,13.5,13.5,13.5,13.5,0
29/10/2003,13.5,13.5,13.5,13.5,0
30/10/2003,12.8,12.8,12.8,12.8,1000
31/10/2003,12.8,12.8,12.8,12.8,0
03/11/2003,12.8,12.8,12.8,12.8,0
04/11/2003,12.8,12.8,12.8,12.8,0
05/11/2003,12.9,12.9,12.9,12.9,1190
06/11/2003,12.9,12.9,12.9,12.9,0
07/11/2003,12.9,12.9,12.9,12.9,0
10/11/2003,12.99,12.99,12.99,12.99,300
11/11/2003,12.99,12.99,12.99,12.99,0
12/11/2003,12.99,12.99,12.99,12.99,0
13/11/2003,12.99,12.99,12.99,12.99,0
14/11/2003,12.95,13,12.95,13,2722
17/11/2003,13,13,13,13,0
18/11/2003,13,13,13,13,0
19/11/2003,13,13,13,13,0
20/11/2003,13,13,13,13,0
21/11/2003,13,13,13,13,0
24/11/2003,13,13,13,13,0
25/11/2003,13,13,13,13,0
26/11/2003,13,13,13,13,0
27/11/2003,11.3,11.3,11.3,11.3,173
28/11/2003,11.3,11.3,11.3,11.3,0
01/12/2003,11.3,11.3,11.3,11.3,0
02/12/2003,13,13,13,13,39
03/12/2003,13,13,13,13,0
04/12/2003,13,13,13,13,0
05/12/2003,13,13,13,13,0
08/12/2003,13,13,13,13,0
09/12/2003,13,13,13,13,0
10/12/2003,13,13,13,13,0
11/12/2003,13,13,13,13,0
12/12/2003,12.95,12.95,12.5,12.5,5500
15/12/2003,12.5,12.5,12.5,12.5,0
16/12/2003,12.5,12.5,12.5,12.5,0
17/12/2003,12.5,12.5,12.5,12.5,0
18/12/2003,12.5,12.5,12.5,12.5,0
19/12/2003,12.5,12.5,12.5,12.5,0
22/12/2003,12.5,12.5,12.5,12.5,0
23/12/2003,12.5,12.5,12.5,12.5,0
24/12/2003,12.5,12.5,12.5,12.5,0
29/12/2003,12.5,12.5,12.5,12.5,0
30/12/2003,12.5,12.5,12.5,12.5,0
31/12/2003,12.5,12.5,12.5,12.5,0
02/01/2004,12.5,12.5,12.5,12.5,0
05/01/2004,12.5,12.5,12.5,12.5,0
06/01/2004,12.5,12.5,12.5,12.5,0
07/01/2004,12.5,12.5,12.5,12.5,0
08/01/2004,12.5,12.5,12.5,12.5,0
09/01/2004,12.5,12.5,12.5,12.5,0
12/01/2004,12,12,12,12,961
13/01/2004,12,12,12,12,350
14/01/2004,12,12,12,12,0
15/01/2004,12,12,12,12,0
16/01/2004,12,12,12,12,0
19/01/2004,12,12,12,12,0
20/01/2004,12,12,12,12,0
21/01/2004,12,12,12,12,0
22/01/2004,12,12,12,12,0
23/01/2004,12.5,12.5,12.5,12.5,500
27/01/2004,12.5,12.5,12.5,12.5,0
28/01/2004,12.5,12.5,12.5,12.5,0
29/01/2004,12.5,12.5,12.5,12.5,0
30/01/2004,12.5,12.5,12.5,12.5,0
02/02/2004,12.5,12.5,12.5,12.5,1000
03/02/2004,12.5,12.5,12.5,12.5,0
04/02/2004,12.5,12.5,12.5,12.5,0
05/02/2004,12.5,12.5,12.5,12.5,0
06/02/2004,12.5,12.5,12.5,12.5,0
09/02/2004,12.5,12.5,12.5,12.5,0
10/02/2004,12.5,12.5,12.5,12.5,0
11/02/2004,12.5,12.5,12.5,12.5,0
12/02/2004,12.5,12.5,12.5,12.5,0
13/02/2004,12.5,12.5,12.5,12.5,0
16/02/2004,12.5,12.5,12.5,12.5,0
17/02/2004,12.5,12.5,12.5,12.5,0
18/02/2004,12.5,12.5,12.5,12.5,0
19/02/2004,12.5,12.5,12.5,12.5,0
20/02/2004,12.5,12.5,12.5,12.5,0
23/02/2004,12.5,12.5,12.5,12.5,0
24/02/2004,12.5,12.5,12.5,12.5,0
25/02/2004,12.5,12.5,12.5,12.5,1000
26/02/2004,12.5,12.5,12.5,12.5,0
27/02/2004,12.5,12.5,12.5,12.5,0
01/03/2004,12.5,12.5,12.5,12.5,0
02/03/2004,12.5,12.5,12.5,12.5,0
03/03/2004,12.5,12.5,12.5,12.5,1
04/03/2004,12.5,12.5,12.5,12.5,0
05/03/2004,12.5,12.5,12.5,12.5,0
08/03/2004,12.5,12.5,12.5,12.5,0
09/03/2004,12.15,12.5,12.15,12.5,250
10/03/2004,12.5,12.5,12.5,12.5,0
11/03/2004,12.5,12.5,12.5,12.5,950
12/03/2004,12.5,12.5,12.5,12.5,500
15/03/2004,12.5,12.5,12.5,12.5,0
16/03/2004,12.5,12.5,12.5,12.5,0
17/03/2004,12.5,12.5,12.5,12.5,500
18/03/2004,12.5,12.5,12.5,12.5,0
19/03/2004,12.5,12.5,12.5,12.5,0
22/03/2004,12.5,12.5,12.5,12.5,0
23/03/2004,12.5,12.5,12.5,12.5,0
24/03/2004,12.5,12.5,12.5,12.5,0
25/03/2004,12.5,12.5,12.5,12.5,0
26/03/2004,12.5,12.5,12.5,12.5,0
29/03/2004,12.5,12.5,12.5,12.5,0
30/03/2004,12.5,12.5,12.5,12.5,0
31/03/2004,12.1,12.1,12.1,12.1,180
01/04/2004,12.1,12.1,12.1,12.1,0
02/04/2004,12.1,12.1,12.1,12.1,0
05/04/2004,12.15,12.15,12,12,2000
06/04/2004,12,12,12,12,500
07/04/2004,12,12,12,12,0
08/04/2004,12,12,12,12,0
13/04/2004,12,12,12,12,0
14/04/2004,12,12,12,12,0
15/04/2004,12,12,12,12,0
16/04/2004,12,12,12,12,0
19/04/2004,12,12,12,12,0
20/04/2004,12,12,12,12,0
21/04/2004,12,12,12,12,0
22/04/2004,12,12,12,12,0
23/04/2004,12,12,12,12,0
26/04/2004,12,12,12,12,0
27/04/2004,12,12,12,12,0
28/04/2004,12,12,12,12,0
29/04/2004,12,12,12,12,0
30/04/2004,12,12,12,12,0
03/05/2004,12,12,12,12,0
04/05/2004,12,12,12,12,0
05/05/2004,12,12,12,12,0
06/05/2004,12,12,12,12,0
07/05/2004,12,12,12,12,0
10/05/2004,12.25,12.25,12.25,12.25,41
11/05/2004,12.25,12.25,12.25,12.25,0
12/05/2004,12.25,12.25,12.25,12.25,0
13/05/2004,12.25,12.25,12.25,12.25,0
14/05/2004,12.25,12.25,12.25,12.25,0
17/05/2004,12.25,12.25,12.25,12.25,0
18/05/2004,12.25,12.25,12.25,12.25,0
19/05/2004,12.25,12.25,12.25,12.25,0
20/05/2004,12.25,12.25,12.25,12.25,0
21/05/2004,12.25,12.25,12.25,12.25,0
24/05/2004,12,12,12,12,500
25/05/2004,12,12,12,12,0
26/05/2004,12,12,12,12,0
27/05/2004,12,12,12,12,0
28/05/2004,12,12,12,12,0
31/05/2004,12,12,12,12,417
01/06/2004,11,11.05,11,11.05,2225
02/06/2004,11.05,11.05,11.05,11.05,0
03/06/2004,11.05,11.05,11.05,11.05,0
04/06/2004,11.05,11.05,11.05,11.05,0
07/06/2004,11.05,11.05,11.05,11.05,0
08/06/2004,11.05,11.05,11.05,11.05,0
09/06/2004,11.05,11.05,11.05,11.05,0
10/06/2004,11.05,11.05,11.05,11.05,0
11/06/2004,11.05,11.05,11.05,11.05,0
15/06/2004,11.8,11.8,11.8,11.8,1000
16/06/2004,12,12,12,12,2061
17/06/2004,12,12,12,12,258
18/06/2004,12,12,12,12,0
