Date,Open,High,Low,Close,Volume
18/04/2007,1,1.06,0.94,0.99,3400705
19/04/2007,1,1.03,0.86,0.86,630756
20/04/2007,0.88,0.99,0.88,0.985,171806
23/04/2007,0.985,1.01,0.93,0.93,310858
24/04/2007,0.93,0.93,0.85,0.9,291632
26/04/2007,0.92,0.92,0.83,0.84,49706
27/04/2007,0.83,0.91,0.83,0.9,242649
30/04/2007,0.88,0.88,0.82,0.84,140638
01/05/2007,0.84,0.88,0.84,0.88,223254
02/05/2007,0.88,0.88,0.8,0.8,125239
03/05/2007,0.77,0.875,0.77,0.8,268992
04/05/2007,0.8,0.85,0.79,0.85,784830
07/05/2007,0.85,0.86,0.84,0.86,109000
08/05/2007,0.85,0.85,0.8,0.8,426250
09/05/2007,0.8,0.87,0.8,0.825,159626
10/05/2007,0.85,0.85,0.82,0.82,78986
11/05/2007,0.82,0.825,0.77,0.82,112948
14/05/2007,0.78,0.785,0.78,0.78,35081
15/05/2007,0.78,0.78,0.78,0.78,0
16/05/2007,0.765,0.765,0.75,0.75,51000
17/05/2007,0.74,0.74,0.725,0.74,102957
18/05/2007,0.74,0.74,0.74,0.74,9376
21/05/2007,0.74,0.775,0.725,0.725,44124
22/05/2007,0.7,0.7,0.69,0.7,67168
23/05/2007,0.675,0.7,0.66,0.7,98198
24/05/2007,0.7,0.73,0.7,0.73,71805
25/05/2007,0.715,0.715,0.69,0.69,31780
28/05/2007,0.7,0.705,0.665,0.705,107000
29/05/2007,0.705,0.72,0.7,0.72,11893
30/05/2007,0.71,0.71,0.7,0.7,18000
31/05/2007,0.75,0.76,0.75,0.76,38542
01/06/2007,0.78,0.84,0.78,0.815,162130
04/06/2007,0.82,0.87,0.82,0.87,47198
05/06/2007,0.85,0.88,0.85,0.88,26575
06/06/2007,0.85,0.85,0.82,0.83,222923
07/06/2007,0.82,0.82,0.76,0.78,728376
08/06/2007,0.78,0.78,0.78,0.78,24550
12/06/2007,0.78,0.79,0.78,0.78,55791
13/06/2007,0.78,0.78,0.77,0.78,70111
14/06/2007,0.8,0.8,0.8,0.8,2000
15/06/2007,0.8,0.8,0.76,0.78,46000
18/06/2007,0.78,0.78,0.775,0.775,38000
19/06/2007,0.8,0.8,0.8,0.8,10000
20/06/2007,0.8,0.82,0.8,0.805,56000
21/06/2007,0.835,0.835,0.835,0.835,55001
22/06/2007,0.835,0.835,0.83,0.83,17000
25/06/2007,0.835,0.85,0.835,0.85,187788
26/06/2007,0.87,0.87,0.87,0.87,31000
27/06/2007,0.855,0.855,0.85,0.85,21145
28/06/2007,0.85,0.85,0.85,0.85,15000
29/06/2007,0.8,0.87,0.79,0.79,92215
02/07/2007,0.805,0.81,0.805,0.81,35000
03/07/2007,0.82,0.82,0.82,0.82,20000
04/07/2007,0.83,0.83,0.775,0.775,35000
05/07/2007,0.79,0.79,0.79,0.79,600
06/07/2007,0.775,0.775,0.75,0.75,31000
09/07/2007,0.73,0.74,0.73,0.74,10000
10/07/2007,0.7,0.775,0.7,0.775,85271
11/07/2007,0.78,0.82,0.78,0.81,85500
12/07/2007,0.81,0.81,0.79,0.79,11050
13/07/2007,0.79,0.85,0.79,0.85,113871
16/07/2007,0.89,0.89,0.86,0.86,44093
17/07/2007,0.79,0.8,0.79,0.8,56600
18/07/2007,0.82,0.82,0.8,0.8,9000
19/07/2007,0.8,0.87,0.8,0.87,25000
20/07/2007,0.845,0.845,0.79,0.79,71176
23/07/2007,0.785,0.785,0.775,0.775,38543
24/07/2007,0.775,0.775,0.775,0.775,21171
25/07/2007,0.74,0.79,0.74,0.79,23512
26/07/2007,0.75,0.75,0.75,0.75,30000
27/07/2007,0.71,0.725,0.71,0.725,11000
30/07/2007,0.7,0.7,0.67,0.67,9789
31/07/2007,0.7,0.7,0.7,0.7,4200
01/08/2007,0.7,0.7,0.7,0.7,4163
02/08/2007,0.685,0.685,0.675,0.675,3166
03/08/2007,0.655,0.655,0.58,0.58,5999
06/08/2007,0.51,0.53,0.51,0.53,25000
07/08/2007,0.53,0.6,0.53,0.6,4448
08/08/2007,0.6,0.6,0.6,0.6,0
09/08/2007,0.6,0.6,0.6,0.6,0
10/08/2007,0.51,0.51,0.5,0.5,10000
13/08/2007,0.53,0.53,0.51,0.51,30000
14/08/2007,0.51,0.51,0.5,0.51,50000
15/08/2007,0.5,0.5,0.5,0.5,125
16/08/2007,0.26,0.3,0.26,0.29,60205
17/08/2007,0.31,0.5,0.31,0.355,218540
20/08/2007,0.4,0.4,0.355,0.355,215887
21/08/2007,0.395,0.4,0.37,0.39,74739
22/08/2007,0.5,0.53,0.5,0.53,10300
23/08/2007,0.54,0.6,0.49,0.49,146174
24/08/2007,0.47,0.475,0.45,0.45,65000
27/08/2007,0.44,0.44,0.41,0.425,7463
28/08/2007,0.425,0.425,0.425,0.425,0
29/08/2007,0.4,0.425,0.4,0.425,23000
30/08/2007,0.425,0.435,0.425,0.435,2687
31/08/2007,0.425,0.45,0.4,0.45,98900
03/09/2007,0.45,0.45,0.45,0.45,0
04/09/2007,0.43,0.43,0.4,0.42,650943
05/09/2007,0.42,0.44,0.41,0.44,56200
06/09/2007,0.43,0.43,0.42,0.42,144800
07/09/2007,0.42,0.42,0.4,0.4,54500
10/09/2007,0.4,0.4,0.38,0.38,49214
11/09/2007,0.4,0.4,0.4,0.4,205000
12/09/2007,0.38,0.38,0.36,0.36,22222
13/09/2007,0.38,0.38,0.38,0.38,1400
14/09/2007,0.38,0.38,0.38,0.38,61474
17/09/2007,0.38,0.38,0.38,0.38,0
18/09/2007,0.355,0.355,0.355,0.355,2000
19/09/2007,0.39,0.39,0.39,0.39,7877
20/09/2007,0.38,0.38,0.38,0.38,16287
21/09/2007,0.39,0.39,0.39,0.39,55000
24/09/2007,0.39,0.39,0.39,0.39,0
25/09/2007,0.4,0.4,0.4,0.4,42425
26/09/2007,0.4,0.4,0.4,0.4,50000
27/09/2007,0.4,0.4,0.4,0.4,0
28/09/2007,0.39,0.39,0.39,0.39,877
01/10/2007,0.39,0.39,0.39,0.39,0
02/10/2007,0.39,0.39,0.39,0.39,1980
03/10/2007,0.39,0.39,0.39,0.39,0
04/10/2007,0.39,0.39,0.37,0.37,12245
05/10/2007,0.37,0.37,0.37,0.37,0
08/10/2007,0.37,0.4,0.37,0.4,32121
09/10/2007,0.39,0.39,0.36,0.37,18961
10/10/2007,0.355,0.355,0.355,0.355,63000
11/10/2007,0.39,0.4,0.39,0.4,20000
12/10/2007,0.4,0.4,0.395,0.395,22500
15/10/2007,0.38,0.38,0.375,0.38,30266
16/10/2007,0.39,0.405,0.39,0.405,511255
17/10/2007,0.38,0.4,0.375,0.4,37522
18/10/2007,0.375,0.375,0.375,0.375,6308
19/10/2007,0.39,0.4,0.39,0.395,93725
22/10/2007,0.355,0.36,0.355,0.36,9497
23/10/2007,0.36,0.36,0.31,0.31,20566
24/10/2007,0.31,0.31,0.31,0.31,0
25/10/2007,0.36,0.37,0.36,0.37,48000
26/10/2007,0.39,0.4,0.375,0.4,305219
29/10/2007,0.39,0.39,0.35,0.35,50000
30/10/2007,0.32,0.39,0.32,0.39,28400
31/10/2007,0.37,0.4,0.37,0.4,47000
01/11/2007,0.38,0.38,0.38,0.38,10000
02/11/2007,0.38,0.38,0.38,0.38,0
05/11/2007,0.35,0.36,0.35,0.35,11000
06/11/2007,0.36,0.36,0.35,0.35,25837
07/11/2007,0.44,0.44,0.4,0.4,41750
08/11/2007,0.4,0.4,0.4,0.4,0
09/11/2007,0.4,0.4,0.4,0.4,0
12/11/2007,0.4,0.4,0.37,0.37,22961
13/11/2007,0.37,0.375,0.37,0.375,21709
14/11/2007,0.355,0.355,0.35,0.35,32290
15/11/2007,0.35,0.35,0.35,0.35,37069
16/11/2007,0.34,0.34,0.34,0.34,20000
19/11/2007,0.34,0.34,0.34,0.34,22000
20/11/2007,0.34,0.34,0.34,0.34,0
21/11/2007,0.34,0.34,0.34,0.34,2000
22/11/2007,0.35,0.35,0.34,0.35,133612
23/11/2007,0.35,0.35,0.35,0.35,0
26/11/2007,0.34,0.34,0.34,0.34,5000
27/11/2007,0.365,0.4,0.36,0.37,312932
28/11/2007,0.37,0.37,0.34,0.34,51103
29/11/2007,0.34,0.34,0.34,0.34,0
30/11/2007,0.37,0.37,0.37,0.37,27800
03/12/2007,0.355,0.37,0.355,0.37,47820
04/12/2007,0.37,0.38,0.36,0.38,30000
05/12/2007,0.38,0.415,0.38,0.4,355441
06/12/2007,0.43,0.43,0.4,0.4,126250
07/12/2007,0.4,0.4,0.385,0.385,10000
