Date,Open,High,Low,Close,Volume
02/07/2001,70,70,69.5,69.5,2530
03/07/2001,69.5,69.5,69.5,69.5,324
04/07/2001,69.5,69.5,69.5,69.5,0
05/07/2001,67.5,67.5,67.5,67.5,185
06/07/2001,66,66.1,66,66.1,84
09/07/2001,67,67.2,67,67.2,1070
10/07/2001,67.6,67.6,67.6,67.6,300
11/07/2001,68.026,69.15,68.026,69.15,3026
12/07/2001,70.426,71,70.426,71,4508
13/07/2001,71.1,71.1,71.1,71.1,4862
16/07/2001,71.1,71.1,71.1,71.1,75
17/07/2001,70,70,70,70,53
18/07/2001,70,70.5,70,70,357
19/07/2001,71,71,71,71,557
20/07/2001,71.5,71.5,71.5,71.5,70
23/07/2001,73,73,73,73,200
24/07/2001,73.5,73.5,72.5,72.5,202
25/07/2001,73,73.5,73,73.1,343
26/07/2001,72.5,72.51,72.5,72.5,1628
27/07/2001,72.5,72.5,72.5,72.5,0
30/07/2001,69,69,69,69,65
31/07/2001,69,69,69,69,35
01/08/2001,69,69,69,69,0
02/08/2001,68.25,68.25,68,68,70
03/08/2001,68.979,69,68.979,69,332
06/08/2001,69.1,69.1,69.1,69.1,3140
07/08/2001,69.6,69.6,69.5,69.5,227
08/08/2001,69.5,69.5,69.5,69.5,70
09/08/2001,69.5,69.5,69,69,720
10/08/2001,70.5,71,70.5,71,340
13/08/2001,71.5,71.5,71.5,71.5,1580
14/08/2001,70,71,70,71,100
15/08/2001,71,71,71,71,1900
16/08/2001,71,71,71,71,250
17/08/2001,68.5,68.5,68,68,108
20/08/2001,72,72,72,72,250
21/08/2001,72,72,72,72,0
22/08/2001,72,72,72,72,0
23/08/2001,72,72,72,72,0
24/08/2001,66.36,66.36,64,64,143
27/08/2001,64,64,64,64,0
28/08/2001,65,69,65,65,121
29/08/2001,65,65,65,65,217
30/08/2001,65,65,65,65,0
31/08/2001,65,65,65,65,91
03/09/2001,65.5,65.5,65.5,65.5,87
04/09/2001,65.5,65.5,65.5,65.5,0
05/09/2001,65.5,65.5,65.5,65.5,0
06/09/2001,66,66,58,58.05,56315
07/09/2001,61,61,61,61,200
10/09/2001,61,61,61,61,0
11/09/2001,60,62,60,62,161
12/09/2001,65.5,69,65.5,66,877
13/09/2001,65,65,64,64,1280
14/09/2001,64,64,64,64,50
17/09/2001,64,64,64,64,80
18/09/2001,64,68,64,64,122
19/09/2001,64,64,64,64,0
20/09/2001,64,67,64,67,287
21/09/2001,65,65,65,65,75
24/09/2001,65,65,63,63,350
25/09/2001,62.56,62.56,62.56,62.56,150
26/09/2001,63,63,63,63,175
27/09/2001,63,64,63,63.5,200
28/09/2001,63.5,63.5,63.5,63.5,0
01/10/2001,63,63,63,63,290
02/10/2001,63,63,63,63,0
03/10/2001,65,65,65,65,396
04/10/2001,63.5,63.5,63.5,63.5,143
05/10/2001,64,64,63.5,63.5,140
08/10/2001,63.5,63.5,63.5,63.5,45
09/10/2001,63.5,63.5,63.5,63.5,0
10/10/2001,64,64,64,64,38
11/10/2001,64,64,64,64,172
12/10/2001,65,65,65,65,550
15/10/2001,65.5,65.5,65.5,65.5,305
16/10/2001,65.5,65.5,65.5,65.5,0
17/10/2001,63.1,63.1,63,63.1,3350
18/10/2001,64.173,64.8,64.173,64.7,4353
19/10/2001,63.5,64.6,63.5,64.6,276
22/10/2001,63,63,62.8,62.8,365
23/10/2001,62.8,62.8,62.8,62.8,0
24/10/2001,62,62,62,62,500
25/10/2001,60.21,62.5,60.21,62.5,254
26/10/2001,64,64,64,64,300
29/10/2001,64,64,64,64,60
30/10/2001,64,64,64,64,0
31/10/2001,64.5,66.03,64.5,66,1170
01/11/2001,64.6,64.6,64.6,64.6,175
02/11/2001,64.6,64.6,63.61,63.61,203
05/11/2001,64.6,66,64.6,66,4083
06/11/2001,66.283,66.283,65.25,65.25,2146
07/11/2001,66.25,66.25,65.25,65.25,330
08/11/2001,65.25,65.25,65.25,65.25,0
09/11/2001,65.25,65.25,65.25,65.25,0
12/11/2001,65.25,65.25,65.25,65.25,0
13/11/2001,65.25,65.25,64,64,234
14/11/2001,65,65,64.7,64.7,25385
15/11/2001,65.098,66.25,65.098,66.25,8455
16/11/2001,66.5,67,66.5,67,1444
19/11/2001,66,67,66,67,8277
20/11/2001,66.5,66.5,66.5,66.5,150
21/11/2001,66.5,66.5,66.5,66.5,0
22/11/2001,66.5,66.5,66,66,3159
23/11/2001,66,66,66,66,0
